tau,gamma,gamma_lo,gamma_hi
1e-07,2.7654253246077578e-05,9.863645196257343e-07,0.00010801128769505947
1.1097524964120721e-07,0.00014152455372659723,5.149930336736323e-06,0.0005512956988935466
1.2315506032928263e-07,0.0004892599760817483,1.864567489728731e-05,0.0018937494427891171
1.3667163564620074e-07,0.0011687470587556344,4.9114236912014594e-05,0.004457816995215116
1.5167168884709241e-07,0.0020224642186430553,0.00010116084736895888,0.0074792200805101385
1.6831803533309585e-07,0.0027479712313143684,0.00017390725789997186,0.009623721385499995
1.867913599020781e-07,0.0032297540707347154,0.0002555695396848846,0.010520074798854324
2.0729217795953698e-07,0.0035328870982746416,0.0003245073354990531,0.010724357310653578
2.300430119772917e-07,0.003738436080773925,0.0003693217293489093,0.010746493121621622
2.5529080682395163e-07,0.0038870802749353104,0.0003923622151338288,0.010752319952660318
2.833096101839324e-07,0.003986805219026817,0.00039622392156708124,0.010703555728162917
3.1440354715915e-07,0.004041479971961052,0.00038145443932339606,0.010516499885420966
3.489101213406774e-07,0.00404997889561896,0.000359095453107968,0.010140878207752564
3.872038781812557e-07,0.004031360710592771,0.00036647130996099686,0.009696375002858302
4.2970047043208437e-07,0.004001660731773385,0.00043055699029758614,0.009330656075888375
4.768611697714474e-07,0.0039671883830512365,0.000505572277139692,0.009060520945623226
5.291978735958437e-07,0.003923944691335495,0.0005074354831292893,0.008813031980272267
5.872786613189477e-07,0.0038766348762839698,0.0004301958613023065,0.008588701798692528
6.517339604882421e-07,0.0038409965670237853,0.0003504584290388922,0.008475879344097752
7.232633896483533e-07,0.0038198931633369516,0.00031728255082004187,0.008485437252378965
8.026433522257174e-07,0.0038048161030973327,0.0003147010483587472,0.008511818587790012
8.907354638610439e-07,0.0037841311073179454,0.00031113086823090006,0.00845849851515564
9.884959046625586e-07,0.003766009603863393,0.00029313598676309775,0.008359511317757109
1.096985797892384e-06,0.003755805602949519,0.0002666073997159289,0.008271443435524347
1.217382727739662e-06,0.0037550581730839035,0.0002606228954003903,0.008215996761203373
1.3509935211980278e-06,0.0037568936154335824,0.0003111482524788205,0.008183112189114577
1.499268432786047e-06,0.003763066734586772,0.0004286610033412945,0.008196235467249327
1.6638168860761274e-06,0.003777450687962725,0.0005937914105526756,0.008292483215664172
1.8464249428955464e-06,0.0037967423459428196,0.0007604189129277556,0.008457246405846702
2.049074689815846e-06,0.003813417453920835,0.0008605262142730327,0.008619589628251484
2.2739657523579273e-06,0.003828646271417397,0.0008654252448393258,0.008725137678210785
2.523539170434766e-06,0.003867767791427282,0.0008119450923586565,0.008790146968229237
2.800503894183631e-06,0.003944138811372543,0.0007365016487642802,0.008843287628209096
3.107866187782014e-06,0.004049398383652294,0.0006407289173966368,0.008932583711813531
3.4489622604057595e-06,0.004165376243496495,0.0005252981034565761,0.009085218758657905
3.827494478516315e-06,0.00430356322299692,0.0004412977529252304,0.009313766421244846
4.247571552536894e-06,0.004486083867771755,0.0004614022117876693,0.009604149432675218
4.713753134116729e-06,0.0047288660024438385,0.0005973842824068055,0.009943702640055325
5.2310993080562585e-06,0.0050334036428270725,0.000806558676832466,0.010316451146933848
