tau,gamma,gamma_lo,gamma_hi,ftp,ftp_lo,ftp_hi
1e-07,803.1239715235486,-19642.405274849407,22246.388828971143,1.4039005969418695e-09,1.5038856399677318e-10,3.664440139984774e-09
1.0884019160690054e-07,1422.4815390440685,-18507.476571455274,22945.543472354984,1.4046907030287607e-09,1.395452086110273e-10,3.671087306772063e-09
1.1846187309026848e-07,1897.6180157164008,-18092.367228086485,23934.94679587723,1.3997388046515255e-09,1.3232598787970672e-10,3.7082679016282283e-09
1.2893412965257157e-07,2230.4407239488783,-17879.28710830967,24928.03626454002,1.386262147945762e-09,1.3404038554338812e-10,3.74654668800964e-09
1.4033215376054846e-07,2433.521230053295,-17573.41257878746,25703.07852177619,1.3632615318202048e-09,1.4298747101011035e-10,3.758997374520898e-09
1.5273778503907124e-07,2531.159990710469,-17300.233835745457,26186.241423352683,1.3347206150913806e-09,1.4897008398453816e-10,3.732688447425075e-09
1.6624009789266136e-07,2545.7198092607446,-17274.764370310313,26327.714231065016,1.3043959585067582e-09,1.4191640188617503e-10,3.6586672538321877e-09
1.8093604107387167e-07,2504.184202593353,-17473.82950933844,26110.422123643737,1.275733664398816e-09,1.237028435433762e-10,3.5422273618030497e-09
1.969311337907422e-07,2435.527447416733,-17621.131534136493,25533.87377005667,1.2517906741484853e-09,1.07675210916769e-10,3.4031983438100423e-09
2.143402233514859e-07,2345.796676951191,-17475.56739528801,24588.345665966935,1.23177815548405e-09,1.0473271249610559e-10,3.2607888159430468e-09
2.3328830978641583e-07,2207.771668286728,-17123.94472119439,23368.245093170586,1.2120612827440689e-09,1.1283708526816379e-10,3.137978541869734e-09
2.539114433680347e-07,1976.5982008089934,-16863.802952169633,22031.275912389676,1.1867269834039536e-09,1.2108327998730995e-10,3.055498583193962e-09
2.7635770147361577e-07,1639.8257213301001,-16905.171057686995,20717.516779345697,1.1524939052055574e-09,1.215750457551675e-10,3.0148412029688594e-09
3.007882518043102e-07,1253.1363765025003,-17266.097112732965,19591.123159252977,1.1140577034892805e-09,1.1491363667195072e-10,2.9956424493751413e-09
3.273785095948577e-07,890.446321087392,-17831.08836544217,18772.44744240471,1.0780875174425336e-09,1.0572962627571163e-10,2.9678551035800433e-09
3.563193971228584e-07,569.6774963391098,-18468.448340696617,18252.51089633811,1.048759517130996e-09,9.726756167362603e-11,2.9208826912046258e-09
3.8781871456107196e-07,248.0828534794994,-19050.628851526762,17902.057609926902,1.0284586280765822e-09,9.048905989046372e-11,2.8711935871835166e-09
4.221026320156903e-07,-122.6638027143783,-19441.01911268453,17546.34303410289,1.0185025910849701e-09,8.579350782802725e-11,2.839359024570556e-09
4.5941731346364764e-07,-540.0062611161961,-19561.22204776413,17085.710953925227,1.023002721833409e-09,8.501766603199885e-11,2.8402963487746493e-09
5.00030684249109e-07,-951.8085538308679,-19374.485793831194,16487.154122559616,1.047892229061819e-09,9.15736770927199e-11,2.880651826519381e-09
5.442343548300272e-07,-1315.1135469280914,-18909.314433747237,15745.748951043906,1.095156753059366e-09,1.0837941687911481e-10,2.9557146599344786e-09
5.923457145875806e-07,-1629.5524721809468,-18365.59185224488,14931.117273030914,1.15983723742697e-09,1.3589482571420728e-10,3.0511864375656173e-09
6.44710210732387e-07,-1917.7619168318765,-18006.97336878309,14143.71708867637,1.231221164583208e-09,1.7129333308862107e-10,3.1458623938282885e-09
7.017038286703837e-07,-2205.3311212034505,-17985.682347952694,13471.39054933941,1.3000792659394237e-09,2.067764302734197e-10,3.2298954568227768e-09
7.637357916378027e-07,-2510.0852478629304,-18306.633953454806,13008.598042360543,1.3605411220201764e-09,2.2828517140298847e-10,3.3125902151601056e-09
8.312514989890632e-07,-2831.5995718910717,-18858.081409686998,12807.301734011267,1.4065974861848106e-09,2.2291474682608617e-10,3.4045549809818932e-09
9.047357242349293e-07,-3145.464683969429,-19467.755789453167,12829.896573295719,1.435455369214024e-09,1.9224502380520892e-10,3.5100147100046546e-09
9.847160957933784e-07,-3402.148236508266,-19918.12794886417,12957.654784252723,1.4463216116476226e-09,1.5260346393765271e-10,3.621527010750255e-09
1.0717668854455034e-06,-3562.783026427792,-20053.456634351212,13068.347360544292,1.4375135916821042e-09,1.2055900038403759e-10,3.7162429344310953e-09
1.1665131316981962e-06,-3643.4972047605215,-19954.555866136478,13129.934116648257,1.4109143236729754e-09,1.0334522165614117e-10,3.7618067843868324e-09
1.2696351276599729e-06,-3690.5384768201225,-19839.356886972433,13160.93844937541,1.3694240467496505e-09,1.003560626309032e-10,3.7195968908479878e-09
1.3818733056536336e-06,-3730.49160160833,-19856.028365158254,13170.278228371983,1.314919752685142e-09,1.0580031441220699e-10,3.577972477814775e-09
1.5040335536380252e-06,-3755.570184997068,-20033.62460417033,13160.036394785597,1.2522346833868713e-09,1.0933055234168836e-10,3.3832612723467927e-09
1.6369930016117019e-06,-3739.3914010826275,-20324.144135893435,13129.826100767992,1.1872580028858225e-09,1.0081584818683366e-10,3.2017185653603113e-09
1.7817063195457325e-06,-3680.582346442362,-20728.472947257353,13148.054394123214,1.1287690446789416e-09,7.938425046172968e-11,3.074253442250964e-09
1.939212572065831e-06,-3614.320911378305,-21319.2182021759,13376.678529252249,1.0907209363400868e-09,5.5325755507357714e-11,3.0119136867380053e-09
2.1106426791015547e-06,-3567.275958655789,-22090.503316968523,13951.282755138436,1.0826405404293328e-09,4.035457635425569e-11,3.003998810012486e-09
2.297227536071156e-06,-3524.858475399573,-22850.273254940555,14878.165388348318,1.1008257983220355e-09,3.842927087624549e-11,3.027327448846614e-09
2.5003068519063265e-06,-3438.9916428692172,-23238.115631974306,16027.127657404164,1.1301375460041426e-09,4.6805347795953905e-11,3.0505738040619144e-09
2.7213387683753086e-06,-3279.6982322506537,-23002.40657460261,17221.562337910033,1.1562104915740833e-09,6.226249146436508e-11,3.0499836396472703e-09
2.9619103297725534e-06,-3085.0025126841083,-22277.80346196181,18297.488537839337,1.1750404229598651e-09,8.420865163486022e-11,3.027757304551777e-09
3.2237488781490268e-06,-2928.5860154457214,-21396.898615755654,19083.340898158804,1.188184872874886e-09,1.1340096215533038e-10,2.9972838057843733e-09
3.508734455902715e-06,-2854.121504525305,-20598.76672008725,19497.200833590246,1.1989490604107058e-09,1.487627953697373e-10,2.967116165512426e-09
3.8189133047818546e-06,-2859.9794558919616,-19986.556453051544,19590.7265143097,1.2122203997868752e-09,1.849528172115862e-10,2.941181768069018e-09
4.156512558225988e-06,-2930.4753378921105,-19582.30958084376,19399.662248799523,1.229794930713578e-09,2.1382299232514424e-10,2.9208170423647538e-09
4.523956232538058e-06,-3077.8700860079703,-19443.567998969327,18876.79502588691,1.2490069912707145e-09,2.2748190409298633e-10,2.9193965798348763e-09
4.923882631706742e-06,-3344.950354452494,-19689.251072675535,17903.850053653587,1.2631223609691565e-09,2.190484251037117e-10,2.9620168129030323e-09
5.359163290848514e-06,-3763.0245344922564,-20377.861005291456,16394.04993613361,1.2658272398731482e-09,1.8718310971495647e-10,3.0579212988742234e-09
5.832923594286212e-06,-4311.313583822228,-21419.785729917297,14508.754788147478,1.2600720547875512e-09,1.4389548191239457e-10,3.1808651757965643e-09
6.348565216305224e-06,-4917.95209075214,-22573.922256125792,12603.12174801316,1.2542614685657287e-09,1.0958377501979052e-10,3.277635912956058e-09
6.909790545715645e-06,-5505.961057841127,-23567.561055193048,10973.227798062186,1.2536994672002451e-09,9.539875160683435e-11,3.314202647819005e-09
7.520629269592407e-06,-6011.332866411678,-24172.880463394544,9796.583151859712,1.2593765169943795e-09,9.478571402537795e-11,3.307038945219309e-09
8.185467307069021e-06,-6380.607804388931,-24206.028303347728,9145.453242028401,1.2691333812190894e-09,9.436257675688358e-11,3.294289294147672e-09
8.909078300934142e-06,-6621.9117822885255,-23726.242629295244,8935.288666538234,1.284006544879911e-09,9.078468863329513e-11,3.306882371852032e-09
9.69665789314552e-06,-6813.534859779421,-23103.05394756383,8927.178031632815,1.310241180615484e-09,9.462999260235289e-11,3.363346466579178e-09
1.055386103036523e-05,-7027.2589655667,-22703.257322022764,8858.620221665264,1.3512116423271945e-09,1.174328382743034e-10,3.4653619238124006e-09
1.1486842567375548e-05,-7278.62942056331,-22665.401169406083,8598.208568775648,1.4020039973349067e-09,1.569061917312161e-10,3.5985102847407477e-09
