tau,gamma,gamma_lo,gamma_hi
1e-07,1.4558216885079314e-05,5.841226771751765e-07,4.1222395163098234e-05
1.1097524964120721e-07,7.450451580158432e-05,3.0437215698610924e-06,0.00021092290181834173
1.2315506032928263e-07,0.00025757024711388165,1.0971460635822984e-05,0.0007288366500196529
1.3667163564620074e-07,0.0006152564066461836,2.8653604338952628e-05,0.0017389383324147875
1.5167168884709241e-07,0.0010641605889252011,5.827852572256946e-05,0.002999227147028893
1.6831803533309585e-07,0.00144230740224501,9.90704769154256e-05,0.00403821398516041
1.867913599020781e-07,0.0016806896820796894,0.0001453366918835316,0.004638953259636857
2.0729217795953698e-07,0.0018020798567650964,0.000186106325094101,0.004846752795285914
2.300430119772917e-07,0.0018470582685925253,0.00021264712200568114,0.004798796352475542
2.5529080682395163e-07,0.0018492339714908349,0.0002201946763268861,0.004663071119105454
2.833096101839324e-07,0.0018252119063230914,0.0002085885676773481,0.004525257720030978
3.1440354715915e-07,0.0017833666960799317,0.00018482865963892757,0.004366823484321612
3.489101213406774e-07,0.0017239314612333087,0.00015528576801347382,0.004147720900085357
3.872038781812557e-07,0.0016506001056294831,0.00012197076107054922,0.003910371493752267
4.2970047043208437e-07,0.001567517135941775,8.74347379395588e-05,0.0037232640966074074
4.768611697714474e-07,0.0014850638435822156,6.291805023220407e-05,0.0036035596456585463
5.291978735958437e-07,0.0014172509166804125,6.418288997167064e-05,0.003527010334988436
5.872786613189477e-07,0.0013736628301535957,9.248271963565846e-05,0.003479002852524749
6.517339604882421e-07,0.001359795022888901,0.00013205953669657614,0.0034636771706499795
7.232633896483533e-07,0.0013730246039394733,0.0001637073643847179,0.003473895602005808
8.026433522257174e-07,0.0014030212622972603,0.00016994441152575837,0.0034874813716547865
8.907354638610439e-07,0.0014353757159351543,0.0001462456270771941,0.0034879438944850783
9.884959046625586e-07,0.0014585538648251763,0.00011162781546252898,0.003494175882825572
1.096985797892384e-06,0.0014664944852438985,8.79849663769348e-05,0.0035236533378527417
1.217382727739662e-06,0.001473011872830176,8.039126857922647e-05,0.003573227570553225
1.3509935211980278e-06,0.0014955587796622195,8.467415456494854e-05,0.0036209882645834583
1.499268432786047e-06,0.0015358675898802107,9.92657300553106e-05,0.003657034743137358
1.6638168860761274e-06,0.001581417452927852,0.00012422103680930657,0.0036852773007153986
1.8464249428955464e-06,0.0016252628066869255,0.00015202783422054285,0.003732298697472066
2.049074689815846e-06,0.0016700979010171437,0.00016716182541859416,0.003841841551555397
2.2739657523579273e-06,0.0017194703684235472,0.0001649272618875006,0.0040196833005664775
2.523539170434766e-06,0.0017775338368770195,0.00015955963155913768,0.004217737453769811
2.800503894183631e-06,0.0018456041944566945,0.00016350322374994572,0.004388667959204409
3.107866187782014e-06,0.0019276200426407398,0.00017386068201777713,0.004544234546532949
3.4489622604057595e-06,0.002025054177282442,0.00018627497245223001,0.004710037103521651
3.827494478516315e-06,0.0021414436525429453,0.00021305480829716738,0.004901127167947848
4.247571552536894e-06,0.002276691138475103,0.00027355502505115324,0.005107118497869917
4.713753134116729e-06,0.0024298551669147592,0.0003690414497773517,0.005306838329629164
5.2310993080562585e-06,0.0025947934005122186,0.000481862344397289,0.005476164992505597
5.805225516094895e-06,0.0027648120189450627,0.0005943537972862427,0.0056362374888960075
6.44236350872137e-06,0.0029353018463521593,0.0006882942115360588,0.005862505935443278
7.149428986597577e-06,0.003113761092026905,0.0007401836424113624,0.0062030937358944025
7.934096665797492e-06,0.003330849451190291,0.000726338862917497,0.006651198677436881
8.804883581643465e-06,0.0036066872974962337,0.0006624649119361779,0.007180396918299375
9.771241535346501e-06,0.0039345950512733345,0.0006525955982541565,0.007793078774767032
1.0843659686896109e-05,0.004296296072546769,0.0008054002880779558,0.008480244557999873
1.2033778407775906e-05,0.004707426870698569,0.0011049248545970487,0.009212880482746452
1.3354515629298974e-05,0.005197004205085616,0.0014592119769003364,0.009957665032094868
1.48202070579886e-05,0.005786429043898623,0.0018350964230777938,0.010799042110196463
1.6446761779946626e-05,0.006474353083610817,0.0022583710313053545,0.01188382489197967
1.8251834943190462e-05,0.007253151307591045,0.002744191695113203,0.01319813526075673
2.0255019392306664e-05,0.008109597617414558,0.003266911193866829,0.014508808702811038
2.2478058335487252e-05,0.009043626052410552,0.0038116786361989748,0.015669714218840412
2.4945081352303165e-05,0.010089518464801142,0.004407263341381372,0.01683624621889898
2.7682866303920665e-05,0.011271147644461825,0.005087078254248305,0.018195609032250194
3.072112998861759e-05,0.012599285654959779,0.005864599913380255,0.01980153321995527
3.409285069746814e-05,0.01404958663164591,0.006717225848309343,0.02161890199302305
3.783462617131933e-05,0.015620383239888298,0.00760885871048507,0.023742254261747746
4.1987070844439056e-05,0.017302499275688877,0.008512201570086598,0.026310917674524533
4.659525668664687e-05,0.01914045763844786,0.009537648569247301,0.029378253747758723
5.170920242896755e-05,0.02119421416410978,0.01088822242169333,0.03280444925588292
5.7384416483024044e-05,0.023488695138381328,0.012603593263296917,0.03632247154187633
6.368249944718586e-05,0.02599579805614609,0.014463674905278388,0.03961469300762958
