tau,gamma,gamma_lo,gamma_hi
1e-07,1.8626961332072036e-05,7.451973078383298e-07,5.699352222474257e-05
1.1097524964120721e-07,9.528188844042202e-05,3.929518104958137e-06,0.00029111012008473753
1.2315506032928263e-07,0.00032902665240550674,1.4540798864660134e-05,0.0010017301483096826
1.3667163564620074e-07,0.0007839138454929892,3.993361579753684e-05,0.0023673888921992695
1.5167168884709241e-07,0.0013486681123588836,8.752918434093077e-05,0.004004026439765749
1.6831803533309585e-07,0.0018114651161809507,0.00016072583694552568,0.005217882608637627
1.867913599020781e-07,0.002086713638213803,0.0002484861067518847,0.005767106179185764
2.0729217795953698e-07,0.002212301514031791,0.0003259197101952517,0.005851015504237885
2.300430119772917e-07,0.0022424314633445455,0.0003769341492446264,0.0056916366974366665
2.5529080682395163e-07,0.002213545938208612,0.0003982427532280277,0.005413323666945222
2.833096101839324e-07,0.0021421617431503837,0.000387999188177594,0.0050750349931330445
3.1440354715915e-07,0.0020429895768419803,0.00034383046928355916,0.004742463550919735
3.489101213406774e-07,0.0019239371716335055,0.00026876948144629177,0.0044582517204241065
3.872038781812557e-07,0.001795262108624755,0.00018529682586894528,0.004230871145322556
4.2970047043208437e-07,0.0016649802638245038,0.00012051833650861541,0.00404749171228819
4.768611697714474e-07,0.001540682428879175,8.128902180612388e-05,0.0039040412635183317
5.291978735958437e-07,0.0014285829328807439,6.0109325767987317e-05,0.0037943917915647303
5.872786613189477e-07,0.0013282612696490488,4.920683845624347e-05,0.0036813690013623
6.517339604882421e-07,0.0012369248049959715,4.4136455582628804e-05,0.003506207759804856
7.232633896483533e-07,0.0011551061112271236,4.173965827600411e-05,0.003256233182154895
8.026433522257174e-07,0.0010927691552162558,3.8872116600237484e-05,0.0030031334671678078
8.907354638610439e-07,0.001054451827458311,3.4384725781584065e-05,0.0028158211421390393
9.884959046625586e-07,0.0010337223716044613,3.1029207336233676e-05,0.002721694505632383
1.096985797892384e-06,0.001020035374825513,3.251513292285243e-05,0.0027109914508238317
1.217382727739662e-06,0.0010107118903315336,4.025122797463769e-05,0.0027442176838058012
1.3509935211980278e-06,0.0010066558410919938,5.3155234033928496e-05,0.0027698936802613306
1.499268432786047e-06,0.0010097133512738249,6.701216488317295e-05,0.002766824580592581
1.6638168860761274e-06,0.0010207655651049813,7.556220426504388e-05,0.0027416022152530637
1.8464249428955464e-06,0.0010401009539453268,7.58896613205979e-05,0.0027248741498762073
2.049074689815846e-06,0.0010679176721178352,6.926478561964676e-05,0.002764968727281154
2.2739657523579273e-06,0.0011034488631768687,5.885855398019234e-05,0.00287866915099734
2.523539170434766e-06,0.0011467114103460472,4.9737726759271614e-05,0.0030361992363384825
2.800503894183631e-06,0.0011972455800695401,4.686048575463516e-05,0.003201228292461076
3.107866187782014e-06,0.0012583032767332,5.361452146920795e-05,0.0033691840968380457
3.4489622604057595e-06,0.0013343910074068816,6.988840989797624e-05,0.00354436586927576
3.827494478516315e-06,0.001435944094217388,8.86603132325638e-05,0.0037355862618851992
4.247571552536894e-06,0.0015749751997624973,0.00010342734212132374,0.003953141470291181
4.713753134116729e-06,0.0017630073911470347,0.0001244756287904884,0.004233850937072204
5.2310993080562585e-06,0.002007371302305787,0.00017536522574798744,0.004625291319903925
5.805225516094895e-06,0.002311055521321625,0.00026874678149238306,0.005136607343857316
6.44236350872137e-06,0.002667509589226142,0.0003963875688070432,0.005720330253122917
7.149428986597577e-06,0.0030658573319405583,0.0005358925082056511,0.006319660055801452
7.934096665797492e-06,0.003492151471178843,0.0006524114478867706,0.0068998725902571275
8.804883581643465e-06,0.003938583542661064,0.0007297496487198308,0.007466489772639411
9.771241535346501e-06,0.004424280098494957,0.000805838557226787,0.008117708775996102
1.0843659686896109e-05,0.0049669686654649275,0.0009433752971611115,0.008942079680325869
1.2033778407775906e-05,0.005572233836664165,0.00119294390914695,0.009920870115529735
1.3354515629298974e-05,0.006220362901975643,0.0015824785417264489,0.010945767028580874
