tau,gamma,gamma_lo,gamma_hi
1.591549430918952e-08,-6106.364566031158,-25964.387461989252,9257.628183012752
1.7867812560421824e-08,-7824.826828969267,-31800.807910497377,11136.267541083897
2.005961734471732e-08,-8864.241065670049,-33978.90530949392,11572.720044792679
2.252028594187269e-08,-9485.731001048976,-34244.32391094018,11136.018834363176
2.5282799277189088e-08,-9822.086563120727,-33868.37323042719,10105.060755545903
2.838418397264268e-08,-9873.240718523612,-33390.372364925184,8769.639134265242
3.186600862348808e-08,-9659.274569017809,-32954.004012853446,7935.565318679119
3.577494095200775e-08,-9191.335412829327,-32459.172736706223,8187.209084631772
4.016337330607136e-08,-8514.934968863708,-31778.55246314876,9168.691966746565
4.509012488621078e-08,-7619.585326925111,-30637.691050678182,10345.849118981565
5.062123011332678e-08,-6454.657469947563,-28748.96602666224,11673.431450932056
5.6830823703707125e-08,-4999.924889384639,-26006.116529939674,13370.798679501633
6.380213431422645e-08,-3416.4352323208345,-22962.0113074503,15672.92938643725
7.162860007579049e-08,-1887.2880960495759,-20254.207055899624,18488.638852283675
8.04151209667842e-08,-532.5162324794563,-18308.702193093693,21151.008974404802
9.027946481238236e-08,613.5617081475209,-17169.567528026808,23025.624191102637
1.0135384575466514e-07,1607.5110769604064,-16432.839512921688,24128.505907952105
1.1378669635014834e-07,2485.1955444705563,-15675.225618312985,24743.91224491091
1.2774465704657205e-07,3196.1807403857056,-14832.095378068983,25266.95150852198
1.4341480970437752e-07,3692.778580351262,-13954.904734308353,25713.88750058152
1.6100718509929052e-07,4023.6853065683763,-13129.200290532517,25571.30960093551
1.8075757801466393e-07,4230.6570308593045,-12452.236689630165,24497.103480121597
2.0293070765492995e-07,4304.855327550026,-12094.1173495697,23033.760264093376
2.27823765739934e-07,4228.196746130988,-12060.664875731625,21734.17784783715
2.557703998361009e-07,4037.297974062881,-12092.087522580703,20716.543102688065
2.871451853139659e-07,3737.368153383322,-12069.258828440261,19951.082573044125
3.223686458707801e-07,3285.1245364203824,-12322.083271407024,19562.966333447803
3.6191288990944465e-07,2674.794404935845,-13031.0776475578,19484.93530788548
4.063079383195004e-07,2027.0970330038529,-13861.397943456384,19279.921789755095
4.561488284729225e-07,1399.2260992477752,-14499.331366165234,18573.8535127519
5.121035896512619e-07,698.317086764777,-15065.062545344563,17465.23719551386
5.749221968006775e-07,-120.02057083894485,-15756.115581774693,16163.155440926124
6.454466226241624e-07,-896.6292143547588,-16699.409867076996,14895.919914925791
7.246221227415427e-07,-1467.6758421763407,-18076.51027258818,13843.073779393759
8.135099051749273e-07,-1780.6893553360924,-20098.247490317466,13229.81183699943
9.133013539717286e-07,-1813.029874614281,-22147.335172168823,13279.79853974569
1.0253339976078522e-06,-1555.042546950806,-22442.54240964275,14136.777940978092
1.1511094361993492e-06,-1083.136552896199,-20304.628688139634,15456.624884614019
1.2923134678052113e-06,-635.1285461560351,-17628.992430639253,16227.425797454489
1.450838683578915e-06,-369.1842634051999,-16074.345504719378,15921.996090072696
1.6288098346169e-06,-242.40896679661796,-15615.913625025718,15221.556964623247
1.8286123105018756e-06,-169.26540531224794,-15671.163632528227,14866.724278671785
2.0529241112456008e-06,-116.33915186440865,-15836.489871006464,15044.953351005115
2.3047517411587692e-06,-110.04214887136233,-15931.016552239837,15381.913037106162
2.5874705057418813e-06,-214.31604417019054,-15974.245418930563,15123.917996615764
2.9048697517061426e-06,-406.2690674752191,-15949.601893952164,14137.654168398678
3.261203656486838e-06,-517.8023606621786,-15772.265900384296,13408.730771165332
3.6612482479934104e-06,-447.08205812841237,-15418.10272722921,13519.831497720486
4.1103654188451205e-06,-266.7852238837087,-15070.491248964907,13983.84227892872
4.614574793090704e-06,-73.59371920370012,-14904.37807002648,14332.886651004357
5.1806344086582525e-06,77.80435709078407,-15006.693145492782,14670.527872222941
5.816131296941883e-06,163.2502994212567,-15232.518715517475,15068.91266032487
6.529583173584291e-06,176.85211719438053,-15238.16833257839,15306.509029211342
7.330552603441563e-06,134.6554266975154,-14955.393979235234,15239.545122033202
8.22977516990962e-06,84.99868945791383,-14832.213009100295,15055.3225888866
9.23930336649703e-06,82.67729813487176,-15188.232650372927,15003.133618555798
1.0372668139256164e-05,172.4898623975323,-15927.080958603576,15278.123225957814
1.1645060245265295e-05,345.1071548380756,-16663.136802924182,15788.369402185068
1.307353385795125e-05,523.3679030307188,-16885.781520062916,16141.178200867442
1.4677235148224398e-05,671.1929238635236,-16512.888432637785,16139.261406934398
1.6477658905151708e-05,837.6612581203574,-16089.458579132965,16005.874074805182
1.8498936635717334e-05,1102.0153713270693,-15894.543916179604,15953.09320234544
2.076816000513836e-05,1544.4635259694442,-15685.068079366107,16091.823668037487
2.3315743952885054e-05,2215.5932425624806,-15276.395482804384,16619.91710215761
2.6175834351333628e-05,3117.7533909685417,-14815.08188703973,17920.78019271811
2.9386765670999655e-05,4249.797453519557,-14380.932114028283,20194.119702332384
3.2991574786545125e-05,5600.618819277206,-13826.49402665328,23265.81707345258
3.7038577810226186e-05,7169.90216556889,-12799.02377193535,26741.924052608436
4.158201768421357e-05,8948.362691951248,-10934.39277052574,30107.722703944863
4.6682791211623425e-05,10959.532496613338,-8441.33437879379,33336.11122955025
5.240926527082333e-05,13234.429361740276,-6299.027181569744,36992.14585939665
5.883819315293296e-05,15795.989932700777,-5102.658041038243,41478.22711108835
6.605574330440231e-05,18632.091807833305,-4806.356208293671,46762.44183128048
7.415865426315532e-05,21817.08230385355,-5328.885133051738,52776.037949419595
8.325553126817462e-05,25521.18062263241,-6724.50824108764,59685.17013859793
9.346830192130171e-05,29991.831269434933,-8879.292960746876,68448.42840328635
0.00010493385041182419,35520.83572657814,-11820.976469504216,80965.75926986875
0.00011780585220775943,42540.52607912053,-17504.775462573365,99459.97161601008
0.00013225683380462924,51834.384658588235,-30250.379131466732,126900.0709311367
0.0001484804851390328,65452.20782280882,-53870.68478093444,169379.31607895574
0.00016669425566084357,88491.23637268473,-89296.82217508103,238715.53351913238
0.0001871422688598016,133026.01585572437,-130732.45824202697,355794.6854397766
0.0002100985943105955,222959.31159059287,-157656.61516463495,552211.3331702455
0.00023587092109242795,395409.38855709333,-127693.98516055287,863456.7480211149
0.0002648046818187809,689210.9785558943,17761.996051798873,1312845.502475187
0.0002972876825527302,1098477.2060507005,296999.6932204554,1879941.6169973426
0.0003337553006636631,1559340.677137304,672729.9251245497,2494239.166523574
0.0003746963202935068,2021023.425822696,1101252.2048385784,3127161.9533708966
0.000420659483646606,2441565.8354854314,1526093.8541854,3761090.1524303863
0.00047226084591174366,2764948.4162060497,1872223.4996181761,4267688.599117961
0.0005301920323960706,2915677.452733974,2045729.5184998002,4422715.198710099
0.0005952295085432697,2883398.807063619,2029199.31766014,4236559.781028102
0.0006682449870842084,2725900.534938915,1882864.6451742928,3959584.1123232935
0.0007502171118095907,2477632.502918013,1644489.9826744734,3669937.672096435
0.0008422445745649862,2146178.119844485,1324992.3499221306,3243809.6629746584
0.0009455608412784355,1761572.6725019242,965271.2804612983,2673026.540766242
0.001061550684397073,1394151.4203264809,651046.6014684772,2126451.301897519
0.0011917687433209423,1085740.313966851,423228.56777919614,1698062.480131054
0.0013379603616039027,848943.2426658493,274898.47815314215,1375456.5050465474
0.0015020849802075764,678558.790573268,187004.81349468284,1126535.1533775115
0.0016863424003536742,564717.6098487049,144616.6558326984,937539.4150304762
0.0018932022679819405,493846.6208496686,137498.9270759991,801707.719100242
0.002125437175000908,451195.97730608645,156619.70271502086,713779.639801012
0.0023861598209953825,424510.6032703487,188627.614323863,657831.8097113555
0.0026788647334778475,404773.9516953405,215507.23707350178,610964.5677010978
0.003007475105870214,387583.79050089483,228128.07165834212,563859.0752253358
0.0033763953809965116,372309.7941286723,226490.52063628516,521993.5703206439
0.003790570284875549,359699.3816140003,215790.76793427102,490949.30174748076
0.004255551102057483,350847.115079465,203946.10275137788,472765.6184066676
0.0047775700808083636,345437.6323418106,196867.93591010504,464255.98360803176
0.005363623965413003,341967.1462431675,197570.07254370872,459194.0755962393
0.006021567775199457,339527.975854825,203939.1517870069,454893.1688641408
0.006760220087227637,337925.7651248747,210527.38167341446,452420.7739427788
0.00758948123377093,337359.4098052676,215575.28858860914,453773.97569253197
0.008520465998819712,337917.26018528146,220569.59219279513,460180.0940553722
0.009565652592169517,339353.9549455846,225986.9274370677,470384.19167250546
0.010739049897828893,340982.2228078078,230722.98835440885,480504.99665367504
0.012056385238417094,342690.6112645819,234871.0851999418,487141.9683302087
0.01353531517220236,344639.9694048837,239090.6146514752,487733.4399231124
0.015195662148143557,347193.86399762053,242399.90147803488,483361.1325200314
0.017059680190878872,350419.15701654914,242881.09642347603,477727.83972046076
0.019152353176700516,354326.0796919686,242304.58443511874,474901.07540804485
0.021501729698379126,358696.3938407514,244445.62357521974,477786.0845442867
0.02413929900711063,364124.3404497874,248946.3523790463,486033.95457512554
0.027100413070424684,371318.2253024524,251853.35392011362,497028.44693895767
0.03042476040299703,380591.6007052891,251817.20039964234,510968.54260594293
0.03415689802123264,391562.95020933927,250819.8493913554,529736.3901357098
0.038346848651533164,404749.2134377367,253881.2532280111,554252.7121614659
0.04305077119677288,420735.01402723417,265991.4775342421,582791.140171403
0.04833171344740447,439857.77506200055,285377.4334302618,612265.4786882909
0.054260457125960226,461407.7899318533,305446.7514391762,638621.8974635098
0.06091646659128073,485056.01285975415,323989.71281801944,662721.8853780632
0.068388953918179,510165.2027938082,341937.7686285403,688099.6508623986
0.07677807462805564,537439.6384614911,360077.44178455975,718823.5324230182
0.08619627009712631,567274.7328544768,377928.92004241503,756858.0879854193
0.09676977463487751,599792.1893547586,396260.1760427183,801653.4073548327
0.10864030743248114,633496.7835137041,415930.11911021936,849180.2506352337
0.1219669720587539,667487.1514953205,437374.9031743541,896338.8618553417
0.13692838896305684,700168.3989210186,459534.6790469856,940802.171072809
0.1537250895675777,731783.2961093994,481467.2259384737,986968.0465684966
0.17258220403758284,761776.1617895087,501885.74651763384,1037196.4336662727
0.19375247875446208,789298.5378142492,521818.3931194235,1081265.5353818906
0.21751966393547315,812092.3061055221,541729.4972608999,1103799.9039852964
0.24420231680525806,831248.3139948193,559404.1165983756,1113741.9687115739
0.2741580712939414,848123.1989150641,569457.7783632674,1130542.8270344008
0.30778843148958807,864025.1967081828,568843.9983479436,1157611.8646590824
0.34554415309280145,879364.2706571292,557010.0558295574,1187889.8324043164
0.3879312850023751,898595.8309839363,540439.1798441571,1229158.2850798704
0.43551795200880533,926070.3033446225,526789.7242853068,1294975.1744814948
0.48894196950571484,962797.0371095347,515545.89110824605,1386919.2584335108
0.548919392280973,1007447.3088739903,496353.0293995887,1498756.5798799403
0.6162541119689888,1065836.0595499738,454419.8308913486,1638590.483948536
0.6918486318011082,1149475.062011183,390822.86079338513,1826535.5070827657
0.7767161630706528,1277272.2320061761,359953.78675945266,2096130.8552542005
0.8719942054443919,1472088.9132788263,423090.3980072754,2491265.9118637657
0.9789597931405863,1757805.0000714192,551520.2928234168,3062721.5130039672
1.0990466113217487,2155706.389595749,673246.5745720076,3837420.06014776
1.233864212117192,2681927.0117969587,772241.1021118183,4780543.012697841
1.3852195878322824,3350001.657479926,873926.7192008509,5881850.398239483
1.5551413904952354,4180511.216571896,1017574.3517339951,7325586.33197433
1.7459071223618001,5162141.775187174,1270386.63766407,9301620.069362761
1.9600736618185897,6201249.709992145,1738292.9613155373,11679409.567067573
2.200511533831068,7101954.088961865,2408957.6214454058,14098540.811494721
2.470443384270985,7623794.810835542,2895000.3531119665,16226388.05250161
2.773487173804032,7546858.87570458,2733568.7533959295,17560992.75805655
3.1137046702753652,6922160.68323855,1986955.165344992,17391367.868301533
3.495655889548273,5909589.391449931,998562.9723704929,15241538.304689648
3.9244602144791143,4649637.65395306,38481.70922436042,12002775.6144631
4.405865011221046,3286681.5394074316,-700962.1202553413,9023517.130924774
4.946322662536717,2065195.906429287,-1088578.632681427,6780468.9147735955
5.553077050616188,1214423.9498664746,-1075016.0173400394,5158219.017245003
6.234260648549258,707640.9042137463,-836317.297508197,3895928.9224794777
6.99900352179289,406020.10895681736,-604920.283630098,2800771.929017499
7.857555700605551,220987.19372029678,-452319.38468778296,1861934.2901337477
8.821424563636052,115712.89927393889,-351374.29092436476,1151084.9389679024
9.903529074050867,62112.33257641192,-269799.40454922133,672925.7362559652
11.11837293546432,36601.50272944893,-193383.87453148217,388896.0689745569
12.48223898852059,24610.787054188386,-130249.57494370139,237507.6910001401
14.01340745367231,18524.523992344537,-92793.73564726216,163031.49507994758
15.7324009453141,14956.19633634668,-75637.55201784788,128270.23474832487
17.662259541255235,12507.35881914538,-66601.71231569498,111322.19514291153
19.828849594351098,10587.932219417078,-60592.4042917789,100884.7443486907
22.26121042537099,8956.100999766762,-57007.129030767865,91735.04413029426
24.99194354390691,7617.985392821617,-54832.4089442637,83317.4067344922
28.05764961414598,6613.410693592127,-52763.536011405165,76479.37952759444
31.49941902225974,5827.965641127762,-50819.99457302823,71216.80557442107
35.36338262060458,5108.752537116947,-49415.13248112222,66803.66774705207
39.70133003048507,4436.137143260772,-48427.85374973875,62616.554801701
44.571403790742764,3850.31964031668,-47295.08118062126,58305.44188876171
50.03887865600451,3374.1114436563275,-45605.82295622063,54299.85123369139
56.177036489714474,2987.203674009758,-43314.943908849906,51125.59019169963
63.068148478343346,2621.3430234493726,-41297.604452766675,48970.87290813876
70.80457783163128,2216.2845167876935,-40285.01570928753,47637.1406319825
79.49001774861043,1798.4851176544157,-39935.756085478264,46735.20164962769
89.24088124216772,1431.657815209982,-39478.349884166,45891.68343397824
100.18786145028714,1171.0622453827839,-38657.5933749902,45159.07430275993
112.47768334720396,1022.5297314365184,-37518.976980578016,44383.21813336689
126.27507033305953,900.7044345769655,-36240.62876070266,42728.05792415792
141.76495206073764,720.0387035779285,-33948.29700430056,38643.79854339163
159.15494309189538,491.81222244718265,-28145.23991291145,30595.94877016809
