freq,Zreal,Zimag,Zlo,Zhi,sigma_re,sigma_im
(1000000+0j),(0.9980162097930194+0j),(0.026768886498467946+0j),(0.982147661815308+0.009125557738884063j),(1.014649158431079+0.05347355771528858j),0.001582046772346334,0.0009433327971931025
(794328.2347242822+0j),(0.9979806390033591+0j),(0.021291781526745955+0j),(0.981182362787063+0.009022358628101773j),(1.0153877877344821+0.040980778078023944j),0.0018517084349835948,0.0009455991989881574
(630957.344480193+0j),(0.9979440320002037+0j),(0.016932577156893724+0j),(0.9800785563896383+0.008989507350682982j),(1.016243511621926+0.030979126615734983j),0.0015821383615646214,0.0009428876327163655
(501187.2336272725+0j),(0.9979091278732758+0j),(0.013459442986017821+0j),(0.9788742204689722+0.008974083867078845j),(1.0171942103431542+0.022980351534587048j),0.0015833822717561561,0.000943131557807969
(398107.17055349686+0j),(0.9978780680109884+0j),(0.01068918800893125+0j),(0.977609172426646+0.008947422091587772j),(1.0182156250820196+0.016589008116144867j),0.0017295787784459883,0.0009429892982570885
(316227.7660168379+0j),(0.997851989604443+0j),(0.008476815330434656+0j),(0.9763167343100165+0.008899994638999546j),(1.0192861230486459+0.01148299551968851j),0.0018346144600105056,0.0009435436516036426
(251188.6431509582+0j),(0.9978311293229272+0j),(0.006707045719539141+0j),(0.9750198553843757+0.008833697855374387j),(1.020389144859492+0.007399819265427569j),0.0015828589273522424,0.0009432530298516315
(199526.2314968879+0j),(0.9978152881356148+0j),(0.00528771266157234+0j),(0.9737315517646824+0.008754810252594954j),(1.0215137319384866+0.004126128983769932j),0.0015906607400658212,0.0009432978333368479
(158489.3192461114+0j),(0.9978043424949787+0j),(0.00414498817302621+0j),(0.9724577726741099+0.008669766100662071j),(1.022654007851952+0.001489401688245488j),0.0020404364946225617,0.0009426750137145116
(125892.5411794166+0j),(0.9977985475815921+0j),(0.003219702070400162+0j),(0.971200616320776+0.008583676180506185j),(1.0238082184393549-0.0006492433622591037j),0.0015956475334328825,0.0009439416661572489
(100000+0j),(0.9977985629503717+0j),(0.0024635966751474967+0j),(0.9699606917335024+0.008499039658258205j),(1.024977521187851-0.0024020964839873613j),0.0023197466197964205,0.0009431267143440578
(79432.82347242821+0j),(0.9978052878091139+0j),(0.001838893074800729+0j),(0.9687384157838193+0.008418908313541041j),(1.0261645560949078-0.0038572272033776263j),0.0015794390040878143,0.0009433860694230104
(63095.7344480193+0j),(0.997819649147454+0j),(0.001314753080934961+0j),(0.9675344873322073+0.008345537812388509j),(1.0273719712621627-0.005085305312848372j),0.0016605202838832684,0.0009438960166691871
(50118.72336272724+0j),(0.9978424448727822+0j),(0.0008656093176348644+0j),(0.9663497849188155+0.008281011238297359j),(1.028601242168293-0.006143624507364956j),0.0015830639029365576,0.0009430186710241986
(39810.71705534969+0j),(0.9978742501077508+0j),(0.00047269966849527415+0j),(0.9651849591939194+0.008231167987097367j),(1.02985206719467-0.007076337386804887j),0.00168605977911901,0.0009430375700791767
(31622.776601683792+0j),(0.9979153220107856+0j),(0.00011866451315421063+0j),(0.964040094767763+0.008200444643563114j),(1.0311223979906816-0.00792438490786299j),0.0015849117642579918,0.0009440397216213451
(25118.864315095827+0j),(0.9979654459067829+0j),(-0.0002117386486493972+0j),(0.9629146488330967+0.008195086026737408j),(1.0324089661590279-0.008726066942534918j),0.0016005388063796682,0.0009431034380029827
(19952.623149688792+0j),(0.9980237442751114+0j),(-0.0005321186135902461+0j),(0.9618074890977547+0.008222648453881265j),(1.0337080687948002-0.009518732571253736j),0.0015907652244074922,0.0009433177430212892
(15848.93192461114+0j),(0.9980885497868319+0j),(-0.000856024284667256+0j),(0.9607167630843549+0.008292026800290595j),(1.0350163138578634-0.010341089053474268j),0.004995736319564662,0.0009577793276413989
(12589.254117941662+0j),(0.9981574384853497+0j),(-0.0011980460397645065+0j),(0.95963961312714+0.008413793107256293j),(1.0363309960116882-0.01123468809276855j),0.001583784736320855,0.0009441385583336132
