freq,Zreal,Zimag,Zlo,Zhi
(1000000+0j),(0.9952889574343379+0j),(0.0028683848957774386+0j),(0.9823774953351281+0.005984729515469182j),(1.008056066487134+0.003196021993703331j)
(794328.2347242822+0j),(0.9954221421228986+0j),(0.0020015080273439395+0j),(0.98142746352038+0.006739419711210745j),(1.0093929890182378-0.00015148106354449364j)
(630957.344480193+0j),(0.995573523024893+0j),(0.0012998636844793496+0j),(0.9803214894978939+0.007458136212271245j),(1.0109262090146074-0.0029411923345484584j)
(501187.2336272725+0j),(0.9957350158511251+0j),(0.0007337964139374833+0j),(0.9790848591437772+0.008119928285172814j),(1.0126053329075513-0.005247776908071345j)
(398107.17055349686+0j),(0.9958967583755696+0j),(0.00027651543156160705+0j),(0.9777451852595594+0.0087176600111905j),(1.0143757565028704-0.007150573299145736j)
(316227.7660168379+0j),(0.9960488148092234+0j),(-9.847087287698475e-05+0j),(0.9763263783443863+0.00925508226243927j),(1.016189467142765-0.008734750973033448j)
(251188.6431509582+0j),(0.9961826339350148+0j),(-0.00041812041641335634+0j),(0.9748456819141224+0.009741693246202878j),(1.0180110068046786-0.010088337539467451j)
(199526.2314968879+0j),(0.9962920091245364+0j),(-0.0007102439890478609+0j),(0.9733136151631796+0.010187997659371232j),(1.0198184224613471-0.011298033703347794j)
(158489.3192461114+0j),(0.9963735853742645+0j),(-0.0010032890628064674+0j),(0.9717360876142833+0.010603759561431706j),(1.021600743820932-0.012445884183747981j)
(125892.5411794166+0j),(0.9964271069506707+0j),(-0.0013268752576925797+0j),(0.9701177918056747+0.010994740244890932j),(1.0233541917722668-0.013610498134148892j)
(100000+0j),(0.9964555501231395+0j),(-0.0017118748642830524+0j),(0.96846561438108+0.01136541918857036j),(1.025079123932953-0.01486985379281807j)
(79432.82347242821+0j),(0.9964651155283586+0j),(-0.0021902815752572347+0j),(0.966790621853642+0.011721738285984678j),(1.0267787714002938-0.016305109824097816j)
(63095.7344480193+0j),(0.9964648965508466+0j),(-0.0027955524526235764+0j),(0.9651076831891903+0.012074812598246144j),(1.0284595338120683-0.018005546181184225j)
(50118.72336272724+0j),(0.9964660050214625+0j),(-0.0035627725840421676+0j),(0.9634328775861254+0.012444643700424841j),(1.0301316496700135-0.020070780595884883j)
(39810.71705534969+0j),(0.9964800994205109+0j),(-0.004529227348070711+0j),(0.9617799058349494+0.012861565714715854j),(1.0318090133573747-0.022614001374837583j)
(31622.776601683792+0j),(0.9965175709868005+0j),(-0.0057377742425073035+0j),(0.96015705865724+0.013363685706228805j),(1.0335077438210878-0.025767971927666507j)
(25118.864315095827+0j),(0.9965858986095361+0j),(-0.0072400508575817665+0j),(0.958565639856755+0.013996916948931914j),(1.0352441556184895-0.029691248841451374j)
(19952.623149688792+0j),(0.9966887479768379+0j),(-0.009101081803012608+0j),(0.9569997215838973+0.014813773236580015j),(1.0370333833324932-0.034577989807891674j)
(15848.93192461114+0j),(0.9968263007417103+0j),(-0.011405982786881293+0j),(0.9554466122679686+0.015872825851674252j),(1.0388899180307907-0.040671665473350486j)
(12589.254117941662+0j),(0.996997100416933+0j),(-0.014267296984179247+0j),(0.9538875111338109+0.017239618587722307j),(1.04083095674436-0.04828158239556431j)
(10000+0j),(0.9972014342258607+0j),(-0.017832998840519105+0j),(0.9522978937686195+0.018988629361709315j),(1.0428830452008282-0.057801905087739476j)
(7943.282347242814+0j),(0.9974461352843692+0j),(-0.022295142090213826+0j),(0.9506470437873468+0.02120623567853449j),(1.0450923189546126-0.06973324399732997j)
(6309.57344480193+0j),(0.9977509240662289+0j),(-0.027899586082099474+0j),(0.9488962512653499+0.02399412755150406j),(1.0475390843859356-0.08470754992810481j)
(5011.8723362727205+0j),(0.9981570298622068+0j),(-0.03495743221340397+0j),(0.9469957217910352+0.027472428005385578j),(1.0503587474979932-0.1035173853020531j)
(3981.0717055349687+0j),(0.9987396928592353+0j),(-0.04385864225999546+0j),(0.9448807135209537+0.03178213471112596j),(1.053772928097636-0.12715016091873935j)
(3162.2776601683795+0j),(0.9996271374395048+0j),(-0.05508770348597826+0j),(0.9424672747884367+0.037087096886643696j),(1.0581365965182943-0.1568264677617962j)
(2511.8864315095802+0j),(1.0010297250909714+0j),(-0.06924006282648029+0j),(0.93964721797204+0.04357577259171152j),(1.0640094643219233-0.1940391989305656j)
(1995.2623149688789+0j),(1.003284254840368+0j),(-0.08703602932273634+0j),(0.9362815164332692+0.051461970846700726j),(1.0722629283032388-0.24058548341263497j)
(1584.8931924611124+0j),(1.0069195698482374+0j),(-0.1093252391106676+0j),(0.9321923843076798+0.06098222402336208j),(1.0842363848185703-0.2985744153586145j)
(1258.9254117941662+0j),(1.012749783635341+0j),(-0.13706843606589814+0j),(0.9271573261207279+0.0723870422623764j),(1.1019552793595915-0.3703783295138865j)
(1000+0j),(1.0219979088137452+0j),(-0.17127306979424883+0j),(0.9209126451506692+0.08592589392973837j),(1.1284116792380112-0.45847342701987415j)
(794.3282347242813+0j),(1.03643995944076+0j),(-0.21284539763315816+0j),(0.9131774273579956+0.10183352927967683j),(1.167875904809266-0.5650902832862468j)
(630.957344480193+0j),(1.0585289470789057+0j),(-0.2623102414505669+0j),(0.9037064322985746+0.12034101907590429j),(1.22614043608077-0.6915814069524205j)
(501.187233627272+0j),(1.0914017991033558+0j),(-0.3193589766479254+0j),(0.8923580426629572+0.14175625958536925j),(1.3104882581363917-0.8374501276462729j)
(398.10717055349687+0j),(1.1386003378104588+0j),(-0.38225404394199375+0j),(0.879104410911874+0.16666208030392146j),(1.4290607782423228-0.9991360600563699j)
(316.227766016838+0j),(1.2033112243785187+0j),(-0.4472828243194017+0j),(0.8638280324047365+0.19620868916937723j),(1.5892953616963839-1.1689616711801913j)
(251.18864315095797+0j),(1.2870751649534589+0j),(-0.5086826075647959+0j),(0.845742174864266+0.23228410899343535j),(1.7954090129728324-1.3350198549414993j)
(199.5262314968879+0j),(1.3883260618712288+0j),(-0.5595497463084054+0j),(0.8225123089515143+0.277131297328949j),(2.0456268220536518-1.4828773665943829j)
(158.48931924611125+0j),(1.5016206720310241+0j),(-0.5938895836695122+0j),(0.7896488345897332+0.33207355853264375j),(2.330668309985644-1.5993204849345903j)
(125.89254117941664+0j),(1.61847947393719+0j),(-0.6091298568906007+0j),(0.741046382365259+0.39566811705998883j),(2.635083899421396-1.6769675470397283j)
(100+0j),(1.7299790609490864+0j),(-0.6077125415769028+0j),(0.6710484649202959+0.46243636547206246j),(2.9417431027983056-1.7173554828957402j)
(79.43282347242804+0j),(1.8300331801250982+0j),(-0.5965996556132173+0j),(0.5772379941612916+0.5233727039006368j),(3.2377025922323805-1.7303841657373242j)
(63.09573444801929+0j),(1.917700117731811+0j),(-0.5846899517081872+0j),(0.46237810777369326+0.5683719416732641j),(3.518496666721517-1.7299668296809294j)
(50.11872336272725+0j),(1.9973700107207213+0j),(-0.5793211728379326+0j),(0.3343699163704864+0.5894561379988719j),(3.788681595960089-1.727932892418873j)
(39.81071705534969+0j),(2.0767950926232976+0j),(-0.5833952732501707+0j),(0.204262896022662+0.5833180269346904j),(4.058518821283911-1.7290123141954457j)
(31.622776601683796+0j),(2.1638168665181112+0j),(-0.5942411193588604+0j),(0.08321190521423982+0.5522310265723351j),(4.338404582356705-1.7289133123119744j)
(25.118864315095767+0j),(2.263036018167895+0j),(-0.604622738133552+0j),(-0.020495415421521113+0.5031001225358118j),(4.633296254799207-1.7161011263417898j)
(19.95262314968879+0j),(2.3737048724981844+0j),(-0.6055716437637162+0j),(-0.10330086741836297+0.4450204682007337j),(4.939276201405217-1.6766154643441005j)
(15.848931924611108+0j),(2.4897932722909384+0j),(-0.589968058382794+0j),(-0.16639956481460905+0.38629026167011804j),(5.243780500735729-1.6001084947332955j)
(12.589254117941664+0j),(2.602293930884712+0j),(-0.5552714168503325+0j),(-0.21397521795108043+0.3322203204765933j),(5.529612375599603-1.4844556449677484j)
(10+0j),(2.702621513400914+0j),(-0.5040929551219766+0j),(-0.25072509896177686+0.2847136202010562j),(5.780872744181979-1.336706532938977j)
(7.943282347242805+0j),(2.7853235969721792+0j),(-0.44254874115517784+0j),(-0.2801170079994255+0.24341410823867546j),(5.987792952030885-1.1701610467126047j)
(6.30957344480193+0j),(2.848935048637825+0j),(-0.3776315871446321+0j),(-0.3040365614383955+0.20726360612699032j),(6.148360974435923-0.9995923909315544j)
(5.011872336272715+0j),(2.895133163219187+0j),(-0.3150984876953964+0j),(-0.32336687070552905+0.17545135985801455j),(6.266841665385334-0.837233055528569j)
(3.981071705534969+0j),(2.9272009538063064+0j),(-0.25858001481555654+0j),(-0.33867062711784424+0.14758614619382224j),(6.350862341469252-0.6909228889499004j)
(3.1622776601683795+0j),(2.9487100532789197+0j),(-0.20970885337916478+0j),(-0.35053627838787693+0.12348641627414217j),(6.408747837574376-0.5642279311601753j)
(2.5118864315095766+0j),(2.962775338329413+0j),(-0.16870690439729452+0j),(-0.3596181129880055+0.10296729327608438j),(6.447889666498833-0.45757048944082024j)
(1.9952623149688788+0j),(2.971802757596688+0j),(-0.13499554296128163+0j),(-0.36655788613118057+0.08575468188970256j),(6.474115287526304-0.36951198795262064j)
(1.584893192461111+0j),(2.9775170055907205+0j),(-0.10764463370325639+0j),(-0.3719141337447246+0.07149499798232797j),(6.491685361883592-0.2977572533114312j)
(1.2589254117941662+0j),(2.9810961076759126+0j),(-0.0856436027387877+0j),(-0.3761339247026281+0.05979820801509166j),(6.503564482873951-0.2397926163140982j)
(1+0j),(2.9833187414084614+0j),(-0.06804080277138252+0j),(-0.3795565123164324+0.05027703243740046j),(6.5117479823703-0.19322933161184877j)
(0.7943282347242805+0j),(2.9846875347512434+0j),(-0.05400218381433445+0j),(-0.38243085584699255+0.04257135239370604j),(6.517548323180904-0.15595596086186958j)
(0.6309573444801929+0j),(2.9855210185847034+0j),(-0.04282630353241262+0j),(-0.3849352632320274+0.03635960550821908j),(6.521815036018484-0.12618280348223893j)
(0.5011872336272715+0j),(2.9860182316141914+0j),(-0.033938155665468525+0j),(-0.3871942039104481+0.031362085383075264j),(6.525092562638118-0.10243161121779544j)
(0.3981071705534969+0j),(2.98630257782456+0j),(-0.026874105268885052+0j),(-0.38929140298585907+0.0273403029822874j),(6.527728943997976-0.08350091657337294j)
(0.31622776601683794+0j),(2.9864508739954534+0j),(-0.021264180248002158+0j),(-0.39128015307130004+0.024094841930101973j),(6.529948215793963-0.06842332095109052j)
(0.2511886431509577+0j),(2.986512085355498+0j),(-0.016814731845946153+0j),(-0.3931920630993617+0.021462420423469488j),(6.5318970748986915-0.05642320564088007j)
(0.1995262314968879+0j),(2.98651895180103+0j),(-0.013292850793878602+0j),(-0.39504470514127976+0.019311875377032856j),(6.533673901438202-0.04687887709839597j)
(0.1584893192461111+0j),(2.9864947752551703+0j),(-0.010513125562062756+0j),(-0.3968476729729815+0.017538925012867655j),(6.535346048479268-0.03929070399852333j)
(0.12589254117941662+0j),(2.9864570189900035+0j),(-0.008326900135852668+0j),(-0.39860636480576284+0.016060353910200196j),(6.536959676852856-0.03325552002395583j)
(0.1+0j),(2.9864189413720528+0j),(-0.006613930931973863+0j),(-0.4003235210808892+0.014808879024427995j),(6.538545282735569-0.028446817927069636j)
(0.07943282347242805+0j),(2.9863901619676403+0j),(-0.005276173542639722+0j),(-0.40199945924863323+0.013729514020282661j),(6.540121132819821-0.02459969667049358j)
(0.0630957344480193+0j),(2.98637680460323+0j),(-0.004233313129730671+0j),(-0.4036322288264452+0.012777500320000856j),(6.541695906013164-0.021499267050748554j)
(0.05011872336272714+0j),(2.986381641047334+0j),(-0.0034194822147419384+0j),(-0.40521835591741284+0.011916898165535792j),(6.543271001191739-0.018971125551632873j)
(0.039810717055349686+0j),(2.986404431141894+0j),(-0.0027814354090957517+0j),(-0.40675386971967387+0.01111867187058497j),(6.54484228699741-0.016873757682601694j)
(0.031622776601683784+0j),(2.9864424718713938+0j),(-0.002277127246873144+0j),(-0.40823459487430125+0.010357086056773948j),(6.546400667422597-0.015091670149347144j)
(0.02511886431509577+0j),(2.9864913127988184+0j),(-0.0018734348300931678+0j),(-0.4096547866633614+0.009608622229745248j),(6.547931003749628-0.01352947866776465j)
(0.019952623149688792+0j),(2.986545617375853+0j),(-0.001545368146769015+0j),(-0.4110041299566368+0.008850921624275724j),(6.549409934969205-0.012109244005387189j)
(0.01584893192461111+0j),(2.9866001067623626+0j),(-0.0012746645546715314+0j),(-0.4122646263372801+0.008065800753637704j),(6.5508046730047855-0.010771880664506616j)
(0.01258925411794166+0j),(2.986650410854463+0j),(-0.0010486256680424392+0j),(-0.41341024882479727+0.007243656667508078j),(6.552075621349329-0.009481810317908483j)
(0.01+0j),(2.9866936198580474+0j),(-0.0008587086252707763+0j),(-0.41441185367666444+0.006390829088876046j),(6.5531841677328355-0.00822942719495769j)
