freq,Zreal,Zimag,Zlo,Zhi
(1000000+0j),(0.997420182748796+0j),(0.0012756721233852571+0j),(0.9848499428977334+0.004815817342682621j),(1.0093712034969415+7.749533169622291e-05j)
(794328.2347242822+0j),(0.9976380473184293+0j),(0.0003679129997557866+0j),(0.9840176753720353+0.005344539659678328j),(1.0108072803123425-0.0029400339642538485j)
(630957.344480193+0j),(0.9978953634281842+0j),(-0.00042980804427038657+0j),(0.9830569747149593+0.005809790398037381j),(1.012459429492728-0.0055100582254902j)
(501187.2336272725+0j),(0.9981865272366407+0j),(-0.0011442950722797781+0j),(0.9819931064418721+0.006188436715388464j),(1.0142792248200772-0.0076886761085001075j)
(398107.17055349686+0j),(0.9985045172743618+0j),(-0.0018019967511015691+0j),(0.9808528144131984+0.006468133095413947j),(1.0162145930074546-0.009540755024456006j)
(316227.7660168379+0j),(0.9988427348266504+0j),(-0.0024305853406946755+0j),(0.979659395413085+0.006644108700942423j),(1.0182198703142635-0.011140114118502223j)
(251188.6431509582+0j),(0.9991964777961218+0j),(-0.0030595748035620236+0j),(0.9784307539835152+0.006714807361743236j),(1.0202614820061213-0.012566153188094998j)
(199526.2314968879+0j),(0.9995638131733222+0j),(-0.0037204965572405387+0j),(0.9771795899202913+0.00667811895220855j),(1.0223198292147129-0.01389997088407168j)
(158489.3192461114+0j),(0.9999458991787433+0j),(-0.004447057793457712+0j),(0.9759147665398061+0.006528502333638023j),(1.0243884627394997-0.015221130621872194j)
(125892.5411794166+0j),(1.0003469589303247+0j),(-0.00527556910438144+0j),(0.9746434029152803+0.006255090582804134j),(1.0264713786071116-0.01660608902213794j)
(100000+0j),(1.000774133211237+0j),(-0.006245801003763442+0j),(0.9733731095792845+0.005841048843746798j),(1.0285794129658485-0.01812887748169473j)
(79432.82347242821+0j),(1.0012374412827174+0j),(-0.007402290643909823+0j),(0.9721135316083169+0.005263893944305591j),(1.0307271463818315-0.019864311101830654j)
(63095.7344480193+0j),(1.0017500985480825+0j),(-0.008796107417379087+0j),(0.9708769223341787+0.004495693185756051j),(1.032931768484256-0.021893081471906717j)
(50118.72336272724+0j),(1.0023293850362183+0j),(-0.010486840761360087+0j),(0.9696783576012622+0.003502625354683765j),(1.0352145442893639-0.024307107360029178j)
(39810.71705534969+0j),(1.0029980689221196+0j),(-0.012544583379002416+0j),(0.9685362596374689+0.0022439964161272375j),(1.0376042410860449-0.02721380672625121j)
(31622.776601683792+0j),(1.0037862120060577+0j),(-0.015051764959146412+0j),(0.9674733037406127+0.0006711299657422942j),(1.040141119610189-0.030738632587884795j)
(25118.864315095827+0j),(1.004733209740442+0j),(-0.01810489954079733+0j),(0.9665175833336674-0.0012738026288433857j),(1.0428804826997977-0.03502691074485881j)
(19952.623149688792+0j),(1.0058900925178886+0j),(-0.021816392388161392+0j),(0.9657041298653298-0.0036589384977359974j),(1.0458958402588856-0.040245699433343614j)
(15848.93192461114+0j),(1.0073222210834072+0j),(-0.02631643309068129+0j),(0.9650767096470535-0.00656363630588963j),(1.0492824109153935-0.04658623494767969j)
(12589.254117941662+0j),(1.009112485124509+0j),(-0.03175490578661559+0j),(0.9646893576602089-0.010078996525927262j),(1.0531614646137897-0.05426658571362645j)
(10000+0j),(1.011365101114169+0j),(-0.03830332321233826+0j),(0.9646073117926396-0.014308874405249701j),(1.0576855557718734-0.06353429679485363j)
(7943.282347242814+0j),(1.0142102374847315+0j),(-0.046156802007939784+0j),(0.9649080079006984-0.01937220750028481j),(1.0630448635705858-0.07466915406466532j)
(6309.57344480193+0j),(1.0178099485868781+0j),(-0.05553601299955768+0j),(0.9656835878629182-0.025406791024511786j),(1.0694755746931024-0.08798619047553982j)
(5011.8723362727205+0j),(1.0223661227247003+0j),(-0.06668869712242848+0j),(0.967046075169457-0.03257330110000195j),(1.0772716325901666-0.10383798056800765j)
