freq,Zreal,Zimag,Zlo,Zhi
(1000000+0j),(0.9995999133495965+0j),(0.0030345723117140926+0j),(0.9824470672081436+0.00399024130920308j),(1.0160903915228325+0.008409075139544423j)
(794328.2347242822+0j),(0.9997939864090589+0j),(0.001607723739163802+0j),(0.981717296347213+0.004323399871264793j),(1.0172272872448807+0.0038261989475230256j)
(630957.344480193+0j),(1.0000402354519276+0j),(0.00033901066941612176+0j),(0.9808873009492816+0.004574602064238372j),(1.0185729326739092-8.925368840911711e-05j)
(501187.2336272725+0j),(1.0003440290448506+0j),(-0.0008189976901315838+0j),(0.9799881467161177+0.004719809090681522j),(1.0201082340085912-0.0034665371153481906j)
(398107.17055349686+0j),(1.0007107520935012+0j),(-0.0019066648003563216+0j),(0.9790529238339284+0.0047473943946823045j),(1.0218120117737928-0.006421210773647082j)
(316227.7660168379+0j),(1.0011466253928576+0j),(-0.0029592807717032923+0j),(0.9781112547372551+0.004654977487552536j),(1.0236677748086622-0.009058832573224778j)
(251188.6431509582+0j),(1.001659327263388+0j),(-0.004008340440426637+0j),(0.9771871373138734+0.004444806782637399j),(1.0256672727169327-0.011475557612076536j)
(199526.2314968879+0j),(1.0022583620748933+0j),(-0.005082454668920606+0j),(0.9762993776724441+0.004119973345752578j),(1.0278115748729557-0.013758166591903351j)
(158489.3192461114+0j),(1.0029553103433146+0j),(-0.006208100658834484+0j),(0.975463212357005+0.0036819884871260753j),(1.03011105721221-0.015984267759786105j)
(125892.5411794166+0j),(1.0037640936682999+0j),(-0.007410195745537947+0j),(0.9746922185112996+0.0031296754034300786j),(1.0325849106166922-0.01822227306326151j)
(100000+0j),(1.004701272507095+0j),(-0.008712502349510244+0j),(0.9740001257188462+0.0024590324723829105j),(1.0352600648956696-0.020531421802890852j)
(79432.82347242821+0j),(1.005786318803661+0j),(-0.010137794291443222+0j),(0.9734022627738469+0.0016638396611402873j),(1.0381694937681527-0.022961991498938718j)
(63095.7344480193+0j),(1.007041810316983+0j),(-0.011707836464076575+0j),(0.9729163866433572+0.0007365976543774081j),(1.0413503685469219-0.025556144610801957j)
(50118.72336272724+0j),(1.0084934960697842+0j),(-0.013443232940176483+0j),(0.9725628150968371-0.0003301927498311263j),(1.0448427343914748-0.028349590855205657j)
(39810.71705534969+0j),(1.010170132223609+0j),(-0.015363095080533223+0j),(0.9723640084104954-0.0015431447959723768j),(1.0486889692056518-0.03137294196601409j)
(31622.776601683792+0j),(1.0121029773057804+0j),(-0.01748480166516165+0j),(0.972343837293306-0.0029076215909414594j),(1.0529335861654292-0.03465263139392335j)
(25118.864315095827+0j),(1.0143249795927567+0j),(-0.019823978523040024+0j),(0.9725267914360324-0.004427459217973425j),(1.0576226153304842-0.0382110850994071j)
(19952.623149688792+0j),(1.01686992710844+0j),(-0.022394974275983887+0j),(0.9729373889054321-0.006105332278321916j),(1.0628021950505349-0.04206713944215238j)
(15848.93192461114+0j),(1.019771938315086+0j),(-0.02521181451914438+0j),(0.973599918234165-0.007943175325224108j),(1.0685167832199531-0.04623740199430307j)
(12589.254117941662+0j),(1.0230654809559854+0j),(-0.028289216531890912+0j),(0.9745383692686059-0.009942428763414134j),(1.074807795164109-0.05073867273178716j)
(10000+0j),(1.02678571554909+0j),(-0.031643257498024255+0j),(0.9757762438726937-0.012104089380599682j),(1.08171312515609-0.055590938208827684j)
(7943.282347242814+0j),(1.0309686865396102+0j),(-0.03529163541018312+0j),(0.9773360877095298-0.014428870354026723j),(1.089267441263481-0.060820482965208596j)
(6309.57344480193+0j),(1.035650959371875+0j),(-0.03925387411487746+0j),(0.9792389157656237-0.016917729339607137j),(1.0975030685993004-0.0664631607818518j)
(5011.8723362727205+0j),(1.0408686783756462+0j),(-0.04355206015140878+0j),(0.9815038590938093-0.019572736948961396j),(1.1064516758941876-0.07256793336487405j)
(3981.0717055349687+0j),(1.0466564374161897+0j),(-0.04821257853375607+0j),(0.9841480638582915-0.0223979162804551j),(1.116147185352979-0.07920029475291762j)
(3162.2776601683795+0j),(1.0530465210055917+0j),(-0.05326896224139926+0j),(0.9871863474917195-0.025399933518271432j),(1.1266297002175618-0.08644463626835915j)
(2511.8864315095802+0j),(1.0600689488827182+0j),(-0.058765710134913794+0j),(0.9906301413762749-0.028589304820724974j),(1.137949109344179-0.09440508543905356j)
(1995.2623149688789+0j),(1.0677526206639782+0j),(-0.06476291424892067+0j),(0.9944861894114073-0.03198321062229212j),(1.1501668275223225-0.10320602880560742j)
(1584.8931924611124+0j),(1.0761279093258957+0j),(-0.07134157026460537+0j),(0.9987564956342856-0.03561030666889968j),(1.163355770760822-0.11299489339976171j)
(1258.9254117941662+0j),(1.085231169496467+0j),(-0.07860933846052623+0j),(1.0034410329611683-0.03951653125258975j),(1.1776010676624893-0.12394917941822173j)
(1000+0j),(1.0951116765864277+0j),(-0.0867063784766064+0j),(1.00854356798689-0.04376996334590018j),(1.193005112263672-0.13628748757858264j)
(794.3282347242813+0j),(1.1058416732665837+0j),(-0.09581080443594868+0j),(1.014079347600343-0.0484631404734561j),(1.209699918885896-0.15028240535209653j)
(630.957344480193+0j),(1.1175306981086464+0j),(-0.1061429888470568+0j),(1.0200826583510396-0.05371305700597853j),(1.2278692642310305-0.16627240429846488j)
(501.187233627272+0j),(1.1303459129758695+0j),(-0.11796683649753156+0j),(1.0266137708632588-0.05966110636091791j),(1.2477836928510873-0.18466814712120244j)
(398.10717055349687+0j),(1.1445398934379398+0j),(-0.13158416331607095+0j),(1.033768261338078-0.0664750273649144j),(1.2698502474358528-0.20594437666006532j)
(316.227766016838+0j),(1.160485574094842+0j),(-0.14731609593749828+0j),(1.0416943257097773-0.07435099323709318j),(1.294672996315244-0.23060503037829141j)
(251.18864315095797+0j),(1.1787146043264196+0j),(-0.16546390236689307+0j),(1.0506222861139192-0.08350817678700471j),(1.3231123239451876-0.2591104688835211j)
(199.5262314968879+0j),(1.1999504381948813+0j),(-0.18624162806377356+0j),(1.0609048481671648-0.0941640221494272j),(1.3563245520366922-0.2917611287955242j)
(158.48931924611125+0j),(1.2251209855717304+0j),(-0.20967528786677586+0j),(1.0730588039596587-0.10647754775632931j),(1.3957585877765137-0.32853904736950834j)
(125.89254117941664+0j),(1.2553279477054482+0j),(-0.23547048637576157+0j),(1.0877886550900777-0.12045028252455005j),(1.4430815175195457-0.36891973111870263j)
(100+0j),(1.2917444817660153+0j),(-0.26286561592855184+0j),(1.105958739966145-0.13578454076222324j),(1.5000046629292605-0.4116854928428175j)
(79.43282347242804+0j),(1.33541800878007+0j),(-0.29051160382770475+0j),(1.1284702883172306-0.15172581558719753j),(1.567994697180858-0.4547956519709289j)
(63.09573444801929+0j),(1.386980618449757+0j),(-0.31644276552731854+0j),(1.156014594051562-0.1669589521005167j),(1.6478879512976832-0.49538745266952744j)
(50.11872336272725+0j),(1.4463164548468168+0j),(-0.3382077202139975+0j),(1.1887313302361093-0.17965907239127848j),(1.739476119757016-0.5299758828031993j)
(39.81071705534969+0j),(1.5122860780337937+0j),(-0.35319646027532103+0j),(1.225886678313015-0.18777417261862095j),(1.8411766785615313-0.5548781237528465j)
(31.622776601683796+0j),(1.582631168726234+0j),(-0.35913013353189305+0j),(1.265741468576112-0.1895178378184313j),(1.9499143908357457-0.5668193305705649j)
(25.118864315095767+0j),(1.6541550932444926+0j),(-0.3545991067936906+0j),(1.3057430348685262-0.18392034428300652j),(2.0613133709151836-0.5636059153915918j)
(19.95262314968879+0j),(1.7231940646441246+0j),(-0.33947911452713964+0j),(1.3430420812210713-0.17121009361345108j),(2.170236639932271-0.5446943204065413j)
(15.848931924611108+0j),(1.7862807682756752+0j),(-0.3150583190213193+0j),(1.3751739105971068-0.15283458519711718j),(2.271604437684954-0.5114546911967126j)
(12.589254117941664+0j),(1.8408008002843068+0j),(-0.2837906354766241+0j),(1.400639332475404-0.13107614476654605j),(2.36128652048692-0.46697919270095534j)
(10+0j),(1.8854143471146314+0j),(-0.2487380483020828+0j),(1.4191433042385282-0.10841235712625807j),(2.436777851828854-0.41544438076118745j)
(7.943282347242805+0j),(1.9201038653328393+0j),(-0.21290531019551182+0j),(1.431416389073901-0.08690419608002935j),(2.4974258123915725-0.36123747681080565j)
(6.30957344480193+0j),(1.9458784680915682+0j),(-0.17870921821014246+0j),(1.4387640499809462-0.0678579218724561j),(2.544173831050738-0.3081597485982981j)
(5.011872336272715+0j),(1.9643083908280279+0j),(-0.14772994972559775+0j),(1.442597079928862-0.0518192284399501j),(2.5789943322554074-0.25894965846636575j)
(3.981071705534969+0j),(1.977088242115109+0j),(-0.12073764327731024+0j),(1.4441254710408422-0.038778723502097476j),(2.604268834750344-0.21518505595398704j)
(3.1622776601683795+0j),(1.985746929239953+0j),(-0.09788248929003047+0j),(1.4442476964043514-0.028421905297929734j),(2.6223106996019134-0.17746165443904185j)
(2.5118864315095766+0j),(1.991518579217355+0j),(-0.07892481227760328+0j),(1.4435690149206724-0.02032112253252734j),(2.6350984598808145-0.14568802815224108j)
(1.9952623149688788+0j),(1.9953280073347337+0j),(-0.06342829358343989+0j),(1.4424700395297652-0.014047138454998609j),(2.644187921926652-0.1193721914881696j)
(1.584893192461111+0j),(1.9978341137686677+0j),(-0.05089150256648178+0j),(1.4411776467470119-0.009219678888805038j),(2.6507340126735306-0.0978402172692919j)
(1.2589254117941662+0j),(1.9994905455329404+0j),(-0.04082389159121769+0j),(1.4398206794592365-0.005522698088699337j),(2.655560935413232-0.08037756852907718j)
(1+0j),(2.0006024837566603+0j),(-0.03278267760315544+0j),(1.4384686325129898-0.0027025350834308545j),(2.659241722842588-0.0663077138864892j)
(0.7943282347242805+0j),(2.00137199747367+0j),(-0.026386077048882607+0j),(1.4371565533373842-0.0005592158334324474j),(2.6621683044790547-0.05502817577746314j)
(0.6309573444801929+0j),(2.0019313829399277+0j),(-0.021313886398703987+0j),(1.4359000546351415+0.0010637996109436147j),(2.6646061078635537-0.046021387137183636j)
(0.5011872336272715+0j),(2.0023665296040365+0j),(-0.01730210452142479+0j),(1.4347038362069269+0.002288938249588669j),(2.6667338075133773-0.03885236856509056j)
(0.3981071705534969+0j),(2.002732794453393+0j),(-0.014135292225773657+0j),(1.4335663372569327+0.0032120365221882646j),(2.6686711739949316-0.033160441750641714j)
(0.31622776601683794+0j),(2.0030654906812266+0j),(-0.011638583059612654+0j),(1.4324822708130143+0.0039081042853941666j),(2.6704981102257204-0.02864887904841198j)
(0.2511886431509577+0j),(2.0033865857712785+0j),(-0.009670314935638994+0j),(1.4314440252097325+0.004435681366373289j),(2.6722673736663927-0.02507448686839595j)
(0.1995262314968879+0j),(2.0037088252654014+0j),(-0.008115779935376204+0j),(1.4304424141627408+0.0048401151656802j),(2.6740128874048863-0.022238159168752165j)
(0.1584893192461111+0j),(2.004038271143047+0j),(-0.006882267520829086+0j),(1.4294670183840144+0.005155923830865421j),(2.6757551179527357-0.01997685193306642j)
(0.12589254117941662+0j),(2.004376036776157+0j),(-0.005895279887217861+0j),(1.4285063492062988+0.005408287655269588j),(2.677504640329749-0.018156985108235747j)
(0.1+0j),(2.0047197024663257+0j),(-0.005095588438488329+0j),(1.4275482007588118+0.005613713074363905j),(2.679264586674085-0.01666902407320579j)
(0.07943282347242805+0j),(2.005064570232482+0j),(-0.004436779248506313+0j),(1.4265806056219787+0.005780199719753951j),(2.6810322863186355-0.015422976814610941j)
(0.0630957344480193+0j),(2.0054047192384403+0j),(-0.003883082550536897+0j),(1.4255935603296437+0.005907500422566217j),(2.6828002521917096-0.014344727576336841j)
(0.05011872336272714+0j),(2.005733800074008+0j),(-0.0034074542536868795+0j),(1.4245812577063939+0.005988075668008495j),(2.6845566342392813-0.013373140189074855j)
(0.039810717055349686+0j),(2.0060455775999717+0j),(-0.0029899404603664485+0j),(1.423544255933578+0.006009043595021704j),(2.6862851727236285-0.012457952341067047j)
(0.031622776601683784+0j),(2.0063343094987327+0j),(-0.0026163545887614302+0j),(1.4224909904693104+0.005955017795848431j),(2.6879647679631553-0.011558738272316994j)
(0.02511886431509577+0j),(2.0065950717124+0j),(-0.0022772194316175564+0j),(1.4214382724230783+0.005811472983735537j),(2.6895691770655925-0.010645235399137889j)
(0.019952623149688792+0j),(2.0068240913415614+0j),(-0.0019668632459075267+0j),(1.4204106725164785+0.00556835203257677j),(2.691067692473556-0.009698902366207221j)
(0.01584893192461111+0j),(2.007019071036773+0j),(-0.001682567798320063+0j),(1.419438576607397+0.005223669255083672j),(2.692427612855445-0.008714969038789003j)
(0.01258925411794166+0j),(2.0071794490675936+0j),(-0.001423715121079975+0j),(1.4185543656659898+0.004786725106839002j),(2.6936188257428473-0.007703672131322164j)
(0.01+0j),(2.007306524166887+0j),(-0.0011909040396559294+0j),(1.417786541235773+0.004279308721920899j),(2.694619849426606-0.006689011503827667j)
