freq,Zreal,Zimag,Zlo,Zhi
(1000000+0j),(0.9982270500074601+0j),(0.005946327347989202+0j),(0.9855946508171284+0.0033488660876775257j),(1.010389855713268+0.01366953905715869j)
(794328.2347242822+0j),(0.9984181157799434+0j),(0.004360726982971013+0j),(0.985074963968282+0.0037011743503379737j),(1.0114915979525776+0.008784427445788716j)
(630957.344480193+0j),(0.9986469619109188+0j),(0.003087677414931768+0j),(0.9844793183804129+0.004032317964686222j),(1.0127729707123079+0.004833367395407276j)
(501187.2336272725+0j),(0.9989082386461675+0j),(0.0020760861815459506+0j),(0.9838252771446401+0.004332643662199086j),(1.0141951463179315+0.0016783360237525536j)
(398107.17055349686+0j),(0.9991933682252464+0j),(0.0012853059126704935+0j),(0.983130361369005+0.004601869483191785j),(1.015710685579864-0.0008006320774710729j)
(316227.7660168379+0j),(0.9994917065968613+0j),(0.0006816882811793857+0j),(0.9824079887069543+0.004846829824379308j),(1.0172721566756018-0.0027125302174466196j)
(251188.6431509582+0j),(0.9997917754585055+0j),(0.0002362513051565368+0j),(0.9816656130853888+0.0050779576131930616j),(1.0188382036611747-0.0041574904734085275j)
(199526.2314968879+0j),(1.0000823579697102+0j),(-7.682574290101716e-05+0j),(0.980904946109233+0.005305938733209489j),(1.020376503414232-0.005226648507114916j)
(158489.3192461114+0j),(1.0003533932795892+0j),(-0.00028095845866298746+0j),(0.9801234777826399+0.005539565961019181j),(1.0218644931484828-0.006001571392433666j)
(125892.5411794166+0j),(1.0005966153036319+0j),(-0.0003974791978093195+0j),(0.9793163691698978+0.005785314601880493j),(1.0232889109531682-0.006553862832739569j)
(100000+0j),(1.000805854469511+0j),(-0.00044699494952017964+0j),(0.9784780401358072+0.006045689506419089j),(1.0246446122023423-0.006946650474466631j)
(79432.82347242821+0j),(1.0009769800413102+0j),(-0.00044689882678371196+0j),(0.9776032194310478+0.0063226003487288586j),(1.0259327223960677-0.007231158358669023j)
(63095.7344480193+0j),(1.001107593063012+0j),(-0.00041366154418267945+0j),(0.9766875527875549+0.006615637366239742j),(1.0271583036929242-0.007450416026249981j)
(50118.72336272724+0j),(1.0011966655539815+0j),(-0.000362917533503715+0j),(0.9757279217090752+0.006922398259325257j),(1.0283280374391508-0.007640183695072399j)
(39810.71705534969+0j),(1.001244274899394+0j),(-0.0003062569056813912+0j),(0.974722529074115+0.007243440492818358j),(1.0294485218458511-0.00782638541160103j)
(31622.776601683792+0j),(1.0012514388513032+0j),(-0.0002572614550458534+0j),(0.9736707493039357+0.007576879035521473j),(1.0305254785501776-0.008035950112244103j)
(25118.864315095827+0j),(1.001219943627041+0j),(-0.00022870438677966123+0j),(0.9725727737099715+0.007923028719832605j),(1.0315636294891026-0.008294294109518919j)
(19952.623149688792+0j),(1.0011520830187193+0j),(-0.00023319817727022617+0j),(0.9714291437064335+0.00828339464136571j),(1.0325667052409775-0.008627619913310847j)
(15848.93192461114+0j),(1.001050362329159+0j),(-0.00028401306422494427+0j),(0.970240329345876+0.008660598219123305j),(1.0335373201230313-0.009064920146793588j)
(12589.254117941662+0j),(1.0009173215188183+0j),(-0.0003959025020418297+0j),(0.9690065987060583+0.009058122623550503j),(1.0344770091471258-0.009640404273808502j)
(10000+0j),(1.0007555874315566+0j),(-0.0005860717682754411+0j),(0.9677284299500964+0.00948005587537247j),(1.0353868734216873-0.010396167785219413j)
