tau,gamma
1.05487624820604e-07,0
1.17065154985245e-07,0
1.29913347987742e-07,0
1.44171662246647e-07,0
1.59994862090094e-07,0
1.77554697617587e-07,0
1.97041768930808e-07,0
2.18667594968414e-07,0
2.42666909400622e-07,0
2.69300208503942e-07,0
2.98856578671541e-07,0
3.31656834249914e-07,0
3.68056999760967e-07,0
4.0845217430667e-07,0
4.53280820101766e-07,0
5.03029521683646e-07,0
5.58238267457396e-07,0
6.19506310903595e-07,0
6.87498675068298e-07,0
7.62953370937035e-07,0
8.46689408043381e-07,0
9.39615684261801e-07,0
1.04274085127747e-06,0
1.15718426281602e-06,0.000548331437740846
1.28418812446884e-06,0.0025239202763891
1.42513097699204e-06,0.00422370147324703
1.58154265943109e-06,0.00560183623442659
1.75512091448584e-06,0.00664130617291306
1.94774981635569e-06,0.00734536038666478
2.16152022108689e-06,0.00771128363620289
2.39875246139635e-06,0.00776881385818485
2.6620215323092e-06,0.00755513683841487
2.95418504098282e-06,0.00710097399315058
3.27841422409389e-06,0.00645001808843865
3.63822836946104e-06,0.00563849661902225
4.0375330155266e-06,0.00469425917636951
4.48066234332681e-06,0.00364842625501932
4.97242622108649e-06,0.00250676498337784
5.51816241207558e-06,0.00127303850948805
6.12379451240813e-06,0
6.79589624765947e-06,0
7.54176282619753e-06,0
8.36949012372048e-06,0
9.28806255849498e-06,0
1.03074506111213e-05,0
1.1438719047336e-05,0
1.26941470185374e-05,0
1.40873613436438e-05,0
1.56334844189676e-05,0
1.73492983615685e-05,0
1.92534271677485e-05,0
2.1366538863897e-05,0
2.37115698438952e-05,0
2.63139738281119e-05,0.002369787529311
2.92019981462691e-05,0.00561428358824336
3.24069903430428e-05,0.00907590255748031
3.59637384343937e-05,0.0126607670920975
3.99108485078792e-05,0.016311011724458
4.4291163765543e-05,0.0199621128724001
4.91522295578072e-05,0.0235492396434527
5.45468094559957e-05,0.0270391142388804
6.05334579651049e-05,0.0303893051478859
6.71771560932304e-05,0.0336250975665497
7.45500166763259e-05,0.036762697786165
8.27320671141142e-05,0.0399531455312742
9.18121180132194e-05,0.0433585128722209
0.00010188872716605,0.0472368902813788
0.000113071269328772,0.0518959709000159
0.000125481123410087,0.0576487245495604
0.000139252989956935,0.0648593233290981
0.000154536353237554,0.0739000639906347
0.000171497103791793,0.085054775116396
0.000190319339060383,0.0985748698235871
0.000211207361637755,0.114665410398326
0.000234387896838106,0.133415006646924
0.000260112553644864,0.154757280037378
0.000288660555755506,0.178567234700902
0.000320341772365369,0.204513166938873
0.000355500081587536,0.232085827025833
0.000394517103016464,0.260638487789067
0.000437816339949779,0.289415116342366
0.000485867776229264,0.317527319146765
0.000539192977596607,0.344123095826262
0.000598370752935693,0.368371033555717
0.000664043436850357,0.389601019884527
0.000736923861770736,0.407318021572525
0.000817803095265698,0.421279643597357
0.000907559026544628,0.431462840372783
0.00100716589534921,0.438000655869012
0.00111770486666489,0.441259436576845
0.00124037576603328,0.441653940492289
0.00137651010284447,0.43961667238227
0.00152758552296809,0.435634606958596
0.00169524184759677,0.430143211476423
0.00188129887239273,0.423617732914204
0.00208777612013505,0.416490303596446
0.00231691476126938,0.409195036688808
0.00257120194029268,0.402125158686052
0.00285339777201936,0.395677904911242
0.00316656530075513,0.390161222813652
0.00351410374756485,0.385760730435967
0.00389978540651111,0.382655548127358
0.00432779659034707,0.380769172955166
0.00480278307010131,0.379998570607817
0.00532990050177057,0.380104094492393
0.00591487038746785,0.380761590049708
0.00656404217844628,0.381552242058136
0.0072844621940849,0.382074289874803
0.00808395010490507,0.381891243191122
0.00897118380978903,0.380578880994512
0.00995579362868493,0.377798079579824
0.0110484668331965,0.373255539037072
0.0122610636496658,0.366753576647709
0.0136067459938839,0.358124115205561
0.0151001203347577,0.347360431784274
0.01675739623762,0.33450473952463
0.0185965623080651,0.319674790086799
0.0206375814460579,0.303073262531266
0.0229026075296702,0.284965853904812
0.0254162258803974,0.265662699732008
0.0282057201201441,0.245480728972445
0.0313013683164301,0.224772593628556
0.034736771630272,0.203836879139051
0.0385492190339904,0.183018657388294
0.0427800920577066,0.162594688542447
0.0474753139577782,0.142795440286076
0.0526858481825912,0.123869907444535
0.0584682515462181,0.105991886465968
0.0648852881142645,0.0893082402129592
0.0720066104652216,0.0739563058551167
0.0799095157219512,0.0600443558500815
0.088679784559515,0.0476768845264141
0.0984126122962065,0.0369086561230147
0.109213642174149,0.0278095956270121
0.121200112045016,0.0203639467718176
0.134502126907379,0.0145369404379789
0.149264071108198,0.0102420804831679
0.165646175536951,0.00733994889136903
0.183826256823244,0.00566368754637472
0.204001647415682,0.0050122706851605
0.226391337491728,0.00520844714764265
0.251238351947513,0.00603412563903297
0.278812388268207,0.00732356646701507
0.309412743911255,0.0089038137762515
0.343371564977224,0.0106210785710607
0.381057451430395,0.0123531892339023
0.422879458001302,0.0139710836386534
0.469291534198329,0.0153847501269758
0.520797451621647,0.0165327868256731
0.577956272062169,0.0173361247882394
0.641388415738006,0.0177946889068412
0.711782395535036,0.0178633665595679
0.78990229034717,0.0175286382530336
0.876596038634385,0.0167786522030978
0.972804642219443,0.0156118061670586
1.07957238022428,0.0140197011952104
1.19805814401142,0.0120007028617517
1.32954801616348,0.0095771932104618
1.47546923003714,0.00675348014745347
1.63740566141292,0.00355350734002501
1.81711502039225,0
2.01654793014817,0
2.23786909961652,0
2.48348081994287,0
2.7560490397231,0
3.0585323020668,0
3.3942138575756,0
