tau,gamma
1.05487624820604e-07,0
1.17065154985245e-07,0
1.29913347987742e-07,0
1.44171662246647e-07,0
1.59994862090094e-07,0
1.77554697617587e-07,0
1.97041768930808e-07,0
2.18667594968414e-07,0
2.42666909400622e-07,0
2.69300208503942e-07,0
2.98856578671541e-07,0
3.31656834249914e-07,0
3.68056999760967e-07,0
4.0845217430667e-07,0
4.53280820101766e-07,0
5.03029521683646e-07,0
5.58238267457396e-07,0
6.19506310903595e-07,0
6.87498675068298e-07,0
7.62953370937035e-07,0
8.46689408043381e-07,0
9.39615684261801e-07,0
1.04274085127747e-06,0
1.15718426281602e-06,0
1.28418812446884e-06,0
1.42513097699204e-06,0
1.58154265943109e-06,0
1.75512091448584e-06,0
1.94774981635569e-06,0
2.16152022108689e-06,0
2.39875246139635e-06,0
2.6620215323092e-06,0
2.95418504098282e-06,0
3.27841422409389e-06,0
3.63822836946104e-06,0
4.0375330155266e-06,0
4.48066234332681e-06,0
4.97242622108649e-06,0
5.51816241207558e-06,0
6.12379451240813e-06,0
6.79589624765947e-06,0
7.54176282619753e-06,0
8.36949012372048e-06,0
9.28806255849498e-06,0
1.03074506111213e-05,0
1.1438719047336e-05,0
1.26941470185374e-05,0
1.40873613436438e-05,0
1.56334844189676e-05,0
1.73492983615685e-05,0
1.92534271677485e-05,0.00830080949382593
2.1366538863897e-05,0.0164872113714257
2.37115698438952e-05,0.0241533438746961
2.63139738281119e-05,0.0312176818509032
2.92019981462691e-05,0.0376304962439766
3.24069903430428e-05,0.0433765104717626
3.59637384343937e-05,0.0484637325297624
3.99108485078792e-05,0.0529284082706336
4.4291163765543e-05,0.0568229232008183
4.91522295578072e-05,0.0602173974223995
5.45468094559957e-05,0.0631939616936048
6.05334579651049e-05,0.0658299072926612
6.71771560932304e-05,0.0682175416933001
7.45500166763259e-05,0.0704350283375797
8.27320671141142e-05,0.0725601303926884
9.18121180132194e-05,0.0746591174075558
0.00010188872716605,0.076784929872761
0.000113071269328772,0.0789849487591971
0.000125481123410087,0.0812889206971168
0.000139252989956935,0.083712686476763
0.000154536353237554,0.0862701753609156
0.000171497103791793,0.0889544085253865
0.000190319339060383,0.0917494979397756
0.000211207361637755,0.0946368389506963
0.000234387896838106,0.0975885768263618
0.000260112553644864,0.100569024142518
0.000288660555755506,0.103536969258742
0.000320341772365369,0.10645503842622
0.000355500081587536,0.109281346324921
0.000394517103016464,0.111972400757276
0.000437816339949779,0.114491035419028
0.000485867776229264,0.116798492005242
0.000539192977596607,0.118856839106014
0.000598370752935693,0.120640809978608
0.000664043436850357,0.122122832564535
0.000736923861770736,0.123281880778976
0.000817803095265698,0.124101805350528
0.000907559026544628,0.124578699732063
0.00100716589534921,0.124710790993119
0.00111770486666489,0.124500783751857
0.00124037576603328,0.12395966523734
0.00137651010284447,0.123111018075565
0.00152758552296809,0.121973273903269
0.00169524184759677,0.120578329449022
0.00188129887239273,0.11896570419743
0.00208777612013505,0.117170542388011
0.00231691476126938,0.115240903265252
0.00257120194029268,0.113217672171456
0.00285339777201936,0.111147855380184
0.00316656530075513,0.109076342658277
0.00351410374756485,0.107044582992376
0.00389978540651111,0.105086264483641
0.00432779659034707,0.103230856621144
0.00480278307010131,0.101502832558369
0.00532990050177057,0.0999048109670917
0.00591487038746785,0.0984284635229316
0.00656404217844628,0.0970645147265196
0.0072844621940849,0.0957714284157581
0.00808395010490507,0.0945049322734499
0.00897118380978903,0.0931940133137826
0.00995579362868493,0.0917706053538233
0.0110484668331965,0.0901448581901049
0.0122610636496658,0.0882231208395262
0.0136067459938839,0.0859149334964899
0.0151001203347577,0.0831278189997174
0.01675739623762,0.0797930167180982
0.0185965623080651,0.075847754416491
0.0206375814460579,0.0712701361594468
0.0229026075296702,0.0660787722020403
0.0254162258803974,0.0603347008548145
0.0282057201201441,0.0541678824705598
0.0313013683164301,0.0477519186999646
0.034736771630272,0.0413555167049797
0.0385492190339904,0.0353286145421542
0.0427800920577066,0.0300598829636489
0.0474753139577782,0.0260423026263414
0.0526858481825912,0.0238056746499578
0.0584682515462181,0.0239600146698751
0.0648852881142645,0.027119836929894
0.0720066104652216,0.0338934483930715
0.0799095157219512,0.0448704198594307
0.088679784559515,0.0605983781228864
0.0984126122962065,0.081478122714688
0.109213642174149,0.107757498256231
0.121200112045016,0.139521875103706
0.134502126907379,0.176645290741349
0.149264071108198,0.218683286174604
0.165646175536951,0.264952598022171
0.183826256823244,0.314437829410881
0.204001647415682,0.365867788480553
0.226391337491728,0.417752739130164
0.251238351947513,0.468393385799834
0.278812388268207,0.515988068307194
0.309412743911255,0.558799764222655
0.343371564977224,0.595171731771667
0.381057451430395,0.623731117551382
0.422879458001302,0.643462754761945
0.469291534198329,0.653803612857808
0.520797451621647,0.654690191915482
0.577956272062169,0.646489786145398
0.641388415738006,0.630028147676196
0.711782395535036,0.606412364097952
0.78990229034717,0.577014217245067
0.876596038634385,0.543196427276841
0.972804642219443,0.506367530273795
1.07957238022428,0.467768114489931
1.19805814401142,0.428487998796731
1.32954801616348,0.389486163395738
1.47546923003714,0.351426032008702
1.63740566141292,0.314817054200693
1.81711502039225,0.280063471037494
2.01654793014817,0.247386991935821
2.23786909961652,0.216876931233048
2.48348081994287,0.188610297066258
2.7560490397231,0.162537832144296
3.0585323020668,0.138605283115662
3.3942138575756,0.116707798626387
3.76673730180097,0.0967124498228563
4.1801461240021,0.0785384915919807
4.63892759647858,0.062010912609245
