tau,gamma,sigma_gamma
1.5915494309189534e-05,-0.00047757675327162667,0.008110426760121093
1.7662259541255212e-05,-0.0005266104747831982,0.008094592383227102
1.9600736618185914e-05,-0.000579907502800591,0.008075494549239923
2.175196639354731e-05,-0.0006375931840390082,0.008052555750340714
2.4139299007110626e-05,-0.0006997154439585162,0.00802513656474711
2.6788647334778468e-05,-0.0007662184369979679,0.007992545979515903
2.972876825527301e-05,-0.0008369126036896702,0.007954060117682096
3.2991574786545186e-05,-0.0009114420127788629,0.0079089514535721
3.661248247993406e-05,-0.0009892504937360543,0.00785653028179831
4.0630793831950074e-05,-0.0010695487754626269,0.007796199413379039
4.509012488621082e-05,-0.0011512855717740224,0.007727521681550429
5.0038878656004554e-05,-0.0012331261919303097,0.00765029778352306
5.55307705061618e-05,-0.0013134426770252073,0.007564649307547654
6.162541119689893e-05,-0.001390319530706394,0.007471098710421074
6.838895391817905e-05,-0.0014615786976388714,0.00737063494930689
7.58948123377093e-05,-0.0015248264590607752,0.007264751104283842
8.422445745649861e-05,-0.001577523347420661,0.007155439539750678
9.34683019213017e-05,-0.0016170761128182216,0.0070451319346439495
0.00010372668139256173,-0.001640948388905553,0.006936576725795267
0.00011511094361993503,-0.0016467842840395955,0.006832655499879048
0.00012774465704657218,-0.001632537001976661,0.0067361519538388405
0.00014176495206073746,-0.0015965931167593226,0.0066495000675473835
0.00015732400945314112,-0.0015378825711242835,0.006574548471771666
0.0001745907122361798,-0.0014559650010221759,0.006512381418886895
0.00019375247875446226,-0.0013510846161782785,0.006463230223251166
0.00021501729698379145,-0.001224188423775922,0.006426492655890612
0.00023861598209953821,-0.0010769057581444064,0.00640085569311908
0.0002648046818187808,-0.0009114904682479168,0.006384496064819043
0.00029386765670999645,-0.0007307302875647088,0.006375319709807515
0.0003261203656486841,-0.0005378304875968843,0.006371198740298704
0.00036191288990944495,-0.00033628062536734146,0.006370171811844133
0.00040163373306071395,-0.00012971390846087938,0.006370586865568665
0.0004457140379074271,7.823156215951068e-05,0.006371179344911155
0.0004946322662536722,0.0002840415061420012,0.006371090647826601
0.0005489193922809734,0.00048443766529708093,0.006369839086582128
0.0006091646659128077,0.0006764690536867767,0.00636725892244159
0.0006760220087227636,0.0008575799215826884,0.006363422982072893
0.0007502171118095905,0.001025654058304936,0.006358562111591644
0.0008325553126817477,0.0011790367155444163,0.006352991364406507
0.0009239303366497019,0.0013165366935248756,0.006347049185312912
0.001025333997607853,0.0014374119646374712,0.006341052510776363
0.0011378669635014843,0.0015413426283645943,0.0063352679873104716
0.0012627507033305964,0.00162839504638479,0.0063298975680704805
0.0014013407453672294,0.001698980766593289,0.006325075596979929
0.0015551413904952365,0.0017538133868672903,0.006320874044480619
0.0017258220403758298,0.001793865911460988,0.006317312667728092
0.001915235317670051,0.0018203304870823087,0.006314371347017365
0.002125437175000907,0.0018345817347744009,0.006312002516724502
0.002358709210924279,0.001838144268753655,0.0063101423090917855
0.0026175834351333674,0.001832664452341531,0.0063087196546512785
0.0029048697517061414,0.0018198860086395406,0.006307663076033825
0.0032236864587078034,0.0018016287913314756,0.006306905257463933
0.003577494095200777,0.0017797698292325974,0.006306385684548378
0.00397013300304851,0.0017562256780089347,0.0063060517558517475
0.004405865011221041,0.001732935128386804,0.0063058587985436836
0.0048894196950571515,0.0017118414129067513,0.006305769399277152
0.0054260457125960265,0.0016948732022983928,0.006305752406123889
0.006021567775199456,0.0016839238679912465,0.006305781881088455
0.006682449870842083,0.001680828691297447,0.006305836196849213
0.007415865426315531,0.0016873399074187896,0.006305897386760459
0.008229775169909635,0.001705099671902689,0.0063059507832896565
0.009133013539717303,0.001735611220129441,0.0063059849231166185
