tau,gamma,sigma_gamma
1.5915494309189534e-05,2.941228995317594e-05,0.006203622243128773
1.7662259541255212e-05,3.356390120638341e-05,0.006177688113213777
1.9600736618185914e-05,3.815871764772641e-05,0.006149295308923503
2.175196639354731e-05,4.3230193689136694e-05,0.006118317590449316
2.4139299007110626e-05,4.881297780841504e-05,0.006084636735888158
2.6788647334778468e-05,5.4942841647321834e-05,0.006048144784448878
2.972876825527301e-05,6.165660123216398e-05,0.006008746368237286
3.2991574786545186e-05,6.89920312132874e-05,0.005966361102888236
3.661248247993406e-05,7.69877731608947e-05,0.005920926003566132
4.0630793831950074e-05,8.568323907468884e-05,0.005872397889383407
4.509012488621082e-05,9.511851135618715e-05,0.005820755736130318
5.0038878656004554e-05,0.00010533424055217949,0.0057660029343952765
5.55307705061618e-05,0.00011637154219635735,0.005708169407697205
6.162541119689893e-05,0.00012827189405331923,0.005647313543152852
6.838895391817905e-05,0.00014107703499717907,0.005583523885459264
7.58948123377093e-05,0.0001548288666349695,0.005516920543580075
8.422445745649861e-05,0.00016956935861021246,0.005447656258488519
9.34683019213017e-05,0.00018534045829420801,0.005375917079664748
0.00010372668139256173,0.0002021840052927628,0.005301922597831748
0.00011511094361993503,0.00022014165086705289,0.005225925681759907
0.00012774465704657218,0.00023925478199364431,0.005148211668070326
0.00014176495206073746,0.0002595644493768369,0.0050690969551177925
0.00015732400945314112,0.0002811112982847259,0.00498892695565662
0.0001745907122361798,0.00030393550061886653,0.004908073368645973
0.00019375247875446226,0.0003280766861580001,0.004826930738937315
0.00021501729698379145,0.0003535738704524068,0.004745912285526707
0.00023861598209953821,0.0003804653764018513,0.004665444995432833
0.0002648046818187808,0.0004087887461425641,0.004585964001921191
0.00029386765670999645,0.0004385806395139008,0.004507906293375161
0.0003261203656486841,0.0004698767150897794,0.004431703832832436
0.00036191288990944495,0.0005027114895609813,0.004357776207588273
0.00040163373306071395,0.0005371181711573232,0.004286522971877735
0.0004457140379074271,0.0005731284628191982,0.004218315890857284
0.0004946322662536722,0.0006107723309790255,0.004153491336993611
0.0005489193922809734,0.0006500777361061494,0.00409234312545938
0.0006091646659128077,0.0006910703216122313,0.0040351160974351685
0.0006760220087227636,0.0007337730583136528,0.003982000763571297
0.0007502171118095905,0.000778205842404845,0.0039331292995985
0.0008325553126817477,0.0008243850458097331,0.00388857313972902
0.0009239303366497019,0.0008723230188415261,0.003848342341776267
0.001025333997607853,0.00092202754630317,0.003812386805246026
0.0011378669635014843,0.0009735012594868975,0.0037805993179173655
0.0012627507033305964,0.001026741007961753,0.0037528202980742224
0.0014013407453672294,0.0010817371965487466,0.0037288439999444887
0.0015551413904952365,0.0011384730944462135,0.0037084258694776865
0.0017258220403758298,0.0011969241250511778,0.003691290684092404
0.001915235317670051,0.0012570571465906574,0.00367714108735972
0.002125437175000907,0.0013188297351922644,0.003665666137486324
0.002358709210924279,0.001382189483446023,0.0036565495229439536
0.0026175834351333674,0.001447073328798371,0.00364947715307303
0.0029048697517061414,0.0015134069272333306,0.003644143898149778
0.0032236864587078034,0.0015811040885945708,0.003640259324523102
0.003577494095200777,0.0016500662905465703,0.003637552339388695
0.00397013300304851,0.0017201822885274548,0.0036357747216663565
0.004405865011221041,0.0017913278390780094,0.0036347035672520045
0.0048894196950571515,0.0018633655536134425,0.0036341427173182408
0.0054260457125960265,0.0019361448990149388,0.0036339232673918316
0.006021567775199456,0.002009502360341848,0.003633903273635184
0.006682449870842083,0.002083261779494647,0.0036339667826215676
0.007415865426315531,0.0021572348817939127,0.0036340223136342143
0.008229775169909635,0.002231222000190136,0.003634000919807806
0.009133013539717303,0.0023050130042008583,0.00363385394775226
0.01013538457546652,0.002378388437711789,0.0036335506058853494
0.011247768334720383,0.002451120866512702,0.0036330754405238235
0.0124822389885206,0.0025229764329109403,0.0036324258065760008
0.013852195878322836,0.002593716611027589,0.0036316094069817066
0.015372508956757782,0.002663100152493365,0.0036306419622501194
0.01705968019087887,0.0027308852082894306,0.003629545058841663
0.018932022679819402,0.0027968316084945,0.0036283442129492263
0.021009859431059548,0.002860703277779974,0.0036270671746392274
0.02331574395288505,0.002922270760718707,0.0036257424864735567
0.02587470505741886,0.0029813138274208287,0.003624398300793916
0.028714518531396612,0.003037624126762507,0.0036230614509410136
0.0318660086234881,0.0030910078516091393,0.003621756763917278
0.03536338262060454,0.003141288378028382,0.003620506595475106
0.039244602144791176,0.003188308838610576,0.0036193305633879804
0.043551795200880566,0.0032319345887273703,0.0036182454507704535
0.04833171344740451,0.003272055523918241,0.0036172652487515763
0.05363623965413002,0.0033085882066436092,0.0036164013065355482
0.05952295085432696,0.0033414777614155173,0.0036156625568322283
0.06605574330440243,0.003370699498833147,0.0036150557857090944
0.07330552603441562,0.0033962602313181893,0.0036145859179859846
0.08135099051749288,0.0034181992463574416,0.0036142562922307176
0.09027946481238244,0.0034365889067959907,0.003614068903077254
0.10018786145028723,0.003451534852147867,0.0036140245928373057
0.11118372935464306,0.003463175779952111,0.003614123179073288
0.1233864212117193,0.003471682791836114,0.0036143635098129334
0.13692838896305695,0.003477258295077527,0.003614743443287026
0.15195662148143568,0.0034801344569907987,0.003615259754339847
0.16863424003536756,0.003480571216303954,0.0036159079748767343
0.18714226885980173,0.003478853862725159,0.003616682180754114
