tau,gamma,sigma_gamma
1.5915494309189534e-05,-0.0014001910908839632,0.05787225429310606
1.7662259541255212e-05,-0.0015423344496834942,0.057593859500709776
1.9600736618185914e-05,-0.0016962619256280175,0.057259159425800225
2.175196639354731e-05,-0.00186209747238446,0.05685871093915119
2.4139299007110626e-05,-0.0020396683132497782,0.05638232544224257
2.6788647334778468e-05,-0.0022284128028941213,0.05581938612302726
2.972876825527301e-05,-0.0024272769687246087,0.055159354780986734
3.2991574786545186e-05,-0.002634603542936484,0.05439251181225379
3.661248247993406e-05,-0.0028480197988093323,0.053510964847392234
4.0630793831950074e-05,-0.003064333353265209,0.0525099416915369
4.509012488621082e-05,-0.003279448014760362,0.05138934694975926
5.0038878656004554e-05,-0.0034883143172051633,0.05015550400991245
5.55307705061618e-05,-0.0036849310331759115,0.0488229203738822
6.162541119689893e-05,-0.0038624140756582433,0.047415802764268135
6.838895391817905e-05,-0.004013147173552642,0.045968914796126525
7.58948123377093e-05,-0.00412902409666288,0.04452723842698514
8.422445745649861e-05,-0.004201784872768925,0.04314383045083147
9.34683019213017e-05,-0.004223438684963906,0.041875367483610766
0.00010372668139256173,-0.0041867547813546485,0.04077529280709875
0.00011511094361993503,-0.0040857910921040935,0.039885299551869945
0.00012774465704657218,-0.003916420019818088,0.039226939265208836
0.00014176495206073746,-0.003676803860517392,0.038795884856911156
0.00015732400945314112,-0.003367770133899627,0.03856110672525776
0.0001745907122361798,-0.002993040819447188,0.03846973508851519
0.00019375247875446226,-0.0025592793510849574,0.0384563860169238
0.00021501729698379145,-0.0020759344904425926,0.03845436569746656
0.00023861598209953821,-0.0015548792208960652,0.038406042631920385
0.0002648046818187808,-0.001009863226592794,0.03827049306044023
0.00029386765670999645,-0.00045581667117608005,0.038027580742578886
0.0003261203656486841,9.194166432539993e-05,0.037678443857323725
0.00036191288990944495,0.0006185292550599634,0.03724283234957787
0.00040163373306071395,0.0011102923851251732,0.036753993510235526
0.0004457140379074271,0.001555505291652953,0.03625199013561233
0.0004946322662536722,0.0019449251289930091,0.03577651939318077
0.0005489193922809734,0.002272166761290664,0.03536043390912975
0.0006091646659128077,0.002533878611370236,0.03502511775567516
0.0006760220087227636,0.002729718364050248,0.034778516933758816
0.0007502171118095905,0.0028621433884644526,0.03461598250137515
0.0008325553126817477,0.002936043897329107,0.03452336380328536
0.0009239303366497019,0.0029582562364757377,0.034481286328421554
0.001025333997607853,0.002936998972044976,0.0344694497733455
0.0011378669635014843,0.002881275755691676,0.03447005115465341
0.0012627507033305964,0.002800286784515568,0.03446988214537077
0.0014013407453672294,0.0027028857324753646,0.03446106826702943
0.0015551413904952365,0.0025971121141541726,0.034440699689290186
0.0017258220403758298,0.0024898209591270367,0.034409733950568386
0.001915235317670051,0.0023864231787154837,0.03437156536240375
0.002125437175000907,0.0022907417501580023,0.0343305986956865
0.002358709210924279,0.002204981353754751,0.03429107070519412
0.0026175834351333674,0.0021298027628691464,0.03425625586076478
0.0029048697517061414,0.0020644883443709603,0.03422808981515053
0.0032236864587078034,0.002007181573942884,0.034207160011588675
0.003577494095200777,0.0019551814712733626,0.034192958057670954
0.00397013300304851,0.0019052721703713064,0.034184267533219084
0.004405865011221041,0.0018540682376367793,0.03417957061900278
0.0048894196950571515,0.0017983575696025426,0.03417738780733112
0.0054260457125960265,0.001735425471085779,0.03417650455547275
0.006021567775199456,0.001663345585232881,0.034176075743657
0.006682449870842083,0.0015812255207984232,0.03417562582591209
0.007415865426315531,0.0014893971636152485,0.034174977075349604
0.008229775169909635,0.001389543701752225,0.03417414175199258
0.009133013539717303,0.0012847573357269069,0.03417320991433312
0.01013538457546652,0.0011795235399934276,0.0341722567370352
0.011247768334720383,0.0010796296833514617,0.034171284320174584
0.0124822389885206,0.0009919979177488753,0.03417020439981472
0.013852195878322836,0.000924444617862501,0.03416886041318071
0.015372508956757782,0.0008853713794818429,0.034167080114607916
0.01705968019087887,0.0008833956895751131,0.034164743853089326
0.018932022679819402,0.0009269328136228145,0.034161849742242005
0.021009859431059548,0.0010237440624756612,0.034158556541778906
0.02331574395288505,0.0011804701630500221,0.034155188992181305
0.02587470505741886,0.0014021716446776782,0.034152198469500634
0.028714518531396612,0.001691900593814711,0.03415008273390056
0.0318660086234881,0.0020503294422107585,0.034149279694491504
0.03536338262060454,0.002475462295604234,0.03415005847342293
0.039244602144791176,0.0029624524293536602,0.03415243401596284
0.043551795200880566,0.0035035458540716774,0.03415612778424645
0.04833171344740451,0.004088165329093734,0.03416058730615425
0.05363623965413002,0.004703142087450894,0.03416506398094809
0.05952295085432696,0.0053330942107877,0.03416873514630768
0.06605574330440243,0.005960941574543377,0.03417084654437691
0.07330552603441562,0.006568538192280329,0.03417084738794329
