freq,Zreal,Zimag,sigma_im
1000020.0,1238231.037616548,-1322.022215338665,537761936108.19366
857753.9,1238135.7992655528,-1649.1416188037201,526283259570.9618
735644.5,1238036.7023843925,-2042.3740014851091,515301746261.7247
630996.1,1237935.7274766616,-2512.328482859192,504974705641.3901
541230.5,1237835.3148965016,-3072.0986254871204,495405494253.8939
464238.3,1237738.848479306,-3736.135025734773,486676396823.79736
398144.5,1237650.6564204018,-4521.601672053257,478829018991.4095
341543.0,1237576.587332012,-5444.869278446933,471898449117.40466
292910.2,1237523.5276126787,-6529.7055541694435,465849700815.0121
251191.4,1237500.5014113826,-7798.101333956607,460657292775.31995
215449.2,1237518.4199109296,-9273.731291193619,456270887279.39197
184863.3,1237590.2582570566,-10981.434788444025,452622973221.53986
158496.1,1237732.8256798838,-12966.081573713247,449610454107.40735
135996.1,1237963.7607313914,-15241.180643734226,447182733838.8131
116660.2,1238306.834282634,-17857.167404349806,445240013315.26025
100019.5,1238790.411412722,-20861.122172219453,443705625576.97577
85839.84,1239440.0902508628,-24262.944585821275,442523055032.2313
73652.34,1240296.0789710924,-28132.245590528095,441617370637.1096
63105.47,1241410.6776044592,-32554.16109793043,440930788113.1197
54199.22,1242801.453427704,-37463.21970579038,440431875672.90967
46464.84,1244560.2953544168,-43044.28887642721,440066592455.9334
39902.34,1246708.2424690719,-49221.486218863036,439811841286.2417
34160.16,1249389.8784586997,-56253.57132309283,439634579243.3953
29355.47,1252559.3790105742,-63875.10322961757,439521669205.7558
25136.72,1256456.8455823225,-72506.77562769236,439450822761.948
21621.09,1260966.2885528225,-81740.84840042403,439412784619.9757
18574.22,1266336.019338242,-91944.8825519195,439395343837.9831
15878.91,1272860.6688029394,-103460.91959940584,439391368041.8654
13652.34,1280210.8564215805,-115537.46180568617,439395110898.8594
11660.16,1289132.1203403422,-129198.92299087145,439402225890.5311
10019.53,1299045.3821206542,-143363.69788624294,439408853400.6348
8613.280999999999,1310374.3359058583,-158501.63660958654,439412996483.93646
7349.536999999999,1323961.8341950453,-175461.4377229913,439413154873.6788
6307.871,1338848.6601759181,-192818.08362596214,439408483999.83514
5381.944,1356339.621876736,-211862.98048699228,439398465153.25964
4630.335,1374965.9816475464,-230808.14479470166,439384464677.81555
3993.0559999999996,1395385.3633562212,-250241.44553948473,439367086532.8526
3414.3520000000003,1419359.6199475892,-271540.2417506287,439345844576.07074
