tau,gamma,sigma_gamma
1e-07,-0.009991626882837501,0.16891673700404006
1.1097524964120721e-07,-0.004721790924324232,0.16818779411345933
1.2315506032928263e-07,0.0007401927357451044,0.16818326988116467
1.3667163564620074e-07,0.006265102937947908,0.16822783476613326
1.5167168884709241e-07,0.011709794467606116,0.16775854920541344
1.6831803533309585e-07,0.016921981945062115,0.16636580391036412
1.867913599020781e-07,0.021746107981034157,0.163807047007395
2.0729217795953698e-07,0.026030061633091073,0.16000374773579262
2.300430119772917e-07,0.029632413046874362,0.15502890604285555
2.5529080682395163e-07,0.032429742865379474,0.14908867318573052
2.833096101839324e-07,0.03432358108205502,0.1424987178456581
3.1440354715915e-07,0.03524643935772698,0.13565391514347347
3.489101213406774e-07,0.035166431356870476,0.12898879757466591
3.872038781812557e-07,0.03409003220953544,0.12292680778877203
4.2970047043208437e-07,0.03206263146495569,0.1178203400424177
4.768611697714474e-07,0.029166679768126258,0.11389155338960148
5.291978735958437e-07,0.02551740887397269,0.11119234291258337
5.872786613189477e-07,0.021256303821179046,0.10960195965457571
6.517339604882421e-07,0.01654270778926037,0.10886700386900057
7.232633896483533e-07,0.011544124903341668,0.10866877382847352
8.026433522257174e-07,0.006425934376614428,0.10869295529401829
8.907354638610439e-07,0.001341323186459853,0.10868210636804501
9.884959046625586e-07,-0.003577729661739859,0.10846391672340883
1.096985797892384e-06,-0.008227634020707697,0.10795773624664402
1.217382727739662e-06,-0.01253787727444422,0.10716541713650023
1.3509935211980278e-06,-0.01647275806750592,0.1061522853062411
1.499268432786047e-06,-0.02002995078164016,0.1050228142126192
1.6638168860761274e-06,-0.02323596729608912,0.10389474095091938
1.8464249428955464e-06,-0.02613886999492454,0.10287513818214916
2.049074689815846e-06,-0.028798856217473023,0.10204185428060883
2.2739657523579273e-06,-0.03127755258378606,0.10143308881271138
2.523539170434766e-06,-0.03362700492270587,0.10104631348189401
2.800503894183631e-06,-0.03587940938583856,0.1008455723259134
3.107866187782014e-06,-0.03803859461208248,0.10077424954177132
3.4489622604057595e-06,-0.04007413478841748,0.1007694991264293
3.827494478516315e-06,-0.0419187598297146,0.10077490849967312
4.247571552536894e-06,-0.0434694507557154,0.10074919524174451
4.713753134116729e-06,-0.04459229117868979,0.1006701578908217
5.2310993080562585e-06,-0.04513081887050596,0.10053424718155127
5.805225516094895e-06,-0.044917314559848265,0.1003528311758976
6.44236350872137e-06,-0.0437862058891767,0.1001465403795842
7.149428986597577e-06,-0.041588575101796366,0.09993910016004752
7.934096665797492e-06,-0.03820665448244576,0.0997518694290554
8.804883581643465e-06,-0.03356718025031036,0.09959996123551422
9.771241535346501e-06,-0.02765255115967591,0.09949037840342773
1.0843659686896109e-05,-0.020508892178153104,0.0994221340181704
1.2033778407775906e-05,-0.012250339613649075,0.09938793646891327
1.3354515629298974e-05,-0.0030591211568040677,0.09937678106443515
1.48202070579886e-05,0.0068187198940261595,0.09937673824051965
1.6446761779946626e-05,0.017081833967967697,0.09937733987931663
1.8251834943190462e-05,0.02738593421556601,0.09937117874404375
2.0255019392306664e-05,0.03735943502462469,0.09935457918911064
2.2478058335487252e-05,0.046621597954761285,0.09932741109233595
2.4945081352303165e-05,0.054802299011612376,0.09929226831406117
2.7682866303920665e-05,0.06156245453889042,0.09925330600111516
3.072112998861759e-05,0.06661410994731654,0.09921503276898132
3.409285069746814e-05,0.06973920071876627,0.09918129979224778
3.783462617131933e-05,0.07080603328151724,0.09915464036391745
4.1987070844439056e-05,0.0697826003095301,0.09913601360869347
4.659525668664687e-05,0.06674593856265432,0.09912491593860978
5.170920242896755e-05,0.06188685745750533,0.09911975929333443
5.7384416483024044e-05,0.05550951466732279,0.09911838410921041
6.368249944718586e-05,0.04802549336167594,0.09911857677789632
7.067181273927492e-05,0.03994224569692584,0.09911848873975782
7.842822061337681e-05,0.03184600822536687,0.099116896176252
8.703591361485166e-05,0.024379562983455116,0.09911328390715457
9.658832241158708e-05,0.018215504836733842,0.09910777508000834
0.00010718913192051276,0.01402596827355218,0.09910095362446551
0.00011895340673703195,0.012450048032555117,0.09909363712160908
0.0001320088400831418,0.014060397214986864,0.09908665490222483
0.00014649713983072864,0.019330681664520455,0.09908067331859818
0.0001625755666443795,0.028605688501290416,0.09907609188496797
0.00018041864093920718,0.04207591042311343,0.09907301503413457
0.00020022003718155845,0.05975834113560197,0.09907128844531957
0.0002221946860939524,0.08148501314065726,0.09907057868077092
0.0002465811075822604,0.10690048737751656,0.09907047104736005
0.0002736439997074672,0.13546907419085397,0.0990705625422445
0.00030367711180354605,0.1664920452950458,0.09907053280828768
0.00033700643292719284,0.19913451387256753,0.09907018411017605
0.0003739937302478798,0.23246104895509312,0.09906944939495184
0.0004150404757850477,0.26547849025325565,0.09906837394290728
0.00046059220411451084,0.29718388274581553,0.09906708002265097
0.0005111433483440171,0.3266149984654749,0.09906572513411238
0.0005672426068491978,0.3529005945018415,0.09906446323344077
0.0006294988990221888,0.3753074032943462,0.09906341556034284
0.0006985879746785249,0.3932808864731676,0.09906265424277613
0.0007752597488629464,0.4064770177594772,0.099062198608384
0.000860346441668451,0.41478279119824224,0.09906202169749152
0.0009547716114208065,0.41832376134894744,0.09906206318165747
0.001059560179277617,0.417457680842765,0.09906224473434078
0.0011758495540521582,0.41275416376679486,0.09906248463608566
0.0013049019780144017,0.404961215835006,0.09906270961031818
0.001448118227674533,0.3949603721607069,0.09906286316198536
0.0016070528182616384,0.3837130055439726,0.0990629106620013
0.0017834308769319094,0.37220104923219255,0.09906284189356424
0.0019791668678535573,0.3613658616835913,0.09906267171883078
0.002196385372416547,0.35204920229608305,0.09906243909616654
0.002437444150122222,0.3449402576897036,0.09906220411917269
0.002704959730463137,0.3405323484769922,0.09906204237398061
0.0030018358135755923,0.3390923680390925,0.09906203594498594
0.003331294787934677,0.34064519028981444,0.09906226097228862
0.0036969127071950323,0.3449742849094779,0.09906277271281154
0.00410265810582719,0.3516386643887497,0.09906359035129032
0.004552935074866948,0.3600051371015702,0.09906468496482176
0.00505263106533568,0.36929373954576494,0.09906597464453716
0.005607169938205458,0.37863325259487013,0.09906733041839368
0.006222570836730231,0.3871229468258255,0.09906859510840114
0.006905513520162331,0.3938962121834839,0.09906961463786922
0.007663410868007463,0.3981815493749865,0.09907027796003855
0.008504489341802686,0.3993565531826846,0.09907055839569842
0.009437878277775391,0.39699099495058565,0.0990705466163687
0.010473708979594508,0.39087588143796204,0.09907046471024
0.011623224686798541,0.38103637579219196,0.09907065243548657
0.01289890261253308,0.36772764045256157,0.09907152117788576
0.014314589375234785,0.35141391489862617,0.09907347796753871
0.015885651294280528,0.3327323800894648,0.09907683010264202
0.01762914118095948,0.312444493373345,0.09908168880146473
0.01956398343517065,0.2913784172251823,0.09908789575784942
0.021711179456945052,0.27036684101745845,0.09909499744370744
0.02409403560239527,0.2501848551718613,0.09910228700056894
0.026738416158399492,0.23149255281694536,0.09910892219759478
0.029673024081888724,0.2147867023170349,0.09911411131931848
0.032929712550971546,0.20036517729963776,0.0991173397065594
0.036543830709572546,0.1883068957521168,0.09911859205434255
0.040554607358408275,0.17846887375777953,0.0991185142397084
0.04500557675700498,0.170500725713425,0.09911845791706428
0.0499450511585514,0.16387563448843245,0.09912036453722947
