tau,gamma,sigma_gamma
1e-07,0.04382763872300188,0.15750012950314876
1.1097524964120721e-07,0.008940449838620523,0.1570485061539477
1.2315506032928263e-07,-0.024368284458300415,0.15545987714757512
1.3667163564620074e-07,-0.05510343594121103,0.1523763670791197
1.5167168884709241e-07,-0.0823265145423786,0.14765756239442215
1.6831803533309585e-07,-0.10520345999035285,0.1413652788197887
1.867913599020781e-07,-0.12305044690880695,0.13374284451187504
2.0729217795953698e-07,-0.1353746545818062,0.1251906252756573
2.300430119772917e-07,-0.1419070098698043,0.11623556597209542
2.5529080682395163e-07,-0.1426242037271468,0.10748842725355982
2.833096101839324e-07,-0.1377578082673434,0.09957840656786905
3.1440354715915e-07,-0.1277890612367898,0.09305593559723878
3.489101213406774e-07,-0.11342879590997157,0.08827141586797387
3.872038781812557e-07,-0.09558301556695703,0.08527347812677873
4.2970047043208437e-07,-0.07530566667320748,0.08379284580197278
4.768611697714474e-07,-0.05374116851538879,0.08333875041055162
5.291978735958437e-07,-0.03206012262792335,0.08335693166943435
5.872786613189477e-07,-0.01139227263192133,0.0833686247296289
6.517339604882421e-07,0.007238851686944159,0.08304814017204094
7.232633896483533e-07,0.022975137422903913,0.08224295081349328
8.026433522257174e-07,0.03517278121010037,0.08095715499233368
8.907354638610439e-07,0.04343735896107859,0.0793152867115794
9.884959046625586e-07,0.04764249709121415,0.077515715943294
1.096985797892384e-06,0.047930729750447654,0.0757789434918517
1.217382727739662e-06,0.04469641965516047,0.07429676215539671
1.3509935211980278e-06,0.03855194229551984,0.07319129301534968
1.499268432786047e-06,0.03027957635191214,0.07249411651094866
1.6638168860761274e-06,0.020772604269744477,0.07215125581608237
1.8464249428955464e-06,0.010969918116789046,0.07205041904388763
2.049074689815846e-06,0.0017888818951448116,0.07205874567860684
2.2739657523579273e-06,-0.005938714089541719,0.07205775447014451
2.523539170434766e-06,-0.011523063082595542,0.07196672958131942
2.800503894183631e-06,-0.014461213192241473,0.07175192378775525
3.107866187782014e-06,-0.01446743105844206,0.07142329649960849
3.4489622604057595e-06,-0.011487235117549233,0.07102248886526559
3.827494478516315e-06,-0.005694538428052454,0.07060629194145965
4.247571552536894e-06,0.0025273837079815564,0.07022980539698256
4.713753134116729e-06,0.012619200606863501,0.06993300308978266
5.2310993080562585e-06,0.02389020330812386,0.0697333380469212
5.805225516094895e-06,0.035570700737924454,0.06962529329297601
6.44236350872137e-06,0.04686804477564266,0.06958583111798475
7.149428986597577e-06,0.05702208779044682,0.06958322333808557
7.934096665797492e-06,0.06535609954895705,0.06958628169443132
8.804883581643465e-06,0.07131969365553203,0.06957154548563521
9.771241535346501e-06,0.07452108384849865,0.06952708792225301
1.0843659686896109e-05,0.07474693619322892,0.06945276191052879
1.2033778407775906e-05,0.07196912108824804,0.06935759136033898
1.3354515629298974e-05,0.06633871063521113,0.06925551405988442
1.48202070579886e-05,0.05816852617096302,0.06916081135183594
1.6446761779946626e-05,0.04790634072110578,0.06908437845460447
1.8251834943190462e-05,0.03610142032724184,0.06903158046546065
2.0255019392306664e-05,0.023367405539794106,0.06900191741976115
2.2478058335487252e-05,0.010344572513353967,0.06899022725619125
2.4945081352303165e-05,-0.002335720036269251,0.06898881615801888
2.7682866303920665e-05,-0.01408206379265664,0.06898979103238097
3.072112998861759e-05,-0.02436783608532167,0.06898696821166893
3.409285069746814e-05,-0.03274892953848685,0.06897697232948345
3.783462617131933e-05,-0.038874269168525544,0.06895942327010678
4.1987070844439056e-05,-0.04248975728569171,0.06893635478990356
4.659525668664687e-05,-0.043436901005795114,0.06891116542069549
5.170920242896755e-05,-0.04164779333942903,0.06888745395492542
5.7384416483024044e-05,-0.03713829236389188,0.06886804856030253
6.368249944718586e-05,-0.03000115612338128,0.06885442914172529
7.067181273927492e-05,-0.02040055541736674,0.0688466056385633
7.842822061337681e-05,-0.008568843771444623,0.0688433891175334
8.703591361485166e-05,0.005194218932710548,0.06884290742572693
9.658832241158708e-05,0.020520328294822754,0.06884318650753145
0.00010718913192051276,0.03697081237321953,0.06884263920669875
0.00011895340673703195,0.054035901315634405,0.06884035938931335
0.0001320088400831418,0.07113718638438371,0.06883618888244546
0.00014649713983072864,0.08763539249035546,0.06883058770184194
0.0001625755666443795,0.102845292305358,0.0688243801870094
0.00018041864093920718,0.1160589765575839,0.06881846517586436
0.00020022003718155845,0.12657780966778276,0.06881356897001273
0.0002221946860939524,0.13375232469724185,0.06881009298672436
0.0002465811075822604,0.13702815860512274,0.06880807389912426
0.0002736439997074672,0.13599502866467272,0.06880724257556972
0.00030367711180354605,0.13043483895094088,0.06880714656872226
0.00033700643292719284,0.1203644069281875,0.06880729268250133
0.0003739937302478798,0.1060681136271544,0.06880727038371705
0.0004150404757850477,0.08811606753102996,0.06880682995849514
0.00046059220411451084,0.06736414517240874,0.06880590604869494
0.0005111433483440171,0.044933491636631295,0.06880459256972501
0.0005672426068491978,0.02216864201900215,0.06880308553016333
0.0006294988990221888,0.0005752271841892309,0.06880161432577485
0.0006985879746785249,-0.01825991063518284,0.06880038015520387
0.0007752597488629464,-0.03276162438784613,0.06879951413908963
0.000860346441668451,-0.04146637634401085,0.06879906006242
0.0009547716114208065,-0.04312214874542519,0.06879897969818431
0.001059560179277617,-0.03678090853054172,0.06879917409960713
0.0011758495540521582,-0.021876380693125697,0.06879951260452484
0.0013049019780144017,0.0017192863044952489,0.06879986214166041
0.001448118227674533,0.03366497647590272,0.06880011183700578
0.0016070528182616384,0.07314933316617811,0.06880019053717507
0.0017834308769319094,0.11891974048448617,0.06880007680874885
0.0019791668678535573,0.16934026306224403,0.06879980176519214
0.002196385372416547,0.2224750525546142,0.06879944493462928
0.002437444150122222,0.27619180818654243,0.06879912287723154
0.002704959730463137,0.32827839399256753,0.06879897026870808
0.0030018358135755923,0.3765647869332529,0.06879911416116292
0.003331294787934677,0.41904222458033935,0.0687996442743613
0.0036969127071950323,0.4539717477612779,0.06880058481220999
0.00410265810582719,0.4799752454588724,0.06880187552869271
0.004552935074866948,0.49610351017761367,0.06880337020101263
0.00505263106533568,0.5018775681058703,0.06880485850523609
0.005607169938205458,0.49730150293771125,0.0688061121694195
0.006222570836730231,0.48284698141832116,0.06880694905147117
0.006905513520162331,0.45941155728592875,0.06880730124604793
0.007663410868007463,0.4282544449305856,0.06880726781191347
0.008504489341802686,0.39091471327684424,0.06880713181907429
0.009437878277775391,0.3491176903538573,0.06880732669898945
0.010473708979594508,0.3046757652161105,0.0688083484327823
0.011623224686798541,0.2593897385123416,0.06881062612513632
0.01289890261253308,0.21495644921221313,0.06881437993286009
0.014314589375234785,0.1728876589232069,0.06881950716434063
0.015885651294280528,0.1344441870706543,0.0688255395485008
0.01762914118095948,0.10058814552871098,0.06883170383600402
0.01956398343517065,0.07195490344961541,0.06883709416364128
0.021711179456945052,0.048845197550214436,0.06884093195453375
0.02409403560239527,0.03123665409273002,0.06884285559007168
0.026738416158399492,0.018812957540854214,0.06884315774848505
0.029673024081888724,0.01100802615784513,0.06884288314583106
0.032929712550971546,0.0070618643294819705,0.06884371994224801
0.036543830709572546,0.006084273636882465,0.06884766481039964
0.040554607358408275,0.007122330729665727,0.06885650717224241
0.04500557675700498,0.00922748455646527,0.0688712469015974
0.0499450511585514,0.01151828712284697,0.06889161081076607
0.05542664520663107,0.013235142525982901,0.06891584529772839
0.06150985788580504,0.013784022535817897,0.06894092150426531
0.06826071834272393,0.012766828135128527,0.06896319507944847
0.0757525025877192,0.009996939679440153,0.06897943213371566
0.08406652885618333,0.005499447928407619,0.06898797807984564
0.09329304026284696,-0.0005034606257048324,0.06898974620892281
0.10353218432956637,-0.007620539010092742,0.06898867550916361
0.11489510001873086,-0.015330651509069426,0.06899137846007918
0.1275051240713013,-0.023030092022239046,0.0690058752608074
0.1414991297434576,-0.030084558604356992,0.06903956862542501
0.15702901247293774,-0.03588203684313118,0.06909689607824726
0.17426333860096507,-0.03988285194666208,0.06917731757913385
0.19338917504552322,-0.04166342060909045,0.06927435992969574
0.21461411978584058,-0.040950747445321234,0.0693762813322955
0.23816855519761607,-0.03764542583020525,0.069468543647411
0.2643081486974108,-0.03183176201656668,0.06953776957646471
0.29331662783900486,-0.023774576316725415,0.06957635117759942
0.32550885998350565,-0.01390317337691016,0.06958650201675722
0.36123426997094304,-0.0027838449011357014,0.06958241612587832
0.40088063288984643,0.008916989150511867,0.06958939136162333
0.4448782831127585,0.020476329021636985,0.06963934768071704
0.4937047852839004,0.031161803601782445,0.0697631212489045
0.5478901179593945,0.04027937222250966,0.06998109638893198
0.6080224261649427,0.04721843203298093,0.07029477762905141
0.67475440531107,0.05149151718040024,0.07068228004570731
0.748810385759003,0.05276621239165902,0.07110004856286321
0.8309941949353403,0.050887461650000354,0.07149150463728587
0.9221978823334341,0.0458890883020322,0.07180135645715317
1.0234114021054528,0.037994012342879024,0.0719926854398055
1.135733358343105,0.02760331355471468,0.07206296394262929
1.2603829296797273,0.01527491096263045,0.07205476599577808
1.3987131026472386,0.0016931816759102603,0.07205695561940037
1.552225357427048,-0.012368695769389149,0.0721928786558906
1.7225859653987874,-0.026091532245333227,0.07259445429537935
1.9116440753857036,-0.03865567148787363,0.07336585551191238
2.121451784910632,-0.049286786246844905,0.07454665318859247
2.35428641432242,-0.05729943300023699,0.07608800046735474
2.612675225563332,-0.062136000004510805,0.07785249879116235
2.8994228538828812,-0.06339893077768277,0.0796394673738903
3.2176417502507353,-0.06087446198063162,0.08122854507561195
3.5707859649004625,-0.05454656726312024,0.08243127798750746
3.9626886387014784,-0.044600327624106484,0.08314225463057143
4.397603609302721,-0.03141452917022747,0.08338421887545007
4.880251583654434,-0.015543890546819483,0.08334150009301099
5.415871378079476,0.002308089517978118,0.08337126363660809
6.010276782070388,0.021324135450406345,0.08397419685433875
6.669919663030129,0.04061406620730601,0.08570475096801476
7.401959996915652,0.0592592156866516,0.0890237412795759
8.214343584919439,0.07635788890162232,0.09414544773356183
9.115888299750837,0.09106930458358597,0.10096046534831032
10.11637979766207,0.1026536013336532,0.10907196903085883
