tau,gamma,sigma_gamma
1e-07,0.03688155744669075,0.08648122285989965
1.1097524964120721e-07,0.032187175383796784,0.07768648679857029
1.2315506032928263e-07,0.027007584468265122,0.06876724656842292
1.3667163564620074e-07,0.0215515636893997,0.059982003008509706
1.5167168884709241e-07,0.016026704826799687,0.051591921233658446
1.6831803533309585e-07,0.010632957433244883,0.043860280557673506
1.867913599020781e-07,0.005556320402547499,0.03705119176172606
2.0729217795953698e-07,0.0009629094230376722,0.03141874817003018
2.300430119772917e-07,-0.0030063735723615537,0.02716788465196165
2.5529080682395163e-07,-0.0062403548745351145,0.024370914608507505
2.833096101839324e-07,-0.008661094967692406,0.022876697235736775
3.1440354715915e-07,-0.01022622360233072,0.022317728949395238
3.489101213406774e-07,-0.010929980728178634,0.022247333266148445
3.872038781812557e-07,-0.0108028854940585,0.02228716931825901
4.2970047043208437e-07,-0.009910007218991268,0.022188748699688784
4.768611697714474e-07,-0.008347867448264878,0.021825630752454687
5.291978735958437e-07,-0.006240059213268978,0.021163299022114525
5.872786613189477e-07,-0.0037317257551876537,0.020230776273491763
6.517339604882421e-07,-0.0009830940758774886,0.019099203400431353
7.232633896483533e-07,0.0018376942214217706,0.01786578134548506
8.026433522257174e-07,0.004562172886835469,0.01664003579801695
8.907354638610439e-07,0.007029251484709675,0.015529342007353198
9.884959046625586e-07,0.009092698995118553,0.014621883510648285
1.096985797892384e-06,0.010628080520746153,0.013968739955535542
1.217382727739662e-06,0.011538828293623737,0.013571926185180532
1.3509935211980278e-06,0.01176115443740855,0.013386628371881516
1.499268432786047e-06,0.011267553329162183,0.013338379053731307
1.6638168860761274e-06,0.010068695225982083,0.01334624825465303
1.8464249428955464e-06,0.00821357763584274,0.013341486728888576
2.049074689815846e-06,0.005787875408486798,0.013277284760215256
2.2739657523579273e-06,0.0029105102803441696,0.013131034552083315
2.523539170434766e-06,-0.00027145709964315756,0.012902122958516686
2.800503894183631e-06,-0.0035894253642254625,0.012607466408596618
3.107866187782014e-06,-0.0068610827233897,0.012275932085578941
3.4489622604057595e-06,-0.009899136137846654,0.011941988550573686
3.827494478516315e-06,-0.012520556750814649,0.011639113931076198
4.247571552536894e-06,-0.014555916374774824,0.011393331470909441
4.713753134116729e-06,-0.015858369340776335,0.011218472765544376
5.2310993080562585e-06,-0.016311832668179704,0.0111142543541388
5.805225516094895e-06,-0.01583793751774465,0.011067825548692962
6.44236350872137e-06,-0.014401365981711933,0.011058208060870446
7.149428986597577e-06,-0.012013248543780719,0.011061880812143605
7.934096665797492e-06,-0.008732376925081553,0.011057838928924488
8.804883581643465e-06,-0.004664081643568352,0.01103107228134158
9.771241535346501e-06,4.327064812059689e-05,0.010974203917602964
1.0843659686896109e-05,0.005204092499525359,0.01088755889081297
1.2033778407775906e-05,0.010603522135625099,0.010777899157863915
1.3354515629298974e-05,0.01600720948908929,0.010656372427917924
1.48202070579886e-05,0.021172549496213833,0.010535948083236431
1.6446761779946626e-05,0.02586088441580614,0.010428691479085905
1.8251834943190462e-05,0.02985013022384919,0.010343512635634239
2.0255019392306664e-05,0.03294723909880304,0.010284623238556405
2.2478058335487252e-05,0.03499989320334862,0.010251147872316391
2.4945081352303165e-05,0.035906836738377024,0.01023784912514635
2.7682866303920665e-05,0.03562629365387693,0.010236703646588047
3.072112998861759e-05,0.03418198705821851,0.010238856080425497
3.409285069746814e-05,0.03166637065851319,0.010236385602444843
3.783462617131933e-05,0.028240799083505408,0.01022373242490327
4.1987070844439056e-05,0.024132497896516725,0.010198332771334815
4.659525668664687e-05,0.01962833932338981,0.010160782720845325
