tau,gamma,sigma_gamma
1e-07,-0.0005481647759101003,1.408209629815365
1.1097524964120721e-07,-0.0006082705996401684,1.4082095118990787
1.2315506032928263e-07,-0.0006749550757326282,1.4082093666980031
1.3667163564620074e-07,-0.0007489346104925278,1.4082091879030063
1.5167168884709241e-07,-0.0008310025609881214,1.4082089677480045
1.6831803533309585e-07,-0.0009220371996452262,1.4082086966743508
1.867913599020781e-07,-0.0010230104211825276,1.408208362918267
2.0729217795953698e-07,-0.0011349972726136387,1.4082079520038138
2.300430119772917e-07,-0.001259186182706963,1.40820744612005
2.5529080682395163e-07,-0.0013968904067185005,1.408206823355964
2.833096101839324e-07,-0.0015495599514281748,1.4082060567615404
3.1440354715915e-07,-0.0017187947708681393,1.4082051131955293
3.489101213406774e-07,-0.0019063587925500225,1.4082039519125142
3.872038781812557e-07,-0.002114194920435457,1.4082025228312431
4.2970047043208437e-07,-0.002344440975210492,1.4082007644137557
4.768611697714474e-07,-0.0025994465075902112,1.4081986010697993
5.291978735958437e-07,-0.0028817904126421517,1.408195939982946
5.872786613189477e-07,-0.0031942992108117754,1.408192667233193
6.517339604882421e-07,-0.0035400658082178835,1.4081886430650252
7.232633896483533e-07,-0.003922468506786861,1.408183696119226
8.026433522257174e-07,-0.004345189941094646,1.4081776164104318
8.907354638610439e-07,-0.004812235545028534,1.4081701467896222
9.884959046625586e-07,-0.005327951039347828,1.4081609725806188
1.096985797892384e-06,-0.005897038330897067,1.4081497090212243
1.217382727739662e-06,-0.006524569080490705,1.4081358860720057
1.3509935211980278e-06,-0.007215995035920214,1.4081189300779846
1.499268432786047e-06,-0.007977154083396484,1.4080981416799099
1.6638168860761274e-06,-0.008814270783990386,1.4080726692717656
1.8464249428955464e-06,-0.009733949966144101,1.408041477189476
2.049074689815846e-06,-0.010743161760493364,1.408003307692629
2.2739657523579273e-06,-0.011849216222739517,1.4079566356673228
2.523539170434766e-06,-0.013059725508181269,1.4078996148356333
2.800503894183631e-06,-0.014382551328514181,1.407830014108627
3.107866187782014e-06,-0.01582573522706915,1.4077451425693925
3.4489622604057595e-06,-0.017397409035523892,1.407641761426329
3.827494478516315e-06,-0.01910568272338231,1.4075159811426596
4.247571552536894e-06,-0.020958506749458372,1.4073631418362371
4.713753134116729e-06,-0.022963505991581368,1.4071776749668725
5.2310993080562585e-06,-0.025127782379023855,1.4069529443022528
5.805225516094895e-06,-0.027457683480529516,1.406681064196455
6.44236350872137e-06,-0.029958534590312502,1.4063526933480472
7.149428986597577e-06,-0.0326343322521212,1.4059568024513125
7.934096665797492e-06,-0.035487397727440584,1.4054804145391666
8.804883581643465e-06,-0.0385179897226976,1.4049083173655408
9.771241535346501e-06,-0.04172387663242394,1.4042227479131688
1.0843659686896109e-05,-0.045099869786653146,1.4034030500619008
1.2033778407775906e-05,-0.048637320629275616,1.4024253076300968
1.3354515629298974e-05,-0.052323586482064255,1.4012619564166948
1.48202070579886e-05,-0.05614147147879578,1.399881380523472
1.6446761779946626e-05,-0.06006865146009588,1.3982475001115895
1.8251834943190462e-05,-0.0640770941633424,1.3963193598131336
2.0255019392306664e-05,-0.06813248816112427,1.3940507292305526
2.2478058335487252e-05,-0.07219369773684337,1.3913897292426023
2.4945081352303165e-05,-0.07621226246962509,1.3882785001146003
2.7682866303920665e-05,-0.080131964065425,1.3846529295691914
3.072112998861759e-05,-0.08388848516621605,1.3804424608972174
3.409285069746814e-05,-0.08740918744967185,1.375570002740337
3.783462617131933e-05,-0.09061303835368584,1.3699519632216535
4.1987070844439056e-05,-0.09341071726080852,1.3634984315022864
4.659525668664687e-05,-0.0957049327845576,1.356113529475345
5.170920242896755e-05,-0.0973909827207482,1.3476959550671415
5.7384416483024044e-05,-0.09835758703186004,1.3381397364191434
6.368249944718586e-05,-0.09848802188293959,1.3273352130246387
7.067181273927492e-05,-0.09766157891832883,1.3151702556844258
7.842822061337681e-05,-0.09575536859433864,1.3015317319591413
8.703591361485166e-05,-0.09264647947295757,1.2863072177103383
9.658832241158708e-05,-0.08821449659271252,1.2693869484611384
0.00010718913192051276,-0.08234437166972519,1.2506659968343954
0.00011895340673703195,-0.07492962578888829,1.2300466544467539
0.0001320088400831418,-0.06587585169932808,1.2074409885928723
0.00014649713983072864,-0.05510446791398671,1.182773536119008
0.0001625755666443795,-0.04255666102589295,1.1559840893630937
0.00018041864093920718,-0.028197436242976437,1.1270305222649868
0.00020022003718155845,-0.012019679722898857,1.0958915990791585
0.0002221946860939524,0.005951879588808495,1.0625697039453763
0.0002465811075822604,0.02565693554458548,1.0270934273054615
0.0002736439997074672,0.0469962373736017,0.9895199452511919
0.00030367711180354605,0.06982873869437256,0.9499371308650335
0.00033700643292719284,0.09396941866805086,0.9084653430343769
0.0003739937302478798,0.1191879328826424,0.865258848781111
0.0004150404757850477,0.14520824829398293,0.8205068506346344
0.00046059220411451084,0.17170940748536268,0.7744341120134699
0.0005111433483440171,0.19832755210918585,0.7273012021097262
0.0005672426068491978,0.22465931328887656,0.6794044187375464
0.0006294988990221888,0.2502666478471802,0.6310754941321951
0.0006985879746785249,0.2746831636024183,0.5826812447348201
0.0007752597488629464,0.29742193503812686,0.5346233878754337
0.000860346441668451,0.3179847631140795,0.4873388024127824
0.0009547716114208065,0.33587278088088723,0.441300518754818
0.001059560179277617,0.35059825124180577,0.3970195927396957
0.0011758495540521582,0.3616973463390245,0.3550475347439661
0.0013049019780144017,0.36874364156941297,0.3159776940636816
0.001448118227674533,0.37136200332890823,0.2804411815471844
0.0016070528182616384,0.3692425005873261,0.24908769295722918
0.0017834308769319094,0.3621539287302511,0.222534521988828
0.0019791668678535573,0.34995650219923746,0.2012643214554526
0.002196385372416547,0.33261325261997854,0.18546997531731282
0.002437444150122222,0.3101996634264559,0.17489699007352016
0.002704959730463137,0.2829110822150298,0.16878735165770087
0.0030018358135755923,0.2510674794992305,0.16599845510124678
0.003331294787934677,0.2151151679306409,0.1652464859987514
0.0036969127071950323,0.17562515950704238,0.1653411476411039
0.00410265810582719,0.13328791918326033,0.1653224786912457
0.004552935074866948,0.08890437025772613,0.1644985309846568
0.00505263106533568,0.0433731177615968,0.16242486525655198
0.005607169938205458,-0.002326022101009073,0.1588629007397731
0.006222570836730231,-0.04715196925987186,0.15373710353748682
0.006905513520162331,-0.09002545441057563,0.14709835472148275
0.007663410868007463,-0.1298547410183719,0.13909470922463474
0.008504489341802686,-0.16556339098367268,0.12994862637637294
0.009437878277775391,-0.19611935852550744,0.11993939127689579
0.010473708979594508,-0.22056460228327524,0.10938965048134888
0.011623224686798541,-0.23804433315207518,0.09865516978304174
0.01289890261253308,-0.2478349692983386,0.08811667938915167
