tau,gamma,sigma_gamma
1e-07,0.02539487347316083,1.0719341607976556
1.1097524964120721e-07,0.027572426644525194,0.959552887566065
1.2315506032928263e-07,0.028476797261362208,0.8402234106197971
1.3667163564620074e-07,0.028000099600490103,0.7221407719014776
1.5167168884709241e-07,0.02610106080726382,0.614654937093747
1.6831803533309585e-07,0.02281498892122613,0.5273463648665051
1.867913599020781e-07,0.018259098507456883,0.46759254921682025
2.0729217795953698e-07,0.012632138563276385,0.4365518200570196
2.300430119772917e-07,0.0062076985485362,0.42713518840045334
2.5529080682395163e-07,-0.0006788725294484266,0.42767902664882723
2.833096101839324e-07,-0.007649363713653656,0.42776470575789105
3.1440354715915e-07,-0.014306204037467296,0.4210986936935388
3.489101213406774e-07,-0.020258787415002644,0.4055369828758537
3.872038781812557e-07,-0.025150422983841736,0.38215293395162764
4.2970047043208437e-07,-0.02868351845381767,0.3542428910761993
4.768611697714474e-07,-0.0306406752361994,0.3263383642887728
5.291978735958437e-07,-0.03089972368613303,0.30300907284279743
5.872786613189477e-07,-0.02944132857180648,0.28736730274274874
6.517339604882421e-07,-0.02634858427447284,0.2798123459926465
7.232633896483533e-07,-0.021798898716156145,0.2780431634953595
8.026433522257174e-07,-0.01604931663878517,0.2784917604541839
8.907354638610439e-07,-0.009417133779123787,0.27801268523126405
9.884959046625586e-07,-0.0022580956418210008,0.274834976308581
1.096985797892384e-06,0.005055417244093974,0.26872280411546245
1.217382727739662e-06,0.0121540686161552,0.26066600385416433
1.3509935211980278e-06,0.01868754579737697,0.2523277653755951
1.499268432786047e-06,0.024336104071920772,0.2453730005584226
1.6638168860761274e-06,0.028817881749944263,0.24083795570759364
1.8464249428955464e-06,0.03189307960778365,0.23878737264489858
2.049074689815846e-06,0.03336676565157859,0.2384312398578751
2.2739657523579273e-06,0.03309236783115921,0.23859951283418607
2.523539170434766e-06,0.030977759283587147,0.23827098512540185
2.800503894183631e-06,0.026995200959902377,0.2369112171415337
3.107866187782014e-06,0.021195347063724057,0.23455189930662002
3.4489622604057595e-06,0.013724184775014692,0.23165999126468279
3.827494478516315e-06,0.004840384742578863,0.22888260554354858
4.247571552536894e-06,-0.005070662862522113,0.22676632087330045
4.713753134116729e-06,-0.015490602549732557,0.22555395817577711
5.2310993080562585e-06,-0.025774214451644184,0.22513374472834716
5.805225516094895e-06,-0.03517168987968944,0.22514399673113283
6.44236350872137e-06,-0.042869344763062145,0.22516122752309758
7.149428986597577e-06,-0.048048738530951596,0.2248746631482188
7.934096665797492e-06,-0.049961376167743765,0.2241805631078651
8.804883581643465e-06,-0.04801323684193903,0.2231792981519536
9.771241535346501e-06,-0.04185071673555285,0.22209663503804283
1.0843659686896109e-05,-0.031437638272791446,0.22117150817219683
1.2033778407775906e-05,-0.017112159817315842,0.22055755805997612
1.3354515629298974e-05,0.00038699285084931034,0.22027504208721513
1.48202070579886e-05,0.01993343529829872,0.22022494738931075
1.6446761779946626e-05,0.04007006642120814,0.22024897193562484
1.8251834943190462e-05,0.05911020518101395,0.2202021443781684
2.0255019392306664e-05,0.07527767595252044,0.2200062748634287
2.2478058335487252e-05,0.08687514726921108,0.21966705087287539
2.4945081352303165e-05,0.09246525010780715,0.21925534052229065
2.7682866303920665e-05,0.09104559182674166,0.21886652018033464
