tau,gamma,sigma_gamma
1e-07,0.2570220899864353,1.0683123157128795
1.1097524964120721e-07,0.16619058710807622,0.9516758099924266
1.2315506032928263e-07,0.06944195617779769,0.8291071831825245
1.3667163564620074e-07,-0.028640915958249025,0.709354050911288
1.5167168884709241e-07,-0.12312094211767999,0.6022955000637317
1.6831803533309585e-07,-0.2090099427421137,0.5177733468183022
1.867913599020781e-07,-0.28160267223449864,0.46262569218631133
2.0729217795953698e-07,-0.33681713282317105,0.4363694297285656
2.300430119772917e-07,-0.3715134720838478,0.4300917856014596
2.5529080682395163e-07,-0.3837630711152542,0.4313971043835883
2.833096101839324e-07,-0.373041447980313,0.43023208978784555
3.1440354715915e-07,-0.34032337781013666,0.421104109929671
3.489101213406774e-07,-0.28806591408965687,0.4027053466393464
3.872038781812557e-07,-0.2200742282293504,0.37685969503694716
4.2970047043208437e-07,-0.1412555448000603,0.3474819362217054
4.768611697714474e-07,-0.05727692888785896,0.3194978676924142
5.291978735958437e-07,0.025847809494280227,0.29746940985082254
5.872786613189477e-07,0.10220933512027841,0.28395184467682877
6.517339604882421e-07,0.1664547645143557,0.2784145516122254
7.232633896483533e-07,0.21420189676837254,0.2777787623061307
8.026433522257174e-07,0.24237974819448027,0.27823179357569044
8.907354638610439e-07,0.24946549782362126,0.2768690143187873
9.884959046625586e-07,0.23559693338597754,0.2724019954900417
1.096985797892384e-06,0.20255049059005614,0.26511144419380733
1.217382727739662e-06,0.15358687655407266,0.25639671604145065
1.3509935211980278e-06,0.09317785193161399,0.24811559891771273
1.499268432786047e-06,0.026637868349098426,0.24184509854846042
1.6638168860761274e-06,-0.04030803128171101,0.23828286458044123
1.8464249428955464e-06,-0.10198398867760261,0.23706717496177113
2.049074689815846e-06,-0.15321340849823173,0.2371019639951249
2.2739657523579273e-06,-0.18972390347198598,0.237146643028501
2.523539170434766e-06,-0.20847644167815815,0.23632322413761497
2.800503894183631e-06,-0.207894972784743,0.23435402483594295
3.107866187782014e-06,-0.1879811272506231,0.23152875120697433
3.4489622604057595e-06,-0.15030746599677514,0.228482649440606
3.827494478516315e-06,-0.0978914867318963,0.22588902388782114
4.247571552536894e-06,-0.034960607257744414,0.22418097878062374
4.713753134116729e-06,0.03337472460543722,0.22340910057668087
5.2310993080562585e-06,0.10151698797108111,0.22328275381046386
5.805225516094895e-06,0.16381948979596928,0.22334931631006952
6.44236350872137e-06,0.2150361106650962,0.22320522588492658
7.149428986597577e-06,0.2507511889825764,0.22264273809409854
7.934096665797492e-06,0.2677576919763851,0.2216897465449057
8.804883581643465e-06,0.26435333032395647,0.2205514968371733
9.771241535346501e-06,0.24052769389254536,0.2194947519659669
1.0843659686896109e-05,0.1980190788440268,0.21872756773140145
1.2033778407775906e-05,0.14022759793942896,0.2183228340623746
1.3354515629298974e-05,0.07198135450926202,0.2182106067374523
1.48202070579886e-05,-0.0008354681344826531,0.21823128067430295
1.6446761779946626e-05,-0.07177056643104152,0.21821597959899927
1.8251834943190462e-05,-0.13437235062656328,0.21805533904595728
2.0255019392306664e-05,-0.1827928491873081,0.21773103569060173
2.2478058335487252e-05,-0.2123693816654395,0.21730505886835405
2.4945081352303165e-05,-0.22012588981783665,0.21687897790095287
2.7682866303920665e-05,-0.20513694096689505,0.21654468157705764
3.072112998861759e-05,-0.16870615242487474,0.21634781956296775
3.409285069746814e-05,-0.11432604313904449,0.21627672660496042
3.783462617131933e-05,-0.04740712818306747,0.21627699696674763
4.1987070844439056e-05,0.02521141345266642,0.21628101942145023
4.659525668664687e-05,0.09593153393439025,0.21623744099390277
5.170920242896755e-05,0.15718491809764146,0.21612854750011526
5.7384416483024044e-05,0.2022601463436331,0.21597077335340403
6.368249944718586e-05,0.22607752938603198,0.21580133255878206
7.067181273927492e-05,0.22582011602833063,0.2156588845970526
7.842822061337681e-05,0.20133978067929093,0.21556715632482762
8.703591361485166e-05,0.15527834676424845,0.21552766062263795
9.658832241158708e-05,0.09287360338038297,0.2155228894863871
0.00010718913192051276,0.021455734677090277,0.21552672547700147
0.00011895340673703195,-0.05032297300414257,0.21551647270254612
0.0001320088400831418,-0.11344784353883597,0.2154812876191175
0.00014649713983072864,-0.159586639180759,0.21542419744809085
0.0001625755666443795,-0.18209949412778315,0.21535814685342627
0.00018041864093920718,-0.17689216578338574,0.215298749184742
0.00020022003718155845,-0.1430039529585656,0.21525730208557542
0.0002221946860939524,-0.08284880027667896,0.2152368837359529
0.0002465811075822604,-0.0020665730816062933,0.21523251740084426
0.0002736439997074672,0.09101307396292668,0.21523460936209887
0.00030367711180354605,0.18624481467054466,0.21523361194089558
0.00033700643292719284,0.2727876261728852,0.21522377407454893
0.0003739937302478798,0.34034560096711175,0.21520466931044754
0.0004150404757850477,0.38038597748459324,0.21518026404707052
0.00046059220411451084,0.387189267711733,0.21515645340677161
0.0005111433483440171,0.3586026511646878,0.21513829969093098
0.0005672426068491978,0.29640033602663607,0.21512817827702801
0.0006294988990221888,0.20619968658706966,0.2151253649829448
0.0006985879746785249,0.09693421304928052,0.2151269118971256
0.0007752597488629464,-0.02006238881892841,0.2151291908790166
0.000860346441668451,-0.13225970296764444,0.21512933636085252
0.0009547716114208065,-0.2272846862319966,0.2151260822371495
0.001059560179277617,-0.29427047258855055,0.21511981373916908
0.0011758495540521582,-0.3250438482602931,0.2151120785694351
0.0013049019780144017,-0.3150142809150793,0.2151048479127241
0.001448118227674533,-0.2636630540727083,0.21509988991649254
0.0016070528182616384,-0.17457901897091688,0.215098350759066
0.0017834308769319094,-0.05504170231779426,0.2151005789576226
0.0019791668678535573,0.08479382113796419,0.21510607217501654
0.002196385372416547,0.23300948837368196,0.2151135407839153
0.002437444150122222,0.37720006227732483,0.21512114974974628
0.002704959730463137,0.5057616820784006,0.2151269481721083
0.0030018358135755923,0.609045102879918,0.21512955606754539
0.003331294787934677,0.6802461852594206,0.21512886238930182
0.0036969127071950323,0.7159419356560193,0.21512646617375675
0.00410265810582719,0.7162263629479639,0.2151254543988596
0.004552935074866948,0.6844504799723836,0.2151294550211869
0.00505263106533568,0.626618429494556,0.21514110138490178
0.005607169938205458,0.5505309297604981,0.21516058521172401
0.006222570836730231,0.4647932738860163,0.2151849478272208
0.006905513520162331,0.37781512026458586,0.21520879501126225
0.007663410868007463,0.2969226345487641,0.21522637274007494
0.008504489341802686,0.22768178203523348,0.21523436977047175
0.009437878277775391,0.173498271004064,0.21523420710070118
0.010473708979594508,0.1355197700631834,0.21523253046083005
0.011623224686798541,0.11282520693180231,0.21523923715815416
0.01289890261253308,0.10284973009765963,0.2152634028384761
0.014314589375234785,0.10196693148145641,0.21530869351466395
0.015885651294280528,0.1061353597156085,0.21537039215259768
0.01762914118095948,0.1115154967798162,0.21543598203621628
0.01956398343517065,0.11497555085963995,0.21548976770681516
0.021711179456945052,0.11442715593977937,0.2155201496299778
0.02409403560239527,0.10896151206281957,0.21552653170817848
0.026738416158399492,0.09878803233129929,0.21552232976500363
0.029673024081888724,0.08500649834843443,0.21553167516022856
0.032929712550971546,0.0692659943409808,0.21558002476820493
0.036543830709572546,0.053376602643652404,0.21568199445559666
0.040554607358408275,0.03894166645750374,0.21583187268336568
0.04500557675700498,0.027069713367836812,0.21600228894202286
0.0499450511585514,0.01820780157709123,0.21615341259731236
0.05542664520663107,0.012115228415950696,0.21625048543943337
0.06150985788580504,0.00797204629384396,0.2162827417557662
0.06826071834272393,0.00459456974101613,0.21627471036005175
0.0757525025877192,0.000713421317641405,0.21628255628707452
0.08406652885618333,-0.004738963484555825,0.21637386763813019
0.09329304026284696,-0.01238402812032291,0.21659708537571354
0.10353218432956637,-0.02223957161868384,0.2169536308074632
0.11489510001873086,-0.033676633702839354,0.21738756726683164
0.1275051240713013,-0.045498323247784356,0.21780180713089767
0.1414991297434576,-0.05612724658578827,0.21809836020077233
0.15702901247293774,-0.0638698879513413,0.2182277371554451
0.17426333860096507,-0.06721343537901703,0.21822558271062098
0.19338917504552322,-0.06510507733855775,0.21821603748816723
0.21461411978584058,-0.05716646383496027,0.21837226763842643
0.23816855519761607,-0.04380628991282265,0.2188430284194836
0.2643081486974108,-0.02621010821337677,0.21967422566752953
0.29331662783900486,-0.006205918727005155,0.22076507270981183
0.32550885998350565,0.013976237459246477,0.22188895682236207
0.36123426997094304,0.032015581187465614,0.222780856821935
0.40088063288984643,0.045836199951850176,0.2232607988797962
0.4448782831127585,0.05391595915318703,0.22334286157486322
0.4937047852839004,0.05552104875164332,0.22327759815403553
0.5478901179593945,0.050829008850485025,0.22349169365449378
0.6080224261649427,0.04091919038017977,0.22442418902817587
0.67475440531107,0.02762892258226657,0.2263129228308633
0.748810385759003,0.013293346164005015,0.22903377705483896
0.8309941949353403,0.0004040814951622451,0.23209292010269847
0.9221978823334341,-0.008765819701352484,0.23480055994129267
1.0234114021054528,-0.01251756405974902,0.23656355827242023
1.135733358343105,-0.01001165830825812,0.23718536332579954
1.2603829296797273,-0.0014399273950402858,0.23706014171347856
1.3987131026472386,0.011943088889438513,0.23716031755488132
1.552225357427048,0.027938360954976815,0.23874435127743657
1.7225859653987874,0.043659324167379054,0.24281341462585637
1.9116440753857036,0.0558981355703736,0.2495430316331202
2.121451784910632,0.061557044766345825,0.25804253563229007
2.35428641432242,0.05809157872204196,0.26662913508075997
2.612675225563332,0.043909873504048846,0.2734745699572953
2.8994228538828812,0.01867707023609455,0.2773423790444159
3.2176417502507353,-0.016515452742169145,0.2782183774706862
3.5707859649004625,-0.059140562676361697,0.27770544363800603
3.9626886387014784,-0.10539162389454759,0.27895982823021453
4.397603609302721,-0.15049153597885834,0.2858050430558367
4.880251583654434,-0.18912426954136663,0.30096326002525015
5.415871378079476,-0.21594500681953832,0.32437585819588516
6.010276782070388,-0.22611654921422542,0.352997727312831
6.669919663030129,-0.21581715548836655,0.3820770364428445
7.401959996915652,-0.1826684841705628,0.40678394444095045
8.214343584919439,-0.1260412016743544,0.4235156625686763
9.115888299750837,-0.04720887666400131,0.4309503328183264
10.11637979766207,0.05066359592188974,0.4310992681941116
11.226677735108158,0.16269440712198957,0.4303206303490686
12.458833642950081,0.28260405623359475,0.4393881186014635
13.826221737646593,0.40314850290940285,0.4705633208156458
15.343684089300131,0.5166262101597567,0.5314143254220801
17.02769172225898,0.6154142532905666,0.6207980984403427
18.896523396912116,0.6924884196646701,0.7309934888743364
20.970464013232306,0.7418861869191176,0.8519941187364382
23.27202478960412,0.7590789134977172,0.974078434136858
25.826187606826746,0.7412294873875283,1.088765103809807
28.66067616948256,0.6873228878108364,1.1891796158724095
31.80625692794119,0.5981684401713494,1.2703260567583754
35.297073027306574,0.4762829198520251,1.3293904351843975
39.17101490809261,0.3256722299128967,1.3660844527886642
43.47013158125035,0.1515355602551125,1.3830073625796466
48.241087041653735,-0.040080550149852456,1.3859635272673112
53.535666774107185,-0.2426499723470812,1.3840670115115938
59.411339849650396,-0.4495298395295606,1.3892713987951109
65.93188271333541,-0.6542952639875494,1.41481706418494
73.16807143427206,-0.8510275765426059,1.4724174929055858
81.19844993184009,-1.034543405761056,1.5691108473312525
90.11018251665037,-1.2005577570803325,1.7056181585383536
100.0,-1.3457797624796086,1.877169973386814
