tau,gamma,sigma_gamma
1e-07,-6.0403620329670116e-05,4.9901684878648815
1.1097524964120721e-07,-6.703306882302473e-05,4.990168472536417
1.2315506032928263e-07,-7.439011597398619e-05,4.990168453658638
1.3667163564620074e-07,-8.255461760136619e-05,4.990168430409699
1.5167168884709241e-07,-9.161519391761956e-05,4.9901684017774555
1.6831803533309585e-07,-0.00010167019144980381,4.9901683665154
1.867913599020781e-07,-0.00011282875053574004,4.990168323088399
2.0729217795953698e-07,-0.00012521198998450764,4.990168269605855
2.300430119772917e-07,-0.00013895432176033035,4.990168203739402
2.5529080682395163e-07,-0.00015420490996307865,4.990168122621545
2.833096101839324e-07,-0.00017112928994388737,4.990168022720816
3.1440354715915e-07,-0.00018991116513432382,4.99016789968804
3.489101213406774e-07,-0.00021075440109795396,4.990167748166992
3.872038781812557e-07,-0.0002338852384566048,4.990167561561217
4.2970047043208437e-07,-0.00025955474871957457,4.9901673317468545
4.768611697714474e-07,-0.0002880415596875699,4.990167048718981
5.291978735958437e-07,-0.00031965488003261183,4.990166700156049
5.872786613189477e-07,-0.0003547378559080258,4.990166270883488
6.517339604882421e-07,-0.00039367129606066725,4.990165742213106
7.232633896483533e-07,-0.00043687780592309433,4.9901650911295325
8.026433522257174e-07,-0.0004848263756290355,4.990164289288311
8.907354638610439e-07,-0.0005380374718389203,4.990163301782007
9.884959046625586e-07,-0.0005970886887675247,4.990162085620658
1.096985797892384e-06,-0.0006626210199206228,4.990160587860412
1.217382727739662e-06,-0.0007353458188457118,4.990158743298939
1.3509935211980278e-06,-0.000816052524761024,4.990156471637335
1.499268432786047e-06,-0.0009056172373483884,4.990153673985057
1.6638168860761274e-06,-0.0010050122343643608,4.990150228555848
1.8464249428955464e-06,-0.001115316536164035,4.990145985367485
2.049074689815846e-06,-0.001237727632889818,4.990140759714913
2.2739657523579273e-06,-0.001373574503075764,4.990134324133051
2.523539170434766e-06,-0.0015243320669600935,4.9901263985001005
2.800503894183631e-06,-0.0016916372340899377,4.990116637851525
3.107866187782014e-06,-0.0018773067230418161,4.990104617375798
3.4489622604057595e-06,-0.0020833568516191447,4.990089813941119
3.827494478516315e-06,-0.0023120255189876815,4.990071583352511
4.247571552536894e-06,-0.0025657966272994437,4.990049132354707
4.713753134116729e-06,-0.0028474272198896755,4.990021484170342
5.2310993080562585e-06,-0.0031599776466765817,4.989987436085738
5.805225516094895e-06,-0.0035068451055593197,4.989945507256821
6.44236350872137e-06,-0.003891800952214086,4.989893874491574
7.149428986597577e-06,-0.004319032220611918,4.989830293256529
7.934096665797492e-06,-0.004793187853835867,4.989752000533267
8.804883581643465e-06,-0.005319430210601217,4.989655595393362
9.771241535346501e-06,-0.0059034924884631135,4.98953689223891
1.0843659686896109e-05,-0.00655174279146753,4.989390740538412
1.2033778407775906e-05,-0.0072712556692087205,4.989210803537203
1.3354515629298974e-05,-0.00806989206693598,4.9889892867957375
1.48202070579886e-05,-0.008956388752994204,4.988716605461479
1.6446761779946626e-05,-0.009940458430126364,4.988380976861357
1.8251834943190462e-05,-0.011032901888535118,4.987967922261412
2.0255019392306664e-05,-0.012245733716561569,4.9874596584314155
2.2478058335487252e-05,-0.013592323240134707,4.986834355937426
2.4945081352303165e-05,-0.015087552500179235,4.986065236846275
2.7682866303920665e-05,-0.016747993174548448,4.985119479777618
