tau,gamma,sigma_gamma
1e-07,0.0007828982847968291,0.08042128901018782
1.1097524964120721e-07,-0.009880780715320725,0.07323527616712865
1.2315506032928263e-07,-0.019488913168515865,0.0660195258620971
1.3667163564620074e-07,-0.027926073133130558,0.058903439741553675
1.5167168884709241e-07,-0.035101545897305186,0.05201034430470367
1.6831803533309585e-07,-0.04095031194083276,0.04545821294172883
1.867913599020781e-07,-0.04543358760292904,0.03935989944498985
2.0729217795953698e-07,-0.048538909527451324,0.03382481814831721
2.300430119772917e-07,-0.050279757926546154,0.02895938963891257
2.5529080682395163e-07,-0.05069472261129704,0.024863952227736293
2.833096101839324e-07,-0.04984622418123763,0.021619960000959417
3.1440354715915e-07,-0.0478188116567253,0.019263829913000154
3.489101213406774e-07,-0.044717066162775154,0.017749931122465448
3.872038781812557e-07,-0.04066314837655227,0.016935163720503698
4.2970047043208437e-07,-0.03579403494131839,0.016607129461728543
4.768611697714474e-07,-0.030258495766247506,0.016544157246322695
5.291978735958437e-07,-0.024213870006860816,0.016563970516054242
5.872786613189477e-07,-0.017822703223828285,0.016541218159215207
6.517339604882421e-07,-0.011249311743085855,0.016403694606218374
7.232633896483533e-07,-0.00465634283136751,0.016119564734337097
8.026433522257174e-07,0.001798600256734062,0.01568629676772093
8.907354638610439e-07,0.007966199366819637,0.01512150926397938
9.884959046625586e-07,0.013708462018257705,0.014455130773356764
1.096985797892384e-06,0.018901497878687223,0.013726733625822812
1.217382727739662e-06,0.023437972721694678,0.01297966458320117
1.3509935211980278e-06,0.02722918739709712,0.012258173021198833
1.499268432786047e-06,0.030206736801119405,0.011601983332211458
1.6638168860761274e-06,0.03232371245758259,0.011045074513654364
1.8464249428955464e-06,0.03355542151075497,0.010608014623007323
2.049074689815846e-06,0.03389960550612159,0.01029607489281043
2.2739657523579273e-06,0.033376152687196736,0.010101039369896453
2.523539170434766e-06,0.032026308944296034,0.009999916452958658
2.800503894183631e-06,0.029911403440564754,0.009964014174404049
3.107866187782014e-06,0.02711111605822225,0.00996232577879713
3.4489622604057595e-06,0.023721324332655058,0.009966984691687155
3.827494478516315e-06,0.019851577331792214,0.009956586759421336
4.247571552536894e-06,0.015622253004039521,0.00991635182121788
4.713753134116729e-06,0.011161463312419073,0.009838476350421009
5.2310993080562585e-06,0.006601777926334762,0.009721354391680433
5.805225516094895e-06,0.002076842300084536,0.009569699286917128
6.44236350872137e-06,-0.002282030789501732,0.009390795497966061
7.149428986597577e-06,-0.006349215537738928,0.009196499731830624
7.934096665797492e-06,-0.010007992884311534,0.008998939199701798
8.804883581643465e-06,-0.013153557571058627,0.00881013355503761
9.771241535346501e-06,-0.01569573819233483,0.008641603126714758
1.0843659686896109e-05,-0.017561361920343188,0.008501022970278525
1.2033778407775906e-05,-0.01869620300385577,0.008392974621167218
1.3354515629298974e-05,-0.019066463187300542,0.008317749989600646
1.48202070579886e-05,-0.018659742758245557,0.008272877869725357
1.6446761779946626e-05,-0.01748547235092701,0.008252109520218265
1.8251834943190462e-05,-0.015574788278172491,0.008247575294183943
2.0255019392306664e-05,-0.012979847243514087,0.008250766076051843
2.2478058335487252e-05,-0.009772589615749894,0.008254462902635333
2.4945081352303165e-05,-0.006042974078809493,0.008251224315886756
2.7682866303920665e-05,-0.001896719376418332,0.008237028284043215
3.072112998861759e-05,0.0025473983650954324,0.008208544782346634
3.409285069746814e-05,0.007160632931118016,0.008165642153691784
3.783462617131933e-05,0.01180766967809177,0.008110455587969816
4.1987070844439056e-05,0.016350262514606584,0.008044485678564818
4.659525668664687e-05,0.020651020065997727,0.007972472216776896
5.170920242896755e-05,0.02457724979467457,0.007899444693693499
5.7384416483024044e-05,0.02800476579068345,0.007828817045588018
6.368249944718586e-05,0.030821565194855793,0.0077660268137692366
7.067181273927492e-05,0.03293127956385433,0.0077137459841012095
7.842822061337681e-05,0.03425631134905416,0.007672710418479287
8.703591361485166e-05,0.03474057159746735,0.007645006394253329
9.658832241158708e-05,0.03435174299738719,0.007629776021008309
0.00010718913192051276,0.03308300260960095,0.007623935708869213
0.00011895340673703195,0.030954150208799547,0.007625678599195324
0.0001320088400831418,0.028012101723106753,0.007630912653237163
0.00014649713983072864,0.024330721563273983,0.007637278029103792
0.0001625755666443795,0.020009983218642446,0.00764229432057567
0.00018041864093920718,0.015174463159837615,0.007641635190358575
0.00020022003718155845,0.009971189433599648,0.007635872295803031
0.0002221946860939524,0.004566881901155284,0.007623298257148575
0.0002465811075822604,-0.0008553635780117474,0.007604479623648926
0.0002736439997074672,-0.006099880640704214,0.00757990429925427
0.00030367711180354605,-0.010962648264467134,0.007551742620714556
0.00033700643292719284,-0.015235826605476177,0.007520709187426226
0.0003739937302478798,-0.018712513274294906,0.007490442818211275
0.0004150404757850477,-0.021191613340306503,0.007462000324201614
0.00046059220411451084,-0.022482712294731755,0.007437910117318804
0.0005111433483440171,-0.022410838690575474,0.007419707409880309
0.0005672426068491978,-0.020821004315166647,0.007407491510398431
0.0006294988990221888,-0.01758241279549111,0.007401449395082516
0.0006985879746785249,-0.012592233701298028,0.007402659329507123
0.0007752597488629464,-0.005778847604233306,0.0074087284346699145
0.000860346441668451,0.002895521647815258,0.007418975223960474
0.0009547716114208065,0.013432858184842189,0.007431417191320246
0.001059560179277617,0.025798145021099117,0.00744471873834841
0.0011758495540521582,0.039918934362049185,0.007457183850493073
0.0013049019780144017,0.05568571977528336,0.0074661403851354665
0.001448118227674533,0.07295311462485188,0.007472316396845609
0.0016070528182616384,0.0915418227855298,0.00747449686544399
0.0017834308769319094,0.11124136932517104,0.007471703898570571
0.0019791668678535573,0.13181354129937972,0.00746453304720443
0.002196385372416547,0.15299647201277367,0.007454480881486135
0.002437444150122222,0.17450928689027023,0.0074424369415823435
0.002704959730463137,0.19605721549010013,0.007428833611644267
0.0030018358135755923,0.217337062838169,0.00741654704844528
0.003331294787934677,0.23804292424665618,0.007407576479936602
0.0036969127071950323,0.25787202108767815,0.007401875429615927
0.00410265810582719,0.2765305319765048,0.007402751489213977
0.004552935074866948,0.2937392921216997,0.007409570003995355
0.00505263106533568,0.3092392366856984,0.007422761696334854
0.005607169938205458,0.32279646835650055,0.007442960571578894
0.006222570836730231,0.3342068375516192,0.007467596517633633
0.006905513520162331,0.3432999337867386,0.007495794789119168
0.007663410868007463,0.34994239980915154,0.007527178125915214
0.008504489341802686,0.35404049473709165,0.007557162624515372
0.009437878277775391,0.35554184909278774,0.007585467465574923
0.010473708979594508,0.3544363726680331,0.0076088921947346545
0.011623224686798541,0.35075629493212546,0.007627006054212153
0.01289890261253308,0.3445753371458977,0.007638122526888075
0.014314589375234785,0.33600703459592296,0.007642578590936038
0.015885651294280528,0.3252022467665938,0.007641689133369139
0.01762914118095948,0.3123459108951465,0.007636983966960663
0.01956398343517065,0.2976531117808463,0.007630498605288513
0.021711179456945052,0.281364555368782,0.007625164672483854
0.02409403560239527,0.2637415474621321,0.007624516312669806
0.026738416158399492,0.24506058912425033,0.007631840915984718
0.029673024081888724,0.2256077091476527,0.007649581007121562
0.032929712550971546,0.20567265915610733,0.007679748757661478
0.036543830709572546,0.18554309971182192,0.0077225459729875065
0.040554607358408275,0.16549890535816303,0.007777501596960547
0.04500557675700498,0.1458067135129113,0.007842565109677483
0.0499450511585514,0.12671483584563248,0.0079132049983075
0.05542664520663107,0.10844864199361837,0.007986265455325296
0.06150985788580504,0.09120651457260465,0.008057685200692912
0.06826071834272393,0.07515646046454094,0.008122269806762564
0.0757525025877192,0.060433448615413,0.00817509603755813
0.08406652885618333,0.047137527152017356,0.008215088848247176
0.09329304026284696,0.0353327551260918,0.008240803133553748
0.10353218432956637,0.025046965238743724,0.00825284437478106
0.11489510001873086,0.01627235499154267,0.00825415457787548
0.1275051240713013,0.008966884933897745,0.008250489786174242
0.1414991297434576,0.003056444518506396,0.008247958692054086
0.15702901247293774,-0.0015622712126059923,0.008254537731059074
0.17426333860096507,-0.0050182466263777314,0.00827914377483404
0.19338917504552322,-0.007462078807520811,0.008329520716078068
0.21461411978584058,-0.00906145762860433,0.008410417738422457
0.23816855519761607,-0.009996301062301427,0.00852416386079372
0.2643081486974108,-0.010453661034034667,0.008670862565016067
0.29331662783900486,-0.010622519833987099,0.00884433454690428
0.32550885998350565,-0.010688598986689613,0.009035055511278105
0.36123426997094304,-0.01082930116103853,0.009232529643070558
0.40088063288984643,-0.011208902492853667,0.00942513348175108
0.4448782831127585,-0.011974106027082598,0.009599813449141955
0.4937047852839004,-0.013250058542098486,0.009745817781198958
0.5478901179593945,-0.01513692197158889,0.00985572430320947
0.6080224261649427,-0.017707077828617912,0.009926287360750293
0.67475440531107,-0.02100302850794833,0.009960419386762336
0.748810385759003,-0.025036043467025593,0.00996646265411288
0.8309941949353403,-0.02978558165546019,0.009960831545935914
0.9221978823334341,-0.03519950418171902,0.0099666043825476
1.0234114021054528,-0.0411950736511244,0.010012203994749612
1.135733358343105,-0.047660719412760955,0.01012888165857624
1.2603829296797273,-0.05445853131413969,0.010344463158932898
1.3987131026472386,-0.06142742865858963,0.010678762289980567
1.552225357427048,-0.06838693675854302,0.011139614560764139
1.7225859653987874,-0.07514149054350128,0.01171672622758337
1.9116440753857036,-0.08148517347899542,0.012388109350232202
2.121451784910632,-0.08720679126918185,0.013118113561328885
2.35428641432242,-0.09209517285785296,0.013864720650912899
2.612675225563332,-0.09594458670699169,0.014585050347028275
2.8994228538828812,-0.09856015844638932,0.015235001168151735
3.2176417502507353,-0.09976317596874651,0.015777419824847785
3.5707859649004625,-0.09939617103441378,0.016183598344247194
3.9626886387014784,-0.09732767102786966,0.01643975243142103
4.397603609302721,-0.09345652181787045,0.016552297932793475
4.880251583654434,-0.08771569140321844,0.016559970317514078
5.415871378079476,-0.08007547490160505,0.01654463603376998
6.010276782070388,-0.07054603356755251,0.016641778011898277
6.669919663030129,-0.05917921368438783,0.01704288823073977
7.401959996915652,-0.04606960599824106,0.017973060499990253
8.214343584919439,-0.03135482039999715,0.01963571426737098
9.115888299750837,-0.015214966626558635,0.022156436130426314
10.11637979766207,0.0021286537761397994,0.025563772183472146
11.226677735108158,0.020415623793496707,0.02980959310813442
12.458833642950081,0.039349221144789226,0.034807554535146536
13.826221737646593,0.058599914387968965,0.040455583201239625
15.343684089300131,0.07780948493120832,0.04664691965267618
17.02769172225898,0.09659570394433104,0.05327118015371093
18.896523396912116,0.11455748389448672,0.06021494759542097
20.970464013232306,0.13128041660752388,0.06735911743166417
23.27202478960412,0.14634260400748644,0.07457928141862068
25.826187606826746,0.15932068340316619,0.08174511322894683
28.66067616948256,0.16979594705867385,0.08872147873440754
31.80625692794119,0.17736045548338097,0.0953704638876947
35.297073027306574,0.18162304515976757,0.10155422820494012
39.17101490809261,0.18221513486753338,0.10713910504279864
43.47013158125035,0.17879623937312772,0.11200153437240461
48.241087041653735,0.17105910575378402,0.1160360162223111
53.535666774107185,0.15873439520521515,0.119166077631149
59.411339849650396,0.14159484212132156,0.12135979074431458
65.93188271333541,0.11945883182795569,0.12265106610606497
73.16807143427206,0.09219334912904742,0.12316950388494188
81.19844993184009,0.059716260733239324,0.1231796324586249
90.11018251665037,0.02199790608335661,0.12312875341322894
100.0,-0.02093801739169976,0.12369301133031803
