tau,gamma,sigma_gamma
1e-07,-0.4813297620856072,4.891534916915242
1.1097524964120721e-07,-0.5296703317100648,4.868391689772213
1.2315506032928263e-07,-0.5820658409097534,4.840674644211097
1.3667163564620074e-07,-0.6386513010762682,4.8076109412115215
1.5167168884709241e-07,-0.6995128547659886,4.768340944365206
1.6831803533309585e-07,-0.7646735190340559,4.7219225594859475
1.867913599020781e-07,-0.8340774061022849,4.667341013075059
2.0729217795953698e-07,-0.9075727201243078,4.603525392630496
2.300430119772917e-07,-0.9848939900284299,4.529373285256333
2.5529080682395163e-07,-1.0656441796430531,4.443784779799518
2.833096101839324e-07,-1.1492775099947394,4.345706928713994
3.1440354715915e-07,-1.2350840237005078,4.234189494314381
3.489101213406774e-07,-1.322177102960591,4.1084524370030255
3.872038781812557e-07,-1.4094853025757876,3.967965161285249
4.2970047043208437e-07,-1.4957499567094406,3.812537052746438
4.768611697714474e-07,-1.579530040303065,3.6424183541818276
5.291978735958437e-07,-1.6592156908554099,3.458409959828854
5.872786613189477e-07,-1.7330516038373354,3.2619801877657415
6.517339604882421e-07,-1.7991711905268293,3.0553857275363714
7.232633896483533e-07,-1.8556419235325343,2.841791914788796
8.026433522257174e-07,-1.9005216963025298,2.625382253882675
8.907354638610439e-07,-1.9319253049121095,2.411434506751833
9.884959046625586e-07,-1.9480993541822738,2.2063134256870733
1.096985797892384e-06,-1.9475030412205996,2.017280233958612
1.217382727739662e-06,-1.9288914369384411,1.8519519275736773
1.3509935211980278e-06,-1.891397139941402,1.717218565621596
1.499268432786047e-06,-1.8346055936510766,1.6175952939868221
1.6638168860761274e-06,-1.75861901297354,1.5534746300333808
1.8464249428955464e-06,-1.6641038304265017,1.5202616849722628
2.049074689815846e-06,-1.5523168972866728,1.5091557606953374
2.2739657523579273e-06,-1.4251063938302586,1.5092545739365035
2.523539170434766e-06,-1.2848845150283665,1.5098438628402011
2.800503894183631e-06,-1.134570470332804,1.5019939233343071
3.107866187782014e-06,-0.9775040980053049,1.4793115226089402
3.4489622604057595e-06,-0.8173323402862991,1.4381109071007403
3.827494478516315e-06,-0.6578728203900859,1.3772960102678908
4.247571552536894e-06,-0.5029606502176698,1.2981332812325184
4.713753134116729e-06,-0.3562862151536237,1.2039946386042708
5.2310993080562585e-06,-0.22123287243075396,1.1000897422471323
5.805225516094895e-06,-0.10072412773058304,0.9931600582519778
6.44236350872137e-06,0.0029101763425281035,0.8910347872327364
7.149428986597577e-06,0.08803986395995622,0.8018259296865426
7.934096665797492e-06,0.1538052593509711,0.7324566398152104
8.804883581643465e-06,0.20014754338908602,0.686543840252249
9.771241535346501e-06,0.22779587462257922,0.6626870450114711
1.0843659686896109e-05,0.23821137223994882,0.6548269603503817
1.2033778407775906e-05,0.2334910055699524,0.6548013918526242
1.3354515629298974e-05,0.21623723709031495,0.655210902155779
1.48202070579886e-05,0.18940169201033896,0.6510476941681607
1.6446761779946626e-05,0.15611297140074853,0.6400524630877864
1.8251834943190462e-05,0.11949982719993812,0.6223856932198797
2.0255019392306664e-05,0.0825211773173784,0.600029829885238
2.2478058335487252e-05,0.04781383025800778,0.5760683403047592
2.4945081352303165e-05,0.01756735902738704,0.5538628161976263
2.7682866303920665e-05,-0.0065665674934489715,0.5361783674682515
3.072112998861759e-05,-0.023525741740446193,0.5244454790094608
3.409285069746814e-05,-0.03284816323429496,0.5184509271448968
3.783462617131933e-05,-0.03464328081914303,0.5166237545879689
4.1987070844439056e-05,-0.02952785499888222,0.516753711004769
4.659525668664687e-05,-0.01853296355836065,0.5167655434799291
5.170920242896755e-05,-0.002990474822041733,0.5152522451664356
5.7384416483024044e-05,0.015591609535239748,0.511681245111197
6.368249944718586e-05,0.035655245047580664,0.5063276140092173
7.067181273927492e-05,0.05571064811106563,0.5000265942749184
7.842822061337681e-05,0.07443876531521543,0.49383422036070934
8.703591361485166e-05,0.09077159826433245,0.4886829966731099
9.658832241158708e-05,0.10394620220065764,0.4851209031405262
0.00010718913192051276,0.11353049949333993,0.4832037259422133
0.00011895340673703195,0.11942136381036361,0.4825590349292903
0.0001320088400831418,0.12181754816820911,0.48257465035095753
0.00014649713983072864,0.12117178936538187,0.48262469301052846
0.0001625755666443795,0.11812770275522855,0.48225201990395866
0.00018041864093920718,0.11344781370315538,0.48126192601665074
0.00020022003718155845,0.1079392356173936,0.4797212105080996
