tau,gamma,gamma_lo,gamma_hi
-4.59304018156206,0.0125049763802756,0,5.18721563845318e-17
-4.59303981789213,0.195443979725529,0,5.20509535555063e-17
-4.59303946969751,2.18263377844625,0,5.22227131605966e-17
-4.59303913697821,17.921432326009,0,5.23873624255359e-17
-4.59303881973422,111.188587799342,0,1.25391343326401e-16
-4.59303851796555,535.000277132496,0,1.26639680977091e-16
-4.5930382316722,2046.50587706384,0,1.27835355357432e-16
-4.59303796085416,6371.53904115122,0,1.28976667560674e-16
-4.59303770551144,16508.3432404936,0,1.30061985849235e-16
-4.59303746564403,36349.1372275208,0,1.3108974949689e-16
-4.59303724125194,69369.433924898,0,1.32058472500924e-16
-4.59303703233517,116876.131299735,0,1.32966747090844e-16
-4.59303683889372,176854.295634951,0,1.33813247140707e-16
-4.59303666092758,244193.577542481,0,1.34596731316358e-16
-4.59303649843676,312195.541504843,0,1.35316046105068e-16
-4.59303635142125,374529.685281541,0,1.35970128597609e-16
-4.59303621988106,426731.204313253,0,1.36558009075358e-16
-4.59303610381619,466789.354059373,0,1.37078813390267e-16
-4.59303600322663,494907.355985005,0,1.37531765089937e-16
-4.59303591811239,512801.871673755,0,1.37916187340113e-16
-4.59303584847347,522916.786005022,0,1.38231504578435e-16
-4.59303579430986,527783.340381858,0,1.38477243937599e-16
-4.59303575562157,529602.430597121,0,1.38653036409154e-16
-4.59303573240859,530023.110253507,0,1.38758617768084e-16
-4.59303572467093,530051.167443922,0,1.38793829214732e-16
-4.59303571693328,530023.110253507,0,1.38829049494523e-16
-4.5930356937203,529602.430597121,0,1.38934763350615e-16
-4.59303565503201,527783.340381858,0,1.39111129976758e-16
-4.5930356008684,522916.786005022,0,1.39358415138635e-16
-4.59303553122948,512801.871673755,0,1.39676991821337e-16
-4.59303544611524,494907.355985005,0,1.40067341168186e-16
-4.59303534552568,466789.354059373,0,1.40530053673543e-16
-4.59303522946081,426731.204313253,0,1.41065830658127e-16
-4.59303509792062,374529.685281541,0,1.41675486007302e-16
-4.59303495090511,312195.541504843,0,1.42359948223519e-16
-4.59303478841429,244193.577542481,0,1.43120262738344e-16
-4.59303461044815,176854.295634951,0,1.43957594553867e-16
-4.5930344170067,116876.131299735,0,1.44873231181557e-16
-4.59303420808993,69369.433924898,0,1.45868585884112e-16
-4.59303398369784,36349.1372275208,0,1.46945201299252e-16
-4.59303374383043,16508.3432404936,0,1.48104753327049e-16
-4.59303348848771,6371.53904115122,0,1.49349055468506e-16
-4.59303321766967,2046.50587706384,0,1.50680063456087e-16
-4.59303293137632,535.000277132496,0,1.52099880325166e-16
-4.59303262960765,111.188587799342,0,1.53610761876078e-16
-4.59303231236366,17.921432326009,0,1.5521512254985e-16
-4.59303197964436,2.18263377844625,0,1.56915541778841e-16
-4.59303163144974,0.195443979725529,0,1.58714770795705e-16
-4.5930312677798,0.0125049763802756,0,1.60615739924474e-16
