tau,gamma,gamma_lo,gamma_hi
-7.55913178310754,9.65426393512685e-09,0,6.84914233447398e-07
-7.45462241875752,1.50889350597704e-07,0,4.99508094236597e-06
-7.35456026140112,1.68506696054535e-06,0,2.92907470961954e-05
-7.25894531103833,1.38359507973296e-05,0,0.000131460560376178
-7.16777756766916,8.58413436241509e-05,0,0.000500478658851798
-7.08105703129361,0.000413038275649621,0,0.00163661931613098
-6.99878370191168,0.00157997163030609,0,0.0049655784974094
-6.92095757952336,0.00491904325424844,0,0.0126483049759942
-6.84757866412867,0.0127449983227107,0,0.0298571261316084
-6.77864695572759,0.0280627611642501,0,0.0580468836678788
-6.71416245432013,0.0535555449315987,0,0.0995371878844614
-6.65412515990628,0.0902323193142723,0,0.163327719192552
-6.59853507248606,0.13653748701495,0,0.23874613677724
-6.54739219205945,0.188525686144189,0,0.307651019059645
-6.50069651862646,0.241025498105576,0,0.417348980407284
-6.45844805218709,0.289149561439745,0,0.618898642242081
-6.42064679274134,0.329450896582597,0,0.791087059666341
-6.38729274028921,0.360377140582543,0,0.875725272596123
-6.35838589483069,0.382085187477045,0,0.975660959683758
-6.33392625636579,0.395900357747422,0,0.993668531609129
-6.31391382489451,0.403709413076256,0,1.08839839737758
-6.29834860041685,0.407466557323569,0,1.18211976121765
-6.2872305829328,0.40887095638873,0,1.24166462964837
-6.28055977244237,0.409195735280607,0,1.28793248627861
-6.27833616894556,0.409217396377158,0,1.29310704156784
-6.27611256544876,0.409195735280607,0,1.28173776190076
-6.26944175495833,0.40887095638873,0,1.26305252305286
-6.25832373747428,0.407466557323569,0,1.22310749671304
-6.24275851299662,0.403709413076256,0,1.28000143701669
-6.22274608152534,0.395900357747422,0,1.38220827845276
-6.19828644306044,0.382085187477045,0,1.29443206890015
-6.16937959760192,0.360377140582543,0,1.17392381889234
-6.13602554514979,0.329450896582597,0,1.14148582017795
-6.09822428570404,0.289149561439745,0,1.09909288267456
-6.05597581926466,0.241025498105576,0,0.967560320733223
-6.00928014583168,0.188525686144189,0,0.729004149786837
-5.95813726540507,0.13653748701495,0,0.553848006967045
-5.90254717798484,0.0902323193142723,0,0.503384440953849
-5.842509883571,0.0535555449315987,0,0.440708963119741
-5.77802538216354,0.0280627611642501,0,0.360186097279475
-5.70909367376246,0.0127449983227107,0,0.263908043052211
-5.63571475836777,0.00491904325424844,0,0.168501573048059
-5.55788863597945,0.00157997163030609,0,0.093875984319875
-5.47561530659752,0.000413038275649621,0,0.0467095668011321
-5.38889477022197,8.58413436241509e-05,0,0.0224391966245362
-5.2977270268528,1.38359507973296e-05,0,0.00958248080637545
-5.20211207649001,1.68506696054535e-06,0,0.00350502808891178
-5.10204991913361,1.50889350597704e-07,0,0.001074081678922
-4.99754055478359,9.65426393512685e-09,0,0.000270176408430594
-4.38836362280267,0.764974990331222,0,5.57903795541981e-09
-4.38836362017339,11.9560179112669,0,5.57903764402454e-09
-4.388363617656,133.519654188804,0,5.5790373458801e-09
-4.38836361525049,1096.31894207157,0,5.5790370609866e-09
-4.38836361295686,6801.80909120834,0,5.57903678934392e-09
-4.38836361077512,32727.8970130914,0,5.57903653095218e-09
-4.38836360870526,125192.147347276,0,5.57903628581125e-09
-4.38836360674729,389770.112122554,0,5.57903605392115e-09
-4.3883636049012,1009875.05182124,0,5.57903583528199e-09
-4.38836360316699,2223608.41384593,0,5.57903562989366e-09
-4.38836360154467,4243579.15218903,0,5.57903543775624e-09
-4.38836360003423,7149736.01477638,0,5.57903525886963e-09
-4.38836359863568,10818818.9832544,0,5.57903509323386e-09
-4.38836359734901,14938206.9869476,0,5.579034940849e-09
-4.38836359617423,19098131.7465307,0,5.57903480171507e-09
-4.38836359511133,22911336.774089,0,5.57903467583193e-09
-4.38836359416031,26104693.8052243,0,5.57903456319962e-09
-4.38836359332118,28555195.3818656,0,5.57903446381824e-09
-4.38836359259393,30275275.9390198,0,5.57903437768765e-09
-4.38836359197857,31369949.1880705,0,5.57903430480788e-09
-4.38836359147509,31988714.9797444,0,5.57903424517902e-09
-4.3883635910835,32286419.3069788,0,5.57903419880107e-09
-4.38836359080379,32397699.639064,0,5.57903416567396e-09
-4.38836359063596,32423434.1775644,0,5.57903414579764e-09
-4.38836359058002,32425150.5255698,0,5.57903413917223e-09
-4.38836359052408,32423434.1775644,0,5.57903413254682e-09
-4.38836359035625,32397699.639064,0,5.57903411267051e-09
-4.38836359007654,32286419.3069788,0,5.57903407954338e-09
-4.38836358968494,31988714.9797444,0,5.57903403316544e-09
-4.38836358918147,31369949.1880705,0,5.57903397353659e-09
-4.3883635885661,30275275.9390198,0,5.57903390065683e-09
-4.38836358783885,28555195.3818656,0,5.57903381452626e-09
-4.38836358699972,26104693.8052243,0,5.57903371514486e-09
-4.38836358604871,22911336.774089,0,5.57903360251257e-09
-4.38836358498581,19098131.7465307,0,5.57903347662949e-09
-4.38836358381102,14938206.9869476,0,5.57903333749557e-09
-4.38836358252435,10818818.9832544,0,5.57903318511075e-09
-4.3883635811258,7149736.01477638,0,5.57903301947503e-09
-4.38836357961536,4243579.15218903,0,5.57903284058851e-09
-4.38836357799304,2223608.41384593,0,5.57903264845119e-09
-4.38836357625884,1009875.05182124,0,5.57903244306296e-09
-4.38836357441275,389770.112122554,0,5.57903222442394e-09
-4.38836357245477,125192.147347276,0,5.57903199253401e-09
-4.38836357038492,32727.8970130914,0,5.57903174739328e-09
-4.38836356820317,6801.80909120834,0,5.57903148900175e-09
