tau,gamma,gamma_lo,gamma_hi
-13.8155105579643,4.29683448101973e-09,3.41727517833747e-10,2.36419335448292e-08
-13.7045426016754,5.61985769727588e-09,4.71421844469932e-10,2.9827546421833e-08
-13.5935746453865,7.33117253623603e-09,6.4829100381774e-10,3.75479030172493e-08
-13.4826066890977,9.53878345900486e-09,8.8871155925391e-10,4.7161484155292e-08
-13.3716387328088,1.2378954505111e-08,1.21445717355902e-09,5.91048145661174e-08
-13.2606707765199,1.60230936595032e-08,1.65437562106176e-09,7.39080720708922e-08
-13.1497028202311,2.06861754221422e-08,2.24655254311892e-09,9.22135002351297e-08
-13.0387348639422,2.66370093268698e-08,3.04109215501306e-09,1.1479705848234e-07
-12.9277669076533,3.42107149098344e-08,4.10367655345241e-09,1.42593796428056e-07
-12.8167989513644,4.38238233637334e-08,5.52010332073177e-09,1.76727495479063e-07
-12.7058309950756,5.59924932858694e-08,7.40204688895218e-09,2.18545180160798e-07
-12.5948630387867,7.13544029013902e-08,9.89434384486045e-09,2.69657163631445e-07
-12.4838950824978,9.06949641594584e-08,1.31841673580283e-08,3.31983355658661e-07
-12.372927126209,1.14978595232907e-07,1.75125326265992e-08,4.07806625990869e-07
-12.2619591699201,1.45385887057044e-07,2.31886651429098e-08,4.99834080310614e-07
-12.1509912136312,1.83357606202987e-07,3.06078681979139e-08,6.11267168291245e-07
-12.0400232573424,2.30646589842118e-07,4.0273646853077e-08,7.4588160186057e-07
-11.9290553010535,2.89378707665416e-07,5.28249839999871e-08,9.08118114447657e-07
-11.8180873447646,3.62124188745601e-07,6.90698213072772e-08,1.10318513624575e-06
-11.7071193884757,4.51980736295396e-07,9.00259747372394e-08,1.33717449350277e-06
-11.5961514321869,5.62669977285474e-07,1.16970911396607e-07,1.61719125832806e-06
-11.485183475898,6.98648913452924e-07,1.51502031690721e-07,1.95149887590394e-06
-11.3742155196091,8.65238151110059e-07,1.95609337252522e-07,2.3496806744044e-06
-11.2632475633203,1.06876878429699e-06,2.51762619145732e-07,2.82281881514196e-06
-11.1522796070314,1.316749883297e-06,3.23015569457896e-07,3.38369166202636e-06
-11.0413116507425,1.61805859156463e-06,4.13129498267838e-07,4.04699043568215e-06
-10.9303436944537,1.98315485104182e-06,5.2671962111378e-07,4.82955586379573e-06
-10.8193757381648,2.42432275015768e-06,6.69427161635647e-07,5.75063534071162e-06
-10.7084077818759,2.95594041125695e-06,8.48120780026513e-07,6.8321608613831e-06
-10.5974398255871,3.59478019486002e-06,1.07113107797706e-06,8.09904769319552e-06
-10.4864718692982,4.360340786614e-06,1.34852213009848e-06,9.57951339007845e-06
-10.3755039130093,5.27521243836788e-06,1.69240413290828e-06,1.13054163335137e-05
-10.2645359567204,6.36547624681624e-06,2.1172913252513e-06,1.33126125021997e-05
-10.1535680004316,7.66113786126629e-06,2.64050929581313e-06,1.56413286250039e-05
-10.0426000441427,9.19659540669404e-06,3.28265562909265e-06,1.83365492605116e-05
-9.93163208785384,1.10111406809642e-05,4.06811752373114e-06,2.14484146725946e-05
-9.82066413156497,1.31494918292096e-05,5.02564951784393e-06,2.50326256384346e-05
-9.7096961752761,1.56623547094938e-05,6.18901374559254e-06,2.91508505388233e-05
-9.59872821898723,1.86070090404898e-05,7.59768419846541e-06,3.38711292480445e-05
-9.48776026269836,2.20479141659913e-05,9.29761524573336e-06,3.92682674723957e-05
-9.37679230640949,2.60573278887679e-05,1.13420731561763e-05,4.54242142951542e-05
-9.26582435012062,3.07159303284839e-05,1.3792527536643e-05,5.24284147869567e-05
-9.15485639383175,3.61134431613694e-05,1.6719597447659e-05,6.03781286522643e-05
-9.04388843754288,4.23492329251571e-05,2.0204044465611e-05,6.9378705025627e-05
-8.93292048125401,4.95328853498231e-05,2.4337802138677e-05,7.95438027292172e-05
-8.82195252496514,5.77847359377581e-05,2.92250281456064e-05,9.09955445812653e-05
-8.71098456867627,6.72363403076111e-05,3.49831620430339e-05,0.000103864593731374
-8.6000166123874,7.80308661821765e-05,4.17439678248639e-05,0.000118290139522572
-8.48904865609853,9.03233873964283e-05,4.96545366809561e-05,0.000134419780071898
-8.37808069980966,0.000104281058986813,5.8878221415601e-05,0.000152409288652176
-8.26711274352079,0.000120083151361428,6.95954700727209e-05,0.000172422251078201
-8.15614478723192,0.000137920920810462,8.20045225378863e-05,0.000194629561680284
-8.04517683094305,0.000157997293266715,9.63219303897029e-05,0.000219208766114558
-7.93420887465418,0.000180526338336879,0.000112782857214962,0.000246343240237146
-7.82324091836531,0.000205732511262958,0.000131641114157758,0.000276221195578561
-7.71227296207644,0.000233849641702854,0.000153168883827965,0.000309034503610926
-7.60130500578757,0.000265119650095809,0.000177656085040144,0.000344977333012675
-7.4903370494987,0.000299790974948248,0.000205409331380787,0.000384244596505302
-7.37936909320983,0.000338116697672255,0.000236750438492909,0.000427030206557942
-7.26840113692096,0.000380352355650753,0.000272014438389654,0.000473525142312822
-7.15743318063209,0.000426753438990508,0.000311547064205596,0.000523915333452731
-7.04646522434322,0.000477572571936025,0.000355701675674747,0.000578379370375372
-6.93549726805435,0.000533056386111348,0.000404835604353661,0.000637086053913055
-6.82452931176548,0.000593442099565447,0.000459305908199873,0.000700191801883355
-6.71356135547661,0.000658953822927887,0.000519464537523103,0.000767837933910867
-6.60259339918775,0.000729798621716885,0.000585652928434181,0.000840147860145996
-6.49162544289888,0.000806162371838429,0.000658196055536199,0.000917224203639397
-6.38065748661001,0.00088820545340626,0.000737395992469258,0.000999145890118346
-6.26968953032114,0.000976058336009803,0.000823525046692343,0.00108596524265639
