tau,gamma
1e-07,1.6337254708767824e-06
1.1097524964120721e-07,1.4041137770308465e-05
1.2315506032928263e-07,7.058520957397413e-05
1.3667163564620074e-07,0.00021033061968288172
1.5167168884709241e-07,0.0003868884114840432
1.6831803533309585e-07,0.0004873237626613041
1.867913599020781e-07,0.0004998159772521129
2.0729217795953698e-07,0.0004754479457558597
2.300430119772917e-07,0.00043890763850984487
2.5529080682395163e-07,0.000403806376951018
2.833096101839324e-07,0.0003691745547695467
3.1440354715915e-07,0.00033937722487362485
3.489101213406774e-07,0.0003122457665774897
3.872038781812557e-07,0.000289440992110781
4.2970047043208437e-07,0.0002694989403084842
4.768611697714474e-07,0.0002524095503529782
5.291978735958437e-07,0.00023784301725728613
5.872786613189477e-07,0.00022467399736057487
6.517339604882421e-07,0.00021367859678847318
7.232633896483533e-07,0.00020307974936559936
8.026433522257174e-07,0.00019436740996645852
8.907354638610439e-07,0.0001856715839939896
9.884959046625586e-07,0.00017857090253097692
1.096985797892384e-06,0.00017164381978782318
1.217382727739662e-06,0.000165991134621147
1.3509935211980278e-06,0.00016094597295319716
1.499268432786047e-06,0.00015685791657648744
1.6638168860761274e-06,0.0001538342293647545
1.8464249428955464e-06,0.00015148960787403755
2.049074689815846e-06,0.0001505420142048244
2.2739657523579273e-06,0.0001500421404646546
2.523539170434766e-06,0.00015107269865185946
2.800503894183631e-06,0.0001523370235157801
3.107866187782014e-06,0.00015498895765405686
3.4489622604057595e-06,0.0001576237917488079
3.827494478516315e-06,0.00016111704990598693
4.247571552536894e-06,0.00016428376768861427
4.713753134116729e-06,0.00016732231101611818
5.2310993080562585e-06,0.000169749003113261
5.805225516094895e-06,0.00017078415855963734
6.44236350872137e-06,0.00017107854806295628
7.149428986597577e-06,0.0001690342153396472
7.934096665797492e-06,0.00016628398372207584
8.804883581643465e-06,0.00016120257951931567
9.771241535346501e-06,0.00015551991242031754
1.0843659686896109e-05,0.0001484299170025588
1.2033778407775906e-05,0.0001408864093969224
1.3354515629298974e-05,0.00013310154730757098
1.48202070579886e-05,0.00012504641948057397
1.6446761779946626e-05,0.00011758781764587457
1.8251834943190462e-05,0.00011003939292708884
2.0255019392306664e-05,0.00010345373395978246
2.2478058335487252e-05,9.694131910096232e-05
2.4945081352303165e-05,9.139131977424507e-05
2.7682866303920665e-05,8.605828837862111e-05
3.072112998861759e-05,8.14718615934872e-05
3.409285069746814e-05,7.720921170613548e-05
3.783462617131933e-05,7.33799069213368e-05
4.1987070844439056e-05,6.993009977726195e-05
4.659525668664687e-05,6.659207346158511e-05
5.170920242896755e-05,6.364501054045371e-05
5.7384416483024044e-05,6.057303603372152e-05
6.368249944718586e-05,5.78707689870839e-05
7.067181273927492e-05,5.498010453050278e-05
7.842822061337681e-05,5.2412846878710157e-05
8.703591361485166e-05,4.978076021737799e-05
9.658832241158708e-05,4.741986918379857e-05
0.00010718913192051276,4.521355592516126e-05
0.00011895340673703195,4.3245636450291216e-05
0.0001320088400831418,4.1634619791022936e-05
0.00014649713983072864,4.025809653116649e-05
0.0001625755666443795,3.93769549570649e-05
0.00018041864093920718,3.875712310021012e-05
0.00020022003718155845,3.8726318537294206e-05
0.0002221946860939524,3.902892758884812e-05
0.0002465811075822604,4.001738487694489e-05
0.0002736439997074672,4.1492279992459334e-05
0.00030367711180354605,4.381765004943055e-05
0.00033700643292719284,4.693666216809708e-05
0.0003739937302478798,5.1253535346713146e-05
0.0004150404757850477,5.702159677511132e-05
0.00046059220411451084,6.554919258564188e-05
0.0005111433483440171,0.00010731968860596035
0.0005672426068491978,0.000900463609157507
0.0006294988990221888,0.012182358751417263
0.0006985879746785249,0.10483561960962469
0.0007752597488629464,0.5283102482970583
0.000860346441668451,1.5494648933670063
0.0009547716114208065,2.6431303750199113
0.001059560179277617,2.622879499555497
0.0011758495540521582,1.5156235794502688
0.0013049019780144017,0.5117386333262609
0.001448118227674533,0.10218175811951503
0.0016070528182616384,0.012651719339945505
0.0017834308769319094,0.0012387909959875355
0.0019791668678535573,0.0002591465934389048
0.002196385372416547,0.00016421051529051856
0.002437444150122222,0.00013558678921005987
0.002704959730463137,0.00011915124515920122
0.0030018358135755923,0.00010995772854981526
0.003331294787934677,0.00010682928397992118
0.0036969127071950323,0.0001093479107906394
0.00410265810582719,0.00011973184219964476
0.004552935074866948,0.00017250695899604745
0.00505263106533568,0.0007067470120404562
0.005607169938205458,0.005064070994272847
0.006222570836730231,0.029665132921889603
0.006905513520162331,0.13901559587419554
0.007663410868007463,0.5298110027949875
0.008504489341802686,1.4490988967123124
0.009437878277775391,2.515081298520204
0.010473708979594508,2.614265120242115
0.011623224686798541,1.594699481237913
0.01289890261253308,0.5672416775943895
0.014314589375234785,0.11744939425390796
0.015885651294280528,0.014169558088072774
0.01762914118095948,0.0010164392834782355
0.01956398343517065,6.198060728954447e-05
0.021711179456945052,1.942492561877029e-05
0.02409403560239527,1.6357674693997668e-05
0.026738416158399492,1.487730763913767e-05
0.029673024081888724,1.382613587815909e-05
0.032929712550971546,1.311628780712765e-05
0.036543830709572546,1.261466798624834e-05
0.040554607358408275,1.2351863008734477e-05
0.04500557675700498,1.2214095326526219e-05
0.0499450511585514,1.2277346578827355e-05
0.05542664520663107,1.243751811291275e-05
0.06150985788580504,1.2785323907375338e-05
0.06826071834272393,1.3235589527606563e-05
0.0757525025877192,1.3868579323945652e-05
0.08406652885618333,1.463459986019581e-05
0.09329304026284696,1.5578487717828636e-05
0.10353218432956637,1.670702062186911e-05
0.11489510001873086,1.8004988605832785e-05
0.1275051240713013,1.955727544187122e-05
0.1414991297434576,2.1272052367663173e-05
0.15702901247293774,2.332323196814584e-05
0.17426333860096507,2.5549852628283032e-05
0.19338917504552322,2.8196891123633176e-05
0.21461411978584058,3.1079689880873834e-05
0.23816855519761607,3.445518228513658e-05
0.2643081486974108,3.8195169325332316e-05
0.29331662783900486,4.247299471648199e-05
0.32550885998350565,4.731198547566375e-05
0.36123426997094304,5.268874101231551e-05
0.40088063288984643,5.8862298249226605e-05
0.4448782831127585,6.551705886464846e-05
0.4937047852839004,7.31805416708542e-05
0.5478901179593945,8.123712107283059e-05
0.6080224261649427,9.039377374108187e-05
0.67475440531107,9.990241236995908e-05
0.748810385759003,0.00011037742227257089
0.8309941949353403,0.0001212872993432705
0.9221978823334341,0.00013274325976381725
1.0234114021054528,0.0001448022639918741
1.135733358343105,0.0001567040591857354
1.2603829296797273,0.00016925521590922815
1.3987131026472386,0.00018073902067104289
1.552225357427048,0.00019250714129111706
1.7225859653987874,0.00020233372090487149
1.9116440753857036,0.0002115080554267355
2.121451784910632,0.00021836421619376493
2.35428641432242,0.00022332280518402034
2.612675225563332,0.0002264142297958338
2.8994228538828812,0.0002268021386002843
3.2176417502507353,0.0002263525484105559
3.5707859649004625,0.0002234487094603772
3.9626886387014784,0.00022074484739654905
4.397603609302721,0.00021671888523657718
4.880251583654434,0.00021359770638915444
5.415871378079476,0.0002105214469150278
6.010276782070388,0.0002087010535771857
6.669919663030129,0.00020810276144160619
7.401959996915652,0.0002088899082480299
8.214343584919439,0.0002118257058656559
9.115888299750837,0.00021621996565979534
10.11637979766207,0.00022353006855538662
11.226677735108158,0.00023240657140894826
12.458833642950081,0.00024421153436098416
13.826221737646593,0.00025241855650045457
15.343684089300131,0.00024066272816364014
17.02769172225898,0.00018070571132060002
18.896523396912116,9.040432314372815e-05
20.970464013232306,2.758782208071045e-05
23.27202478960412,4.9700217324326055e-06
25.826187606826746,5.230398303496952e-07
28.66067616948256,3.2050730970187065e-08
31.80625692794119,1.1424582238888262e-09
35.297073027306574,2.3681695338619204e-11
39.17101490809261,2.8544100529860196e-13
43.47013158125035,2.0005034121369298e-15
48.241087041653735,8.15226051232514e-18
53.535666774107185,1.9316638529865736e-20
59.411339849650396,2.6613346285198334e-23
65.93188271333541,2.1319732346723027e-26
73.16807143427206,9.930664581422113e-30
81.19844993184009,2.689609139179291e-33
90.11018251665037,4.2355939642066035e-37
100.0,3.878410370536656e-41
