tau,gamma
1e-07,7.219404776450787e-07
1.1097524964120721e-07,6.203278039505864e-06
1.2315506032928263e-07,3.1159703382964264e-05
1.3667163564620074e-07,9.261762035038404e-05
1.5167168884709241e-07,0.0001690951279758985
1.6831803533309585e-07,0.00020917032268660653
1.867913599020781e-07,0.00020877675195026533
2.0729217795953698e-07,0.00019541135573173188
2.300430119772917e-07,0.00018200668219265108
2.5529080682395163e-07,0.00017257501906893822
2.833096101839324e-07,0.00016570154817221764
3.1440354715915e-07,0.00016213087150536993
3.489101213406774e-07,0.00016015236357483877
3.872038781812557e-07,0.00016021576497896053
4.2970047043208437e-07,0.00016041602144660751
4.768611697714474e-07,0.00016055880229755515
5.291978735958437e-07,0.0001587720425425766
5.872786613189477e-07,0.0001540262766676716
6.517339604882421e-07,0.0001462895491574215
7.232633896483533e-07,0.00013411518321526452
8.026433522257174e-07,0.00012022535032723048
8.907354638610439e-07,0.00010428164799380708
9.884959046625586e-07,8.87837940837487e-05
1.096985797892384e-06,7.451237853924741e-05
1.217382727739662e-06,6.207673009918865e-05
1.3509935211980278e-06,5.191644530603493e-05
1.499268432786047e-06,4.362798178781235e-05
1.6638168860761274e-06,3.721587482732482e-05
1.8464249428955464e-06,3.209869565194717e-05
2.049074689815846e-06,2.8224032422373657e-05
2.2739657523579273e-06,2.5126590031445692e-05
2.523539170434766e-06,2.2807756503281097e-05
2.800503894183631e-06,2.0951558637167903e-05
3.107866187782014e-06,1.9588213410389983e-05
3.4489622604057595e-06,1.8526921182020666e-05
3.827494478516315e-06,1.778793030015692e-05
4.247571552536894e-06,1.7284744369791055e-05
4.713753134116729e-06,1.7004136530277537e-05
5.2310993080562585e-06,1.695083558178457e-05
5.805225516094895e-06,1.7071515943543924e-05
6.44236350872137e-06,1.7450701072160073e-05
7.149428986597577e-06,1.800304374821166e-05
7.934096665797492e-06,1.8879049328294267e-05
8.804883581643465e-06,1.9980061485206028e-05
9.771241535346501e-06,2.150649327690373e-05
1.0843659686896109e-05,2.3369133816018253e-05
1.2033778407775906e-05,2.5798048722450214e-05
1.3354515629298974e-05,2.873292019523792e-05
1.48202070579886e-05,3.239238483379036e-05
1.6446761779946626e-05,3.675660432593466e-05
1.8251834943190462e-05,4.1929657883486835e-05
2.0255019392306664e-05,4.79488421496645e-05
2.2478058335487252e-05,5.4598339369207955e-05
2.4945081352303165e-05,6.203981629529219e-05
2.7682866303920665e-05,6.952460154056498e-05
3.072112998861759e-05,7.741619451610223e-05
3.409285069746814e-05,8.457843645751853e-05
3.783462617131933e-05,9.14068723951406e-05
4.1987070844439056e-05,9.705895600858446e-05
4.659525668664687e-05,0.00010153841487357895
5.170920242896755e-05,0.00010492364011953859
5.7384416483024044e-05,0.00010663458443538347
6.368249944718586e-05,0.00010767125084063181
7.067181273927492e-05,0.00010717780356125552
7.842822061337681e-05,0.00010652487182114758
8.703591361485166e-05,0.00010511688109598753
9.658832241158708e-05,0.00010406358135170999
0.00010718913192051276,0.00010329995281489182
0.00011895340673703195,0.00010343197366856447
0.0001320088400831418,0.0001048762330801852
0.00014649713983072864,0.00010788862517098503
0.0001625755666443795,0.00011335805658888833
0.00018041864093920718,0.00012155411693979346
0.00020022003718155845,0.00013414255682609217
0.0002221946860939524,0.0001521008735206949
0.0002465811075822604,0.00017894635631260944
0.0002736439997074672,0.00021833855772801592
0.00030367711180354605,0.00027956540541657115
0.00033700643292719284,0.00037759958353955815
0.0003739937302478798,0.0005570212825587635
0.0004150404757850477,0.0010047974526778236
0.00046059220411451084,0.0026810671706864212
0.0005111433483440171,0.00984314717318517
0.0005672426068491978,0.039496125701284863
0.0006294988990221888,0.1409106839855563
0.0006985879746785249,0.38690930890900244
0.0007752597488629464,0.8274153293814732
0.000860346441668451,1.4735533975089983
0.0009547716114208065,2.0437706199745906
0.001059560179277617,1.9362700991526398
0.0011758495540521582,1.196105526564804
0.0013049019780144017,0.5190893126376944
0.001448118227674533,0.188674471935592
0.0016070528182616384,0.06961667527522807
0.0017834308769319094,0.03491590559509502
0.0019791668678535573,0.029856488886874973
0.002196385372416547,0.03415592876628634
0.002437444150122222,0.04166591770831483
0.002704959730463137,0.049442290120084983
0.0030018358135755923,0.056082309193348175
0.003331294787934677,0.05836149535432012
0.0036969127071950323,0.05550228861254145
0.00410265810582719,0.049050043224248094
0.004552935074866948,0.04020395065836646
0.00505263106533568,0.03526832931648318
0.005607169938205458,0.04633913189484551
0.006222570836730231,0.1061571361146875
0.006905513520162331,0.2863194394175347
0.007663410868007463,0.7136523860086866
0.008504489341802686,1.520919374374461
0.009437878277775391,2.383289640379748
0.010473708979594508,2.397997006816263
0.011623224686798541,1.457718742249907
0.01289890261253308,0.5296955640145715
0.014314589375234785,0.11897705742965436
0.015885651294280528,0.0189249324874601
0.01762914118095948,0.0032216034663091076
0.01956398343517065,0.0010590765089422245
0.021711179456945052,0.0006153697919954674
0.02409403560239527,0.00043658234014468453
0.026738416158399492,0.0003358176641809003
0.029673024081888724,0.0002719129359870553
0.032929712550971546,0.00023079069411030846
0.036543830709572546,0.00020320579290782767
0.040554607358408275,0.00018591122809164727
0.04500557675700498,0.0001751884773591746
0.0499450511585514,0.00017070637203600328
0.05542664520663107,0.0001706661226188018
0.06150985788580504,0.00017588111516929187
0.06826071834272393,0.00018556046227222528
0.0757525025877192,0.00020121318499888568
0.08406652885618333,0.00022291465207065678
0.09329304026284696,0.00025272637338249446
0.10353218432956637,0.0002915609300966016
0.11489510001873086,0.0003414677189985487
0.1275051240713013,0.00040430594598940957
0.1414991297434576,0.0004905140121491114
0.15702901247293774,0.0007221690737345965
0.17426333860096507,0.00196782351668957
0.19338917504552322,0.007672596701643047
0.21461411978584058,0.024297413386236005
0.23816855519761607,0.05757275185123869
0.2643081486974108,0.11166238791425233
0.29331662783900486,0.17373202271456434
0.32550885998350565,0.1935642479423915
0.36123426997094304,0.1502069959371675
0.40088063288984643,0.08923930631467285
0.4448782831127585,0.04383571487623734
0.4937047852839004,0.016513128752522505
0.5478901179593945,0.004431494334335266
0.6080224261649427,0.001048156789469562
0.67475440531107,0.0004117202422086379
0.748810385759003,0.000272864470487403
0.8309941949353403,0.00020773101268801652
0.9221978823334341,0.00016328560491524685
1.0234114021054528,0.00013224041559975052
1.135733358343105,0.00010980776964558769
1.2603829296797273,9.393045962127842e-05
1.3987131026472386,8.2259001304977e-05
1.552225357427048,7.393568624350336e-05
1.7225859653987874,6.787230772664205e-05
1.9116440753857036,6.368455287581914e-05
2.121451784910632,6.0952512865667356e-05
2.35428641432242,5.941973527180116e-05
2.612675225563332,5.9072353672232295e-05
2.8994228538828812,5.9654015894937766e-05
3.2176417502507353,6.144987349426707e-05
3.5707859649004625,6.417709652365943e-05
3.9626886387014784,6.83806528186368e-05
4.397603609302721,7.378180856523068e-05
4.880251583654434,8.118141239742824e-05
5.415871378079476,9.038622826348091e-05
6.010276782070388,0.00010246404107736058
6.669919663030129,0.00011745493693322048
7.401959996915652,0.0001366880781778447
8.214343584919439,0.0001607071520815763
9.115888299750837,0.00019103072150053303
10.11637979766207,0.00022926937595768132
11.226677735108158,0.0002768975306018005
12.458833642950081,0.0003361525198662113
13.826221737646593,0.00039633739039120235
15.343684089300131,0.000417018869445553
17.02769172225898,0.00032889242403083
18.896523396912116,0.00016754614137277647
20.970464013232306,5.142786728417785e-05
23.27202478960412,9.281543811627953e-06
25.826187606826746,9.773129216889447e-07
28.66067616948256,5.989745912905878e-08
31.80625692794119,2.135169639348027e-09
35.297073027306574,4.425999491367318e-11
39.17101490809261,5.334784689232022e-13
43.47013158125035,3.7388704940543355e-15
48.241087041653735,1.5236294342335973e-17
53.535666774107185,3.610213711684339e-20
59.411339849650396,4.973943634920657e-23
65.93188271333541,3.9845852927645254e-26
73.16807143427206,1.8560073611360675e-29
81.19844993184009,5.026787809698888e-33
90.11018251665037,7.916180757469554e-37
100.0,7.248616795454204e-41
