tau,gamma
1e-07,7.681699310076099e-06
1.1097524964120721e-07,1.1511210176296635e-05
1.2315506032928263e-07,1.6041572590893815e-05
1.3667163564620074e-07,2.086229437223222e-05
1.5167168884709241e-07,2.543241748575055e-05
1.6831803533309585e-07,2.9222862998552868e-05
1.867913599020781e-07,3.186530721772783e-05
2.0729217795953698e-07,3.3243776672163005e-05
2.300430119772917e-07,3.349435650080766e-05
2.5529080682395163e-07,3.292483987116035e-05
2.833096101839324e-07,3.1900151032379565e-05
3.1440354715915e-07,3.074349397059275e-05
3.489101213406774e-07,2.968218485261514e-05
3.872038781812557e-07,2.8839531480224888e-05
4.2970047043208437e-07,2.82562637288175e-05
4.768611697714474e-07,2.7921832859837163e-05
5.291978735958437e-07,2.780259674039006e-05
5.872786613189477e-07,2.786297503584963e-05
6.517339604882421e-07,2.8082195346462842e-05
7.232633896483533e-07,2.847220765038504e-05
8.026433522257174e-07,2.9103160400395964e-05
8.907354638610439e-07,3.0143734496434088e-05
9.884959046625586e-07,3.1926522392866255e-05
1.096985797892384e-06,3.505428201454475e-05
1.217382727739662e-06,4.056979846671747e-05
1.3509935211980278e-06,5.021497303377722e-05
1.499268432786047e-06,6.679361751319257e-05
1.6638168860761274e-06,9.461458851160521e-05
1.8464249428955464e-06,0.000139919949297602
2.049074689815846e-06,0.00021110835140336596
2.2739657523579273e-06,0.0003184892282804474
2.523539170434766e-06,0.00047331724581352465
2.800503894183631e-06,0.0006860196398603622
3.107866187782014e-06,0.0009638396283398788
3.4489622604057595e-06,0.0013084714899323465
3.827494478516315e-06,0.001714467778727383
4.247571552536894e-06,0.002169079821279115
4.713753134116729e-06,0.0026537154470426994
5.2310993080562585e-06,0.003146546650385836
5.805225516094895e-06,0.0036253162125848603
6.44236350872137e-06,0.004069382214338483
7.149428986597577e-06,0.004460552651415866
7.934096665797492e-06,0.004783009803591934
8.804883581643465e-06,0.005023135495845855
9.771241535346501e-06,0.005169998114289251
1.0843659686896109e-05,0.005216718510376987
1.2033778407775906e-05,0.005162307224819575
1.3354515629298974e-05,0.0050132871279903145
1.48202070579886e-05,0.0047846016874859955
1.6446761779946626e-05,0.004499734060754516
1.8251834943190462e-05,0.004190307435746719
2.0255019392306664e-05,0.003895549252130481
2.2478058335487252e-05,0.0036619225662643524
2.4945081352303165e-05,0.003543041463917573
2.7682866303920665e-05,0.003599726593285318
3.072112998861759e-05,0.0038997849305506148
3.409285069746814e-05,0.004517019521036371
3.783462617131933e-05,0.005529322019850312
4.1987070844439056e-05,0.007016384021419809
4.659525668664687e-05,0.009057983047355634
5.170920242896755e-05,0.011733282874282665
5.7384416483024044e-05,0.015120295284713339
6.368249944718586e-05,0.019293906273143466
7.067181273927492e-05,0.024321982503094572
7.842822061337681e-05,0.030261424579382554
8.703591361485166e-05,0.037156923490555445
9.658832241158708e-05,0.0450427079516432
0.00010718913192051276,0.0539438131568657
0.00011895340673703195,0.06387315953928235
0.0001320088400831418,0.07482568302148196
0.00014649713983072864,0.08677573345321933
0.0001625755666443795,0.09968182517262121
0.00018041864093920718,0.1134942071732956
0.00020022003718155845,0.12815592337557993
0.0002221946860939524,0.14359524638063909
0.0002465811075822604,0.15971965902346177
0.0002736439997074672,0.17642207499332832
0.00030367711180354605,0.1935944155960125
0.00033700643292719284,0.21113125302315122
0.0003739937302478798,0.22891734756651186
0.0004150404757850477,0.24681676105951694
0.00046059220411451084,0.26468334312572595
0.0005111433483440171,0.28238360345780306
0.0005672426068491978,0.29980210644528116
0.0006294988990221888,0.3168226016100598
0.0006985879746785249,0.33331745289973147
0.0007752597488629464,0.34917173087526787
0.000860346441668451,0.36431570929361334
0.0009547716114208065,0.378716299879916
0.001059560179277617,0.3923271486557185
0.0011758495540521582,0.405051808885089
0.0013049019780144017,0.4167502914920159
0.001448118227674533,0.4272517353062771
0.0016070528182616384,0.4363370269695418
0.0017834308769319094,0.4437335524814888
0.0019791668678535573,0.449191709689015
0.002196385372416547,0.4526187309394429
0.002437444150122222,0.45414788389540794
0.002704959730463137,0.454068683400274
0.0030018358135755923,0.45268801644432677
0.003331294787934677,0.45024521081534224
0.0036969127071950323,0.44690812520027146
0.00410265810582719,0.44278101668596487
0.004552935074866948,0.43788538846003816
0.00505263106533568,0.4321582050601492
0.005607169938205458,0.42550630788908894
0.006222570836730231,0.4178740948753666
0.006905513520162331,0.40925707375708376
0.007663410868007463,0.39966601736956103
0.008504489341802686,0.38910596897221394
0.009437878277775391,0.37759845749349996
0.010473708979594508,0.3652067757212066
0.011623224686798541,0.35202381490330736
0.01289890261253308,0.3381393711099998
0.014314589375234785,0.32362916924749835
0.015885651294280528,0.30857141772727514
0.01762914118095948,0.29305985787643934
0.01956398343517065,0.2771950215729108
0.021711179456945052,0.2610697880065867
0.02409403560239527,0.24477006063025586
0.026738416158399492,0.22838669133618378
0.029673024081888724,0.21202039909201234
0.032929712550971546,0.19577420098063006
0.036543830709572546,0.17974488617608814
0.040554607358408275,0.16402341520237235
0.04500557675700498,0.14870048891854193
0.0499450511585514,0.1338679733622929
0.05542664520663107,0.11961414878545538
0.06150985788580504,0.10601865627837355
0.06826071834272393,0.09315190934542136
0.0757525025877192,0.08107733423858104
0.08406652885618333,0.0698519670559274
0.09329304026284696,0.059523937025869035
0.10353218432956637,0.050129218616999954
0.11489510001873086,0.04169025014270986
0.1275051240713013,0.03421644496851543
0.1414991297434576,0.027704889058516282
0.15702901247293774,0.022140187352580144
0.17426333860096507,0.01749395280874743
0.19338917504552322,0.013724902448449159
0.21461411978584058,0.010779855305342537
0.23816855519761607,0.008595285841581706
0.2643081486974108,0.0070991066665527305
0.29331662783900486,0.006212631956917252
0.32550885998350565,0.005852680689226793
0.36123426997094304,0.005933602312814977
0.40088063288984643,0.006369037213322391
0.4448782831127585,0.007073498141532518
0.4937047852839004,0.007964013265351524
0.5478901179593945,0.008961874643650848
0.6080224261649427,0.009994231627166205
0.67475440531107,0.010995280360034776
0.748810385759003,0.011907167822570477
0.8309941949353403,0.01268098927000127
0.9221978823334341,0.013277981545361433
1.0234114021054528,0.013670408766574528
1.135733358343105,0.013841445895299087
1.2603829296797273,0.013784027030147137
1.3987131026472386,0.013499590679366975
1.552225357427048,0.012997804155825028
1.7225859653987874,0.012297247612092084
1.9116440753857036,0.011425645988198384
2.121451784910632,0.010418089641876179
2.35428641432242,0.009313236524733865
2.612675225563332,0.008149421959342942
2.8994228538828812,0.0069629893097140775
3.2176417502507353,0.0057893899206923425
3.5707859649004625,0.004665116944729109
3.9626886387014784,0.003627540607356692
4.397603609302721,0.0027111523508410035
4.880251583654434,0.0019414604147336186
5.415871378079476,0.0013296513883945666
6.010276782070388,0.0008708275230293722
6.669919663030129,0.0005466022258745488
7.401959996915652,0.0003306589276445418
8.214343584919439,0.0001948731769542555
9.115888299750837,0.00011400507475490293
10.11637979766207,6.813039984469819e-05
11.226677735108158,4.305751268961853e-05
12.458833642950081,2.951416252255366e-05
13.826221737646593,2.1891291692458935e-05
15.343684089300131,1.705350421732268e-05
17.02769172225898,1.3421232401955242e-05
18.896523396912116,1.033160194062041e-05
20.970464013232306,7.610409855694488e-06
23.27202478960412,5.290974210982166e-06
25.826187606826746,3.442145326798652e-06
28.66067616948256,2.0840256228511917e-06
31.80625692794119,1.1699305947577305e-06
35.297073027306574,6.074121798329645e-07
39.17101490809261,2.9111349734009643e-07
43.47013158125035,1.286145145201979e-07
48.241087041653735,5.232413741428943e-08
53.535666774107185,1.9585607617595632e-08
59.411339849650396,6.740772786152142e-09
65.93188271333541,2.1320275913116966e-09
73.16807143427206,6.194469972957756e-10
81.19844993184009,1.6527096499394945e-10
90.11018251665037,4.048095891889704e-11
100.0,9.100595697485798e-12
