tau,gamma
1e-07,0.0002610964579826024
1.1097524964120721e-07,0.0003850008802520596
1.2315506032928263e-07,0.0005260973813954931
1.3667163564620074e-07,0.0006680527255202585
1.5167168884709241e-07,0.0007910820935413137
1.6831803533309585e-07,0.0008774765745281703
1.867913599020781e-07,0.0009168213588278261
2.0729217795953698e-07,0.0009085836972415025
2.300430119772917e-07,0.0008611069493489508
2.5529080682395163e-07,0.0007878777891638188
2.833096101839324e-07,0.0007030571381556065
3.1440354715915e-07,0.0006181285343472653
3.489101213406774e-07,0.000540490902488927
3.872038781812557e-07,0.0004737320036475471
4.2970047043208437e-07,0.00041876376089174935
4.768611697714474e-07,0.0003750486765119908
5.291978735958437e-07,0.00034150305549443874
5.872786613189477e-07,0.00031700728588115177
6.517339604882421e-07,0.0003006359536017654
7.232633896483533e-07,0.00029175406974984465
8.026433522257174e-07,0.0002900866657798757
8.907354638610439e-07,0.0002958197985642066
9.884959046625586e-07,0.0003097578907219872
1.096985797892384e-06,0.00033354690384030343
1.217382727739662e-06,0.00036996725604975786
1.3509935211980278e-06,0.00042329414238273955
1.499268432786047e-06,0.0004997032356829789
1.6638168860761274e-06,0.0006076528730254463
1.8464249428955464e-06,0.0007580932120175172
2.049074689815846e-06,0.0009642554345407794
2.2739657523579273e-06,0.0012407163209919132
2.523539170434766e-06,0.0016015065667093762
2.800503894183631e-06,0.0020573125886954426
3.107866187782014e-06,0.0026122855933671243
3.4489622604057595e-06,0.0032614165371980565
3.827494478516315e-06,0.0039895291575588075
4.247571552536894e-06,0.004772443444914027
4.713753134116729e-06,0.005579900253996694
5.2310993080562585e-06,0.006378986953983773
5.805225516094895e-06,0.007136722594037323
6.44236350872137e-06,0.007821295265214372
7.149428986597577e-06,0.008402549914331902
7.934096665797492e-06,0.008852734181324342
8.804883581643465e-06,0.009147854513832048
9.771241535346501e-06,0.009268981666339547
1.0843659686896109e-05,0.009202658215219072
1.2033778407775906e-05,0.008940630730824958
1.3354515629298974e-05,0.008480492808596555
1.48202070579886e-05,0.007828885728845622
1.6446761779946626e-05,0.007007022419910343
1.8251834943190462e-05,0.00605569118855424
2.0255019392306664e-05,0.005035809265267142
2.2478058335487252e-05,0.004022400139884586
2.4945081352303165e-05,0.003093748419720116
2.7682866303920665e-05,0.002320955421520291
3.072112998861759e-05,0.001763854594992257
3.409285069746814e-05,0.0014766459959704328
3.783462617131933e-05,0.0015219421922738042
4.1987070844439056e-05,0.0019873325016918435
4.659525668664687e-05,0.002996068051450691
5.170920242896755e-05,0.004704464347441669
5.7384416483024044e-05,0.007283655631560311
6.368249944718586e-05,0.010891235852043627
7.067181273927492e-05,0.01564528577319275
7.842822061337681e-05,0.02161392713066878
8.703591361485166e-05,0.02882498554434431
9.658832241158708e-05,0.03728674938177537
0.00010718913192051276,0.04700266588064288
0.00011895340673703195,0.05796847406361206
0.0001320088400831418,0.0701563594503057
0.00014649713983072864,0.0835027478393464
0.0001625755666443795,0.09791228915356978
0.00018041864093920718,0.1132742511687793
0.00020022003718155845,0.12947585551656526
0.0002221946860939524,0.14640203754516398
0.0002465811075822604,0.1639264720420645
0.0002736439997074672,0.18190725237206343
0.00030367711180354605,0.20019372588455142
0.00033700643292719284,0.21863778020212155
0.0003739937302478798,0.2370986657026086
0.0004150404757850477,0.25543896131110727
0.00046059220411451084,0.2735194607254185
0.0005111433483440171,0.29120075219241554
0.0005672426068491978,0.3083502979339275
0.0006294988990221888,0.3248474531683298
0.0006985879746785249,0.3405822857851533
0.0007752597488629464,0.355451933349133
0.000860346441668451,0.3693605211443684
0.0009547716114208065,0.38222335856441514
0.001059560179277617,0.39397070781643945
0.0011758495540521582,0.4045474350953223
0.0013049019780144017,0.41391007840915184
0.001448118227674533,0.4220253475079933
0.0016070528182616384,0.428871332221189
0.0017834308769319094,0.43443894189125526
0.0019791668678535573,0.43873098015976175
0.002196385372416547,0.44175925998156174
0.002437444150122222,0.44354219960805297
0.002704959730463137,0.44410424224094047
0.0030018358135755923,0.44347609389749576
0.003331294787934677,0.4416940981341406
0.0036969127071950323,0.43879844632308557
0.00410265810582719,0.43483134467302015
0.004552935074866948,0.42983617221568987
0.00505263106533568,0.42385756849208256
0.005607169938205458,0.4169416566443691
0.006222570836730231,0.409135755737364
0.006905513520162331,0.4004875467689797
0.007663410868007463,0.39104424181452346
0.008504489341802686,0.3808525217055729
0.009437878277775391,0.3699594965750365
0.010473708979594508,0.3584138766709774
0.011623224686798541,0.3462660830286507
0.01289890261253308,0.333567152646557
0.014314589375234785,0.32036800480571787
0.015885651294280528,0.3067206132293147
0.01762914118095948,0.2926803523989648
0.01956398343517065,0.27830692815565
0.021711179456945052,0.2636626362648866
0.02409403560239527,0.24881006258452015
0.026738416158399492,0.23381246002041547
0.029673024081888724,0.21873691218403543
0.032929712550971546,0.20365650011205783
0.036543830709572546,0.18864817195695366
0.040554607358408275,0.173788002921543
0.04500557675700498,0.15914914612546321
0.0499450511585514,0.14480500252430972
0.05542664520663107,0.13083358989196608
0.06150985788580504,0.1173166987364244
0.06826071834272393,0.10433286285531816
0.0757525025877192,0.09195060635712676
0.08406652885618333,0.08022885827398679
0.09329304026284696,0.06922360592999768
0.10353218432956637,0.05899237471322081
0.11489510001873086,0.0495896724423049
0.1275051240713013,0.04105587117560082
0.1414991297434576,0.03340926147357035
0.15702901247293774,0.026648558629779596
0.17426333860096507,0.020763430953291157
0.19338917504552322,0.015743147100814002
0.21461411978584058,0.011574992444002872
0.23816855519761607,0.00823277781148532
0.2643081486974108,0.005663764909483825
0.29331662783900486,0.003783501587299977
0.32550885998350565,0.0024825623574912825
0.36123426997094304,0.0016420189895103633
0.40088063288984643,0.0011505454857002521
0.4448782831127585,0.0009168073829909772
0.4937047852839004,0.0008743161719200524
0.5478901179593945,0.000979479322225517
0.6080224261649427,0.0012055164506487913
0.67475440531107,0.0015351540299438147
0.748810385759003,0.0019542755883073383
0.8309941949353403,0.0024477054988875507
0.9221978823334341,0.0029974148532142136
1.0234114021054528,0.0035827699292374205
1.135733358343105,0.004182032078597428
1.2603829296797273,0.0047741974443457035
1.3987131026472386,0.0053404360425536685
1.552225357427048,0.005864765915283579
1.7225859653987874,0.006334015360636319
1.9116440753857036,0.00673741592822743
2.121451784910632,0.007066237801250772
2.35428641432242,0.007313742790824686
2.612675225563332,0.0074754859387194785
2.8994228538828812,0.007549767929950323
3.2176417502507353,0.007537926922203514
3.5707859649004625,0.007444208299616564
3.9626886387014784,0.007275147426466209
4.397603609302721,0.007038658088874025
4.880251583654434,0.006743202757401947
5.415871378079476,0.0063974023891316895
6.010276782070388,0.006010185375138637
6.669919663030129,0.005591187458747922
7.401959996915652,0.005150831836693005
8.214343584919439,0.004699580620021118
9.115888299750837,0.004246332327912243
10.11637979766207,0.0037966448955138567
11.226677735108158,0.0033519495171933536
12.458833642950081,0.002910736746956463
13.826221737646593,0.002471723894004998
15.343684089300131,0.002037696486054179
17.02769172225898,0.0016179197628862674
18.896523396912116,0.0012274515914151385
20.970464013232306,0.0008832872137220385
23.27202478960412,0.0005990684756782547
25.826187606826746,0.00038089176808203765
28.66067616948256,0.0002260347148621156
31.80625692794119,0.0001247572618769172
35.297073027306574,6.386326479052171e-05
39.17101490809261,3.0252287307285182e-05
