tau,gamma
1e-07,4.653577381200456e-05
1.1097524964120721e-07,6.74631150380045e-05
1.2315506032928263e-07,9.024430353815757e-05
1.3667163564620074e-07,0.00011156693744874314
1.5167168884709241e-07,0.00012773238413622712
1.6831803533309585e-07,0.00013579170500844788
1.867913599020781e-07,0.00013451774417444455
2.0729217795953698e-07,0.00012475731141501327
2.300430119772917e-07,0.000109023280989467
2.5529080682395163e-07,9.057511096860581e-05
2.833096101839324e-07,7.244860415780138e-05
3.1440354715915e-07,5.683044139222494e-05
3.489101213406774e-07,4.492909513886464e-05
3.872038781812557e-07,3.725908247561847e-05
4.2970047043208437e-07,3.4156247897320296e-05
4.768611697714474e-07,3.637815299244419e-05
5.291978735958437e-07,4.572988384925119e-05
5.872786613189477e-07,6.569583551429139e-05
6.517339604882421e-07,0.00010199929417717604
7.232633896483533e-07,0.00016286749207017754
8.026433522257174e-07,0.000258641287593462
8.907354638610439e-07,0.0004003895642743403
9.884959046625586e-07,0.0005975042430188574
1.096985797892384e-06,0.0008548312201042892
1.217382727739662e-06,0.0011704332207536953
1.3509935211980278e-06,0.0015351215066117432
1.499268432786047e-06,0.0019341805611094505
1.6638168860761274e-06,0.0023505497519798768
1.8464249428955464e-06,0.002767912865629365
2.049074689815846e-06,0.0031723551476354325
2.2739657523579273e-06,0.003552367204615333
2.523539170434766e-06,0.0038980875485790955
2.800503894183631e-06,0.004200846254097206
3.107866187782014e-06,0.004453261370652758
3.4489622604057595e-06,0.004649284357698315
3.827494478516315e-06,0.00478366448706513
4.247571552536894e-06,0.004851244889864196
4.713753134116729e-06,0.004847181131683306
5.2310993080562585e-06,0.004768561177044541
5.805225516094895e-06,0.004616345237146232
6.44236350872137e-06,0.004395657222976021
7.149428986597577e-06,0.004113552339806011
7.934096665797492e-06,0.0037758545674515726
8.804883581643465e-06,0.0033861983011241716
9.771241535346501e-06,0.0029491475207318115
1.0843659686896109e-05,0.002475835262628761
1.2033778407775906e-05,0.001987864236784997
1.3354515629298974e-05,0.0015158075687147522
1.48202070579886e-05,0.0010923241037343336
1.6446761779946626e-05,0.0007438023038987982
1.8251834943190462e-05,0.00048569075551440765
2.0255019392306664e-05,0.00032472853398234335
2.2478058335487252e-05,0.000267902300314966
2.4945081352303165e-05,0.0003351562935837324
2.7682866303920665e-05,0.0005713922164359894
3.072112998861759e-05,0.0010528809184017168
3.409285069746814e-05,0.0018840699107481272
3.783462617131933e-05,0.003183863452148822
4.1987070844439056e-05,0.005065723535039299
4.659525668664687e-05,0.007620404018491294
5.170920242896755e-05,0.010909181677075256
5.7384416483024044e-05,0.01496797581962591
6.368249944718586e-05,0.019814706751703597
7.067181273927492e-05,0.025452083839981834
7.842822061337681e-05,0.03186632180441762
8.703591361485166e-05,0.039028663154477644
9.658832241158708e-05,0.04690180374798822
0.00010718913192051276,0.055443646020485765
0.00011895340673703195,0.06460233406945237
0.0001320088400831418,0.07431152891725595
0.00014649713983072864,0.0845028662344755
0.0001625755666443795,0.09513602410267219
0.00018041864093920718,0.10622130246029814
0.00020022003718155845,0.11781019926519797
0.0002221946860939524,0.12996220589904356
0.0002465811075822604,0.14272044224424887
0.0002736439997074672,0.15610752419024965
0.00030367711180354605,0.17011067970670055
0.00033700643292719284,0.184628293065927
0.0003739937302478798,0.19941788129001933
0.0004150404757850477,0.21414324906104554
0.00046059220411451084,0.22857481200108098
0.0005111433483440171,0.2428673105140644
0.0005672426068491978,0.2577522519135428
0.0006294988990221888,0.2745327046232898
0.0006985879746785249,0.29488770237328
0.0007752597488629464,0.32053188486960466
0.000860346441668451,0.3527115965947991
0.0009547716114208065,0.39151606113577037
0.001059560179277617,0.43517300773421086
0.0011758495540521582,0.4797478810778778
0.0013049019780144017,0.5196650467897264
0.001448118227674533,0.5490892268817458
0.0016070528182616384,0.563690166848569
0.0017834308769319094,0.5620571331978301
0.0019791668678535573,0.5461918908617102
0.002196385372416547,0.5209122707534136
0.002437444150122222,0.4923803223325916
0.002704959730463137,0.4662307687520778
0.0030018358135755923,0.4459379526730638
0.003331294787934677,0.4320605187732274
0.0036969127071950323,0.4226941561786556
0.00410265810582719,0.414867635798568
0.004552935074866948,0.40609209749671454
0.00505263106533568,0.3952506481764572
0.005607169938205458,0.3825451028330388
0.006222570836730231,0.3688550049264841
0.006905513520162331,0.3550974345940792
0.007663410868007463,0.34192134170513727
0.008504489341802686,0.3296865180610995
0.009437878277775391,0.3185258172312613
0.010473708979594508,0.30838755702904413
0.011623224686798541,0.2990789203272822
0.01289890261253308,0.2903360305680521
0.014314589375234785,0.2818909586513159
0.015885651294280528,0.27350103970860934
0.01762914118095948,0.2649536896092237
0.01956398343517065,0.2560821769512118
0.021711179456945052,0.24679418961265023
0.02409403560239527,0.2370796319305627
0.026738416158399492,0.22697957244013262
0.029673024081888724,0.21654243778156182
0.032929712550971546,0.20580566044241988
0.036543830709572546,0.19480699842242066
0.040554607358408275,0.18359717795755595
0.04500557675700498,0.17223448819357012
0.0499450511585514,0.16077314767323725
0.05542664520663107,0.149265214519915
0.06150985788580504,0.13777342128978423
0.06826071834272393,0.12637529802917424
0.0757525025877192,0.11515130711658218
0.08406652885618333,0.10417191875712227
0.09329304026284696,0.09349913016893432
0.10353218432956637,0.08319765728234742
0.11489510001873086,0.0733386055037251
0.1275051240713013,0.06398956582460243
0.1414991297434576,0.055203389041043306
0.15702901247293774,0.047019247694005464
0.17426333860096507,0.039473401402205045
0.19338917504552322,0.0326046812195882
0.21461411978584058,0.026446236878367932
0.23816855519761607,0.02101183597578585
0.2643081486974108,0.016291767494604696
0.29331662783900486,0.012262860083422724
0.32550885998350565,0.008901894127817075
0.36123426997094304,0.006188366335145722
0.40088063288984643,0.004093568537945872
0.4448782831127585,0.0025660480587488357
0.4937047852839004,0.0015264387746360374
0.5478901179593945,0.0008766372110621057
0.6080224261649427,0.0005180217147563628
0.67475440531107,0.00036893871701694286
0.748810385759003,0.0003741714936021704
0.8309941949353403,0.0005045302785794809
0.9221978823334341,0.0007489630393658511
1.0234114021054528,0.0011033643544757033
1.135733358343105,0.0015602814721463218
1.2603829296797273,0.0021028135293765793
1.3987131026472386,0.0027043095852274154
1.552225357427048,0.003333075271642195
1.7225859653987874,0.003959037643882045
1.9116440753857036,0.004558576786756221
2.121451784910632,0.005115239400942273
2.35428641432242,0.005616930778114988
2.612675225563332,0.006052403156322748
2.8994228538828812,0.0064098388619195
3.2176417502507353,0.006678268711914027
3.5707859649004625,0.006850252758402401
3.9626886387014784,0.006923499533331437
