tau,gamma
1e-07,0.0006491690246577172
1.1097524964120721e-07,0.0009720179113163474
1.2315506032928263e-07,0.0013528565971069827
1.3667163564620074e-07,0.001755904336190174
1.5167168884709241e-07,0.0021338481516024045
1.6831803533309585e-07,0.0024398871122620425
1.867913599020781e-07,0.0026404756182717374
2.0729217795953698e-07,0.0027233894744248376
2.300430119772917e-07,0.002698144932678409
2.5529080682395163e-07,0.00258965939523623
2.833096101839324e-07,0.002428883464477471
3.1440354715915e-07,0.0022445107188777164
3.489101213406774e-07,0.0020581842429933713
3.872038781812557e-07,0.001883391048061913
4.2970047043208437e-07,0.0017267896296125369
4.768611697714474e-07,0.0015904295342220854
5.291978735958437e-07,0.0014737935483510214
5.872786613189477e-07,0.0013752297480070501
6.517339604882421e-07,0.0012927791845885805
7.232633896483533e-07,0.0012245796331623818
8.026433522257174e-07,0.0011690294875530685
8.907354638610439e-07,0.0011248374621496073
9.884959046625586e-07,0.001091026434138043
1.096985797892384e-06,0.0010669229110117587
1.217382727739662e-06,0.0010521448618016137
1.3509935211980278e-06,0.0010465925958489707
1.499268432786047e-06,0.001050444354900042
1.6638168860761274e-06,0.0010641573046692007
1.8464249428955464e-06,0.001088474397056487
2.049074689815846e-06,0.001124437665192529
2.2739657523579273e-06,0.0011734087661024455
2.523539170434766e-06,0.0012370979612004419
2.800503894183631e-06,0.0013176032161676815
3.107866187782014e-06,0.0014174617050193236
3.4489622604057595e-06,0.0015397166883783003
3.827494478516315e-06,0.0016880033876656639
4.247571552536894e-06,0.0018666577615823426
4.713753134116729e-06,0.002080851184243421
5.2310993080562585e-06,0.0023367501118380088
5.805225516094895e-06,0.002641689358772444
6.44236350872137e-06,0.0030043245829911767
7.149428986597577e-06,0.0034346858609713943
7.934096665797492e-06,0.003943983081524775
8.804883581643465e-06,0.004543919835645083
9.771241535346501e-06,0.005245188812214174
1.0843659686896109e-05,0.006054829168511222
1.2033778407775906e-05,0.006972352199973729
1.3354515629298974e-05,0.007985106339086421
1.48202070579886e-05,0.00906424491236388
1.6446761779946626e-05,0.010163584462133026
1.8251834943190462e-05,0.011223973185760171
2.0255019392306664e-05,0.012184808662083624
2.2478058335487252e-05,0.013001772384081099
2.4945081352303165e-05,0.01366638793363685
2.7682866303920665e-05,0.014220363273290435
3.072112998861759e-05,0.014757730817292949
3.409285069746814e-05,0.015411317638584748
3.783462617131933e-05,0.01632588508787304
4.1987070844439056e-05,0.017625707848655733
4.659525668664687e-05,0.01938683558666406
5.170920242896755e-05,0.021622841631760866
5.7384416483024044e-05,0.024288532799980445
6.368249944718586e-05,0.027300864979950813
7.067181273927492e-05,0.030571793187776492
7.842822061337681e-05,0.03404470143929498
8.703591361485166e-05,0.0377247668007485
9.658832241158708e-05,0.04169473739522976
0.00010718913192051276,0.046111675423706436
0.00011895340673703195,0.05118644489022166
0.0001320088400831418,0.05715335996807063
0.00014649713983072864,0.06423905302864144
0.0001625755666443795,0.07263606958531212
0.00018041864093920718,0.08248094799395485
0.00020022003718155845,0.09383453747339646
0.0002221946860939524,0.10666853096020766
0.0002465811075822604,0.12087513279926222
0.0002736439997074672,0.13632774916412568
0.00030367711180354605,0.15301674154860048
0.00033700643292719284,0.17125447450463097
0.0003739937302478798,0.19188641923924332
0.0004150404757850477,0.21637729911223202
0.00046059220411451084,0.24660585497107856
0.0005111433483440171,0.2842554308334265
0.0005672426068491978,0.3298609914305067
0.0006294988990221888,0.38181995516279216
0.0006985879746785249,0.43585804387895405
0.0007752597488629464,0.4854028398457704
0.000860346441668451,0.5229952881516027
0.0009547716114208065,0.5423805613875754
0.001059560179277617,0.5405202662367956
0.0011758495540521582,0.5187001985897463
0.0013049019780144017,0.4822429032758854
0.001448118227674533,0.43891894222141276
0.0016070528182616384,0.3966916369592855
0.0017834308769319094,0.36165962544333424
0.0019791668678535573,0.3368870396615678
0.002196385372416547,0.3223595038648777
0.002437444150122222,0.31583589469628187
0.002704959730463137,0.3141104231950531
0.0030018358135755923,0.31422362281277044
0.003331294787934677,0.31435617659954335
0.0036969127071950323,0.314328646279876
0.00410265810582719,0.31569954721564
0.004552935074866948,0.321421028551496
0.00505263106533568,0.3349904953440909
0.005607169938205458,0.35914165084635963
0.006222570836730231,0.39436284404395416
0.006905513520162331,0.4377886220186477
0.007663410868007463,0.4830766544346931
0.008504489341802686,0.5216108671192294
0.009437878277775391,0.5448120884150518
0.010473708979594508,0.546757102312002
0.011623224686798541,0.5260513831095532
0.01289890261253308,0.4861658710148061
0.014314589375234785,0.4341261127054362
0.015885651294280528,0.37816915141101837
0.01762914118095948,0.3253688558927046
0.01956398343517065,0.2801023618077152
0.021711179456945052,0.24372376779267962
0.02409403560239527,0.21524678222190366
0.026738416158399492,0.19250195660497438
0.029673024081888724,0.17322268078885797
0.032929712550971546,0.1557304085179396
0.036543830709572546,0.1391566861687917
0.040554607358408275,0.123323147304946
0.04500557675700498,0.1084614069601051
0.0499450511585514,0.09492570683410993
0.05542664520663107,0.08298624704934442
0.06150985788580504,0.07272988885441042
0.06826071834272393,0.06405413978270756
0.0757525025877192,0.056721421955737934
0.08406652885618333,0.050438264294239865
0.09329304026284696,0.044931293472199985
0.10353218432956637,0.040002443213858076
0.11489510001873086,0.03555530468530679
0.1275051240713013,0.031591247924025845
0.1414991297434576,0.028178561478162643
0.15702901247293774,0.02540232969535302
0.17426333860096507,0.023308142623173808
0.19338917504552322,0.02185730822340247
0.21461411978584058,0.02091088453102221
0.23816855519761607,0.02025130099124486
0.2643081486974108,0.019635241040982833
0.29331662783900486,0.018857167587613567
0.32550885998350565,0.017798032918961246
0.36123426997094304,0.01644168252766021
0.40088063288984643,0.014857389655095365
0.4448782831127585,0.013161332728620164
0.4937047852839004,0.011475348092424282
0.5478901179593945,0.00989720956113399
0.6080224261649427,0.008487753329994732
0.67475440531107,0.007272212893492111
0.748810385759003,0.00624937598033957
0.8309941949353403,0.005402484446957793
0.9221978823334341,0.00470817925702087
1.0234114021054528,0.0041422714855440705
1.135733358343105,0.003682688747877212
1.2603829296797273,0.0033105236863935745
1.3987131026472386,0.0030100634168924454
1.552225357427048,0.0027683990634636223
1.7225859653987874,0.0025749404584256013
1.9116440753857036,0.002420976310900125
2.121451784910632,0.002299321681139877
2.35428641432242,0.0022040522820893035
2.612675225563332,0.0021303115162617033
2.8994228538828812,0.002074174304299075
3.2176417502507353,0.0020325533468829194
3.5707859649004625,0.002003134935639162
3.9626886387014784,0.001984330984328459
4.397603609302721,0.0019752295312683308
4.880251583654434,0.0019755142052385933
5.415871378079476,0.0019853001971956627
6.010276782070388,0.0020048008360030803
6.669919663030129,0.0020337112120013016
7.401959996915652,0.0020702175025573534
8.214343584919439,0.002109679785335507
9.115888299750837,0.0021433344741794654
10.11637979766207,0.0021577457144727674
11.226677735108158,0.002135943926630241
12.458833642950081,0.0020608631872541653
13.826221737646593,0.0019206605663383087
15.343684089300131,0.0017141344508957172
17.02769172225898,0.0014536485334479506
18.896523396912116,0.0011635660181597005
20.970464013232306,0.0008742117478292789
23.27202478960412,0.0006136983116262892
25.826187606826746,0.00040105704291604796
28.66067616948256,0.00024326940554109878
31.80625692794119,0.00013663856786911213
35.297073027306574,7.093224451220382e-05
39.17101490809261,3.3981489771572825e-05
43.47013158125035,1.5005237211804552e-05
48.241087041653735,6.101285753424384e-06
53.535666774107185,2.2826325269892616e-06
59.411339849650396,7.852538134698924e-07
65.93188271333541,2.4826698053791424e-07
73.16807143427206,7.210743444718313e-08
81.19844993184009,1.923288169717175e-08
90.11018251665037,4.709667544007285e-09
100.0,1.0585665687990223e-09
