tau,gamma
1e-07,1.412205977730826e-32
1.1097524964120721e-07,2.2923644799822564e-30
1.2315506032928263e-07,3.0612260105257933e-28
1.3667163564620074e-07,3.363053172445501e-26
1.5167168884709241e-07,3.039481340811262e-24
1.6831803533309585e-07,2.2599241344472353e-22
1.867913599020781e-07,1.382352337841462e-20
2.0729217795953698e-07,6.956279970843463e-19
2.300430119772917e-07,2.87987227070294e-17
2.5529080682395163e-07,9.808760740736607e-16
2.833096101839324e-07,2.7485926175034638e-14
3.1440354715915e-07,6.336919896136681e-13
3.489101213406774e-07,1.2021059477762306e-11
3.872038781812557e-07,1.8764741273738054e-10
4.2970047043208437e-07,2.4106668274267772e-09
4.768611697714474e-07,2.549283656765566e-08
5.291978735958437e-07,2.2198648714418648e-07
5.872786613189477e-07,1.5925004871997293e-06
6.517339604882421e-07,9.419154797204312e-06
7.232633896483533e-07,4.598743826641058e-05
8.026433522257174e-07,0.0001856759935027408
8.907354638610439e-07,0.0006217055626562987
9.884959046625586e-07,0.001733831177184317
1.096985797892384e-06,0.004054156305982378
1.217382727739662e-06,0.008028331282208303
1.3509935211980278e-06,0.013665673499418423
1.499268432786047e-06,0.02041837941260269
1.6638168860761274e-06,0.02751538799312957
1.8464249428955464e-06,0.03447215396582266
2.049074689815846e-06,0.04125715899737774
2.2739657523579273e-06,0.0480218080013099
2.523539170434766e-06,0.054805842307462105
2.800503894183631e-06,0.06153070405120269
3.107866187782014e-06,0.0681469304863902
3.4489622604057595e-06,0.0746781118317172
3.827494478516315e-06,0.08114861094150984
4.247571552536894e-06,0.08754049476400336
4.713753134116729e-06,0.0938255246799333
5.2310993080562585e-06,0.0999979979491545
5.805225516094895e-06,0.10606351224549629
6.44236350872137e-06,0.1120168969672158
7.149428986597577e-06,0.11784375856183008
7.934096665797492e-06,0.12353391983162174
8.804883581643465e-06,0.12908358919578886
9.771241535346501e-06,0.13448788715675952
1.0843659686896109e-05,0.1397378106849424
1.2033778407775906e-05,0.14482397885859216
1.3354515629298974e-05,0.14973927265001566
1.48202070579886e-05,0.15447723108036504
1.6446761779946626e-05,0.15903009868225282
1.8251834943190462e-05,0.16338933627706895
2.0255019392306664e-05,0.16754690221900811
2.2478058335487252e-05,0.1714952542037006
2.4945081352303165e-05,0.17522662564558333
2.7682866303920665e-05,0.1787328802792737
3.072112998861759e-05,0.18200598605257653
3.409285069746814e-05,0.18503826863304776
3.783462617131933e-05,0.18782231851169784
4.1987070844439056e-05,0.19035093977462278
4.659525668664687e-05,0.19261738496341652
5.170920242896755e-05,0.19461564978945056
5.7384416483024044e-05,0.19634066201585215
6.368249944718586e-05,0.19778845624755345
7.067181273927492e-05,0.1989564237157476
7.842822061337681e-05,0.19984365504446408
8.703591361485166e-05,0.20045123767222603
9.658832241158708e-05,0.2007825401142375
0.00010718913192051276,0.20084345803771825
0.00011895340673703195,0.2006426823957038
0.0001320088400831418,0.20019192477961253
0.00014649713983072864,0.1995060750744792
0.0001625755666443795,0.1986032695947427
0.00018041864093920718,0.19750487709549291
0.00020022003718155845,0.19623546512632983
0.0002221946860939524,0.19482266873755616
0.0002465811075822604,0.19329693795956773
0.0002736439997074672,0.1916911208902286
0.00030367711180354605,0.1900400592951392
0.00033700643292719284,0.18838019513447682
0.0003739937302478798,0.18674903734364287
0.0004150404757850477,0.1851843518878213
0.00046059220411451084,0.1837233313048908
0.0005111433483440171,0.1824020769374513
0.0005672426068491978,0.18125510260964614
0.0006294988990221888,0.18031431000430004
0.0006985879746785249,0.1796076259997019
0.0007752597488629464,0.17915839924953425
0.000860346441668451,0.1789856037273189
0.0009547716114208065,0.17910327990239786
0.001059560179277617,0.17951847800980972
0.0011758495540521582,0.1802300244630616
0.0013049019780144017,0.18123016303475353
0.001448118227674533,0.1825063388010122
0.0016070528182616384,0.18403903126968268
0.0017834308769319094,0.18579884380067932
0.0019791668678535573,0.18775202300037278
0.002196385372416547,0.1898764992902254
0.002437444150122222,0.19218115251034343
0.002704959730463137,0.1947263948009727
0.0030018358135755923,0.1976449804592043
0.003331294787934677,0.2011193669298786
0.0036969127071950323,0.20523236870533312
0.00410265810582719,0.20971282291555585
0.004552935074866948,0.213838110071236
0.00505263106533568,0.21678786124842664
0.005607169938205458,0.21834844350788365
0.006222570836730231,0.21954191641769574
0.006905513520162331,0.22303774538471016
0.007663410868007463,0.23337453618370116
0.008504489341802686,0.2559765425687271
0.009437878277775391,0.29317560831168094
0.010473708979594508,0.3384331306481703
0.011623224686798541,0.3753538185030314
0.01289890261253308,0.3868716235496103
0.014314589375234785,0.36846983782373977
0.015885651294280528,0.3314169759073471
0.01762914118095948,0.29198582237421583
0.01956398343517065,0.25897908120923313
0.021711179456945052,0.23192951897965822
0.02409403560239527,0.20775245771895898
0.026738416158399492,0.1857847424703303
0.029673024081888724,0.16725198694165186
0.032929712550971546,0.152799830704149
0.036543830709572546,0.14170552970969183
0.040554607358408275,0.1326697558176017
0.04500557675700498,0.12463410045067493
0.0499450511585514,0.11700144617143561
0.05542664520663107,0.1095207966661201
0.06150985788580504,0.10213778246255836
0.06826071834272393,0.09488684141232477
0.0757525025877192,0.08782116465378592
0.08406652885618333,0.0809846552058579
0.09329304026284696,0.0744159107521202
0.10353218432956637,0.0681553829906811
0.11489510001873086,0.06224079078988631
0.1275051240713013,0.05669999622153794
0.1414991297434576,0.051551384605330895
0.15702901247293774,0.04680791238523522
0.17426333860096507,0.04247738044867819
0.19338917504552322,0.03855968464784004
0.21461411978584058,0.03504608547479166
0.23816855519761607,0.03192127936881316
0.2643081486974108,0.02916525335170515
0.29331662783900486,0.0267536292818951
0.32550885998350565,0.024658043463924362
0.36123426997094304,0.022847633497147447
0.40088063288984643,0.021290801748317847
0.4448782831127585,0.019956289291202564
0.4937047852839004,0.01881380077350216
0.5478901179593945,0.017834765753689842
0.6080224261649427,0.016993116087188325
0.67475440531107,0.016265636130987315
0.748810385759003,0.015631938679721798
0.8309941949353403,0.015074441745151775
0.9221978823334341,0.01457836646655717
1.0234114021054528,0.014131458474936966
1.135733358343105,0.013723452582892284
1.2603829296797273,0.013345700050707048
1.3987131026472386,0.012991100964473286
1.552225357427048,0.012653948620485836
1.7225859653987874,0.012329393032202294
1.9116440753857036,0.012012877035667134
2.121451784910632,0.011700064637810766
2.35428641432242,0.011387198266910448
2.612675225563332,0.01107127735219567
2.8994228538828812,0.010749610102147858
3.2176417502507353,0.01041901688567763
3.5707859649004625,0.010075635797514509
3.9626886387014784,0.009715947689535633
4.397603609302721,0.009337934570072023
4.880251583654434,0.008940346041357196
5.415871378079476,0.008520511141818897
6.010276782070388,0.008074420847224009
6.669919663030129,0.007600340483391107
7.401959996915652,0.007100419409139928
8.214343584919439,0.006575695290936076
9.115888299750837,0.006021442333977266
10.11637979766207,0.005433266881310993
11.226677735108158,0.0048171860923949955
12.458833642950081,0.004184084850845254
13.826221737646593,0.0035307000376758072
15.343684089300131,0.002839986290164422
17.02769172225898,0.002116297701324512
18.896523396912116,0.0014164015326384295
20.970464013232306,0.000828836341629261
