tau,gamma
1e-07,1.951507394757364e-32
1.1097524964120721e-07,3.1677858619769765e-30
1.2315506032928263e-07,4.2302645216297585e-28
1.3667163564620074e-07,4.647354912355139e-26
1.5167168884709241e-07,4.2002152866936644e-24
1.6831803533309585e-07,3.122956055700708e-22
1.867913599020781e-07,1.9102520623154983e-20
2.0729217795953698e-07,9.612776491234732e-19
2.300430119772917e-07,3.9796493833025007e-17
2.5529080682395163e-07,1.3554559502104632e-15
2.833096101839324e-07,3.7982290699840064e-14
3.1440354715915e-07,8.756856671249976e-13
3.489101213406774e-07,1.6611605553327336e-11
3.872038781812557e-07,2.593042649578007e-10
4.2970047043208437e-07,3.3312062664999927e-09
4.768611697714474e-07,3.522721192376695e-08
5.291978735958437e-07,3.067468841848096e-07
5.872786613189477e-07,2.20050943295938e-06
6.517339604882421e-07,1.301488487825826e-05
7.232633896483533e-07,6.3539571755143e-05
8.026433522257174e-07,0.00025652240459182675
8.907354638610439e-07,0.0008588168479224474
9.884959046625586e-07,0.0023946501166666324
1.096985797892384e-06,0.005597792761639329
1.217382727739662e-06,0.011080770419680318
1.3509935211980278e-06,0.01885108614503623
1.499268432786047e-06,0.028145519699014184
1.6638168860761274e-06,0.03789397427809961
1.8464249428955464e-06,0.047425311283999134
2.049074689815846e-06,0.0566955682102826
2.2739657523579273e-06,0.06591122219483177
2.523539170434766e-06,0.07512129826059943
2.800503894183631e-06,0.08421108653559577
3.107866187782014e-06,0.09310842683807694
3.4489622604057595e-06,0.10184355802470496
3.827494478516315e-06,0.11044682261063028
4.247571552536894e-06,0.11888881691449676
4.713753134116729e-06,0.12712623310001894
5.2310993080562585e-06,0.13514806253138478
5.805225516094895e-06,0.14295919762147494
6.44236350872137e-06,0.15054910296401677
7.149428986597577e-06,0.15789431266286788
7.934096665797492e-06,0.1649776938251833
8.804883581643465e-06,0.1717914190138005
9.771241535346501e-06,0.17832619560376034
1.0843659686896109e-05,0.18456699669709564
1.2033778407775906e-05,0.19049854388959897
1.3354515629298974e-05,0.1961091253873797
