tau,gamma
1e-07,2.2520727112799257e-32
1.1097524964120721e-07,3.6556785233654865e-30
1.2315506032928263e-07,4.881796440605639e-28
1.3667163564620074e-07,5.363125014684042e-26
1.5167168884709241e-07,4.84711738439912e-24
1.6831803533309585e-07,3.6039413462892547e-22
1.867913599020781e-07,2.2044603663529425e-20
2.0729217795953698e-07,1.1093283673603004e-18
2.300430119772917e-07,4.5925675874794214e-17
2.5529080682395163e-07,1.5642110110977454e-15
2.833096101839324e-07,4.383185285359059e-14
3.1440354715915e-07,1.010543439130902e-12
3.489101213406774e-07,1.9169702975413992e-11
3.872038781812557e-07,2.992325684825273e-10
4.2970047043208437e-07,3.844091261934389e-09
4.768611697714474e-07,4.064991277661481e-08
5.291978735958437e-07,3.539524161508811e-07
5.872786613189477e-07,2.53899845871493e-06
6.517339604882421e-07,1.5015521803523975e-05
7.232633896483533e-07,7.329673223061418e-05
8.026433522257174e-07,0.000295852094174634
8.907354638610439e-07,0.0009901756951793018
9.884959046625586e-07,0.0027596091420318877
1.096985797892384e-06,0.006446412296548506
1.217382727739662e-06,0.012747728837632916
1.3509935211980278e-06,0.021656593784520037
1.499268432786047e-06,0.03227465594091504
1.6638168860761274e-06,0.0433555566868605
1.8464249428955464e-06,0.05412474337022546
2.049074689815846e-06,0.06453841057524576
2.2739657523579273e-06,0.07483849161980831
2.523539170434766e-06,0.08507781045815091
2.800503894183631e-06,0.09511889849097657
3.107866187782014e-06,0.1048789847787483
3.4489622604057595e-06,0.11439808179489647
3.827494478516315e-06,0.12371546573142922
4.247571552536894e-06,0.13279891141880035
4.713753134116729e-06,0.141600445375121
5.2310993080562585e-06,0.150111598173079
5.805225516094895e-06,0.15834315652960354
6.44236350872137e-06,0.16628730429923952
7.149428986597577e-06,0.17392076541537788
7.934096665797492e-06,0.18122808681236668
8.804883581643465e-06,0.18820511100729231
9.771241535346501e-06,0.1948458410350188
1.0843659686896109e-05,0.2011372454339085
1.2033778407775906e-05,0.20706588367440837
1.3354515629298974e-05,0.2126224847556007
1.48202070579886e-05,0.21779905203357464
1.6446761779946626e-05,0.2225854304252945
1.8251834943190462e-05,0.2269702489397666
2.0255019392306664e-05,0.23094320067920962
2.2478058335487252e-05,0.2344950276326768
2.4945081352303165e-05,0.23761622613625688
2.7682866303920665e-05,0.24029680936878986
3.072112998861759e-05,0.24252716565312293
3.409285069746814e-05,0.24429851758706989
3.783462617131933e-05,0.2456027430091566
4.1987070844439056e-05,0.2464322884672373
4.659525668664687e-05,0.24678058975600656
5.170920242896755e-05,0.24664260231710222
5.7384416483024044e-05,0.24601513556843865
6.368249944718586e-05,0.2448971727578667
7.067181273927492e-05,0.24329034469838043
7.842822061337681e-05,0.2411995652215302
8.703591361485166e-05,0.23863359908816362
9.658832241158708e-05,0.2356056049899544
0.00010718913192051276,0.2321336416143106
0.00011895340673703195,0.2282411850215862
0.0001320088400831418,0.22395755302448836
0.00014649713983072864,0.21931820325081364
0.0001625755666443795,0.21436492274839142
0.00018041864093920718,0.2091458847754511
0.00020022003718155845,0.20371561140673747
0.0002221946860939524,0.19813476564719587
0.0002465811075822604,0.1924698402636927
0.0002736439997074672,0.18679269013192046
0.00030367711180354605,0.1811799553504557
0.00033700643292719284,0.17571233466319475
0.0003739937302478798,0.1704737215363364
0.0004150404757850477,0.16555020687264857
0.00046059220411451084,0.16102892029393695
0.0005111433483440171,0.1569967312916201
0.0005672426068491978,0.15353877217222028
0.0006294988990221888,0.15073683632351245
0.0006985879746785249,0.14866763166521127
0.0007752597488629464,0.14740093470185986
0.000860346441668451,0.14699767300554348
0.0009547716114208065,0.147508026357991
0.001059560179277617,0.1489696158824896
0.0011758495540521582,0.15140580519570052
0.0013049019780144017,0.15482414130749367
0.001448118227674533,0.15921503929678738
0.0016070528182616384,0.16455085033865088
0.0017834308769319094,0.1707853787356864
0.0019791668678535573,0.17785379371776538
0.002196385372416547,0.18567287895215073
0.002437444150122222,0.19414154127384653
0.002704959730463137,0.20314126683363945
0.0030018358135755923,0.21253624884702646
0.003331294787934677,0.22217370989544327
0.0036969127071950323,0.2318866725763687
0.00410265810582719,0.241501909967421
0.004552935074866948,0.2508537582357479
0.00505263106533568,0.25979963807798695
0.005607169938205458,0.2682272516038699
0.006222570836730231,0.2760396389910001
0.006905513520162331,0.28310875816873127
0.007663410868007463,0.2892066116782934
0.008504489341802686,0.2939520472063209
0.009437878277775391,0.2968314454232162
0.010473708979594508,0.29732401218743615
0.011623224686798541,0.2950848953120153
0.01289890261253308,0.2900822376823232
0.014314589375234785,0.28260829317307895
0.015885651294280528,0.2731609027804769
0.01762914118095948,0.26226438557211507
