tau,gamma
1e-07,2.6787218693555877e-33
1.1097524964120721e-07,4.3482360559093365e-31
1.2315506032928263e-07,5.806636353483094e-29
1.3667163564620074e-07,6.379147540842061e-27
1.5167168884709241e-07,5.7653795113557745e-25
1.6831803533309585e-07,4.286684473922734e-23
1.867913599020781e-07,2.6220757711909477e-21
2.0729217795953698e-07,1.3194767285751572e-19
2.300430119772917e-07,5.4625462983673225e-18
2.5529080682395163e-07,1.860508976186121e-16
2.833096101839324e-07,5.21340447863956e-15
3.1440354715915e-07,1.20192986786902e-13
3.489101213406774e-07,2.2799643472915073e-12
3.872038781812557e-07,3.558802453750692e-11
4.2970047043208437e-07,4.571529751532883e-10
4.768611697714474e-07,4.833766885966829e-09
5.291978735958437e-07,4.208300478481013e-08
5.872786613189477e-07,3.01804457339716e-07
6.517339604882421e-07,1.7842360879497297e-06
7.232633896483533e-07,8.704921504208862e-06
8.026433522257174e-07,3.5107623614042277e-05
8.907354638610439e-07,0.00011735522579255717
9.884959046625586e-07,0.00032645969526818794
1.096985797892384e-06,0.0007604984968226183
1.217382727739662e-06,0.0014978296678640624
1.3509935211980278e-06,0.002530180003224769
1.499268432786047e-06,0.003742104591613346
1.6638168860761274e-06,0.004979553884008437
1.8464249428955464e-06,0.006150676976225458
2.049074689815846e-06,0.007255962462668208
2.2739657523579273e-06,0.008331337955235572
2.523539170434766e-06,0.009388705467559119
2.800503894183631e-06,0.010416380730374318
3.107866187782014e-06,0.011410530318774556
3.4489622604057595e-06,0.01238425085276111
3.827494478516315e-06,0.013351959212334735
4.247571552536894e-06,0.014319636766234888
4.713753134116729e-06,0.015290968829621332
5.2310993080562585e-06,0.01627431982538008
5.805225516094895e-06,0.01728083967261036
6.44236350872137e-06,0.018319869790076493
7.149428986597577e-06,0.019398695634026283
7.934096665797492e-06,0.020524869311159717
8.804883581643465e-06,0.021706727906085174
9.771241535346501e-06,0.022952085053738934
1.0843659686896109e-05,0.024267499426752895
1.2033778407775906e-05,0.025658641983791114
1.3354515629298974e-05,0.02713055079673276
1.48202070579886e-05,0.02868732471153452
1.6446761779946626e-05,0.030331865323522018
1.8251834943190462e-05,0.032065912878377345
2.0255019392306664e-05,0.03388994220266504
2.2478058335487252e-05,0.035802894829505764
2.4945081352303165e-05,0.0378023529063965
2.7682866303920665e-05,0.0398852147643495
3.072112998861759e-05,0.042048006585997964
3.409285069746814e-05,0.04428651421083345
3.783462617131933e-05,0.046595794467692145
4.1987070844439056e-05,0.048970978768212374
4.659525668664687e-05,0.051407559809394536
5.170920242896755e-05,0.05390256891492321
5.7384416483024044e-05,0.0564657348274801
6.368249944718586e-05,0.05915064469859619
7.067181273927492e-05,0.062100965052313446
7.842822061337681e-05,0.06558758691599827
8.703591361485166e-05,0.0700037006095624
9.658832241158708e-05,0.07577256826141071
0.00010718913192051276,0.08310333281200141
0.00011895340673703195,0.09159441416361756
0.0001320088400831418,0.09994440981172245
0.00014649713983072864,0.1062930894133907
0.0001625755666443795,0.10940420332236618
0.00018041864093920718,0.10996485334464712
0.00020022003718155845,0.1109766473771609
0.0002221946860939524,0.11739502592077877
0.0002465811075822604,0.13584362382782683
0.0002736439997074672,0.17317429716462318
0.00030367711180354605,0.23108464679936777
0.00033700643292719284,0.298900616517415
0.0003739937302478798,0.3542731406327226
0.0004150404757850477,0.3775018125159227
0.00046059220411451084,0.3676540116409202
0.0005111433483440171,0.34143527088128556
0.0005672426068491978,0.31502011833298377
0.0006294988990221888,0.29047099754405326
0.0006985879746785249,0.26077699503840535
0.0007752597488629464,0.22307104018001692
0.000860346441668451,0.18311840414348243
0.0009547716114208065,0.1493441000110433
0.001059560179277617,0.1262746800739739
0.0011758495540521582,0.11352594473103159
0.0013049019780144017,0.10845612711981152
0.001448118227674533,0.10859036184411512
0.0016070528182616384,0.11233965861651488
