tau,gamma
1e-07,8.346120396858362e-33
1.1097524964120721e-07,1.3547847117220748e-30
1.2315506032928263e-07,1.809181079925179e-28
1.3667163564620074e-07,1.987560770766112e-26
1.5167168884709241e-07,1.7963304237785844e-24
1.6831803533309585e-07,1.3356131874244282e-22
1.867913599020781e-07,8.169692967447927e-21
2.0729217795953698e-07,4.1111588793175154e-19
2.300430119772917e-07,1.7020047945455733e-17
2.5529080682395163e-07,5.796985650288644e-16
2.833096101839324e-07,1.6244235520673646e-14
3.1440354715915e-07,3.7451427681125855e-13
3.489101213406774e-07,7.104521685684712e-12
3.872038781812557e-07,1.1090156140915242e-10
4.2970047043208437e-07,1.4247440722845474e-09
4.768611697714474e-07,1.506693388231564e-08
5.291978735958437e-07,1.3120310057055412e-07
5.872786613189477e-07,9.412690326408324e-07
6.517339604882421e-07,5.56764614764084e-06
7.232633896483533e-07,2.7185534452219932e-05
8.026433522257174e-07,0.00010977759977172063
8.907354638610439e-07,0.0003676482179792583
9.884959046625586e-07,0.0010256258999516432
1.096985797892384e-06,0.0023992812155351688
1.217382727739662e-06,0.004754363114189459
1.3509935211980278e-06,0.008100229155213976
1.499268432786047e-06,0.012117606019882701
1.6638168860761274e-06,0.016354151060787372
1.8464249428955464e-06,0.02052476945182507
2.049074689815846e-06,0.024611392210221746
2.2739657523579273e-06,0.028705830399226195
2.523539170434766e-06,0.032836206086491834
2.800503894183631e-06,0.0369609127736403
3.107866187782014e-06,0.041053856289812084
3.4489622604057595e-06,0.04513112281071658
3.827494478516315e-06,0.049210032523985925
4.247571552536894e-06,0.0532839150165762
4.713753134116729e-06,0.05733980795363911
5.2310993080562585e-06,0.061377278842456744
5.805225516094895e-06,0.06540245031817246
6.44236350872137e-06,0.06941558389807513
7.149428986597577e-06,0.0734117294305729
7.934096665797492e-06,0.07738816486583644
8.804883581643465e-06,0.08134571651391549
9.771241535346501e-06,0.08528469315344658
1.0843659686896109e-05,0.08920316610504396
1.2033778407775906e-05,0.09309897325021368
1.3354515629298974e-05,0.09697117531693625
1.48202070579886e-05,0.10081921865012006
1.6446761779946626e-05,0.10464187463259038
1.8251834943190462e-05,0.10843749115156616
2.0255019392306664e-05,0.11220466732931664
2.2478058335487252e-05,0.11594225429359857
2.4945081352303165e-05,0.11964895982039465
2.7682866303920665e-05,0.12332324296857335
3.072112998861759e-05,0.12696352995105378
3.409285069746814e-05,0.13056830612062348
3.783462617131933e-05,0.1341360197738211
4.1987070844439056e-05,0.1376649870102076
4.659525668664687e-05,0.14115343274196127
5.170920242896755e-05,0.14459954331161254
5.7384416483024044e-05,0.14800145265328987
6.368249944718586e-05,0.15135720562514335
7.067181273927492e-05,0.15466474618483694
7.842822061337681e-05,0.15792194405850365
