tau,gamma
1e-07,0.0008428786231799471
1.1097524964120721e-07,0.0019339899277151656
1.2315506032928263e-07,0.0037636078698904192
1.3667163564620074e-07,0.006308781456163692
1.5167168884709241e-07,0.009308977539183727
1.6831803533309585e-07,0.012430977211449798
1.867913599020781e-07,0.015485667978607785
2.0729217795953698e-07,0.018476817048402067
2.300430119772917e-07,0.021471105288160857
2.5529080682395163e-07,0.02447974431731548
2.833096101839324e-07,0.02746848603192376
3.1440354715915e-07,0.03042125415553841
3.489101213406774e-07,0.03335190755977373
3.872038781812557e-07,0.03627118037335987
4.2970047043208437e-07,0.03917185147394817
4.768611697714474e-07,0.04204451683075689
5.291978735958437e-07,0.0448899857900657
5.872786613189477e-07,0.047712868259910904
6.517339604882421e-07,0.05051275566522506
7.232633896483533e-07,0.05328597485159718
8.026433522257174e-07,0.05603120488156295
8.907354638610439e-07,0.05874972573730755
9.884959046625586e-07,0.06144214508988944
1.096985797892384e-06,0.06410748539445095
1.217382727739662e-06,0.0667449127606028
1.3509935211980278e-06,0.06935466056686355
1.499268432786047e-06,0.07193721894895594
1.6638168860761274e-06,0.07449258634025477
1.8464249428955464e-06,0.0770205768180347
2.049074689815846e-06,0.07952132348271702
2.2739657523579273e-06,0.08199520743570929
2.523539170434766e-06,0.08444253895164264
2.800503894183631e-06,0.08686351629118494
3.107866187782014e-06,0.08925840718641177
3.4489622604057595e-06,0.09162760118761054
3.827494478516315e-06,0.09397152019470602
4.247571552536894e-06,0.096290552079672
4.713753134116729e-06,0.09858509402463908
5.2310993080562585e-06,0.1008555897246947
5.805225516094895e-06,0.10310251332222484
6.44236350872137e-06,0.10532633736939936
7.149428986597577e-06,0.10752752885064566
7.934096665797492e-06,0.10970656787242954
8.804883581643465e-06,0.11186394119607929
9.771241535346501e-06,0.11400013585403702
1.0843659686896109e-05,0.11611562421027595
1.2033778407775906e-05,0.11821087231468272
1.3354515629298974e-05,0.1202863337303115
1.48202070579886e-05,0.12234244822764578
1.6446761779946626e-05,0.12437963299045535
1.8251834943190462e-05,0.1263982793555931
2.0255019392306664e-05,0.12839875283627475
2.2478058335487252e-05,0.1303813843023322
2.4945081352303165e-05,0.13234647115070677
2.7682866303920665e-05,0.13429426457559843
3.072112998861759e-05,0.13622497414346374
3.409285069746814e-05,0.13813875532326758
3.783462617131933e-05,0.14003571216524072
4.1987070844439056e-05,0.14191588644129333
4.659525668664687e-05,0.14377925675157407
5.170920242896755e-05,0.14562573403636744
5.7384416483024044e-05,0.1474551560827535
6.368249944718586e-05,0.14926728725847666
7.067181273927492e-05,0.15106180664642338
7.842822061337681e-05,0.15283831350749028
8.703591361485166e-05,0.15459631582930877
9.658832241158708e-05,0.1563352354821695
0.00010718913192051276,0.15805439132681057
0.00011895340673703195,0.15975300088688424
0.0001320088400831418,0.1614301753339
0.00014649713983072864,0.1630849187432369
0.0001625755666443795,0.1647161144726015
0.00018041864093920718,0.16632250484865535
0.00020022003718155845,0.16790269802269228
0.0002221946860939524,0.16945516609729497
0.0002465811075822604,0.17097823696071915
0.0002736439997074672,0.17247004170354532
0.00030367711180354605,0.17392851409178203
0.00033700643292719284,0.1753514189080798
0.0003739937302478798,0.17673636418143002
0.0004150404757850477,0.17808071398798977
0.00046059220411451084,0.17938152099291493
0.0005111433483440171,0.18063561118836657
0.0005672426068491978,0.18183969165103822
0.0006294988990221888,0.1829902528681965
0.0006985879746785249,0.1840833372038823
0.0007752597488629464,0.18511473900225803
0.000860346441668451,0.18608083610615964
0.0009547716114208065,0.1869797593033455
0.001059560179277617,0.1878127039252403
0.0011758495540521582,0.18858548011884074
0.0013049019780144017,0.18930846302377535
0.001448118227674533,0.18999152319335216
0.0016070528182616384,0.19063777339700602
0.0017834308769319094,0.19125511843397475
0.0019791668678535573,0.19190316169231778
0.002196385372416547,0.19276294154709686
0.002437444150122222,0.19421499560856073
0.002704959730463137,0.19697750355571375
0.0030018358135755923,0.20231454061527962
0.003331294787934677,0.2119446902688401
0.0036969127071950323,0.2270122670474365
0.00410265810582719,0.24645215673842902
0.004552935074866948,0.26692441582774507
0.00505263106533568,0.2859043790223603
0.005607169938205458,0.30483679059312996
0.006222570836730231,0.32659510016084375
0.006905513520162331,0.3480231610269845
0.007663410868007463,0.3574688074728817
0.008504489341802686,0.3435941433129985
0.009437878277775391,0.3069280734208352
0.010473708979594508,0.2606724444037687
0.011623224686798541,0.22028014082883973
0.01289890261253308,0.1936461414425032
0.014314589375234785,0.17993230295673077
0.015885651294280528,0.1741696883166869
0.01762914118095948,0.17145384870395247
0.01956398343517065,0.1685523048011259
0.021711179456945052,0.16403930441962522
0.02409403560239527,0.15797566926868928
0.026738416158399492,0.1512534151076925
0.029673024081888724,0.14478082208064041
0.032929712550971546,0.13898080524296733
0.036543830709572546,0.13380361362083076
0.040554607358408275,0.12900196822962848
0.04500557675700498,0.12435159019999797
0.0499450511585514,0.11972168412003861
0.05542664520663107,0.11505818902557365
0.06150985788580504,0.11035004117761585
0.06826071834272393,0.10560511769666935
0.0757525025877192,0.10083756329008137
0.08406652885618333,0.09606287624647208
0.09329304026284696,0.0912970376758806
0.10353218432956637,0.08655655851448311
0.11489510001873086,0.08185805388198844
0.1275051240713013,0.07721772729954152
0.1414991297434576,0.07265126524491522
0.15702901247293774,0.06817395106252838
0.17426333860096507,0.06380055826302926
0.19338917504552322,0.05954507280264876
0.21461411978584058,0.05542050873954942
0.23816855519761607,0.0514388726773323
0.2643081486974108,0.04761112262425512
0.29331662783900486,0.043947038564535815
0.32550885998350565,0.04045509873093904
0.36123426997094304,0.03714241761926644
0.40088063288984643,0.03401473497568692
0.4448782831127585,0.031076387018601076
0.4937047852839004,0.028330261271875806
0.5478901179593945,0.025777765882127882
0.6080224261649427,0.02341885125621755
0.67475440531107,0.021252072191950327
0.748810385759003,0.019274625065755127
0.8309941949353403,0.017482343048118642
0.9221978823334341,0.015869724828256288
1.0234114021054528,0.014430081779783223
1.135733358343105,0.01315570015539503
1.2603829296797273,0.012037849140281047
1.3987131026472386,0.011066718525289222
1.552225357427048,0.010231600141625474
1.7225859653987874,0.009521299080078705
1.9116440753857036,0.00892425809243581
2.121451784910632,0.00842821396384886
2.35428641432242,0.008020137765286517
2.612675225563332,0.007687044093349616
2.8994228538828812,0.0074166909366056724
3.2176417502507353,0.007196853023069969
3.5707859649004625,0.0070142035552649765
3.9626886387014784,0.006855289896916166
4.397603609302721,0.006708942833880488
4.880251583654434,0.006565960180836109
5.415871378079476,0.0064154694559854
6.010276782070388,0.006244220631426572
6.669919663030129,0.006042183510921689
7.401959996915652,0.005806139765450506
8.214343584919439,0.005532799495409536
9.115888299750837,0.0052107697137544085
10.11637979766207,0.0048279852593305465
11.226677735108158,0.004387277208714113
12.458833642950081,0.003902077543931781
13.826221737646593,0.003371132936431933
15.343684089300131,0.0027736565198394183
17.02769172225898,0.0021085874922701447
18.896523396912116,0.0014341692601036776
20.970464013232306,0.0008494307985339026
23.27202478960412,0.00042956710491615676
25.826187606826746,0.00018304708560246916
28.66067616948256,6.516198317439621e-05
31.80625692794119,1.92724302086668e-05
35.297073027306574,4.719130482405514e-06
39.17101490809261,9.545355295909894e-07
43.47013158125035,1.5925669164210968e-07
48.241087041653735,2.1896422422110622e-08
53.535666774107185,2.479456170400612e-09
59.411339849650396,2.3114147453994801e-10
65.93188271333541,1.7734852427530826e-11
73.16807143427206,1.1197839960778256e-12
81.19844993184009,5.8177045868341e-14
90.11018251665037,2.4868511336249306e-15
100.0,8.745993332329921e-17
