tau,gamma
1e-07,0.0009194317929234735
1.1097524964120721e-07,0.002108191776385862
1.2315506032928263e-07,0.004098586167122994
1.3667163564620074e-07,0.006861055839349363
1.5167168884709241e-07,0.01010630853358521
1.6831803533309585e-07,0.013467735419749239
1.867913599020781e-07,0.016739198614154738
2.0729217795953698e-07,0.0199262930875878
2.300430119772917e-07,0.0231012833170157
2.5529080682395163e-07,0.0262733730316743
2.833096101839324e-07,0.029402281940988532
3.1440354715915e-07,0.03246971668864933
3.489101213406774e-07,0.035491097611782305
3.872038781812557e-07,0.038477385582966095
4.2970047043208437e-07,0.04141883627957135
4.768611697714474e-07,0.0443036769689968
5.291978735958437e-07,0.04713215029873759
5.872786613189477e-07,0.049908623312778046
6.517339604882421e-07,0.052631303773402395
7.232633896483533e-07,0.05529455280305307
8.026433522257174e-07,0.05789556709159099
8.907354638610439e-07,0.060434527296652295
9.884959046625586e-07,0.06291061449342984
1.096985797892384e-06,0.06532097920422711
1.217382727739662e-06,0.06766288976236692
1.3509935211980278e-06,0.06993483448440588
1.499268432786047e-06,0.07213549379370668
1.6638168860761274e-06,0.07426283055152604
1.8464249428955464e-06,0.07631450072599888
2.049074689815846e-06,0.07828849277105836
2.2739657523579273e-06,0.08018303502450155
2.523539170434766e-06,0.08199619751764094
2.800503894183631e-06,0.08372585491827983
3.107866187782014e-06,0.0853699342856938
3.4489622604057595e-06,0.08692649917536623
3.827494478516315e-06,0.08839364263487685
4.247571552536894e-06,0.08976940921119406
4.713753134116729e-06,0.09105186404643745
5.2310993080562585e-06,0.09223917510135053
5.805225516094895e-06,0.09332961940049583
6.44236350872137e-06,0.09432154262181416
7.149428986597577e-06,0.09521335081329557
7.934096665797492e-06,0.09600357655331157
8.804883581643465e-06,0.0966909429875585
9.771241535346501e-06,0.09727436605256452
1.0843659686896109e-05,0.09775288703976714
1.2033778407775906e-05,0.09812570957398868
1.3354515629298974e-05,0.09839245103806088
1.48202070579886e-05,0.09855381522740897
1.6446761779946626e-05,0.09861379617298442
1.8251834943190462e-05,0.09858703858574631
2.0255019392306664e-05,0.09851805632290554
2.2478058335487252e-05,0.09851748632555259
2.4945081352303165e-05,0.09880455517634407
2.7682866303920665e-05,0.09971096466368126
3.072112998861759e-05,0.10157614467995588
3.409285069746814e-05,0.10449959562233685
3.783462617131933e-05,0.10803677207560007
4.1987070844439056e-05,0.1110787366952567
4.659525668664687e-05,0.11219771440012301
5.170920242896755e-05,0.11046433347481649
5.7384416483024044e-05,0.1062003368714396
6.368249944718586e-05,0.1009489711092006
7.067181273927492e-05,0.0966074043832769
7.842822061337681e-05,0.09447023551065056
8.703591361485166e-05,0.09482445661806475
9.658832241158708e-05,0.0970087560897738
0.00010718913192051276,0.09964378404148189
0.00011895340673703195,0.10114757960883959
0.0001320088400831418,0.10067859069896123
0.00014649713983072864,0.09905318204907032
0.0001625755666443795,0.09909424839674552
0.00018041864093920718,0.10568005021141166
0.00020022003718155845,0.1256363177699025
0.0002221946860939524,0.16559743154028728
0.0002465811075822604,0.225870136261718
0.0002736439997074672,0.29417570608121524
0.00030367711180354605,0.34874450557129294
0.00033700643292719284,0.37305704231021797
0.0003739937302478798,0.36837465603435104
0.0004150404757850477,0.3489502179393941
0.00046059220411451084,0.32579477125786194
0.0005111433483440171,0.29939404579140205
0.0005672426068491978,0.26764868346194776
0.0006294988990221888,0.23433153624261346
0.0006985879746785249,0.20626081153019687
0.0007752597488629464,0.18582452291436005
0.000860346441668451,0.17019052426646317
0.0009547716114208065,0.15640657914300382
0.001059560179277617,0.14415244982065095
0.0011758495540521582,0.13401147324560195
0.0013049019780144017,0.12607279857504655
0.001448118227674533,0.12156473224505981
0.0016070528182616384,0.12462942728420516
0.0017834308769319094,0.1406311317244085
0.0019791668678535573,0.17147970888346392
0.002196385372416547,0.21257057995500098
0.002437444150122222,0.2557986007754143
0.002704959730463137,0.2966230103043171
0.0030018358135755923,0.33606204742742246
0.003331294787934677,0.3727951562466218
0.0036969127071950323,0.39519865133469223
0.00410265810582719,0.38712434727394196
0.004552935074866948,0.34411885357530614
0.00505263106533568,0.28120095589516786
0.005607169938205458,0.22270166275180397
0.006222570836730231,0.1855149815778599
0.006905513520162331,0.1713803122030216
0.007663410868007463,0.1710336780126723
0.008504489341802686,0.17289030516141493
0.009437878277775391,0.16944870834279413
0.010473708979594508,0.15934874454897002
0.011623224686798541,0.14609459757401724
0.01289890261253308,0.13546698191445222
0.014314589375234785,0.13364199587009737
0.015885651294280528,0.14666055452005614
0.01762914118095948,0.17913233378040194
0.01956398343517065,0.22958756090924803
0.021711179456945052,0.28541435076548416
0.02409403560239527,0.3259838128391718
0.026738416158399492,0.3363715311604868
0.029673024081888724,0.3191038322551908
0.032929712550971546,0.28963276489133255
0.036543830709572546,0.2603068146185294
0.040554607358408275,0.2318448837637716
0.04500557675700498,0.19982442776397752
0.0499450511585514,0.16431858714813152
0.05542664520663107,0.13064607507728415
0.06150985788580504,0.1036158248798849
0.06826071834272393,0.08407765401690204
0.0757525025877192,0.07027935358898957
0.08406652885618333,0.06034066641564915
0.09329304026284696,0.05306756339093848
0.10353218432956637,0.04761814036674875
0.11489510001873086,0.04328319443962689
0.1275051240713013,0.039583597576364184
0.1414991297434576,0.03631924901568759
0.15702901247293774,0.03345140556359626
0.17426333860096507,0.03096070218845238
0.19338917504552322,0.02878997278048309
0.21461411978584058,0.02686104230640624
0.23816855519761607,0.025108385407102956
0.2643081486974108,0.02349257599549569
0.29331662783900486,0.02199277933024595
0.32550885998350565,0.020595840305256
0.36123426997094304,0.019292440794965858
0.40088063288984643,0.01807711717969326
0.4448782831127585,0.01694672579062489
0.4937047852839004,0.015898053196744127
0.5478901179593945,0.014927467261548633
0.6080224261649427,0.014032168796832755
0.67475440531107,0.013210650994686596
0.748810385759003,0.012461925290007708
0.8309941949353403,0.011784932385385635
0.9221978823334341,0.0111787519906844
1.0234114021054528,0.01064283411707077
1.135733358343105,0.010176693792537939
1.2603829296797273,0.009779496815728423
1.3987131026472386,0.009449994498559149
1.552225357427048,0.009186570188316808
1.7225859653987874,0.008986990987371633
1.9116440753857036,0.008847986638288357
2.121451784910632,0.008765105898570578
2.35428641432242,0.008732978568980712
2.612675225563332,0.008745542534268593
2.8994228538828812,0.008795622568704978
3.2176417502507353,0.008873978283218882
3.5707859649004625,0.00896918952255435
3.9626886387014784,0.009069428385006304
4.397603609302721,0.009164116835965562
4.880251583654434,0.009241868881441474
5.415871378079476,0.009286316526442281
6.010276782070388,0.009277729583208154
6.669919663030129,0.009201986420670532
7.401959996915652,0.009053451767047745
8.214343584919439,0.00882196079308614
