tau,gamma
1e-07,1.1734798425323406e-05
1.1097524964120721e-07,0.00010081783244970192
1.2315506032928263e-07,0.0005061950360892291
1.3667163564620074e-07,0.00150243726238994
1.5167168884709241e-07,0.002730896401083523
1.6831803533309585e-07,0.0033371713453841153
1.867913599020781e-07,0.0032426143898727456
2.0729217795953698e-07,0.0028889382255222304
2.300430119772917e-07,0.002486057350293264
2.5529080682395163e-07,0.0021421382322292133
2.833096101839324e-07,0.0018608239914512578
3.1440354715915e-07,0.0016471905948353194
3.489101213406774e-07,0.001480071039255853
3.872038781812557e-07,0.0013559231984010625
4.2970047043208437e-07,0.0012633418229898241
4.768611697714474e-07,0.0011990602844699735
5.291978735958437e-07,0.001160270812679649
5.872786613189477e-07,0.0011434987219863134
6.517339604882421e-07,0.0011522278357514635
7.232633896483533e-07,0.0011843190429572023
8.026433522257174e-07,0.001253947082768069
8.907354638610439e-07,0.0013762339844059616
9.884959046625586e-07,0.0016176511490676056
1.096985797892384e-06,0.0020865429206272305
1.217382727739662e-06,0.0029918395107654595
1.3509935211980278e-06,0.004597513540424778
1.499268432786047e-06,0.006854055419398266
1.6638168860761274e-06,0.009201481332203791
1.8464249428955464e-06,0.011230328701389182
2.049074689815846e-06,0.012055759763957234
2.2739657523579273e-06,0.01115210915919969
2.523539170434766e-06,0.009273015455728974
2.800503894183631e-06,0.006835302387878823
3.107866187782014e-06,0.004530842508136628
3.4489622604057595e-06,0.0029742633870634126
3.827494478516315e-06,0.0020949687074899824
4.247571552536894e-06,0.0017071612256326326
4.713753134116729e-06,0.0016372092447229719
5.2310993080562585e-06,0.0017374141440351717
5.805225516094895e-06,0.0019711463452287982
6.44236350872137e-06,0.002399113957544225
7.149428986597577e-06,0.003152873605920404
7.934096665797492e-06,0.0044600104955367864
8.804883581643465e-06,0.0065919713890518475
9.771241535346501e-06,0.009575409467507939
1.0843659686896109e-05,0.013255752136023187
1.2033778407775906e-05,0.017348582781939702
1.3354515629298974e-05,0.02080517963262007
1.48202070579886e-05,0.02333227817498491
1.6446761779946626e-05,0.02443600696928739
1.8251834943190462e-05,0.0238433652410085
2.0255019392306664e-05,0.02212711713067427
2.2478058335487252e-05,0.01929888758732091
2.4945081352303165e-05,0.016219180069818352
2.7682866303920665e-05,0.013335408730800944
3.072112998861759e-05,0.011044223559770744
3.409285069746814e-05,0.00976171787141337
3.783462617131933e-05,0.009552027131686389
4.1987070844439056e-05,0.010480209817105953
4.659525668664687e-05,0.012565730465003384
5.170920242896755e-05,0.015593753974744334
5.7384416483024044e-05,0.019491804402503372
6.368249944718586e-05,0.023863848075649903
7.067181273927492e-05,0.02826147006506623
7.842822061337681e-05,0.03255543434643954
8.703591361485166e-05,0.03601013888015852
9.658832241158708e-05,0.038859707820552335
0.00010718913192051276,0.040604373589505145
0.00011895340673703195,0.04150891688336157
0.0001320088400831418,0.041666879719454514
0.00014649713983072864,0.04115602748320201
0.0001625755666443795,0.040556961560162925
0.00018041864093920718,0.03985328595280064
0.00020022003718155845,0.03973208479172732
0.0002221946860939524,0.04022434756500465
0.0002465811075822604,0.041845954730889964
0.0002736439997074672,0.044577611962803895
0.00030367711180354605,0.048740453031346206
0.00033700643292719284,0.054006723140618385
