tau,gamma
1e-07,1.3726489211537827e-05
1.1097524964120721e-07,0.000118257990223174
1.2315506032928263e-07,0.0005991922381695656
1.3667163564620074e-07,0.0018305550128555426
1.5167168884709241e-07,0.003616318968503537
1.6831803533309585e-07,0.0053395267015751745
1.867913599020781e-07,0.006870899492073039
2.0729217795953698e-07,0.00811127438927219
2.300430119772917e-07,0.009047191067058653
2.5529080682395163e-07,0.009698584659215895
2.833096101839324e-07,0.009952067099239901
3.1440354715915e-07,0.00993292256102389
3.489101213406774e-07,0.009529108720159885
3.872038781812557e-07,0.008880115733126425
4.2970047043208437e-07,0.007975934189859563
4.768611697714474e-07,0.006890944690611182
5.291978735958437e-07,0.005743823960104462
5.872786613189477e-07,0.004546513135627291
6.517339604882421e-07,0.0034605145059567943
7.232633896483533e-07,0.002491264863320617
8.026433522257174e-07,0.001715890987139345
8.907354638610439e-07,0.0011469566123031149
9.884959046625586e-07,0.0007526600018687979
1.096985797892384e-06,0.0005101733934968083
1.217382727739662e-06,0.0003693808838967985
1.3509935211980278e-06,0.0002922313977180531
1.499268432786047e-06,0.00025153220367070834
1.6638168860761274e-06,0.00022855941276220428
1.8464249428955464e-06,0.00021305746796488882
2.049074689815846e-06,0.00020167789346396176
2.2739657523579273e-06,0.00019087657598132517
2.523539170434766e-06,0.00018186033279001595
2.800503894183631e-06,0.00017288680879396073
3.107866187782014e-06,0.00016539566758891244
3.4489622604057595e-06,0.00015820864733270045
3.827494478516315e-06,0.00015189753461431705
4.247571552536894e-06,0.00014548420383147823
4.713753134116729e-06,0.00013810846495428657
5.2310993080562585e-06,0.00012850230133071728
5.805225516094895e-06,0.00011538160123591396
6.44236350872137e-06,0.00010269222954932058
7.149428986597577e-06,0.00010106946717061551
7.934096665797492e-06,0.00015128220002778875
8.804883581643465e-06,0.00033241400680539913
9.771241535346501e-06,0.0007896965154982426
1.0843659686896109e-05,0.001751881905526446
1.2033778407775906e-05,0.003326397830735738
1.3354515629298974e-05,0.005550333510062029
1.48202070579886e-05,0.008510513615633635
1.6446761779946626e-05,0.011965356300792157
1.8251834943190462e-05,0.015921225005416324
2.0255019392306664e-05,0.020120351059947965
2.2478058335487252e-05,0.02433776540296997
2.4945081352303165e-05,0.02853921922050506
2.7682866303920665e-05,0.03222758025654631
