tau,gamma
1e-07,2.3703329848083843e-08
1.1097524964120721e-07,2.0394379520286877e-07
1.2315506032928263e-07,1.0289343778018227e-06
1.3667163564620074e-07,3.1014644280819716e-06
1.5167168884709241e-07,5.900134643640484e-06
1.6831803533309585e-07,8.039549035873547e-06
1.867913599020781e-07,9.28472344155529e-06
2.0729217795953698e-07,9.873739389287632e-06
2.300430119772917e-07,9.955044901889751e-06
2.5529080682395163e-07,9.750073476022048e-06
2.833096101839324e-07,9.233371202544056e-06
3.1440354715915e-07,8.610276162549047e-06
3.489101213406774e-07,7.878243895466968e-06
3.872038781812557e-07,7.144842979718291e-06
4.2970047043208437e-07,6.424492371692608e-06
4.768611697714474e-07,5.738812537105358e-06
5.291978735958437e-07,5.121052720245989e-06
5.872786613189477e-07,4.546761731540099e-06
6.517339604882421e-07,4.054652895586754e-06
7.232633896483533e-07,3.6069894859361957e-06
8.026433522257174e-07,3.2341589131110407e-06
8.907354638610439e-07,2.9034316972752104e-06
9.884959046625586e-07,2.6316641150364776e-06
1.096985797892384e-06,2.397497978992294e-06
1.217382727739662e-06,2.205499083381039e-06
1.3509935211980278e-06,2.0458372543829993e-06
1.499268432786047e-06,1.913961074293662e-06
1.6638168860761274e-06,1.809533634786262e-06
1.8464249428955464e-06,1.7218232964618746e-06
2.049074689815846e-06,1.6572930508240296e-06
2.2739657523579273e-06,1.6015689488610529e-06
2.523539170434766e-06,1.564848850610343e-06
2.800503894183631e-06,1.531674397836381e-06
3.107866187782014e-06,1.5125660690772966e-06
3.4489622604057595e-06,1.4938713961773816e-06
3.827494478516315e-06,1.4828588039880868e-06
4.247571552536894e-06,1.4708956672815747e-06
4.713753134116729e-06,1.4588711877813819e-06
5.2310993080562585e-06,1.4459593065944708e-06
5.805225516094895e-06,1.4253246138872403e-06
6.44236350872137e-06,1.4045028748785143e-06
7.149428986597577e-06,1.3709382728992085e-06
7.934096665797492e-06,1.3373629406295648e-06
