tau,gamma
1e-07,0.00012834360161055315
1.1097524964120721e-07,0.0011025902743724933
1.2315506032928263e-07,0.005535058147674842
1.3667163564620074e-07,0.016419415599717265
1.5167168884709241e-07,0.029787645694617556
1.6831803533309585e-07,0.036154981929847396
1.867913599020781e-07,0.03429719567282044
2.0729217795953698e-07,0.02837238345607648
2.300430119772917e-07,0.020615608040882753
2.5529080682395163e-07,0.013749556024328634
2.833096101839324e-07,0.008838211082414884
3.1440354715915e-07,0.0055790555261067305
3.489101213406774e-07,0.003554387054632706
3.872038781812557e-07,0.002298127845697856
4.2970047043208437e-07,0.0015249798621154579
4.768611697714474e-07,0.0010333176688749968
5.291978735958437e-07,0.0007192992613112439
5.872786613189477e-07,0.0005106575483154885
6.517339604882421e-07,0.00037151055365980493
7.232633896483533e-07,0.0002752909716319339
8.026433522257174e-07,0.00020847195005889704
8.907354638610439e-07,0.00016073366187342906
9.884959046625586e-07,0.00012630437675119037
1.096985797892384e-06,0.00010105973808895395
1.217382727739662e-06,8.218698659952251e-05
1.3509935211980278e-06,6.808015668485293e-05
1.499268432786047e-06,5.7178735178099395e-05
1.6638168860761274e-06,4.892785810453102e-05
1.8464249428955464e-06,4.2367398220977585e-05
2.049074689815846e-06,3.736961526799541e-05
2.2739657523579273e-06,3.330739714640209e-05
2.523539170434766e-06,3.0203775991138817e-05
2.800503894183631e-06,2.764483160276331e-05
3.107866187782014e-06,2.567839304886249e-05
3.4489622604057595e-06,2.4046926173667405e-05
3.827494478516315e-06,2.276176786654332e-05
4.247571552536894e-06,2.1696437433115616e-05
4.713753134116729e-06,2.0794786330597262e-05
5.2310993080562585e-06,2.0049682187481415e-05
5.805225516094895e-06,1.9331162958865913e-05
6.44236350872137e-06,1.8733003916676023e-05
7.149428986597577e-06,1.8077476691482104e-05
7.934096665797492e-06,1.751526107043846e-05
8.804883581643465e-06,1.687708549583535e-05
9.771241535346501e-06,1.630424053347061e-05
1.0843659686896109e-05,1.5693236926910864e-05
1.2033778407775906e-05,1.5119839683148945e-05
1.3354515629298974e-05,1.4570049047585549e-05
1.48202070579886e-05,1.4036549246593213e-05
1.6446761779946626e-05,1.3580318121594516e-05
1.8251834943190462e-05,1.3129119189303168e-05
2.0255019392306664e-05,1.2786148782022529e-05
2.2478058335487252e-05,1.2448632345606414e-05
2.4945081352303165e-05,1.2227768821690386e-05
2.7682866303920665e-05,1.2025222740322164e-05
3.072112998861759e-05,1.193135452986338e-05
3.409285069746814e-05,1.1879038438969795e-05
3.783462617131933e-05,1.1917617334556309e-05
4.1987070844439056e-05,1.2026459244996442e-05
4.659525668664687e-05,1.2203321220918574e-05
5.170920242896755e-05,1.2479009858821667e-05
5.7384416483024044e-05,1.2797988172089577e-05
6.368249944718586e-05,1.3238540261965622e-05
7.067181273927492e-05,1.3699988767428848e-05
7.842822061337681e-05,1.4293275367553506e-05
8.703591361485166e-05,1.4894362826010545e-05
9.658832241158708e-05,1.5617606597091164e-05
0.00010718913192051276,1.6352566766539772e-05
0.00011895340673703195,1.717525425730542e-05
0.0001320088400831418,1.8033496435161945e-05
0.00014649713983072864,1.892302384904777e-05
0.0001625755666443795,1.9884236100529892e-05
0.00018041864093920718,2.0810394320945978e-05
0.00020022003718155845,2.1837621357307323e-05
0.0002221946860939524,2.27715729538542e-05
0.0002465811075822604,2.3804989724453622e-05
0.0002736439997074672,2.4712720743917937e-05
0.00030367711180354605,2.5669442468968777e-05
0.00033700643292719284,2.650580420015109e-05
0.0003739937302478798,2.7294360281651402e-05
0.0004150404757850477,2.800635978682691e-05
0.00046059220411451084,2.856051867032221e-05
0.0005111433483440171,2.9103402125568693e-05
0.0005672426068491978,2.9419126793242298e-05
0.0006294988990221888,2.9780041883109376e-05
0.0006985879746785249,2.9924327218755323e-05
0.0007752597488629464,3.01383168184835e-05
0.000860346441668451,3.0221550115754715e-05
0.0009547716114208065,3.0365607662378655e-05
0.001059560179277617,3.0504596171142795e-05
0.0011758495540521582,3.067915617902001e-05
0.0013049019780144017,3.0981794158220265e-05
0.001448118227674533,3.130767763562713e-05
0.0016070528182616384,3.188880194186622e-05
0.0017834308769319094,3.2530570770473e-05
0.0019791668678535573,3.355517199850779e-05
0.002196385372416547,3.4764255211020036e-05
0.002437444150122222,3.6515080839726296e-05
0.002704959730463137,3.869982001010705e-05
0.0030018358135755923,4.168603838992853e-05
0.003331294787934677,4.556174917843363e-05
0.0036969127071950323,5.0770025389905175e-05
