tau,gamma
1e-07,0.0009925412479637667
1.1097524964120721e-07,0.0021929785214126855
1.2315506032928263e-07,0.004035022093539632
1.3667163564620074e-07,0.006236168643346658
1.5167168884709241e-07,0.008216532822453977
1.6831803533309585e-07,0.009453060063790233
1.867913599020781e-07,0.009817778584472298
2.0729217795953698e-07,0.00951908050032356
2.300430119772917e-07,0.008749334233729113
2.5529080682395163e-07,0.00750924868703495
2.833096101839324e-07,0.00577837758641032
3.1440354715915e-07,0.0037071137179924634
3.489101213406774e-07,0.0015507989788396993
3.872038781812557e-07,-0.0005094249148571302
4.2970047043208437e-07,-0.0023956586540851026
4.768611697714474e-07,-0.004029940272699579
5.291978735958437e-07,-0.00529353550008649
5.872786613189477e-07,-0.006094773825974644
6.517339604882421e-07,-0.006421988222384606
7.232633896483533e-07,-0.0063143626404269775
8.026433522257174e-07,-0.005816223268638213
8.907354638610439e-07,-0.004978451855885945
9.884959046625586e-07,-0.0038809753606095176
1.096985797892384e-06,-0.0026279692812732516
1.217382727739662e-06,-0.001321359198219759
1.3509935211980278e-06,-4.676861542246964e-05
1.499268432786047e-06,0.001122061886411851
1.6638168860761274e-06,0.0021202429584383665
1.8464249428955464e-06,0.002898564038876448
2.049074689815846e-06,0.0034293490948220855
2.2739657523579273e-06,0.0037034078192353654
2.523539170434766e-06,0.0037234915707953634
2.800503894183631e-06,0.003501308230410091
3.107866187782014e-06,0.003057209596089683
3.4489622604057595e-06,0.0024185910892828544
3.827494478516315e-06,0.0016171578561016574
4.247571552536894e-06,0.0006878424977855854
4.713753134116729e-06,-0.0003301034436117087
5.2310993080562585e-06,-0.0013918075023094147
5.805225516094895e-06,-0.0024466161372785292
6.44236350872137e-06,-0.0034388034528081866
7.149428986597577e-06,-0.0043088364206436535
7.934096665797492e-06,-0.00499569379935026
8.804883581643465e-06,-0.005440733240653784
9.771241535346501e-06,-0.005592764512559352
1.0843659686896109e-05,-0.0054135048608878675
1.2033778407775906e-05,-0.0048827443643871425
1.3354515629298974e-05,-0.004002659513122035
1.48202070579886e-05,-0.0028006389123317135
1.6446761779946626e-05,-0.0013299185528913465
1.8251834943190462e-05,0.0003323533941554821
2.0255019392306664e-05,0.002089541381581626
2.2478058335487252e-05,0.0038321025359534648
2.4945081352303165e-05,0.005445760891037589
2.7682866303920665e-05,0.006820601683823607
3.072112998861759e-05,0.007860229992566378
3.409285069746814e-05,0.00849007062965419
3.783462617131933e-05,0.00866400408410085
4.1987070844439056e-05,0.008368631326557636
4.659525668664687e-05,0.007624753917936874
5.170920242896755e-05,0.006485930762056802
5.7384416483024044e-05,0.005034358096339168
6.368249944718586e-05,0.003374682850369409
7.067181273927492e-05,0.0016264525600699613
7.842822061337681e-05,-8.402627366735196e-05
