tau,gamma
1e-07,0.0016837843158822548
1.1097524964120721e-07,0.00367869657116855
1.2315506032928263e-07,0.006653389590106236
1.3667163564620074e-07,0.010019007588047944
1.5167168884709241e-07,0.0127038131504631
1.6831803533309585e-07,0.01384987960792635
1.867913599020781e-07,0.013423802633183365
2.0729217795953698e-07,0.012023724604138373
2.300430119772917e-07,0.010135844211771987
2.5529080682395163e-07,0.007796461354973387
2.833096101839324e-07,0.004969960478346874
3.1440354715915e-07,0.0019462605573943637
3.489101213406774e-07,-0.000813692850796053
3.872038781812557e-07,-0.0030574557311860095
4.2970047043208437e-07,-0.004783899966742294
4.768611697714474e-07,-0.006000006630965899
5.291978735958437e-07,-0.0066185785360069775
5.872786613189477e-07,-0.006593796106816354
6.517339604882421e-07,-0.0060236198479972644
7.232633896483533e-07,-0.005074554003084939
8.026433522257174e-07,-0.003875686309947729
8.907354638610439e-07,-0.00252238907699111
9.884959046625586e-07,-0.0011306656402461446
1.096985797892384e-06,0.0001658830489730882
1.217382727739662e-06,0.001264785546429684
1.3509935211980278e-06,0.002114354568136716
1.499268432786047e-06,0.0026923767591184645
1.6638168860761274e-06,0.002989391287910817
1.8464249428955464e-06,0.003016166625035555
2.049074689815846e-06,0.002811543669507957
2.2739657523579273e-06,0.0024328583077035623
2.523539170434766e-06,0.0019406067787874138
2.800503894183631e-06,0.0013923697920288252
3.107866187782014e-06,0.0008430835964856568
3.4489622604057595e-06,0.00034206332944322306
3.827494478516315e-06,-7.325839989839633e-05
4.247571552536894e-06,-0.0003805471617733465
4.713753134116729e-06,-0.0005710952546050585
5.2310993080562585e-06,-0.0006472865971696388
5.805225516094895e-06,-0.0006211364932512442
6.44236350872137e-06,-0.0005125008101673749
7.149428986597577e-06,-0.0003456948478738508
7.934096665797492e-06,-0.00014555953218628166
8.804883581643465e-06,6.556159839064795e-05
9.771241535346501e-06,0.00026981572910274705
1.0843659686896109e-05,0.00045535377178250203
1.2033778407775906e-05,0.0006173403696306019
1.3354515629298974e-05,0.0007579845200453725
1.48202070579886e-05,0.000885493375665283
1.6446761779946626e-05,0.0010123164340836116
1.8251834943190462e-05,0.0011530276046299672
2.0255019392306664e-05,0.0013219857221450002
2.2478058335487252e-05,0.0015309170282240081
2.4945081352303165e-05,0.001786729208352576
2.7682866303920665e-05,0.0020898877278890025
3.072112998861759e-05,0.0024335507712944216
3.409285069746814e-05,0.002803559469630279
3.783462617131933e-05,0.0031793328519876133
4.1987070844439056e-05,0.0035356751790168884
4.659525668664687e-05,0.003845398278439152
5.170920242896755e-05,0.004082538062258748
5.7384416483024044e-05,0.0042258884717154025
6.368249944718586e-05,0.004262519723324147
7.067181273927492e-05,0.004190928089424913
7.842822061337681e-05,0.004023451441446222
8.703591361485166e-05,0.003787599144735012
9.658832241158708e-05,0.003526036240599705
0.00010718913192051276,0.0032950376142593736
0.00011895340673703195,0.0031613672937132373
0.0001320088400831418,0.0031976734132118908
0.00014649713983072864,0.0034766288763475803
0.0001625755666443795,0.004064226528868372
