tau,gamma
1e-07,0.0006165295562611228
1.1097524964120721e-07,0.0013713972841079298
1.2315506032928263e-07,0.0025491934255295013
1.3667163564620074e-07,0.004000142553841317
1.5167168884709241e-07,0.005387495222381149
1.6831803533309585e-07,0.0063872643182681325
1.867913599020781e-07,0.006888456555828381
2.0729217795953698e-07,0.006972112400768951
2.300430119772917e-07,0.0067190335851522315
2.5529080682395163e-07,0.006107959101003916
2.833096101839324e-07,0.005104886699786991
3.1440354715915e-07,0.0037701133371992068
3.489101213406774e-07,0.0022282766273040854
3.872038781812557e-07,0.000575113263172483
4.2970047043208437e-07,-0.0011381389635637675
4.768611697714474e-07,-0.0028500434700453087
5.291978735958437e-07,-0.004466721380974361
5.872786613189477e-07,-0.005897354391103298
6.517339604882421e-07,-0.0070831876497025326
7.232633896483533e-07,-0.007984511566645078
8.026433522257174e-07,-0.008559453663374659
8.907354638610439e-07,-0.008767809460197779
9.884959046625586e-07,-0.008586462073031684
1.096985797892384e-06,-0.008011118965282206
1.217382727739662e-06,-0.007046923840400191
1.3509935211980278e-06,-0.0057052906570430155
1.499268432786047e-06,-0.004009829950810677
1.6638168860761274e-06,-0.0020007976710501715
1.8464249428955464e-06,0.00026662651422374746
2.049074689815846e-06,0.002724932294002736
2.2739657523579273e-06,0.005293820690533382
2.523539170434766e-06,0.007879466886853289
2.800503894183631e-06,0.010377056266498732
3.107866187782014e-06,0.012675916108474924
3.4489622604057595e-06,0.014664941753654051
3.827494478516315e-06,0.016238055371834634
4.247571552536894e-06,0.017300725289389834
4.713753134116729e-06,0.01777743048313366
5.2310993080562585e-06,0.01761859586669856
5.805225516094895e-06,0.01680589782654471
6.44236350872137e-06,0.015355666565032901
7.149428986597577e-06,0.013320249394170695
7.934096665797492e-06,0.01078695309390489
8.804883581643465e-06,0.007874282078627858
9.771241535346501e-06,0.004725819856180869
1.0843659686896109e-05,0.0015023457525565498
1.2033778407775906e-05,-0.0016272331019853686
1.3354515629298974e-05,-0.004495627576748858
1.48202070579886e-05,-0.006947046432864947
1.6446761779946626e-05,-0.008846497813088154
1.8251834943190462e-05,-0.010087904970723484
2.0255019392306664e-05,-0.010600455083835864
2.2478058335487252e-05,-0.010352732345832342
2.4945081352303165e-05,-0.009354328187222042
2.7682866303920665e-05,-0.007654791770149559
3.072112998861759e-05,-0.005340141370820055
3.409285069746814e-05,-0.0025272938811225876
3.783462617131933e-05,0.0006430540694707984
4.1987070844439056e-05,0.004014545322941297
4.659525668664687e-05,0.007423772917187257
5.170920242896755e-05,0.010708861207678094
5.7384416483024044e-05,0.01371762537483318
6.368249944718586e-05,0.016314880509231345
7.067181273927492e-05,0.01838853887502003
7.842822061337681e-05,0.01985413384561004
8.703591361485166e-05,0.020657462981989994
9.658832241158708e-05,0.020775239135480166
0.00010718913192051276,0.020213753903677346
0.00011895340673703195,0.019005842625150614
0.0001320088400831418,0.01720658081370948
0.00014649713983072864,0.014888296525262136
0.0001625755666443795,0.012135555128016123
0.00018041864093920718,0.009040683907940376
0.00020022003718155845,0.005700336489546062
0.0002221946860939524,0.002213367684540852
0.0002465811075822604,-0.001319872087944977
0.0002736439997074672,-0.004796935617007078
0.00030367711180354605,-0.008111662801453388
0.00033700643292719284,-0.011151965832625621
0.0003739937302478798,-0.01379753751924557
0.0004150404757850477,-0.015917985824676913
0.00046059220411451084,-0.017371886652671895
0.0005111433483440171,-0.018007119234095908
0.0005672426068491978,-0.017662775611158536
0.0006294988990221888,-0.016172774414549857
0.0006985879746785249,-0.013371142585952976
0.0007752597488629464,-0.009098749337709643
0.000860346441668451,-0.003211035234541355
0.0009547716114208065,0.004413818048378604
0.001059560179277617,0.013867045341597061
0.0011758495540521582,0.02520250616776373
0.0013049019780144017,0.03843159619513091
0.001448118227674533,0.05352022386060071
0.0016070528182616384,0.07038781503385809
0.0017834308769319094,0.08890818017655946
0.0019791668678535573,0.10891172755217851
0.002196385372416547,0.13018850691595157
0.002437444150122222,0.15249147049996073
0.002704959730463137,0.17553982804818857
0.0030018358135755923,0.19902325009673286
0.003331294787934677,0.22260828540552313
0.0036969127071950323,0.24594831124173536
0.00410265810582719,0.2686958483111095
0.004552935074866948,0.290511817812693
0.00505263106533568,0.31106187918652095
0.005607169938205458,0.3299911457964507
0.006222570836730231,0.3468795509832575
0.006905513520162331,0.3612013787899889
0.007663410868007463,0.37233084587742665
0.008504489341802686,0.3796249583352806
0.009437878277775391,0.38257192038955196
0.010473708979594508,0.3809461896755343
0.011623224686798541,0.37489102809215014
0.01289890261253308,0.364875564196477
0.014314589375234785,0.35154845577829313
0.015885651294280528,0.3355751966284884
0.01762914118095948,0.31753641720533893
0.01956398343517065,0.29790628213106735
0.021711179456945052,0.2770836989959775
0.02409403560239527,0.2554366627041559
0.026738416158399492,0.23333146249791767
0.029673024081888724,0.211138961077049
0.032929712550971546,0.18922481258137971
0.036543830709572546,0.16793394375112958
0.040554607358408275,0.14757676347320273
0.04500557675700498,0.12841942101718798
0.0499450511585514,0.11067725865848381
0.05542664520663107,0.09450996457516198
0.06150985788580504,0.08001819978934019
0.06826071834272393,0.06724239397783277
0.0757525025877192,0.05616422838944981
0.08406652885618333,0.046711011026946754
0.09329304026284696,0.03876264413579012
0.10353218432956637,0.03216068976418655
0.11489510001873086,0.02671871949839028
0.1275051240713013,0.022232975261419912
0.1414991297434576,0.018492529447344367
0.15702901247293774,0.015288374086722779
0.17426333860096507,0.012421195382605485
0.19338917504552322,0.009707767873642683
0.21461411978584058,0.006986015307145859
0.23816855519761607,0.004118856865482891
0.2643081486974108,0.0009969435124141572
0.29331662783900486,-0.0024595913925471754
