tau,gamma
1e-07,0.0075180263870630315
1.1097524964120721e-07,0.010753573085398462
1.2315506032928263e-07,0.014197843632284858
1.3667163564620074e-07,0.0173606340595035
1.5167168884709241e-07,0.0197569758021955
1.6831803533309585e-07,0.021072554786923915
1.867913599020781e-07,0.021261069205409055
2.0729217795953698e-07,0.020519096132399963
2.300430119772917e-07,0.019158304525019838
2.5529080682395163e-07,0.01745683066965953
2.833096101839324e-07,0.015575271603834028
3.1440354715915e-07,0.013568809598137081
3.489101213406774e-07,0.011460428996663382
3.872038781812557e-07,0.009309801809788536
4.2970047043208437e-07,0.00723210056440104
4.768611697714474e-07,0.005365718396268073
5.291978735958437e-07,0.0038210410341373577
5.872786613189477e-07,0.002645440784042539
6.517339604882421e-07,0.0018199930538733108
7.232633896483533e-07,0.001281071220278275
8.026433522257174e-07,0.0009495527866455732
8.907354638610439e-07,0.0007533370489546248
9.884959046625586e-07,0.0006379087599408811
1.096985797892384e-06,0.0005671263021347738
1.217382727739662e-06,0.0005191606257312834
1.3509935211980278e-06,0.0004816228320741253
1.499268432786047e-06,0.00044782029295691863
1.6638168860761274e-06,0.00041444643828311353
1.8464249428955464e-06,0.0003802881839555704
2.049074689815846e-06,0.0003454634969050963
2.2739657523579273e-06,0.0003108856060838291
2.523539170434766e-06,0.0002778402836879205
2.800503894183631e-06,0.0002476724973700711
3.107866187782014e-06,0.00022161537441668674
3.4489622604057595e-06,0.0002007954583161886
3.827494478516315e-06,0.0001864507195583017
4.247571552536894e-06,0.00018042618459077476
4.713753134116729e-06,0.00018607162674601734
5.2310993080562585e-06,0.0002097322284954534
5.805225516094895e-06,0.0002630282759731269
6.44236350872137e-06,0.0003659481610726346
7.149428986597577e-06,0.0005503061669597144
7.934096665797492e-06,0.0008623191812770508
8.804883581643465e-06,0.0013621664512218602
9.771241535346501e-06,0.0021179861376216303
1.0843659686896109e-05,0.0031925906580313208
1.2033778407775906e-05,0.004623721618295774
1.3354515629298974e-05,0.006402480188603835
1.48202070579886e-05,0.008457998037128399
1.6446761779946626e-05,0.010657028037560256
1.8251834943190462e-05,0.012823109515397765
2.0255019392306664e-05,0.014771811825214337
2.2478058335487252e-05,0.0163499704637615
2.4945081352303165e-05,0.017463312432995492
2.7682866303920665e-05,0.01808212588887621
3.072112998861759e-05,0.018226838871849168
3.409285069746814e-05,0.017946955669020992
3.783462617131933e-05,0.017309385709255116
4.1987070844439056e-05,0.016403580884779074
4.659525668664687e-05,0.015357572950932225
5.170920242896755e-05,0.014351029018924951
5.7384416483024044e-05,0.013613918261950807
6.368249944718586e-05,0.013408815825552683
7.067181273927492e-05,0.014003674314427365
7.842822061337681e-05,0.015645530676441914
8.703591361485166e-05,0.018544619536622165
9.658832241158708e-05,0.02287432588864451
0.00010718913192051276,0.028784722631026893
0.00011895340673703195,0.0364164971302463
0.0001320088400831418,0.04589518749931342
0.00014649713983072864,0.05729495512650768
0.0001625755666443795,0.07058912169255697
0.00018041864093920718,0.08563065914089059
0.00020022003718155845,0.10219580411751197
0.0002221946860939524,0.12006861680008256
0.0002465811075822604,0.13908856306565479
