tau,gamma
1e-07,0.002412424036101959
1.1097524964120721e-07,0.0034609539547073923
1.2315506032928263e-07,0.004584383301572167
1.3667163564620074e-07,0.005624103965139779
1.5167168884709241e-07,0.006418480984443241
1.6831803533309585e-07,0.006856018329954441
1.867913599020781e-07,0.006909595749166049
2.0729217795953698e-07,0.006633840730935783
2.300430119772917e-07,0.006129561753820518
2.5529080682395163e-07,0.005498150471209819
2.833096101839324e-07,0.00481129903128545
3.1440354715915e-07,0.0041071342648440826
3.489101213406774e-07,0.003405412180882244
3.872038781812557e-07,0.002725225522304922
4.2970047043208437e-07,0.002092652072407419
4.768611697714474e-07,0.0015365234603431342
5.291978735958437e-07,0.0010788258408643047
5.872786613189477e-07,0.0007275760368000467
6.517339604882421e-07,0.000476015570758352
7.232633896483533e-07,0.0003071265913837936
8.026433522257174e-07,0.00020003784083565725
8.907354638610439e-07,0.00013526508074039907
9.884959046625586e-07,9.7478958430402e-05
1.096985797892384e-06,7.605929186219285e-05
1.217382727739662e-06,6.438731484957579e-05
1.3509935211980278e-06,5.8775461434126984e-05
1.499268432786047e-06,5.757528509599359e-05
1.6638168860761274e-06,6.067653937577622e-05
1.8464249428955464e-06,6.943629223204586e-05
2.049074689815846e-06,8.702908044043677e-05
2.2739657523579273e-06,0.00011920738581639043
2.523539170434766e-06,0.0001754245668288127
2.800503894183631e-06,0.0002701320345630266
3.107866187782014e-06,0.0004237836769723611
3.4489622604057595e-06,0.0006627121090109008
3.827494478516315e-06,0.0010167854978708367
4.247571552536894e-06,0.0015139710675567525
4.713753134116729e-06,0.0021719624099624697
5.2310993080562585e-06,0.00298881024138466
5.805225516094895e-06,0.003936224875428888
6.44236350872137e-06,0.0049595162358517094
7.149428986597577e-06,0.00598598765039554
7.934096665797492e-06,0.006939525833640643
8.804883581643465e-06,0.007755446549256809
9.771241535346501e-06,0.00838907814608746
1.0843659686896109e-05,0.008814999854918716
1.2033778407775906e-05,0.009019340888103636
1.3354515629298974e-05,0.008991534969464277
1.48202070579886e-05,0.008721856429916304
1.6446761779946626e-05,0.00820710099260985
1.8251834943190462e-05,0.007461439827159363
2.0255019392306664e-05,0.006525897733250847
2.2478058335487252e-05,0.005470083254348584
2.4945081352303165e-05,0.004383683686193648
2.7682866303920665e-05,0.003360796331552324
3.072112998861759e-05,0.002484398212794029
3.409285069746814e-05,0.0018188644283673723
3.783462617131933e-05,0.0014151660742750874
4.1987070844439056e-05,0.001327920627372643
4.659525668664687e-05,0.0016381859239946788
5.170920242896755e-05,0.0024725329120567543
5.7384416483024044e-05,0.004008554669979985
6.368249944718586e-05,0.006460478276370132
7.067181273927492e-05,0.010046335416901506
7.842822061337681e-05,0.014948274390425844
8.703591361485166e-05,0.021284449770726712
9.658832241158708e-05,0.02910750127598518
0.00010718913192051276,0.038428945688157745
0.00011895340673703195,0.049249515990225506
0.0001320088400831418,0.061568886084156914
0.00014649713983072864,0.07536446977558521
0.0001625755666443795,0.09055812006316127
0.00018041864093920718,0.10700458391428719
0.00020022003718155845,0.12451713683664731
0.0002221946860939524,0.14290732456853397
0.0002465811075822604,0.16199740931712853
0.0002736439997074672,0.18159174872975675
0.00030367711180354605,0.20144203400724978
0.00033700643292719284,0.22125361154861345
0.0003739937302478798,0.24073272692744857
0.0004150404757850477,0.25961872196821345
0.00046059220411451084,0.27765569028895415
0.0005111433483440171,0.2945341463154932
0.0005672426068491978,0.3098810658925119
0.0006294988990221888,0.3233227769128568
0.0006985879746785249,0.33454845871617367
0.0007752597488629464,0.34329518558844696
0.000860346441668451,0.34928383051013867
0.0009547716114208065,0.35221938644341433
0.001059560179277617,0.3519023666922239
0.0011758495540521582,0.34835149553987294
0.0013049019780144017,0.3418036915339511
0.001448118227674533,0.33258960643001095
0.0016070528182616384,0.3210170549703823
0.0017834308769319094,0.30736457395157724
0.0019791668678535573,0.2919435679819922
0.002196385372416547,0.2751181512521782
0.002437444150122222,0.2572496458843314
0.002704959730463137,0.23863756218230772
0.0030018358135755923,0.2195265308854083
0.003331294787934677,0.20016017232158395
0.0036969127071950323,0.18081097670450372
0.00410265810582719,0.1617554065565173
0.004552935074866948,0.14323108403032453
0.00505263106533568,0.12542532011298085
0.005607169938205458,0.10849961690787133
0.006222570836730231,0.09261474586399987
0.006905513520162331,0.07792720046447205
0.007663410868007463,0.06456293290567564
0.008504489341802686,0.05259603099653185
0.009437878277775391,0.04205044662891886
0.010473708979594508,0.032918797624425476
0.011623224686798541,0.02517909916840664
0.01289890261253308,0.0187965833596072
0.014314589375234785,0.013713046351242897
0.015885651294280528,0.009835836739819359
0.01762914118095948,0.007037000808321903
0.01956398343517065,0.005164626268748731
0.021711179456945052,0.0040606622640984545
0.02409403560239527,0.0035769116568519516
0.026738416158399492,0.0035833669670512327
0.029673024081888724,0.0039678665091575855
0.032929712550971546,0.004630275817362923
0.036543830709572546,0.005476251912540018
0.040554607358408275,0.0064147221729026795
0.04500557675700498,0.007360353849052249
0.0499450511585514,0.00823917809873691
0.05542664520663107,0.008993878349598689
0.06150985788580504,0.009585863962821354
0.06826071834272393,0.009993503007910376
0.0757525025877192,0.010208142717055094
0.08406652885618333,0.010230328153909741
0.09329304026284696,0.01006768596332105
0.10353218432956637,0.009734296615440946
0.11489510001873086,0.009250378274198267
0.1275051240713013,0.00864131197416084
0.1414991297434576,0.007935943192168542
0.15702901247293774,0.007164760371735273
0.17426333860096507,0.006358478201638088
0.19338917504552322,0.005547001795242092
0.21461411978584058,0.004758339440146038
0.23816855519761607,0.004017134220710242
0.2643081486974108,0.0033429503414524678
0.29331662783900486,0.002748846686648589
0.32550885998350565,0.0022407931157449336
0.36123426997094304,0.00181816097919726
0.40088063288984643,0.0014751028711542141
0.4448782831127585,0.0012023736677029394
0.4937047852839004,0.0009891217925403122
0.5478901179593945,0.0008243299109777754
0.6080224261649427,0.000697784320815101
0.67475440531107,0.0006006080514688826
0.748810385759003,0.0005254703589948227
0.8309941949353403,0.0004665973889900951
0.9221978823334341,0.0004196854584897069
1.0234114021054528,0.00038178643690171853
1.135733358343105,0.0003512090953942801
1.2603829296797273,0.0003274647910782127
1.3987131026472386,0.0003112768738015777
1.552225357427048,0.0003046645952707303
1.7225859653987874,0.0003111008209134284
1.9116440753857036,0.0003357340051258572
2.121451784910632,0.00038567471864642895
2.35428641432242,0.00047038962609221305
2.612675225563332,0.0006022980991277378
2.8994228538828812,0.0007976244469668632
3.2176417502507353,0.0010772457845871337
3.5707859649004625,0.0014665945361813939
3.9626886387014784,0.001992903546925604
4.397603609302721,0.0026780722744871523
4.880251583654434,0.0035272457288146324
5.415871378079476,0.004516959741512818
6.010276782070388,0.005590388261814866
6.669919663030129,0.006666968450797315
7.401959996915652,0.007666693515944858
8.214343584919439,0.008537917393029794
9.115888299750837,0.009269861260818265
10.11637979766207,0.009876192952585287
11.226677735108158,0.010355005784563638
12.458833642950081,0.010651518747470765
13.826221737646593,0.010655075266942392
15.343684089300131,0.010242793399039534
