tau,gamma
1e-07,-0.006445166290380514
1.1097524964120721e-07,-0.03313801502257999
1.2315506032928263e-07,-0.11583611664764591
1.3667163564620074e-07,-0.2837158182794999
1.5167168884709241e-07,-0.5164201484145852
1.6831803533309585e-07,-0.7631850581624102
1.867913599020781e-07,-0.999336564113151
2.0729217795953698e-07,-1.2238778207219494
2.300430119772917e-07,-1.4429626221454104
2.5529080682395163e-07,-1.6709707637865203
2.833096101839324e-07,-1.9685810631032572
3.1440354715915e-07,-2.470598133646804
3.489101213406774e-07,-3.2976273058799754
3.872038781812557e-07,-4.426165472663958
4.2970047043208437e-07,-5.622739891348651
4.768611697714474e-07,-6.365546808411998
5.291978735958437e-07,-6.075756832188424
5.872786613189477e-07,-4.939073691187557
6.517339604882421e-07,-3.8706006721874444
7.232633896483533e-07,-3.3747391686343486
8.026433522257174e-07,-3.1929674977201823
8.907354638610439e-07,-2.9670247738587636
9.884959046625586e-07,-2.6694316863803067
1.096985797892384e-06,-2.407816710197733
1.217382727739662e-06,-2.210426486178164
1.3509935211980278e-06,-2.0385236115972933
1.499268432786047e-06,-1.8625017539941775
1.6638168860761274e-06,-1.6744764891640211
1.8464249428955464e-06,-1.473654617476603
2.049074689815846e-06,-1.2653036475313373
2.2739657523579273e-06,-1.0519842839647233
2.523539170434766e-06,-0.8399544304523179
2.800503894183631e-06,-0.6333407191468019
3.107866187782014e-06,-0.43756905201246277
3.4489622604057595e-06,-0.25808830437013547
3.827494478516315e-06,-0.0987745629545732
4.247571552536894e-06,0.03524625630480441
4.713753134116729e-06,0.14185109890233547
5.2310993080562585e-06,0.21862086418819213
5.805225516094895e-06,0.26541846762288895
6.44236350872137e-06,0.28401749210316557
7.149428986597577e-06,0.27677065473002427
7.934096665797492e-06,0.24893872927787636
8.804883581643465e-06,0.20549638398135758
9.771241535346501e-06,0.15289841464163392
1.0843659686896109e-05,0.09756196439644213
1.2033778407775906e-05,0.04492606173856004
1.3354515629298974e-05,0.00042340094897950933
