tau,gamma
1e-07,-0.007667299615437187
1.1097524964120721e-07,-0.03941977748385993
1.2315506032928263e-07,-0.1377786886339175
1.3667163564620074e-07,-0.33736992007393785
1.5167168884709241e-07,-0.6137282883714692
1.6831803533309585e-07,-0.9059752679672449
1.867913599020781e-07,-1.1840276037199948
2.0729217795953698e-07,-1.4457827309393663
2.300430119772917e-07,-1.6958730004294238
2.5529080682395163e-07,-1.9325973506564862
2.833096101839324e-07,-2.151386990696761
3.1440354715915e-07,-2.3513814207232646
3.489101213406774e-07,-2.5282538883489236
3.872038781812557e-07,-2.682466664869412
4.2970047043208437e-07,-2.8107814655584593
4.768611697714474e-07,-2.920181082642828
5.291978735958437e-07,-3.0277785612646047
5.872786613189477e-07,-3.1743207775613187
6.517339604882421e-07,-3.3983997631489813
7.232633896483533e-07,-3.6363557473612267
8.026433522257174e-07,-3.699923111550422
8.907354638610439e-07,-3.4795329629289498
9.884959046625586e-07,-3.112255441679606
1.096985797892384e-06,-2.7798661403948994
1.217382727739662e-06,-2.5280477805883685
1.3509935211980278e-06,-2.312587103925726
1.499268432786047e-06,-2.097267889023107
1.6638168860761274e-06,-1.8712442048862084
1.8464249428955464e-06,-1.6327496500441117
2.049074689815846e-06,-1.3878874859718795
2.2739657523579273e-06,-1.1399132716884781
2.523539170434766e-06,-0.8961157072598753
2.800503894183631e-06,-0.6613780575675031
3.107866187782014e-06,-0.44168113971784534
3.4489622604057595e-06,-0.24306585750587476
3.827494478516315e-06,-0.06953243946012183
4.247571552536894e-06,0.07359269445906874
4.713753134116729e-06,0.18444062710181874
5.2310993080562585e-06,0.26104249201168206
5.805225516094895e-06,0.30389801857181226
6.44236350872137e-06,0.31582694687648105
7.149428986597577e-06,0.300119203674432
7.934096665797492e-06,0.26315332005471015
8.804883581643465e-06,0.21085168586720662
9.771241535346501e-06,0.15040504031956348
1.0843659686896109e-05,0.08886262470844589
1.2033778407775906e-05,0.03193581474601841
1.3354515629298974e-05,-0.014777389078407126
1.48202070579886e-05,-0.048231072832113725
1.6446761779946626e-05,-0.06658208080970032
1.8251834943190462e-05,-0.06979397472001192
2.0255019392306664e-05,-0.0599869365013308
2.2478058335487252e-05,-0.039781484109311295
2.4945081352303165e-05,-0.013222536482571434
2.7682866303920665e-05,0.015716786936591128
3.072112998861759e-05,0.04348466350900713
3.409285069746814e-05,0.06674299375036558
3.783462617131933e-05,0.0837342451864271
4.1987070844439056e-05,0.0933291563174826
4.659525668664687e-05,0.09565615823111807
5.170920242896755e-05,0.09188729900758516
5.7384416483024044e-05,0.08348348478157133
6.368249944718586e-05,0.07267242876347534
7.067181273927492e-05,0.06141322530631855
7.842822061337681e-05,0.05160074665815294
8.703591361485166e-05,0.04479390181873011
9.658832241158708e-05,0.041892971668888515
0.00010718913192051276,0.04343125627307658
0.00011895340673703195,0.04934500218085257
0.0001320088400831418,0.05907966293001858
0.00014649713983072864,0.07188633798066761
0.0001625755666443795,0.08656729474213727
0.00018041864093920718,0.10196290845592809
0.00020022003718155845,0.11684036246356425
0.0002221946860939524,0.12993789027517438
0.0002465811075822604,0.14043706137411416
0.0002736439997074672,0.14739694779174983
0.00030367711180354605,0.1505782501292469
0.00033700643292719284,0.14977809559975502
0.0003739937302478798,0.14528786805742389
0.0004150404757850477,0.13776368874973338
0.00046059220411451084,0.1279109913446695
0.0005111433483440171,0.11693492769956339
0.0005672426068491978,0.10580695306244603
0.0006294988990221888,0.09575159577119416
0.0006985879746785249,0.08774858715024755
0.0007752597488629464,0.08261395689013337
0.000860346441668451,0.08095174904047626
0.0009547716114208065,0.08297235793885009
0.001059560179277617,0.0885541269323718
0.0011758495540521582,0.09726553767969497
0.0013049019780144017,0.10820952101240269
0.001448118227674533,0.12037657690590704
0.0016070528182616384,0.1324906774964448
0.0017834308769319094,0.14322165183383412
0.0019791668678535573,0.15156069155327428
0.002196385372416547,0.15641222121205006
0.002437444150122222,0.15748816961875645
0.002704959730463137,0.1545507224626754
0.0030018358135755923,0.14803714499470327
0.003331294787934677,0.13871253074257256
0.0036969127071950323,0.12742636427836243
0.00410265810582719,0.11540010063565914
0.004552935074866948,0.10349308978722727
0.00505263106533568,0.09263363118591747
0.005607169938205458,0.08333516985641402
0.006222570836730231,0.07588935959878454
0.006905513520162331,0.07030557953090061
0.007663410868007463,0.06638674614174342
0.008504489341802686,0.06379005082514876
0.009437878277775391,0.06216107338931179
0.010473708979594508,0.0611536334065334
0.011623224686798541,0.06052496692535445
0.01289890261253308,0.06020581704262582
0.014314589375234785,0.06020375349411137
0.015885651294280528,0.06075612581773453
0.01762914118095948,0.06209604790869215
0.01956398343517065,0.06455149508886097
0.021711179456945052,0.06834374547066792
0.02409403560239527,0.07358169499341416
0.026738416158399492,0.08010770929592817
0.029673024081888724,0.08758625594449718
0.032929712550971546,0.09530629193193918
0.036543830709572546,0.10246621972397613
0.040554607358408275,0.10810739196406287
0.04500557675700498,0.11124869979037187
0.0499450511585514,0.11131650469417717
0.05542664520663107,0.10777223999389186
0.06150985788580504,0.10090673686457928
0.06826071834272393,0.09127651141601233
0.0757525025877192,0.08008060141612225
0.08406652885618333,0.06906336488364909
0.09329304026284696,0.060018189026297054
0.10353218432956637,0.05512439597012662
0.11489510001873086,0.056211302553262565
0.1275051240713013,0.06476077066981248
0.1414991297434576,0.08186582409680686
0.15702901247293774,0.10764575663501368
0.17426333860096507,0.14174786170192832
0.19338917504552322,0.18310559051956218
0.21461411978584058,0.22986679670114846
0.23816855519761607,0.2803936553987841
0.2643081486974108,0.33218876862314756
0.29331662783900486,0.3835591914334802
0.32550885998350565,0.43255874436645336
0.36123426997094304,0.47774119975289403
0.40088063288984643,0.5184005582828148
0.4448782831127585,0.5535381252469014
0.4937047852839004,0.5835515447328643
0.5478901179593945,0.6080033520898601
0.6080224261649427,0.6277771819317982
0.67475440531107,0.6429746951714977
0.748810385759003,0.6543679131801502
0.8309941949353403,0.662464456794559
0.9221978823334341,0.6676068545620902
1.0234114021054528,0.6705296726639878
1.135733358343105,0.6711198536793982
1.2603829296797273,0.6701520502322755
1.3987131026472386,0.6672277343714765
1.552225357427048,0.6629806384653636
1.7225859653987874,0.6569785181168531
1.9116440753857036,0.6495622823937043
2.121451784910632,0.6404925118034079
2.35428641432242,0.629738726484928
2.612675225563332,0.6173709054858388
2.8994228538828812,0.603024016733135
3.2176417502507353,0.5870445448068896
3.5707859649004625,0.5688891100642914
3.9626886387014784,0.5490223013891755
4.397603609302721,0.5269465196947349
4.880251583654434,0.50304213470068
5.415871378079476,0.47705763534742124
6.010276782070388,0.4491407737046274
6.669919663030129,0.41937700044574405
7.401959996915652,0.3876735276603281
8.214343584919439,0.354401996211039
9.115888299750837,0.3193064459940514
10.11637979766207,0.28283088206694057
11.226677735108158,0.24487556672506863
12.458833642950081,0.20604196334350106
13.826221737646593,0.16614479498062543
15.343684089300131,0.12440630074849673
17.02769172225898,0.08142397802927527
18.896523396912116,0.042538342996991815
20.970464013232306,0.016302285963645666
23.27202478960412,0.004346475889001959
25.826187606826746,0.0007852617063267118
28.66067616948256,9.502192539390534e-05
31.80625692794119,7.663762345129492e-06
35.297073027306574,4.111463727658258e-07
39.17101490809261,1.4659926345139433e-08
43.47013158125035,3.4729923374500063e-10
48.241087041653735,5.465805333792897e-12
53.535666774107185,5.714248745577336e-14
59.411339849650396,3.9683429312220265e-16
65.93188271333541,1.8306294560803177e-18
73.16807143427206,5.6095926504107775e-21
81.19844993184009,1.1418293399859498e-23
90.11018251665037,1.543866728088108e-26
100.0,1.3866186911906826e-29
