tau,gamma
1e-07,-0.010497749551799714
1.1097524964120721e-07,-0.05396189539120845
1.2315506032928263e-07,-0.18852274478524556
1.3667163564620074e-07,-0.46116860333997634
1.5167168884709241e-07,-0.8372971450512745
1.6831803533309585e-07,-1.232194729080741
1.867913599020781e-07,-1.6054934121628268
2.0729217795953698e-07,-1.9637417118896614
2.300430119772917e-07,-2.342885015739252
2.5529080682395163e-07,-2.780166984286786
2.833096101839324e-07,-3.2480854380712754
3.1440354715915e-07,-3.649097065119926
3.489101213406774e-07,-4.052018844660254
3.872038781812557e-07,-4.921503483737865
4.2970047043208437e-07,-6.587205191570054
4.768611697714474e-07,-8.351807532046612
5.291978735958437e-07,-8.916951211072986
5.872786613189477e-07,-7.987996565814713
6.517339604882421e-07,-6.390180864730427
7.232633896483533e-07,-4.88250472872396
8.026433522257174e-07,-3.78819635098794
8.907354638610439e-07,-3.1330091776730793
9.884959046625586e-07,-2.754679349794829
1.096985797892384e-06,-2.4703448510372934
1.217382727739662e-06,-2.1967253014068704
1.3509935211980278e-06,-1.9170632873043965
1.499268432786047e-06,-1.6336817347378183
1.6638168860761274e-06,-1.354095062570161
1.8464249428955464e-06,-1.0824962056363707
2.049074689815846e-06,-0.8270065721630461
2.2739657523579273e-06,-0.5922098482312289
2.523539170434766e-06,-0.3842525260145815
2.800503894183631e-06,-0.2075485202295227
3.107866187782014e-06,-0.06462086575451823
3.4489622604057595e-06,0.042116458994819
3.827494478516315e-06,0.11402861267331625
4.247571552536894e-06,0.15285088196620597
4.713753134116729e-06,0.16307405776407183
5.2310993080562585e-06,0.15083237477326006
5.805225516094895e-06,0.12249893380129498
6.44236350872137e-06,0.08599808204660522
7.149428986597577e-06,0.047917680400986554
7.934096665797492e-06,0.014276609537237792
8.804883581643465e-06,-0.01036226379629354
9.771241535346501e-06,-0.024040671927356445
1.0843659686896109e-05,-0.026114276747087533
1.2033778407775906e-05,-0.018244888289585655
1.3354515629298974e-05,-0.0034143909372340853
1.48202070579886e-05,0.015077516582387531
1.6446761779946626e-05,0.03335532825190089
1.8251834943190462e-05,0.04858489894845635
2.0255019392306664e-05,0.05883921912503705
2.2478058335487252e-05,0.06320614930423697
2.4945081352303165e-05,0.062385261539527725
2.7682866303920665e-05,0.057600327319763014
3.072112998861759e-05,0.05082903937283056
3.409285069746814e-05,0.04417236595896606
3.783462617131933e-05,0.03923198384437683
4.1987070844439056e-05,0.037238495568082446
4.659525668664687e-05,0.038593216868342085
5.170920242896755e-05,0.04295569717487897
5.7384416483024044e-05,0.04960103085559246
6.368249944718586e-05,0.05735376955171433
7.067181273927492e-05,0.06505078492023478
7.842822061337681e-05,0.07182296687956567
8.703591361485166e-05,0.07694101601648655
9.658832241158708e-05,0.08034247244216226
0.00010718913192051276,0.08216350052285114
0.00011895340673703195,0.0829177880466622
0.0001320088400831418,0.083281816857713
0.00014649713983072864,0.08384652521635778
0.0001625755666443795,0.08515753815194854
0.00018041864093920718,0.08747364525475401
0.00020022003718155845,0.09085598809913527
0.0002221946860939524,0.09508820305528663
0.0002465811075822604,0.09989124849155119
0.0002736439997074672,0.10476820340807545
0.00030367711180354605,0.10942209641755768
0.00033700643292719284,0.11345974206555388
0.0003739937302478798,0.1167552663074393
0.0004150404757850477,0.11926825159366146
0.00046059220411451084,0.12104792838629382
0.0005111433483440171,0.12234116245179806
0.0005672426068491978,0.1232647121639074
0.0006294988990221888,0.1241082041377468
0.0006985879746785249,0.12491694037326799
0.0007752597488629464,0.12584009866905263
0.000860346441668451,0.12677843753191814
0.0009547716114208065,0.1277093029493675
0.001059560179277617,0.12845220822877312
0.0011758495540521582,0.12887697649513832
0.0013049019780144017,0.12887232034194995
0.001448118227674533,0.12829214264349137
0.0016070528182616384,0.12719479133781345
0.0017834308769319094,0.12549941372064374
0.0019791668678535573,0.1234038166519119
0.002196385372416547,0.12092599264479308
0.002437444150122222,0.11828589841879965
0.002704959730463137,0.11556352286618615
0.0030018358135755923,0.11289065059790937
0.003331294787934677,0.11033492064165272
0.0036969127071950323,0.10789062398439321
0.00410265810582719,0.10557202072699669
0.004552935074866948,0.10325372749503717
0.00505263106533568,0.10092455778374215
0.005607169938205458,0.09841759534200187
0.006222570836730231,0.09575784614831848
0.006905513520162331,0.0928517744115389
0.007663410868007463,0.0897930582643123
