tau,gamma
1e-07,-0.014366111274335775
1.1097524964120721e-07,-0.07384762384277185
1.2315506032928263e-07,-0.2580048251727392
1.3667163564620074e-07,-0.6311830648991034
1.5167168884709241e-07,-1.1461111004799793
1.6831803533309585e-07,-1.6866528358320085
1.867913599020781e-07,-2.1949214854808465
2.0729217795953698e-07,-2.6661482314508564
2.300430119772917e-07,-3.1085302322707267
2.5529080682395163e-07,-3.5189621395168613
2.833096101839324e-07,-3.8880921966885715
3.1440354715915e-07,-4.212501216658221
3.489101213406774e-07,-4.481715303645535
3.872038781812557e-07,-4.693924364887655
4.2970047043208437e-07,-4.837964118906655
4.768611697714474e-07,-4.911753138287611
5.291978735958437e-07,-4.909849226366975
5.872786613189477e-07,-4.832267634529139
6.517339604882421e-07,-4.685963701561095
7.232633896483533e-07,-4.474702917615303
8.026433522257174e-07,-4.213364554043308
8.907354638610439e-07,-3.907451645265392
9.884959046625586e-07,-3.569509650993777
1.096985797892384e-06,-3.20446478935263
1.217382727739662e-06,-2.821247261658157
1.3509935211980278e-06,-2.427808427306736
1.499268432786047e-06,-2.0313629778088744
1.6638168860761274e-06,-1.643505742738882
1.8464249428955464e-06,-1.270949979035091
2.049074689815846e-06,-0.9253286460831736
2.2739657523579273e-06,-0.6136090618570382
2.523539170434766e-06,-0.3444558940060828
2.800503894183631e-06,-0.12449216336294286
3.107866187782014e-06,0.043270214914188955
3.4489622604057595e-06,0.1563591751555007
3.827494478516315e-06,0.21885770539384414
4.247571552536894e-06,0.2364738323685125
4.713753134116729e-06,0.21829796002913077
5.2310993080562585e-06,0.1759597131016253
5.805225516094895e-06,0.11998105980215544
6.44236350872137e-06,0.06178825968735769
7.149428986597577e-06,0.010109443165384278
7.934096665797492e-06,-0.028577061305912387
8.804883581643465e-06,-0.05008107046243408
9.771241535346501e-06,-0.05445217798392239
1.0843659686896109e-05,-0.04360102057612254
1.2033778407775906e-05,-0.0218596780400955
1.3354515629298974e-05,0.005022032707477357
1.48202070579886e-05,0.03203007587043282
1.6446761779946626e-05,0.054274597278188584
1.8251834943190462e-05,0.06883666291584255
2.0255019392306664e-05,0.07476845439206396
2.2478058335487252e-05,0.07242132217779017
2.4945081352303165e-05,0.06418655022539725
2.7682866303920665e-05,0.052857340841168964
3.072112998861759e-05,0.04144649627156343
3.409285069746814e-05,0.032748647440314374
3.783462617131933e-05,0.028322567676846332
4.1987070844439056e-05,0.028887627072063254
4.659525668664687e-05,0.0340939222886745
5.170920242896755e-05,0.04257870335010485
5.7384416483024044e-05,0.05279722597268411
6.368249944718586e-05,0.06295797751144067
7.067181273927492e-05,0.07155323498410911
7.842822061337681e-05,0.07781162416666408
8.703591361485166e-05,0.0812885671157413
9.658832241158708e-05,0.08241590777868725
0.00010718913192051276,0.08190704169327612
0.00011895340673703195,0.08071339021386233
0.0001320088400831418,0.07986657778736884
0.00014649713983072864,0.08008772530788495
0.0001625755666443795,0.08184245484748044
0.00018041864093920718,0.08520904610764252
0.00020022003718155845,0.08992974780425068
0.0002221946860939524,0.09548114491942666
0.0002465811075822604,0.10133588588063364
0.0002736439997074672,0.10680882630807052
0.00030367711180354605,0.11156652092021467
0.00033700643292719284,0.11526498446715915
0.0003739937302478798,0.11790460720738051
0.0004150404757850477,0.11963618658585964
0.00046059220411451084,0.12067257091579783
0.0005111433483440171,0.12140680234603748
0.0005672426068491978,0.12204420508126318
0.0006294988990221888,0.12288155732545082
0.0006985879746785249,0.1239319215735539
0.0007752597488629464,0.12525590625786226
0.000860346441668451,0.12664786825159444
0.0009547716114208065,0.12799301698912535
0.001059560179277617,0.12902769756638385
0.0011758495540521582,0.1295845900259681
0.0013049019780144017,0.12955127526867674
0.001448118227674533,0.12880713016103537
0.0016070528182616384,0.12746849292924442
0.0017834308769319094,0.1255123864173013
0.0019791668678535573,0.12319164042714612
0.002196385372416547,0.12056765208269088
0.002437444150122222,0.11787483233271653
0.002704959730463137,0.11519182172224879
0.0030018358135755923,0.11262863780776454
0.003331294787934677,0.1102174146388182
0.0036969127071950323,0.1079195065539307
0.00410265810582719,0.10571652299477141
0.004552935074866948,0.10346312665032326
0.00505263106533568,0.10114348491703086
0.005607169938205458,0.09859526978089375
0.006222570836730231,0.09586157702025756
0.006905513520162331,0.09287054331383221
0.007663410868007463,0.08973592736097763
0.008504489341802686,0.0865383505587136
0.009437878277775391,0.08342495150336013
0.010473708979594508,0.08058353506982721
0.011623224686798541,0.07812880266213136
0.01289890261253308,0.0762193513414936
0.014314589375234785,0.07486042754855597
0.015885651294280528,0.07406406130676674
0.01762914118095948,0.07367455523766374
0.01956398343517065,0.07356352123279204
0.021711179456945052,0.0734669956517326
0.02409403560239527,0.07323680255825749
0.026738416158399492,0.07269380935314108
0.029673024081888724,0.07181635467156038
0.032929712550971546,0.07071950748357915
0.036543830709572546,0.06959529426076966
0.040554607358408275,0.06885525847813659
0.04500557675700498,0.0688589312062414
0.0499450511585514,0.0700503750710237
0.05542664520663107,0.07271900660906978
0.06150985788580504,0.07701844943589416
0.06826071834272393,0.0828452593040522
0.0757525025877192,0.0899450388163254
0.08406652885618333,0.09775818624754637
0.09329304026284696,0.10578845144677858
0.10353218432956637,0.11345825673387659
0.11489510001873086,0.12042950673414902
0.1275051240713013,0.12678482492741153
0.1414991297434576,0.13283309628841278
0.15702901247293774,0.1396003622271604
0.17426333860096507,0.14828016019435739
0.19338917504552322,0.16052398546763808
0.21461411978584058,0.17801192383293135
0.23816855519761607,0.2023274847068549
0.2643081486974108,0.23460778273691
0.29331662783900486,0.2756000754864845
0.32550885998350565,0.3249876923370348
0.36123426997094304,0.3821149116214678
0.40088063288984643,0.4453546847419446
0.4448782831127585,0.512471868984598
0.4937047852839004,0.5812219939975015
0.5478901179593945,0.6481896693781152
0.6080224261649427,0.7112598606817697
0.67475440531107,0.7670183130703554
0.748810385759003,0.8137687401820209
0.8309941949353403,0.849373254343536
0.9221978823334341,0.8725450796280507
1.0234114021054528,0.8830618720359671
1.135733358343105,0.8801222800306507
1.2603829296797273,0.8650874240833031
1.3987131026472386,0.8378894938306382
1.552225357427048,0.8005753466793419
1.7225859653987874,0.7540220776475566
1.9116440753857036,0.7001426208949342
2.121451784910632,0.6406701812050046
2.35428641432242,0.5770026456071456
2.612675225563332,0.511267323450604
2.8994228538828812,0.4444280380827859
3.2176417502507353,0.37845655433796205
3.5707859649004625,0.31417225952064765
3.9626886387014784,0.253006554932611
4.397603609302721,0.1958154198889334
4.880251583654434,0.14336426230099525
5.415871378079476,0.09646816074646038
6.010276782070388,0.055374208949561854
6.669919663030129,0.020643621151169772
7.401959996915652,-0.007751395404277077
8.214343584919439,-0.0296887532636296
9.115888299750837,-0.0452945171374343
10.11637979766207,-0.054886945849342235
11.226677735108158,-0.058761057939845054
12.458833642950081,-0.057671832034511886
13.826221737646593,-0.05203259828174827
15.343684089300131,-0.04221486845562541
17.02769172225898,-0.02910886640968179
18.896523396912116,-0.015649288641179895
20.970464013232306,-0.006079386779633093
23.27202478960412,-0.0016304700623516752
25.826187606826746,-0.0002952976417942008
28.66067616948256,-3.576909463129021e-05
31.80625692794119,-2.886054761639538e-06
35.297073027306574,-1.5485718649035053e-07
39.17101490809261,-5.521994913513037e-09
43.47013158125035,-1.3082173571140634e-10
48.241087041653735,-2.0588990155710444e-12
53.535666774107185,-2.1524941109755035e-14
59.411339849650396,-1.494833467928351e-16
65.93188271333541,-6.895795632662421e-19
73.16807143427206,-2.1130773272731828e-21
81.19844993184009,-4.301157196595627e-24
90.11018251665037,-5.815592206705862e-27
100.0,-5.223254615285877e-30
