tau,gamma
1e-07,0.0006484531950807179
1.1097524964120721e-07,0.0009709483275984524
1.2315506032928263e-07,0.0013513716328248334
1.3667163564620074e-07,0.0017539825362474144
1.5167168884709241e-07,0.0021315204540964315
1.6831803533309585e-07,0.0024372354890321913
1.867913599020781e-07,0.002637617587419588
2.0729217795953698e-07,0.00272045395004091
2.300430119772917e-07,0.0026952480866834225
2.5529080682395163e-07,0.00258688803835956
2.833096101839324e-07,0.0024262891338323114
3.1440354715915e-07,0.0022421130145420932
3.489101213406774e-07,0.002055979304343871
3.872038781812557e-07,0.0018813609607922055
4.2970047043208437e-07,0.0017249100678274623
4.768611697714474e-07,0.0015886747295572718
5.291978735958437e-07,0.0014721388853826893
5.872786613189477e-07,0.0013736527462593641
6.517339604882421e-07,0.001291259587419935
7.232633896483533e-07,0.0012230990937528608
8.026433522257174e-07,0.0011675711189312594
8.907354638610439e-07,0.001123385370005838
9.884959046625586e-07,0.001089565273559333
1.096985797892384e-06,0.001065437475608508
1.217382727739662e-06,0.0010506197044177162
1.3509935211980278e-06,0.001045011682211523
1.499268432786047e-06,0.001048790760602968
1.6638168860761274e-06,0.0010624129815115866
1.8464249428955464e-06,0.0010866200591546562
2.049074689815846e-06,0.0011224528825283051
2.2739657523579273e-06,0.0011712724094079877
2.523539170434766e-06,0.0012347892261456582
2.800503894183631e-06,0.0013151035790104914
3.107866187782014e-06,0.0014147583425141285
3.4489622604057595e-06,0.0015368081513472318
3.827494478516315e-06,0.0016849086681306983
4.247571552536894e-06,0.0018634303391627145
4.713753134116729e-06,0.0020776001276478044
5.2310993080562585e-06,0.0023336706693529285
5.805225516094895e-06,0.0026391052739910045
6.44236350872137e-06,0.003002742796960308
7.149428986597577e-06,0.0034348600166665233
7.934096665797492e-06,0.003946973820271463
8.804883581643465e-06,0.004551126478241347
9.771241535346501e-06,0.005258310413431971
1.0843659686896109e-05,0.006075699650772382
1.2033778407775906e-05,0.00700259640712397
1.3354515629298974e-05,0.008025595690215777
1.48202070579886e-05,0.00911440008891124
1.6446761779946626e-05,0.010220666022035068
1.8251834943190462e-05,0.011282581325012659
2.0255019392306664e-05,0.01223682848687336
2.2478058335487252e-05,0.013036916526182583
2.4945081352303165e-05,0.013673322674914331
2.7682866303920665e-05,0.01418823661380882
3.072112998861759e-05,0.014677849140770369
3.409285069746814e-05,0.01527878641774634
3.783462617131933e-05,0.01614118267298942
4.1987070844439056e-05,0.017396270491578145
4.659525668664687e-05,0.019128683210840505
5.170920242896755e-05,0.021362051932004005
5.7384416483024044e-05,0.02406206384708209
6.368249944718586e-05,0.02715595356347414
7.067181273927492e-05,0.030562990387704363
7.842822061337681e-05,0.03422756415464948
8.703591361485166e-05,0.03814534507109316
9.658832241158708e-05,0.042374464736618926
0.00010718913192051276,0.047028440446616714
0.00011895340673703195,0.052254857649687424
0.0001320088400831418,0.05821047485921708
0.00014649713983072864,0.0650451044516372
0.0001625755666443795,0.07290102243755774
0.00018041864093920718,0.08192419944710673
0.00020022003718155845,0.09227522001438335
0.0002221946860939524,0.10412873083830969
0.0002465811075822604,0.11766297572321571
0.0002736439997074672,0.1330592942493897
0.00030367711180354605,0.15054172002330157
0.00033700643292719284,0.17047365713397694
0.0003739937302478798,0.19348474508616031
0.0004150404757850477,0.22053829304038064
0.00046059220411451084,0.2528049886512189
0.0005111433483440171,0.29123399385089677
0.0005672426068491978,0.3358423663994822
0.0006294988990221888,0.3849504217530355
0.0006985879746785249,0.43476479267381646
0.0007752597488629464,0.47970462164938954
0.000860346441668451,0.513598332594198
0.0009547716114208065,0.53143428294572
0.001059560179277617,0.5309765008350992
0.0011758495540521582,0.5135199990811198
0.0013049019780144017,0.48343405993183614
0.001448118227674533,0.44672469932449294
0.0016070528182616384,0.40928657268858964
0.0017834308769319094,0.37556079283637983
0.0019791668678535573,0.3479941514489693
0.002196385372416547,0.3272565955903669
0.002437444150122222,0.3128827989569973
0.002704959730463137,0.303965753203561
0.0030018358135755923,0.2996729573752734
0.003331294787934677,0.2995339417275348
0.0036969127071950323,0.30355476033014517
0.00410265810582719,0.31222253315149134
0.004552935074866948,0.32640249447512953
0.00505263106533568,0.34706206753950963
0.005607169938205458,0.3747506169648533
0.006222570836730231,0.40886947153627445
0.006905513520162331,0.44696679908785086
0.007663410868007463,0.48446726738487345
0.008504489341802686,0.5152218134963114
0.009437878277775391,0.5329426391537871
0.010473708979594508,0.5330899669500215
0.011623224686798541,0.5144115078227645
0.01289890261253308,0.47939524908278003
0.014314589375234785,0.4334030147374907
0.015885651294280528,0.38290477749392254
0.01762914118095948,0.33362454284566323
0.01956398343517065,0.2893286631305617
0.021711179456945052,0.2515540916042821
0.02409403560239527,0.22009883698918084
0.026738416158399492,0.19384063605444338
0.029673024081888724,0.1714743392591029
0.032929712550971546,0.1519525047720392
0.036543830709572546,0.13461902270111867
0.040554607358408275,0.1191433782977539
0.04500557675700498,0.10538146346670675
0.0499450511585514,0.09324889112996221
0.05542664520663107,0.08264205641431621
0.06150985788580504,0.07340761611852782
0.06826071834272393,0.06534688420423879
0.0757525025877192,0.05824032755330579
0.08406652885618333,0.05188037752144048
0.09329304026284696,0.04610359034002312
0.10353218432956637,0.04081490801348448
0.11489510001873086,0.03599803053278931
0.1275051240713013,0.031707508421948055
0.1414991297434576,0.028040959424455163
0.15702901247293774,0.025094697811192068
0.17426333860096507,0.022912930674257558
0.19338917504552322,0.021446980728851258
