tau,gamma
1e-07,2.1583466909388e-05
1.1097524964120721e-07,3.278552872239012e-05
1.2315506032928263e-07,4.645623542897226e-05
1.3667163564620074e-07,6.166009828661946e-05
1.5167168884709241e-07,7.704909908980162e-05
1.6831803533309585e-07,9.119916105490196e-05
1.867913599020781e-07,0.00010298847794314216
2.0729217795953698e-07,0.00011185832494909336
2.300430119772917e-07,0.00011785934140711072
2.5529080682395163e-07,0.00012149633894454373
2.833096101839324e-07,0.0001234716582528856
3.1440354715915e-07,0.00012444598411601962
3.489101213406774e-07,0.00012489321839953717
3.872038781812557e-07,0.00012506338715408575
4.2970047043208437e-07,0.0001250228379844233
4.768611697714474e-07,0.0001247275695366461
5.291978735958437e-07,0.0001240948520280081
5.872786613189477e-07,0.0001230550514424117
6.517339604882421e-07,0.00012157938582871846
7.232633896483533e-07,0.00011968717851637784
8.026433522257174e-07,0.00011743920055887708
8.907354638610439e-07,0.00011492390691001541
9.884959046625586e-07,0.00011224214950512974
1.096985797892384e-06,0.00010949409223223116
1.217382727739662e-06,0.00010677012386624512
1.3509935211980278e-06,0.00010414601875786098
1.499268432786047e-06,0.00010168168522130101
1.6638168860761274e-06,9.942254967962592e-05
1.8464249428955464e-06,9.740271852200032e-05
2.049074689815846e-06,9.564924894056874e-05
2.2739657523579273e-06,9.418694481652963e-05
2.523539170434766e-06,9.304302732600612e-05
2.800503894183631e-06,9.225088600563319e-05
3.107866187782014e-06,9.185200710236224e-05
3.4489622604057595e-06,9.189518590741239e-05
3.827494478516315e-06,9.24322981180496e-05
4.247571552536894e-06,9.351026119170432e-05
4.713753134116729e-06,9.515942163601895e-05
5.2310993080562585e-06,9.737955245775178e-05
5.805225516094895e-06,0.00010012599010258302
6.44236350872137e-06,0.00010330007222711065
7.149428986597577e-06,0.00010674961693551695
7.934096665797492e-06,0.00011028631792623549
8.804883581643465e-06,0.00011372782743597207
9.771241535346501e-06,0.00011697515327599347
1.0843659686896109e-05,0.0001201473260860398
1.2033778407775906e-05,0.00012382924383711453
1.3354515629298974e-05,0.00012956997379980206
1.48202070579886e-05,0.00014093070151703025
1.6446761779946626e-05,0.00016564521372244368
1.8251834943190462e-05,0.000219774495133049
2.0255019392306664e-05,0.00033489979851590167
2.2478058335487252e-05,0.0005689521334272222
2.4945081352303165e-05,0.0010196275153027234
2.7682866303920665e-05,0.0018362426382379775
3.072112998861759e-05,0.003222290827132301
3.409285069746814e-05,0.005419537765729971
3.783462617131933e-05,0.008668700649302788
4.1987070844439056e-05,0.01315279140429385
4.659525668664687e-05,0.018942692883725215
5.170920242896755e-05,0.025970802574572422
5.7384416483024044e-05,0.03404915034853305
6.368249944718586e-05,0.04292505987033588
7.067181273927492e-05,0.052344730591821105
7.842822061337681e-05,0.06209071474558308
8.703591361485166e-05,0.07197849082673777
9.658832241158708e-05,0.08182680602967968
0.00010718913192051276,0.0914342262515744
0.00011895340673703195,0.10058771411204324
0.0001320088400831418,0.10910387032033812
0.00014649713983072864,0.1168781591060114
0.0001625755666443795,0.1239096771194614
0.00018041864093920718,0.13028519150050277
0.00020022003718155845,0.13613711851153748
0.0002221946860939524,0.14161373450462417
0.0002465811075822604,0.14689362444235116
0.0002736439997074672,0.1522381804739947
0.00030367711180354605,0.15803669948898147
0.00033700643292719284,0.16480195567310232
0.0003739937302478798,0.17312920219425018
0.0004150404757850477,0.18368720797754623
0.00046059220411451084,0.19729594297075773
0.0005111433483440171,0.21505170267497312
0.0005672426068491978,0.23835989676117864
0.0006294988990221888,0.26871296660124344
0.0006985879746785249,0.30712469291339867
0.0007752597488629464,0.35327570537228425
0.000860346441668451,0.40462851991319443
0.0009547716114208065,0.4559983276013968
0.001059560179277617,0.500140884556487
0.0011758495540521582,0.5295855926362503
0.0013049019780144017,0.5391942933501787
0.001448118227674533,0.5282368900256286
0.0016070528182616384,0.5007930820640061
0.0017834308769319094,0.46418045272168246
0.0019791668678535573,0.42626537873760073
0.002196385372416547,0.393058544507724
0.002437444150122222,0.36759392509519534
0.002704959730463137,0.35019123045536127
0.0030018358135755923,0.339528335326881
0.003331294787934677,0.3338323248366978
0.0036969127071950323,0.33174654235994566
0.00410265810582719,0.3327168280199958
0.004552935074866948,0.3369314170728718
0.00505263106533568,0.34497557315797556
0.005607169938205458,0.35741182359571466
0.006222570836730231,0.37440765658083364
0.006905513520162331,0.39537106297786434
0.007663410868007463,0.4185388506501694
0.008504489341802686,0.4406953214100111
0.009437878277775391,0.4574381141092988
0.010473708979594508,0.46426606844054114
0.011623224686798541,0.45818634908272887
0.01289890261253308,0.43898690043250627
0.014314589375234785,0.4093623603978185
0.015885651294280528,0.37378445424121776
0.01762914118095948,0.3368156888208494
0.01956398343517065,0.3018165542014583
0.021711179456945052,0.27054869762704753
0.02409403560239527,0.2434960004671593
0.026738416158399492,0.2203890488930402
0.029673024081888724,0.20057775825436627
0.032929712550971546,0.18323712267858625
0.036543830709572546,0.16754254901515184
0.040554607358408275,0.15285513664309283
0.04500557675700498,0.13882726011562638
0.0499450511585514,0.12535593812578985
0.05542664520663107,0.11243738843134728
0.06150985788580504,0.10005088732035172
0.06826071834272393,0.08814651397029884
0.0757525025877192,0.07670212263871339
0.08406652885618333,0.06576521376725265
0.09329304026284696,0.055437012905752904
0.10353218432956637,0.04582539730529395
0.11489510001873086,0.03701685679449175
0.1275051240713013,0.029085310809854287
0.1414991297434576,0.022113288159509227
0.15702901247293774,0.016191994983033555
0.17426333860096507,0.011392043848702777
0.19338917504552322,0.007725617865652894
0.21461411978584058,0.005127772172270954
0.23816855519761607,0.003468873274625499
0.2643081486974108,0.0025890864367645676
0.29331662783900486,0.002335193318870426
0.32550885998350565,0.0025832721882696015
0.36123426997094304,0.0032412235722643827
0.40088063288984643,0.00423449774775999
0.4448782831127585,0.005482925695056974
