tau,gamma
1e-07,6.522605426764156e-06
1.1097524964120721e-07,5.602429216918174e-05
1.2315506032928263e-07,0.0002810650028754125
1.3667163564620074e-07,0.0008320610370152448
1.5167168884709241e-07,0.0015004741668203994
1.6831803533309585e-07,0.0017968207622800255
1.867913599020781e-07,0.001685755414447945
2.0729217795953698e-07,0.0014527757562509472
2.300430119772917e-07,0.0012270914924459686
2.5529080682395163e-07,0.001044559441247692
2.833096101839324e-07,0.0008918732076124457
3.1440354715915e-07,0.0007690539891680855
3.489101213406774e-07,0.0006662152319785996
3.872038781812557e-07,0.0005815022047057549
4.2970047043208437e-07,0.0005105278506785342
4.768611697714474e-07,0.0004500855003784508
5.291978735958437e-07,0.0003994497143438859
5.872786613189477e-07,0.000354718337119367
6.517339604882421e-07,0.0003171801748798259
7.232633896483533e-07,0.00028305385586775825
8.026433522257174e-07,0.00025421538002720043
8.907354638610439e-07,0.0002277466810556064
9.884959046625586e-07,0.00020506772903282398
1.096985797892384e-06,0.00018451460940040112
1.217382727739662e-06,0.0001665799739717914
1.3509935211980278e-06,0.00015078293735640774
1.499268432786047e-06,0.0001367537952273828
1.6638168860761274e-06,0.0001248112144285116
1.8464249428955464e-06,0.00011407231326835809
2.049074689815846e-06,0.0001052134760928108
2.2739657523579273e-06,9.720918343101031e-05
2.523539170434766e-06,9.075619965559805e-05
2.800503894183631e-06,8.494795548370954e-05
3.107866187782014e-06,8.030169168241775e-05
3.4489622604057595e-06,7.61753550549343e-05
3.827494478516315e-06,7.280683745898038e-05
4.247571552536894e-06,6.988762452914298e-05
4.713753134116729e-06,6.733979771927878e-05
5.2310993080562585e-06,6.520359168636552e-05
5.805225516094895e-06,6.31104459565412e-05
6.44236350872137e-06,6.139760501225741e-05
7.149428986597577e-06,5.9512627617746696e-05
7.934096665797492e-06,5.795260305984855e-05
8.804883581643465e-06,5.616237065204121e-05
9.771241535346501e-06,5.460292300742766e-05
1.0843659686896109e-05,5.2903820501160665e-05
1.2033778407775906e-05,5.1318915194418194e-05
1.3354515629298974e-05,4.9765338961561803e-05
1.48202070579886e-05,4.822238694561056e-05
1.6446761779946626e-05,4.687732548671917e-05
1.8251834943190462e-05,4.548142015670966e-05
2.0255019392306664e-05,4.439031100655402e-05
2.2478058335487252e-05,4.324156660441397e-05
2.4945081352303165e-05,4.2429607992427125e-05
2.7682866303920665e-05,4.160567593078529e-05
3.072112998861759e-05,4.1086218814532384e-05
3.409285069746814e-05,4.0636657238448115e-05
3.783462617131933e-05,4.041529585578888e-05
4.1987070844439056e-05,4.0357012159338274e-05
4.659525668664687e-05,4.0426488324002385e-05
5.170920242896755e-05,4.073893403120906e-05
5.7384416483024044e-05,4.107316956952962e-05
6.368249944718586e-05,4.169587132448429e-05
7.067181273927492e-05,4.225201076197087e-05
7.842822061337681e-05,4.3089034912238363e-05
8.703591361485166e-05,4.3816412067187415e-05
9.658832241158708e-05,4.4751990134655525e-05
0.00010718913192051276,4.559910271367157e-05
0.00011895340673703195,4.6522573065299274e-05
0.0001320088400831418,4.7436778728046535e-05
0.00014649713983072864,4.826731662618697e-05
0.0001625755666443795,4.918963006160656e-05
0.00018041864093920718,4.9888216883940434e-05
0.00020022003718155845,5.0749513095769e-05
0.0002221946860939524,5.131242202447369e-05
0.0002465811075822604,5.203581815201956e-05
0.0002736439997074672,5.247532420494303e-05
0.00030367711180354605,5.2986907076606885e-05
0.00033700643292719284,5.331179848403307e-05
0.0003739937302478798,5.356047763634809e-05
0.0004150404757850477,5.376804407350474e-05
0.00046059220411451084,5.375101600801078e-05
0.0005111433483440171,5.383526759177953e-05
0.0005672426068491978,5.3615403451540935e-05
0.0006294988990221888,5.358800344683306e-05
0.0006985879746785249,5.328815906204628e-05
0.0007752597488629464,5.3199870661194044e-05
0.000860346441668451,5.297566887392529e-05
0.0009547716114208065,5.2924678452248825e-05
0.001059560179277617,5.2936185867836275e-05
0.0011758495540521582,5.3064344150795636e-05
0.0013049019780144017,5.3470036549831346e-05
0.001448118227674533,5.396748753813675e-05
0.0016070528182616384,5.4951203765776993e-05
0.0017834308769319094,5.608701250432278e-05
0.0019791668678535573,5.79200032892676e-05
0.002196385372416547,6.010415700600664e-05
0.002437444150122222,6.324409013638828e-05
0.002704959730463137,6.712843520956177e-05
0.0030018358135755923,7.235872993936478e-05
0.003331294787934677,7.898934473295285e-05
0.0036969127071950323,8.761745693343911e-05
0.00410265810582719,9.891002451705168e-05
0.004552935074866948,0.00011615743384463351
0.00505263106533568,0.0001803794211389579
0.005607169938205458,0.0009300436618111368
0.006222570836730231,0.010253194810547369
0.006905513520162331,0.08723279126427536
0.007663410868007463,0.4573599845152803
0.008504489341802686,1.4158806035175804
0.009437878277775391,2.5600509273674033
0.010473708979594508,2.6950615022181057
0.011623224686798541,1.650434640271081
0.01289890261253308,0.5878678979892027
0.014314589375234785,0.12187859138994514
0.015885651294280528,0.014809294348434515
0.01762914118095948,0.0011547825248033044
0.01956398343517065,0.00015316778609738421
0.021711179456945052,0.00010117911375626568
0.02409403560239527,9.262160200581318e-05
0.026738416158399492,8.711125788118018e-05
0.029673024081888724,8.294977763763459e-05
0.032929712550971546,7.997554230289595e-05
0.036543830709572546,7.758874323288896e-05
0.040554607358408275,7.611606850288961e-05
0.04500557675700498,7.486997972953332e-05
0.0499450511585514,7.439015037270302e-05
0.05542664520663107,7.39870293635958e-05
0.06150985788580504,7.420827770983757e-05
0.06826071834272393,7.451772282090875e-05
0.0757525025877192,7.528184591379181e-05
0.08406652885618333,7.626152162904109e-05
0.09329304026284696,7.750668561938752e-05
0.10353218432956637,7.915250320936472e-05
0.11489510001873086,8.088754499458691e-05
0.1275051240713013,8.320263069389162e-05
0.1414991297434576,8.548706204380436e-05
0.15702901247293774,8.846658758451695e-05
0.17426333860096507,9.139374512566349e-05
0.19338917504552322,9.50202825619362e-05
0.21461411978584058,9.869097196418888e-05
0.23816855519761607,0.00010292689513990772
0.2643081486974108,0.00010740035807157075
0.29331662783900486,0.00011216162871752036
0.32550885998350565,0.00011738020704591659
0.36123426997094304,0.00012249043806905545
0.40088063288984643,0.0001281931545726363
0.4448782831127585,0.00013334738268905785
0.4937047852839004,0.00013901930735606672
0.5478901179593945,0.00014380334942242298
0.6080224261649427,0.00014873973489204658
0.67475440531107,0.00015272197491767982
0.748810385759003,0.00015626166927160565
0.8309941949353403,0.00015912824673512205
0.9221978823334341,0.0001609792726140735
1.0234114021054528,0.00016266293409319068
1.135733358343105,0.00016309399191005643
1.2603829296797273,0.00016384894234053627
1.3987131026472386,0.00016358908874735436
1.552225357427048,0.00016396189957861853
1.7225859653987874,0.0001639196384401897
1.9116440753857036,0.00016461915472827047
2.121451784910632,0.00016565367448747166
2.35428641432242,0.00016742114524224435
2.612675225563332,0.00017027842709916986
2.8994228538828812,0.00017386279846156262
3.2176417502507353,0.00017925426552064218
3.5707859649004625,0.00018550808164144285
3.9626886387014784,0.00019427127525681957
4.397603609302721,0.00020431596641072258
4.880251583654434,0.00021761615300330725
5.415871378079476,0.00023304551338970168
6.010276782070388,0.0002526069252256861
6.669919663030129,0.00027573437400564517
7.401959996915652,0.00030411168790336397
8.214343584919439,0.00033828344931648423
9.115888299750837,0.00037920401573388545
10.11637979766207,0.0004291813389806492
11.226677735108158,0.0004878517452256739
12.458833642950081,0.000557972334971124
13.826221737646593,0.0006222038283716308
15.343684089300131,0.0006282025014894801
17.02769172225898,0.0004856060306696497
18.896523396912116,0.0002455835271701233
20.970464013232306,7.520523870931273e-05
23.27202478960412,1.3563062255457261e-05
25.826187606826746,1.4278301178728977e-06
28.66067616948256,8.750295340864694e-08
31.80625692794119,3.1191630208360546e-09
35.297073027306574,6.465683578331209e-11
39.17101490809261,7.793260605667629e-13
43.47013158125035,5.461884211700177e-15
48.241087041653735,2.2257754577004913e-17
53.535666774107185,5.2739363642055827e-20
59.411339849650396,7.266124366352933e-23
65.93188271333541,5.82083237775612e-26
73.16807143427206,2.711325503814282e-29
81.19844993184009,7.343321082940566e-33
90.11018251665037,1.156425519560689e-36
100.0,1.058905260034409e-40
