tau,gamma
1e-07,0.0016190752922292998
1.1097524964120721e-07,0.003555039558644826
1.2315506032928263e-07,0.0064794685758732635
1.3667163564620074e-07,0.00987289569191005
1.5167168884709241e-07,0.012742361042483693
1.6831803533309585e-07,0.01425050638696727
1.867913599020781e-07,0.014287096093407134
2.0729217795953698e-07,0.013323322937020946
2.300430119772917e-07,0.011759254879453911
2.5529080682395163e-07,0.009616364391312021
2.833096101839324e-07,0.006863401150608439
3.1440354715915e-07,0.003767483437558978
3.489101213406774e-07,0.0007625194581550135
3.872038781812557e-07,-0.0018846621857550989
4.2970047043208437e-07,-0.0041186087057918
4.768611697714474e-07,-0.005890057582356337
5.291978735958437e-07,-0.0070713379761107
5.872786613189477e-07,-0.007577668754574776
6.517339604882421e-07,-0.0074597977776129165
7.232633896483533e-07,-0.006841910704498617
8.026433522257174e-07,-0.005831008812175312
8.907354638610439e-07,-0.004519154350880068
9.884959046625586e-07,-0.003028205105016927
1.096985797892384e-06,-0.0015042278311085554
1.217382727739662e-06,-7.194396408221807e-05
1.3509935211980278e-06,0.0011859660019167316
1.499268432786047e-06,0.002213918828573969
1.6638168860761274e-06,0.002971601451610212
1.8464249428955464e-06,0.0034419339130602007
2.049074689815846e-06,0.0036383134217665373
2.2739657523579273e-06,0.003595990656903462
2.523539170434766e-06,0.0033578800180599495
2.800503894183631e-06,0.0029680894175595227
3.107866187782014e-06,0.0024710937150501052
3.4489622604057595e-06,0.0019086470246762683
3.827494478516315e-06,0.0013145724109489803
4.247571552536894e-06,0.0007128402598940402
4.713753134116729e-06,0.00012014328408396292
5.2310993080562585e-06,-0.00045048608900324027
5.805225516094895e-06,-0.0009872622120358735
6.44236350872137e-06,-0.0014776385344681467
7.149428986597577e-06,-0.001905949502211994
7.934096665797492e-06,-0.002251754418655507
8.804883581643465e-06,-0.002490133289744712
9.771241535346501e-06,-0.0025938208790649824
1.0843659686896109e-05,-0.002536332622711231
1.2033778407775906e-05,-0.002295607214137745
1.3354515629298974e-05,-0.0018579860304793056
1.48202070579886e-05,-0.0012220482382406478
1.6446761779946626e-05,-0.00040147799299135556
1.8251834943190462e-05,0.0005736486110068774
2.0255019392306664e-05,0.0016573536508396448
2.2478058335487252e-05,0.00279000959996283
2.4945081352303165e-05,0.00390221701646974
2.7682866303920665e-05,0.004920035460299012
3.072112998861759e-05,0.005771033482421917
3.409285069746814e-05,0.006390514531433178
3.783462617131933e-05,0.006727346119150583
4.1987070844439056e-05,0.006748885248051595
4.659525668664687e-05,0.006444623595469789
5.170920242896755e-05,0.005828250058145505
5.7384416483024044e-05,0.004938007758359435
6.368249944718586e-05,0.0038353978194065426
7.067181273927492e-05,0.002602356551203327
7.842822061337681e-05,0.001337129956494013
8.703591361485166e-05,0.00014906092931624932
9.658832241158708e-05,-0.0008474428181400246
0.00010718913192051276,-0.0015395024954336983
0.00011895340673703195,-0.001822703984730805
0.0001320088400831418,-0.0016081108645866714
0.00014649713983072864,-0.0008290840406247311
0.0001625755666443795,0.0005524886551843806
0.00018041864093920718,0.0025409981646156814
0.00020022003718155845,0.005103463291282267
0.0002221946860939524,0.008167988326001198
0.0002465811075822604,0.011624809130964255
0.0002736439997074672,0.015330362265514205
0.00030367711180354605,0.01911454815987357
0.00033700643292719284,0.022791135531574778
0.0003739937302478798,0.026170969259836203
0.0004150404757850477,0.02907727818300556
0.00046059220411451084,0.03136217902127168
0.0005111433483440171,0.032923127780446856
0.0005672426068491978,0.03371801604918798
0.0006294988990221888,0.033777561928555064
0.0006985879746785249,0.03321373724579651
0.0007752597488629464,0.03222332480917127
0.000860346441668451,0.03108591668853913
0.0009547716114208065,0.030156196218981864
0.001059560179277617,0.02985065384100856
0.0011758495540521582,0.030629228271252095
0.0013049019780144017,0.03297271164550236
0.001448118227674533,0.0373568328219715
0.0016070528182616384,0.044224272872879056
0.0017834308769319094,0.05395592412665029
0.0019791668678535573,0.06684291634954659
0.002196385372416547,0.08306110623627103
0.002437444150122222,0.1026495844460316
0.002704959730463137,0.12549484430047894
0.0030018358135755923,0.15132172438246685
0.003331294787934677,0.17969195912890765
0.0036969127071950323,0.21001066049092618
0.00410265810582719,0.24154047196982972
0.004552935074866948,0.27342320029243794
0.00505263106533568,0.3047082779118742
0.005607169938205458,0.33438792641823994
0.006222570836730231,0.3614386631529387
0.006905513520162331,0.38486864693571304
0.007663410868007463,0.4037696756671438
0.008504489341802686,0.41737084832842963
0.009437878277775391,0.42508969505064703
0.010473708979594508,0.42657456895287155
0.011623224686798541,0.4217326006612098
0.01289890261253308,0.41073853844123387
