tau,gamma
1e-07,0.0004239590236372429
1.1097524964120721e-07,0.0009446355062388515
1.2315506032928263e-07,0.0017604393131815227
1.3667163564620074e-07,0.0027732175906826657
1.5167168884709241e-07,0.003756634836825326
1.6831803533309585e-07,0.004490536384066712
1.867913599020781e-07,0.004897044758996017
2.0729217795953698e-07,0.00502820853911898
2.300430119772917e-07,0.004937357537784375
2.5529080682395163e-07,0.004609608973694086
2.833096101839324e-07,0.004020204192679233
3.1440354715915e-07,0.0032058404802115135
3.489101213406774e-07,0.0022455052538916864
3.872038781812557e-07,0.0011989744642401095
4.2970047043208437e-07,9.636826146658727e-05
4.768611697714474e-07,-0.0010256884965618835
5.291978735958437e-07,-0.0021090743433654986
5.872786613189477e-07,-0.0030972171946937674
6.517339604882421e-07,-0.003953933748331779
7.232633896483533e-07,-0.004654614521667748
8.026433522257174e-07,-0.005171979710442786
8.907354638610439e-07,-0.005478316711096479
9.884959046625586e-07,-0.005555435944579188
1.096985797892384e-06,-0.005395773690547225
1.217382727739662e-06,-0.004996313273203396
1.3509935211980278e-06,-0.004356710838233186
1.499268432786047e-06,-0.003483516476768388
1.6638168860761274e-06,-0.0023935498368080808
1.8464249428955464e-06,-0.0011133212750320247
2.049074689815846e-06,0.0003220799753957445
2.2739657523579273e-06,0.0018681090925184074
2.523539170434766e-06,0.0034697667718227815
2.800503894183631e-06,0.005062847163844052
3.107866187782014e-06,0.006577015923278581
3.4489622604057595e-06,0.007939221635834479
3.827494478516315e-06,0.00907725352186346
4.247571552536894e-06,0.009924100339502659
4.713753134116729e-06,0.010423020062520813
5.2310993080562585e-06,0.010532357135378027
5.805225516094895e-06,0.010229402716379177
6.44236350872137e-06,0.009513130777891694
7.149428986597577e-06,0.00840571488881386
7.934096665797492e-06,0.0069525275375093695
8.804883581643465e-06,0.005220361653595443
9.771241535346501e-06,0.003294013102857499
1.0843659686896109e-05,0.0012715463993233987
1.2033778407775906e-05,-0.000741384243177122
1.3354515629298974e-05,-0.002637787004196584
1.48202070579886e-05,-0.004315727785919234
1.6446761779946626e-05,-0.005684338733852206
1.8251834943190462e-05,-0.006669023049591738
2.0255019392306664e-05,-0.0072155120987096415
2.2478058335487252e-05,-0.007292557755506217
2.4945081352303165e-05,-0.00689313611743423
2.7682866303920665e-05,-0.00603412001611015
3.072112998861759e-05,-0.004754548170029742
3.409285069746814e-05,-0.003112665040429577
3.783462617131933e-05,-0.001182004114505645
4.1987070844439056e-05,0.000953192062219111
4.659525668664687e-05,0.0032028994624006633
5.170920242896755e-05,0.005476231965809982
5.7384416483024044e-05,0.007686058022745631
6.368249944718586e-05,0.009753009570399158
7.067181273927492e-05,0.011608659230385152
7.842822061337681e-05,0.013197684525616035
8.703591361485166e-05,0.014478915934400264
9.658832241158708e-05,0.015425295918695308
0.00010718913192051276,0.01602284732574336
0.00011895340673703195,0.016268891500331686
0.0001320088400831418,0.01616981331346794
0.00014649713983072864,0.01573875012267379
0.0001625755666443795,0.014993602276654451
0.00018041864093920718,0.013955716450953904
0.00020022003718155845,0.012649527250630134
0.0002221946860939524,0.011103294178820737
0.0002465811075822604,0.00935093789000461
0.0002736439997074672,0.0074348020013062
0.00030367711180354605,0.005409033999369338
0.00033700643292719284,0.003343153979777736
0.0003739937302478798,0.0013253293487111733
0.0004150404757850477,-0.0005351272495695603
0.00046059220411451084,-0.0021064717757057895
0.0005111433483440171,-0.0032347609660785615
0.0005672426068491978,-0.0037458204304507644
0.0006294988990221888,-0.0034489837903466532
0.0006985879746785249,-0.002142534650878372
0.0007752597488629464,0.00037935673114135006
0.000860346441668451,0.0043185288552317
0.0009547716114208065,0.009863910064488174
0.001059560179277617,0.017182267014476733
0.0011758495540521582,0.026409051193105312
0.0013049019780144017,0.03763984141067509
0.001448118227674533,0.05092281221687071
0.0016070528182616384,0.066252566424931
0.0017834308769319094,0.08356566426489936
0.0019791668678535573,0.10273795027527323
0.002196385372416547,0.12358383380006906
0.002437444150122222,0.14585744619918442
0.002704959730463137,0.16925562843299746
0.0030018358135755923,0.19342265401977568
0.003331294787934677,0.21795650172347447
0.0036969127071950323,0.2424166851662784
0.00410265810582719,0.2663334461331588
0.004552935074866948,0.2892184617558784
0.00505263106533568,0.3105770285791537
0.005607169938205458,0.32992187825237484
0.006222570836730231,0.3467886322734424
0.006905513520162331,0.36075258439677366
0.007663410868007463,0.37144633045793174
0.008504489341802686,0.37857695563732113
0.009437878277775391,0.3819414755604677
0.010473708979594508,0.381438628270955
0.011623224686798541,0.3770756506507311
0.01289890261253308,0.36896905297847893
0.014314589375234785,0.35733921037770255
0.015885651294280528,0.3424996787311644
0.01762914118095948,0.32484236762551794
0.01956398343517065,0.30482041825527206
0.021711179456945052,0.2829300851159373
0.02409403560239527,0.2596928584244113
