tau,gamma
1e-07,7.463310161055584e-66
1.1097524964120721e-07,3.200375484641036e-61
1.2315506032928263e-07,9.116097081469568e-57
1.3667163564620074e-07,1.724866589857443e-52
1.5167168884709241e-07,2.1679069657940784e-48
1.6831803533309585e-07,1.8099406489926626e-44
1.867913599020781e-07,1.0037523838424228e-40
2.0729217795953698e-07,3.6976636981657247e-37
2.300430119772917e-07,9.048295942721755e-34
2.5529080682395163e-07,1.4707699846962765e-30
2.833096101839324e-07,1.5880395456160502e-27
3.1440354715915e-07,1.1389810725122718e-24
3.489101213406774e-07,5.4263831269832255e-22
3.872038781812557e-07,1.7172891782824963e-19
4.2970047043208437e-07,3.610074283047001e-17
4.768611697714474e-07,5.041157664704429e-15
5.291978735958437e-07,4.676167808481197e-13
5.872786613189477e-07,2.881416287432885e-11
6.517339604882421e-07,1.1795160167851776e-09
7.232633896483533e-07,3.2080957789767357e-08
8.026433522257174e-07,5.799542630389327e-07
8.907354638610439e-07,6.974782453418055e-06
9.884959046625586e-07,5.5925422068321534e-05
1.096985797892384e-06,0.0003005670003862115
1.217382727739662e-06,0.001096512857548801
1.3509935211980278e-06,0.0027934590735726366
1.499268432786047e-06,0.0052569736446421555
1.6638168860761274e-06,0.007971963708622649
1.8464249428955464e-06,0.010655221179099922
2.049074689815846e-06,0.01329789755962362
2.2739657523579273e-06,0.015967193790391968
2.523539170434766e-06,0.01868238262908694
2.800503894183631e-06,0.021426374003481664
3.107866187782014e-06,0.024218272923956757
3.4489622604057595e-06,0.027044181261186993
3.827494478516315e-06,0.029935815726448423
4.247571552536894e-06,0.03287430154606642
4.713753134116729e-06,0.035885571015872086
5.2310993080562585e-06,0.038960839297900826
5.805225516094895e-06,0.04211025702094373
6.44236350872137e-06,0.04534464546390914
7.149428986597577e-06,0.048650577127586414
7.934096665797492e-06,0.0520611388077926
8.804883581643465e-06,0.05554123574612954
9.771241535346501e-06,0.059138782150827546
1.0843659686896109e-05,0.06280875026308472
1.2033778407775906e-05,0.06659743191101174
1.3354515629298974e-05,0.070468340285814
1.48202070579886e-05,0.07444597838561551
1.6446761779946626e-05,0.0785206793919397
1.8251834943190462e-05,0.08267921022186711
2.0255019392306664e-05,0.08694857677109169
2.2478058335487252e-05,0.09127383216425856
2.4945081352303165e-05,0.09571380897248477
2.7682866303920665e-05,0.10018398584147414
3.072112998861759e-05,0.10475434693031663
3.409285069746814e-05,0.10933704976655187
3.783462617131933e-05,0.11398236606762151
4.1987070844439056e-05,0.11863092703347053
4.659525668664687e-05,0.12328364861940108
5.170920242896755e-05,0.1279342446525193
5.7384416483024044e-05,0.13251918263168408
6.368249944718586e-05,0.1370906748882311
7.067181273927492e-05,0.14152976789468888
7.842822061337681e-05,0.14592782174762658
8.703591361485166e-05,0.150144138412685
9.658832241158708e-05,0.15426993617466656
0.00010718913192051276,0.15819050328817955
0.00011895340673703195,0.16195258662035683
0.0001320088400831418,0.16551059583810676
0.00014649713983072864,0.16883686234458817
0.0001625755666443795,0.1719744900999008
0.00018041864093920718,0.17482096854178886
0.00020022003718155845,0.1774938523579828
0.0002221946860939524,0.1798479298157884
0.0002465811075822604,0.18203120133632703
0.0002736439997074672,0.1839090051416653
0.00030367711180354605,0.18560328258850042
0.00033700643292719284,0.18704291414104457
0.0003739937302478798,0.18827772416414723
0.0004150404757850477,0.18933104490330743
0.00046059220411451084,0.19016341579228174
0.0005111433483440171,0.19088873784723837
0.0005672426068491978,0.19139612627835142
0.0006294988990221888,0.19185285637933053
0.0006985879746785249,0.1921214473419447
0.0007752597488629464,0.19236633200399336
0.000860346441668451,0.19247723464050706
0.0009547716114208065,0.19256114539862698
0.001059560179277617,0.19257758631190558
0.0011758495540521582,0.19254204430694555
0.0013049019780144017,0.19250034463003338
0.001448118227674533,0.1923738831148336
0.0016070528182616384,0.1922801304202899
0.0017834308769319094,0.19207544840522386
0.0019791668678535573,0.1919086298166087
0.002196385372416547,0.19162170675974874
0.002437444150122222,0.19134268292667464
0.002704959730463137,0.1909549550603417
0.0030018358135755923,0.190524200041459
0.003331294787934677,0.19003961168617006
0.0036969127071950323,0.189558066117629
0.00410265810582719,0.18933012715614284
0.004552935074866948,0.18957432999329613
0.00505263106533568,0.19082152075468448
0.005607169938205458,0.1930728774441625
0.006222570836730231,0.19662552925464166
0.006905513520162331,0.20447643385788114
0.007663410868007463,0.22624705682432195
0.008504489341802686,0.2722748807096621
0.009437878277775391,0.3400956668313114
0.010473708979594508,0.4112256277332669
0.011623224686798541,0.45648832992631416
0.01289890261253308,0.442153921519945
0.014314589375234785,0.3676786242301799
0.015885651294280528,0.28622191829839816
0.01762914118095948,0.24253176116017627
0.01956398343517065,0.2272205361504667
0.021711179456945052,0.21096292434709946
0.02409403560239527,0.18716939157842175
0.026738416158399492,0.1661526685217658
0.029673024081888724,0.15313606886019315
0.032929712550971546,0.14543345854226858
0.036543830709572546,0.13950883738149655
0.040554607358408275,0.13387563884793638
0.04500557675700498,0.12795040458028
0.0499450511585514,0.12176354015090655
0.05542664520663107,0.11523258530782307
0.06150985788580504,0.10849282397608398
0.06826071834272393,0.10156215729197408
0.0757525025877192,0.09453323744266658
0.08406652885618333,0.08750116935822046
0.09329304026284696,0.0805079452928411
0.10353218432956637,0.07369285598135161
0.11489510001873086,0.06706835367027278
0.1275051240713013,0.06076996083280021
