tau,gamma
1e-07,8.663193537341672e-66
1.1097524964120721e-07,3.714902853729725e-61
1.2315506032928263e-07,1.0581700561465794e-56
1.3667163564620074e-07,2.0021750096666522e-52
1.5167168884709241e-07,2.5164434024284712e-48
1.6831803533309585e-07,2.1009265049671118e-44
1.867913599020781e-07,1.1651265960447574e-40
2.0729217795953698e-07,4.292140557899004e-37
2.300430119772917e-07,1.0502998958103916e-33
2.5529080682395163e-07,1.707227050125404e-30
2.833096101839324e-07,1.843350140344493e-27
3.1440354715915e-07,1.322096105323331e-24
3.489101213406774e-07,6.2987875652563815e-22
3.872038781812557e-07,1.993379161143036e-19
4.2970047043208437e-07,4.1904682246717097e-17
4.768611697714474e-07,5.851625559248781e-15
5.291978735958437e-07,5.427951093795618e-13
5.872786613189477e-07,3.3446511944128274e-11
6.517339604882421e-07,1.3691346729485371e-09
7.232633896483533e-07,3.723775399173304e-08
8.026433522257174e-07,6.731543560168745e-07
8.907354638610439e-07,8.094947466849205e-06
9.884959046625586e-07,6.489339243008303e-05
1.096985797892384e-06,0.0003485847968446711
1.217382727739662e-06,0.0012701307667150827
1.3509935211980278e-06,0.003226833036917337
1.499268432786047e-06,0.006038702767880843
1.6638168860761274e-06,0.00907206300197351
1.8464249428955464e-06,0.011974079199009554
2.049074689815846e-06,0.014727501768362636
2.2739657523579273e-06,0.017405584024785925
2.523539170434766e-06,0.020034576307681275
2.800503894183631e-06,0.022609260274230467
3.107866187782014e-06,0.025191949415866874
3.4489622604057595e-06,0.027829244450920578
3.827494478516315e-06,0.030729373792505635
4.247571552536894e-06,0.03467853802474248
4.713753134116729e-06,0.04183642314955208
5.2310993080562585e-06,0.054283178051803674
5.805225516094895e-06,0.06924374809094794
6.44236350872137e-06,0.07859652559756727
7.149428986597577e-06,0.0788349033305144
7.934096665797492e-06,0.07700392812652566
8.804883581643465e-06,0.08365007794912255
9.771241535346501e-06,0.10815496995707401
1.0843659686896109e-05,0.1593389039615796
1.2033778407775906e-05,0.24336668966463543
1.3354515629298974e-05,0.35882354685329154
1.48202070579886e-05,0.4845373838424507
1.6446761779946626e-05,0.5771517658307698
1.8251834943190462e-05,0.5996156860201849
