tau,gamma
1e-07,2.3003543147205594e-65
1.1097524964120721e-07,9.86425245092113e-61
1.2315506032928263e-07,2.809779146547267e-56
1.3667163564620074e-07,5.316413517140202e-52
1.5167168884709241e-07,6.681960195977091e-48
1.6831803533309585e-07,5.578630247670979e-44
1.867913599020781e-07,3.0937828887581826e-40
2.0729217795953698e-07,1.1397002748027278e-36
2.300430119772917e-07,2.7888813619807376e-33
2.5529080682395163e-07,4.533232580307151e-30
2.833096101839324e-07,4.894682835889003e-27
3.1440354715915e-07,3.510587067758071e-24
3.489101213406774e-07,1.6725291377517796e-21
3.872038781812557e-07,5.293058151376438e-19
4.2970047043208437e-07,1.1127032432085882e-16
4.768611697714474e-07,1.5537940536830784e-14
5.291978735958437e-07,1.4412959336201027e-12
5.872786613189477e-07,8.881142334837336e-11
6.517339604882421e-07,3.6355159055285685e-09
7.232633896483533e-07,9.887989758496297e-08
8.026433522257174e-07,1.787518992430152e-06
8.907354638610439e-07,2.1497022677056807e-05
9.884959046625586e-07,0.0001723590763655398
1.096985797892384e-06,0.000926212906627772
1.217382727739662e-06,0.003377937391222885
1.3509935211980278e-06,0.00859968600599293
1.499268432786047e-06,0.016161094602903582
1.6638168860761274e-06,0.02444939806572286
1.8464249428955464e-06,0.03257043819836165
2.049074689815846e-06,0.040481788136953585
2.2739657523579273e-06,0.04837392311939105
2.523539170434766e-06,0.056291105035040125
2.800503894183631e-06,0.06416153404874242
3.107866187782014e-06,0.07202798056204746
3.4489622604057595e-06,0.07983116524201878
3.827494478516315e-06,0.08764934013246108
4.247571552536894e-06,0.09541120989868028
4.713753134116729e-06,0.10317278177229829
5.2310993080562585e-06,0.11089646815733653
5.805225516094895e-06,0.1185881233508003
6.44236350872137e-06,0.12626868939612595
7.149428986597577e-06,0.13387576017782016
7.934096665797492e-06,0.14149063808535625
8.804883581643465e-06,0.14899484480836325
9.771241535346501e-06,0.15650277464817988
1.0843659686896109e-05,0.16387822966714474
1.2033778407775906e-05,0.1712201114574837
1.3354515629298974e-05,0.1784259648158938
1.48202070579886e-05,0.18552779714658071
1.6446761779946626e-05,0.19250007461991403
1.8251834943190462e-05,0.19927578746734784
2.0255019392306664e-05,0.2059208310960019
2.2478058335487252e-05,0.2122730145053039
2.4945081352303165e-05,0.21846504492753838
2.7682866303920665e-05,0.2242825511686117
3.072112998861759e-05,0.22986678524894658
3.409285069746814e-05,0.23501996499882483
3.783462617131933e-05,0.23982117319051197
4.1987070844439056e-05,0.2441574869983602
4.659525668664687e-05,0.24799237786136208
5.170920242896755e-05,0.25133645749969463
5.7384416483024044e-05,0.2540274910107764
6.368249944718586e-05,0.25618964011655354
7.067181273927492e-05,0.25757821505752043
7.842822061337681e-05,0.2583734543345204
8.703591361485166e-05,0.2583318510432573
9.658832241158708e-05,0.25760824738828525
0.00010718913192051276,0.25605157114075067
0.00011895340673703195,0.25372286061818855
0.0001320088400831418,0.2506233273961586
0.00014649713983072864,0.2466983947943355
0.0001625755666443795,0.2421034712870676
0.00018041864093920718,0.23670552376352172
0.00020022003718155845,0.2307584466908861
0.0002221946860939524,0.22412998579633053
0.0002465811075822604,0.2170873264877094
0.0002736439997074672,0.20958176449822016
0.00030367711180354605,0.20182036231533937
0.00033700643292719284,0.19388456278184515
0.0003739937302478798,0.18589130148434138
0.0004150404757850477,0.17804327994715427
0.00046059220411451084,0.17038575049599408
0.0005111433483440171,0.16318855224670073
0.0005672426068491978,0.15647028547312608
0.0006294988990221888,0.15049941620150806
0.0006985879746785249,0.14530701155676068
0.0007752597488629464,0.14110794630878948
0.000860346441668451,0.13795739086451256
0.0009547716114208065,0.1359929869316955
0.001059560179277617,0.1352796039161948
0.0011758495540521582,0.13587316602850127
0.0013049019780144017,0.13782673458287029
0.001448118227674533,0.14111138575147728
0.0016070528182616384,0.14575771785001243
0.0017834308769319094,0.15164305637771083
0.0019791668678535573,0.1587761417710506
0.002196385372416547,0.1669380753372508
0.002437444150122222,0.17611025782939035
0.002704959730463137,0.18600257097486697
0.0030018358135755923,0.19654007995480138
0.003331294787934677,0.20742082563198153
0.0036969127071950323,0.21846411883173691
0.00410265810582719,0.2294362539619292
0.004552935074866948,0.24004930550946849
0.00505263106533568,0.2502737128516543
0.005607169938205458,0.25992046246743616
0.006222570836730231,0.2697575363246496
0.006905513520162331,0.28164940609794936
0.007663410868007463,0.3000060574150424
0.008504489341802686,0.32618114639107426
0.009437878277775391,0.34950504792735726
0.010473708979594508,0.35168096074929645
0.011623224686798541,0.33024214359270015
0.01289890261253308,0.30227978304078795
0.014314589375234785,0.2809367032743427
0.015885651294280528,0.26668305638016293
0.01762914118095948,0.2550149537632444
0.01956398343517065,0.24355780061813398
0.021711179456945052,0.23131226286024112
0.02409403560239527,0.21828458816381452
0.026738416158399492,0.20461861893302408
0.029673024081888724,0.19050022756132787
