tau,gamma
1e-07,8.692497304911617e-05
1.1097524964120721e-07,0.00044707330243560844
1.2315506032928263e-07,0.0015639834619749122
1.3667163564620074e-07,0.003837285395718842
1.5167168884709241e-07,0.007008853842121509
1.6831803533309585e-07,0.010417610446918841
1.867913599020781e-07,0.013748320418438383
2.0729217795953698e-07,0.016999901045281145
2.300430119772917e-07,0.02024919459539464
2.5529080682395163e-07,0.023498696323045645
2.833096101839324e-07,0.026723311408688978
3.1440354715915e-07,0.029934569736525952
3.489101213406774e-07,0.033108872636613176
3.872038781812557e-07,0.036276432218105156
4.2970047043208437e-07,0.039402920062479814
4.768611697714474e-07,0.0425171661444131
5.291978735958437e-07,0.04559372219445868
5.872786613189477e-07,0.048646466243785096
6.517339604882421e-07,0.05167226040332038
7.232633896483533e-07,0.054658651727532766
8.026433522257174e-07,0.05763072405068963
8.907354638610439e-07,0.060549804795909906
9.884959046625586e-07,0.06346298369020341
1.096985797892384e-06,0.06631738463596146
1.217382727739662e-06,0.06916510586561289
1.3509935211980278e-06,0.0719593089996857
1.499268432786047e-06,0.07473554078321316
1.6638168860761274e-06,0.07747353049933683
1.8464249428955464e-06,0.08017491955401519
2.049074689815846e-06,0.08285807174970546
2.2739657523579273e-06,0.0854853898851257
2.523539170434766e-06,0.08811148353740708
2.800503894183631e-06,0.0906696804414796
3.107866187782014e-06,0.09323348431160024
3.4489622604057595e-06,0.09573018774125959
3.827494478516315e-06,0.09822546285650881
4.247571552536894e-06,0.1006683941450658
4.713753134116729e-06,0.10309056930567748
5.2310993080562585e-06,0.10548480984636788
5.805225516094895e-06,0.10783327570037327
6.44236350872137e-06,0.11017943698821334
7.149428986597577e-06,0.11245849813572585
7.934096665797492e-06,0.11475255235858389
8.804883581643465e-06,0.11697055544801725
9.771241535346501e-06,0.11920547492280742
1.0843659686896109e-05,0.12137232009781058
1.2033778407775906e-05,0.12354097728859091
1.3354515629298974e-05,0.1256648596100154
1.48202070579886e-05,0.127763122285855
1.6446761779946626e-05,0.12984768984286865
1.8251834943190462e-05,0.13187651554083865
2.0255019392306664e-05,0.13391953011810726
2.2478058335487252e-05,0.13588518673322628
2.4945081352303165e-05,0.13787925295995743
2.7682866303920665e-05,0.1397914630259928
3.072112998861759e-05,0.14172663471318006
3.409285069746814e-05,0.14359521799405148
3.783462617131933e-05,0.1454625736945035
4.1987070844439056e-05,0.14729375548047832
4.659525668664687e-05,0.14908863103202113
5.170920242896755e-05,0.15088236145698833
5.7384416483024044e-05,0.15260599897288557
6.368249944718586e-05,0.15435530947826176
7.067181273927492e-05,0.1560142208434108
7.842822061337681e-05,0.1577069283084337
8.703591361485166e-05,0.1593100928891292
9.658832241158708e-05,0.16093230156785757
0.00010718913192051276,0.16248712662821135
0.00011895340673703195,0.16402728724812984
0.0001320088400831418,0.1655357537228005
0.00014649713983072864,0.16698778107003873
0.0001625755666443795,0.16844418116476592
0.00018041864093920718,0.16980841892649087
0.00020022003718155845,0.17119955256404165
0.0002221946860939524,0.17248112152707648
0.0002465811075822604,0.17378893766578205
0.0002736439997074672,0.17499395037620927
0.00030367711180354605,0.17619971269450418
0.00033700643292719284,0.17733063998722265
0.0003739937302478798,0.1784191010103397
0.0004150404757850477,0.17947093105495335
0.00046059220411451084,0.1804329463152554
0.0005111433483440171,0.18139153930138083
0.0005672426068491978,0.18222408105025756
0.0006294988990221888,0.18306736204331311
0.0006985879746785249,0.1837708245666724
0.0007752597488629464,0.18447243840874872
0.000860346441668451,0.18504613387474436
0.0009547716114208065,0.18558027769794105
0.001059560179277617,0.1860177336462021
0.0011758495540521582,0.18636342482128393
0.0013049019780144017,0.1866492372126978
0.001448118227674533,0.18679245392611948
0.0016070528182616384,0.1869019477745563
0.0017834308769319094,0.18683484907699904
0.0019791668678535573,0.18673679727431247
0.002196385372416547,0.18645428029458955
0.002437444150122222,0.18611572080663966
0.002704959730463137,0.1856108742661785
0.0030018358135755923,0.18500702943747474
0.003331294787934677,0.18429777834134645
0.0036969127071950323,0.1835387745466049
0.00410265810582719,0.1829765638803898
0.004552935074866948,0.18282672829011012
0.00505263106533568,0.18361557013998325
0.005607169938205458,0.18534682554364698
0.006222570836730231,0.18826434859005445
0.006905513520162331,0.19508031297953501
0.007663410868007463,0.21465388652078227
0.008504489341802686,0.2565123624206495
0.009437878277775391,0.31836075996559676
0.010473708979594508,0.38310282174645627
0.011623224686798541,0.4237403473482653
0.01289890261253308,0.40909270772119716
0.014314589375234785,0.3387316914076022
0.015885651294280528,0.26202065562257254
0.01762914118095948,0.22052742697079927
0.01956398343517065,0.20561454504645596
0.021711179456945052,0.1901403931988964
0.02409403560239527,0.16792599781601109
0.026738416158399492,0.1484321052644629
0.029673024081888724,0.1364834394884143
0.032929712550971546,0.1296577175807925
0.036543830709572546,0.1247425897842186
0.040554607358408275,0.12037633844730178
0.04500557675700498,0.1160281374108436
0.0499450511585514,0.11170007683849363
0.05542664520663107,0.10729264932977266
0.06150985788580504,0.10288947050467799
0.06826071834272393,0.09845147453403784
0.0757525025877192,0.0940186653736153
0.08406652885618333,0.08960446138457302
0.09329304026284696,0.08519927084141113
0.10353218432956637,0.08085969231962317
0.11489510001873086,0.07654298623820728
0.1275051240713013,0.07232532396354233
0.1414991297434576,0.06815688028246622
0.15702901247293774,0.06410633930087489
0.17426333860096507,0.06014033101770955
0.19338917504552322,0.05630062640819698
0.21461411978584058,0.05258243538933782
0.23816855519761607,0.04899486462898556
0.2643081486974108,0.04555981360954255
0.29331662783900486,0.04226093093405411
0.32550885998350565,0.039134595563971857
0.36123426997094304,0.036153285775312266
0.40088063288984643,0.033352506028129815
0.4448782831127585,0.0307074964351649
0.4937047852839004,0.028241202663585242
0.5478901179593945,0.025939784589495744
0.6080224261649427,0.023809182004458643
