tau,gamma
1e-07,7.463165697262196e-05
1.1097524964120721e-07,0.0003838534898771358
1.2315506032928263e-07,0.0013428838445853739
1.3667163564620074e-07,0.003295142999365323
1.5167168884709241e-07,0.006019846572072683
1.6831803533309585e-07,0.008950664855423703
1.867913599020781e-07,0.011818033158377641
2.0729217795953698e-07,0.014621944536336171
2.300430119772917e-07,0.017429345551792128
2.5529080682395163e-07,0.020243218436402675
2.833096101839324e-07,0.023043047175534424
3.1440354715915e-07,0.025839500597691176
3.489101213406774e-07,0.02861317983342977
3.872038781812557e-07,0.03139088110466098
4.2970047043208437e-07,0.034143724049201934
4.768611697714474e-07,0.03689750870019601
5.291978735958437e-07,0.039630692779965816
5.872786613189477e-07,0.04235633930790077
6.517339604882421e-07,0.04507197976627798
7.232633896483533e-07,0.04776787738009375
8.026433522257174e-07,0.05046607667104974
8.907354638610439e-07,0.053133761778330735
9.884959046625586e-07,0.05581248391484757
1.096985797892384e-06,0.05845645110777983
1.217382727739662e-06,0.061112170282111175
1.3509935211980278e-06,0.06373842769481183
1.499268432786047e-06,0.06636776592585633
1.6638168860761274e-06,0.06898180534068556
1.8464249428955464e-06,0.071583424995867
2.049074689815846e-06,0.07418832677099035
2.2739657523579273e-06,0.07676428013145438
2.523539170434766e-06,0.07935974014710266
2.800503894183631e-06,0.08191563586935825
3.107866187782014e-06,0.08449836123153606
3.4489622604057595e-06,0.08704214698280757
3.827494478516315e-06,0.08960754716292603
4.247571552536894e-06,0.09214725588819926
4.713753134116729e-06,0.09469182752478554
5.2310993080562585e-06,0.0972330779285572
5.805225516094895e-06,0.09975656118827095
6.44236350872137e-06,0.1023007609291724
7.149428986597577e-06,0.10480717033665898
7.934096665797492e-06,0.1073511637363846
8.804883581643465e-06,0.10984817622119805
9.771241535346501e-06,0.1123855665024589
1.0843659686896109e-05,0.11488235498543432
1.2033778407775906e-05,0.1174060952633214
1.3354515629298974e-05,0.11991030496942456
1.48202070579886e-05,0.12241563121631409
1.6446761779946626e-05,0.12493057391027318
1.8251834943190462e-05,0.12741715484090435
2.0255019392306664e-05,0.1299402854809256
2.2478058335487252e-05,0.13241268498722933
2.4945081352303165e-05,0.1349360072179077
2.7682866303920665e-05,0.1374021361236801
3.072112998861759e-05,0.13991449234192369
3.409285069746814e-05,0.14238246822635714
3.783462617131933e-05,0.14487295227563612
